,date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
0,2018-01-02,0050,3613199,298033251,82.15,82.6,82.15,82.6,0.45,1795
1,2018-01-03,0050,7196437,599476413,82.95,83.45,82.95,83.35,0.75,3014
2,2018-01-04,0050,5627565,469312820,83.5,83.65,83.2,83.5,0.15,2278
3,2018-01-05,0050,7616796,636768692,83.5,83.8,83.3,83.75,0.25,2562
4,2018-01-08,0050,5189611,435775639,83.8,84.15,83.7,84.1,0.35,2282
5,2018-01-09,0050,3664716,308057554,84.1,84.25,83.9,84.15,0.05,1340
6,2018-01-10,0050,5749597,482358793,84.1,84.25,83.55,83.75,-0.4,1073
7,2018-01-11,0050,2579225,214867793,83.65,83.7,83.1,83.4,-0.35,735
8,2018-01-12,0050,2871193,241214778,83.55,84.2,83.5,84.1,0.7,1002
9,2018-01-15,0050,2819852,238493616,84.55,84.7,84.4,84.65,0.55,1126
10,2018-01-16,0050,3955841,335496385,84.65,85.0,84.5,85.0,0.35,1295
11,2018-01-17,0050,5698268,485174071,84.65,85.45,84.65,85.15,0.15,2017
12,2018-01-18,0050,6898803,594091024,85.5,86.55,85.5,86.3,1.15,2272
13,2018-01-19,0050,5302072,461040360,86.35,87.15,86.35,87.15,0.85,1445
14,2018-01-22,0050,4441061,389066253,87.15,87.95,87.15,87.95,0.8,1746
15,2018-01-23,0050,5799932,511405502,88.05,88.4,87.9,88.3,0.35,1842
16,2018-01-24,0050,5103429,444907065,88.0,88.0,86.85,87.2,-1.1,1869
17,2018-01-25,0050,4983684,436967956,87.25,88.3,87.15,87.45,0.25,1652
18,2018-01-26,0050,7774673,678481509,87.45,87.6,86.85,87.5,0.05,3087
19,2018-01-29,0050,6445797,551350942,85.5,86.15,85.2,85.55,0.0,3453
20,2018-01-30,0050,4966261,421572779,85.2,85.35,84.5,84.55,-1.0,2337
21,2018-01-31,0050,4251739,359040915,84.4,85.0,84.15,84.65,0.1,1176
22,2018-02-01,0050,2914539,248420810,84.75,85.5,84.75,85.25,0.6,897
23,2018-02-02,0050,3081592,261095295,84.85,85.15,84.35,84.9,-0.35,880
24,2018-02-05,0050,7075902,588994369,83.2,83.75,82.9,83.6,-1.3,2875
25,2018-02-06,0050,32222595,2574016957,80.85,81.1,78.8,79.65,-3.95,11372
26,2018-02-07,0050,10181907,825539952,81.35,81.4,80.6,80.65,1.0,5189
27,2018-02-08,0050,4514691,363476832,80.65,80.95,80.3,80.6,-0.05,1972
28,2018-02-09,0050,16211237,1271812204,78.6,79.2,78.0,79.05,-1.55,6760
29,2018-02-12,0050,8443795,672977850,79.55,79.9,79.4,79.7,0.65,3828
30,2018-02-21,0050,11646085,948993971,81.4,81.7,81.1,81.5,1.8,4541
31,2018-02-22,0050,3749910,303821917,81.5,81.5,80.75,81.0,-0.5,1744
32,2018-02-23,0050,3779316,309207057,81.4,82.1,81.4,82.0,1.0,1793
33,2018-02-26,0050,3289207,271560439,82.55,82.8,82.35,82.4,0.4,1380
34,2018-02-27,0050,7663746,634417022,83.1,83.2,82.35,82.35,-0.05,2037
35,2018-03-01,0050,4344220,354595798,81.55,81.95,81.15,81.75,-0.6,2554
36,2018-03-02,0050,6262361,505982082,80.85,81.2,80.45,81.15,-0.6,2846
37,2018-03-05,0050,3723757,301898098,81.1,81.5,80.65,80.75,-0.4,1223
38,2018-03-06,0050,5732204,469203518,81.65,82.15,81.6,82.15,1.4,1756
39,2018-03-07,0050,2619161,214899152,81.75,82.45,81.7,81.8,-0.35,1029
40,2018-03-08,0050,3232583,266947148,82.15,82.8,82.15,82.75,0.95,1396
41,2018-03-09,0050,2832064,234740002,82.9,83.0,82.7,82.85,0.1,986
42,2018-03-12,0050,8752324,735446031,83.6,84.25,83.55,84.15,1.3,2942
43,2018-03-13,0050,9837435,831704291,84.35,84.95,84.3,84.95,0.8,3126
44,2018-03-14,0050,3415928,287869559,84.35,84.45,84.0,84.3,-0.65,1373
45,2018-03-15,0050,3506898,295014773,84.0,84.3,83.9,84.25,-0.05,1533
