銀行,西元年月,民國年月,活期存款-固定,活期存款-機動,活儲存款-固定,活儲存款-機動,定存利率-一個月-固定,定存利率-一個月-固定,定存利率-三個月-固定,定存利率-三個月-固定,定存利率-六個月-固定,定存利率-六個月-固定,定存利率-九個月-固定,定存利率-九個月-固定,定存利率-一年期-固定,定存利率-一年期-固定,定存利率-二年期-固定,定存利率-二年期-固定,定存利率-三年期-固定,定存利率-三年期-固定,定存利率-一年期-固定,定存利率-一年期-固定,定存利率-二年期-固定,定存利率-二年期-固定,定存利率-三年期-固定,定存利率-三年期-固定,指數房貸-固定,指數房貸-機動,房貸月指-固定,房貸月指-機動,基準利率-固定,基準利率-機動
臺灣銀行,2001-1,09001,,2.000,,3.750,4.400,4.400,4.600,4.600,4.700,4.700,4.800,4.800,5.000,5.000,5.100,5.100,5.200,5.200,5.050,5.050,5.150,5.150,5.250,5.250,,,,,,
臺灣銀行,2001-2,09002,,2.000,,3.700,4.250,4.300,4.450,4.500,4.550,4.600,4.650,4.700,4.800,4.850,4.900,4.950,5.000,5.050,4.850,4.900,4.950,5.000,5.150,5.200,,,,,,
臺灣銀行,2001-3,09003,,2.000,,3.700,4.150,4.250,4.350,4.450,4.460,4.560,4.560,4.660,4.690,4.790,4.790,4.890,4.890,4.990,4.740,4.840,4.840,4.940,5.040,5.140,,,,,,
臺灣銀行,2001-4,09004,,1.750,,3.550,3.800,3.950,3.900,4.050,4.050,4.200,4.150,4.300,4.275,4.425,4.275,4.425,4.275,4.425,4.325,4.450,4.275,4.425,4.275,4.425,,,,,,
臺灣銀行,2001-5,09005,,1.650,,3.450,3.675,3.825,3.775,3.925,3.925,4.075,4.025,4.175,4.150,4.300,4.150,4.300,4.150,4.300,4.175,4.325,4.175,4.325,4.175,4.325,,,,,,
臺灣銀行,2001-6,09006,,1.650,,3.450,3.675,3.825,3.775,3.925,3.925,4.075,4.025,4.175,4.150,4.300,4.150,4.300,4.150,4.300,4.175,4.325,4.175,4.325,4.175,4.325,,,,,,
臺灣銀行,2001-7,09007,,1.550,,3.300,3.450,3.600,3.550,3.700,3.700,3.850,3.800,3.950,3.900,4.050,3.900,4.050,3.900,4.050,3.950,4.150,3.950,4.150,3.950,4.150,,,,,,
臺灣銀行,2001-8,09008,,1.500,,3.100,3.200,3.350,3.300,3.450,3.450,3.600,3.550,3.700,3.650,3.800,3.650,3.800,3.650,3.800,3.750,3.950,3.750,3.950,3.750,3.950,,,,,,
臺灣銀行,2001-9,09009,,1.250,,2.700,2.750,2.850,2.900,3.100,2.950,3.100,3.050,3.200,3.150,3.300,3.150,3.300,3.150,3.300,3.250,3.450,3.250,3.450,3.250,3.450,,,,,,
臺灣銀行,2001-10,09010,,1.300,,2.500,2.500,2.550,2.550,2.550,2.600,2.800,2.750,2.900,2.800,3.000,2.800,3.000,2.800,3.000,2.850,3.200,2.850,3.200,2.850,3.200,,,,,,
