,date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
0,2016-11-01,8464,923669,336800615,370.0,372.0,363.0,364.0,-2.0,743
1,2016-11-02,8464,1305774,444709016,363.5,363.5,329.5,332.0,-32.0,1208
2,2016-11-03,8464,1192710,398550060,332.5,344.5,330.0,333.5,1.5,1059
3,2016-11-04,8464,500979,167597944,333.5,339.0,330.0,334.5,1.0,455
4,2016-11-07,8464,487783,167647352,338.0,349.0,336.0,344.0,9.5,481
5,2016-11-08,8464,594472,207872322,354.0,354.0,341.5,353.5,9.5,550
6,2016-11-09,8464,1938576,703688752,370.0,374.0,348.0,348.0,-5.5,1788
7,2016-11-10,8464,890570,323507693,367.0,368.0,357.0,365.0,17.0,828
8,2016-11-11,8464,1298644,433011020,354.5,355.0,328.5,330.5,-34.5,1223
9,2016-11-14,8464,1973050,615551571,318.5,320.5,298.5,311.5,-19.0,1806
10,2016-11-15,8464,2273008,709348012,313.0,321.0,309.0,309.0,-2.5,1517
11,2016-11-16,8464,1447350,448397650,310.0,314.0,305.0,308.5,-0.5,1309
12,2016-11-17,8464,932701,301240428,311.0,332.5,306.0,331.0,22.5,890
13,2016-11-18,8464,1034894,337789308,330.0,331.5,321.0,329.0,-2.0,984
14,2016-11-21,8464,828269,281503649,332.5,346.0,330.0,335.5,6.5,615
15,2016-11-22,8464,630185,213244345,341.0,344.5,331.5,337.0,1.5,567
16,2016-11-23,8464,508573,168955876,338.0,338.0,328.0,331.5,-5.5,483
17,2016-11-24,8464,432070,141617820,333.5,334.0,323.0,324.5,-7.0,403
18,2016-11-25,8464,342000,112059000,326.0,331.0,324.5,327.5,3.0,315
19,2016-11-28,8464,401664,132727784,328.5,334.0,323.5,334.0,6.5,387
20,2016-11-29,8464,1053862,363348858,337.0,350.0,331.0,346.5,12.5,814
21,2016-11-30,8464,1055118,372075154,347.0,357.0,344.0,357.0,10.5,680
22,2016-12-01,8464,643897,229546729,353.0,362.0,350.5,357.0,0.0,621
23,2016-12-02,8464,472050,167606625,354.5,358.5,350.0,355.5,-1.5,451
24,2016-12-05,8464,554793,195164792,360.0,360.0,346.0,346.0,-9.5,525
25,2016-12-06,8464,616063,219361613,352.5,362.0,351.0,353.5,7.5,594
26,2016-12-07,8464,455070,160427860,353.5,359.5,346.5,347.5,-6.0,414
27,2016-12-08,8464,404003,140891538,347.5,354.0,345.5,346.0,-1.5,356
28,2016-12-09,8464,470438,160472824,346.5,347.0,338.0,340.0,-6.0,463
29,2016-12-12,8464,827559,275661431,335.0,337.0,326.0,333.5,-6.5,745
30,2016-12-13,8464,264989,89054117,330.0,341.5,330.0,334.0,0.5,257
31,2016-12-14,8464,495475,169976662,335.5,348.0,335.5,347.0,13.0,458
32,2016-12-15,8464,431520,147580240,344.5,345.5,336.0,345.5,-1.5,408
33,2016-12-16,8464,385060,130329370,344.0,344.0,336.5,336.5,-9.0,337
34,2016-12-19,8464,949000,308644000,331.5,335.5,317.0,321.0,-15.5,803
35,2016-12-20,8464,901018,294404296,340.0,340.0,320.5,321.0,0.0,755
36,2016-12-21,8464,699018,229771422,321.5,332.5,321.5,327.5,6.5,577
37,2016-12-22,8464,440280,141472440,329.0,331.0,318.5,319.0,-8.5,395
38,2016-12-23,8464,485154,154606548,319.0,324.0,315.5,315.5,-3.5,431
39,2016-12-26,8464,226150,71037275,316.5,318.0,311.0,315.5,0.0,208
40,2016-12-27,8464,146150,46676350,317.0,320.5,317.0,319.5,4.0,148
41,2016-12-28,8464,297210,96930590,319.5,329.5,319.5,329.0,9.5,296
42,2016-12-29,8464,319142,105236072,329.0,333.0,325.5,327.0,-2.0,289
43,2016-12-30,8464,322310,107200490,331.0,334.5,329.0,332.5,5.5,275
44,2017-01-03,8464,697029,224374809,333.0,333.0,318.5,321.0,-11.5,663
45,2017-01-04,8464,649256,207245664,322.0,324.5,315.0,315.5,-5.5,553
46,2017-01-05,8464,884255,283117600,315.5,327.0,315.5,318.5,3.0,744
47,2017-01-06,8464,1696112,522814663,322.0,322.0,300.0,301.5,-17.0,1519
48,2017-01-09,8464,1966216,579929054,304.5,309.0,284.0,288.5,-13.0,1754
49,2017-01-10,8464,1613150,478750700,295.0,302.5,292.0,294.5,6.0,1376
50,2017-01-11,8464,2486808,705532688,300.0,302.5,275.5,283.0,-11.5,2109
