date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2021-01-04,3036A,102177,4936957,38.94,38.98,38.86,38.94,-0.16,50
2021-01-05,3036A,90000,4347450,38.94,38.94,38.86,38.94,0.0,50
2021-01-06,3036A,141411,6826895,38.9,38.98,38.78,38.9,-0.04,77
2021-01-07,3036A,128315,6196213,38.9,38.94,38.82,38.9,0.0,60
2021-01-08,3036A,99137,4787998,38.86,38.9,38.86,38.9,0.0,79
2021-01-11,3036A,92374,4458141,38.86,38.9,38.86,38.86,-0.04,67
2021-01-12,3036A,72000,3476050,38.86,38.9,38.86,38.9,0.04,56
2021-01-13,3036A,107474,5188880,38.86,38.9,38.86,38.9,0.0,64
2021-01-14,3036A,132105,6379572,38.86,38.9,38.86,38.9,0.0,66
2021-01-15,3036A,118564,5722084,38.86,38.9,38.82,38.86,-0.04,75
2021-01-18,3036A,99137,4779653,38.86,38.86,38.78,38.82,-0.04,50
2021-01-19,3036A,91010,4379982,38.78,38.82,38.74,38.78,-0.04,63
2021-01-20,3036A,59489,2857469,38.74,38.74,38.66,38.66,-0.12,55
2021-01-21,3036A,130010,6246831,38.66,38.74,38.66,38.7,0.04,65
2021-01-22,3036A,60701,2917648,38.7,38.78,38.66,38.78,0.08,58
2021-01-25,3036A,29665,1425412,38.7,38.7,38.7,38.7,-0.08,32
2021-01-26,3036A,53056,2549388,38.7,38.74,38.7,38.7,0.0,35
2021-01-27,3036A,90000,4323800,38.7,38.7,38.66,38.7,0.0,31
2021-01-28,3036A,255000,12241850,38.66,38.7,38.62,38.66,-0.04,70
2021-01-29,3036A,126000,6049850,38.66,38.7,38.62,38.62,-0.04,36
2021-02-01,3036A,108648,5215441,38.66,38.7,38.62,38.62,0.0,55
2021-02-02,3036A,235221,11280435,38.58,38.66,38.58,38.66,0.04,65
2021-02-03,3036A,189100,9072795,38.66,38.66,38.62,38.66,0.0,36
2021-02-04,3036A,124153,5952494,38.62,38.66,38.58,38.58,-0.08,22
2021-02-05,3036A,221501,10595165,38.54,38.58,38.5,38.5,-0.08,78
2021-02-17,3036A,66361,3169840,38.46,38.54,38.46,38.46,-0.04,51
2021-02-18,3036A,431796,20585986,38.46,38.46,38.34,38.46,0.0,118
2021-02-19,3036A,83000,3959500,38.42,38.46,38.42,38.46,0.0,27
2021-02-22,3036A,48000,2290900,38.42,38.5,38.42,38.5,0.04,48
2021-02-23,3036A,55354,2642460,38.46,38.5,38.42,38.5,0.0,50
2021-02-24,3036A,679742,32371348,38.42,38.46,38.26,38.46,-0.04,232
2021-02-25,3036A,875871,41646259,38.34,38.38,38.18,38.26,-0.2,218
2021-02-26,3036A,510134,24200115,38.26,38.38,38.1,38.26,0.0,266
2021-03-02,3036A,143459,6820348,38.26,38.34,38.22,38.34,0.08,63
2021-03-03,3036A,64451,3065516,38.34,38.34,38.26,38.34,0.0,29
2021-03-04,3036A,149137,7088507,38.3,38.34,38.22,38.26,-0.08,102
