date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2011-01-03,2002A,20000,792600,23.54,23.54,23.48,23.48,0.18,7
2011-01-04,2002A,44000,1742700,23.54,23.54,23.48,23.48,0.0,13
2011-01-05,2002A,8000,316500,23.48,23.48,23.42,23.42,-0.06,2
2011-01-06,2002A,9000,354450,23.42,23.42,23.33,23.33,-0.09,3
2011-01-07,2002A,5000,197600,23.48,23.48,23.36,23.36,0.03,5
2011-01-10,2002A,67000,2650750,23.48,23.48,23.42,23.42,0.06,6
2011-01-11,2002A,9000,357300,23.54,23.54,23.54,23.54,0.12,2
2011-01-12,2002A,37000,1471800,23.54,23.66,23.54,23.66,0.12,21
2011-01-13,2002A,3000,119100,23.48,23.66,23.48,23.66,0.0,3
2011-01-14,2002A,17000,675650,23.69,23.69,23.54,23.54,-0.12,5
2011-01-17,2002A,19000,754400,23.54,23.57,23.54,23.57,0.03,4
2011-01-18,2002A,2000,79200,23.42,23.54,23.42,23.54,-0.03,2
2011-01-19,2002A,15000,596200,23.54,23.6,23.54,23.6,0.06,7
2011-01-20,2002A,3000,119400,23.6,23.6,23.6,23.6,0.0,2
2011-01-21,2002A,3000,118850,23.48,23.51,23.48,23.51,-0.09,2
2011-01-24,2002A,5000,198150,23.51,23.51,23.48,23.48,-0.03,4
2011-01-25,2002A,3000,119100,23.54,23.54,23.54,23.54,0.06,3
2011-01-26,2002A,5000,198600,23.48,23.72,23.48,23.54,0.0,3
2011-01-27,2002A,5000,198950,23.57,23.6,23.57,23.6,0.06,3
2011-01-28,2002A,6000,239100,23.66,23.66,23.6,23.66,0.06,6
2011-02-08,2002A,9000,361200,23.72,24.07,23.66,24.07,0.41,8
2011-02-10,2002A,36000,1438200,23.72,23.72,23.6,23.6,-0.47,11
2011-02-11,2002A,11000,435000,23.6,23.6,23.42,23.42,-0.18,8
2011-02-14,2002A,7000,277100,23.42,23.6,23.42,23.6,0.18,6
