date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2014-01-02,TAIEX,4462792827,92115396580,8618.6,8632.81,8587.54,8612.54,1.03,910452
2014-01-03,TAIEX,4406184851,93481463412,8584.74,8584.74,8537.86,8546.54,-66.0,936152
2014-01-06,TAIEX,4556810541,96095770858,8553.0,8568.24,8488.64,8500.01,-46.53,960723
2014-01-07,TAIEX,4489316946,97181535416,8515.36,8547.19,8512.3,8512.3,12.29,951094
2014-01-08,TAIEX,5447851596,117221976646,8548.61,8587.08,8548.61,8556.01,43.71,1117566
2014-01-09,TAIEX,6277065462,135377950446,8555.8,8569.11,8506.02,8514.68,-41.33,1273329
2014-01-10,TAIEX,4771243707,100738211071,8559.18,8559.18,8521.5,8529.35,14.67,962702
2014-01-13,TAIEX,4633450841,94243737875,8587.49,8607.23,8558.96,8566.2,36.85,938292
2014-01-14,TAIEX,4247023670,83923064984,8545.46,8568.31,8523.46,8548.14,-18.06,848873
2014-01-15,TAIEX,5319587288,117234122223,8567.81,8619.56,8567.81,8602.55,54.41,1018135
2014-01-16,TAIEX,5077337947,109194181184,8653.54,8668.95,8610.24,8612.11,9.56,1016690
2014-01-17,TAIEX,4520607851,106897672756,8628.49,8628.86,8580.49,8596.0,-16.11,868037
2014-01-20,TAIEX,4366334148,97398333476,8595.59,8636.21,8584.5,8621.56,25.56,899847
2014-01-21,TAIEX,4815020744,106892617876,8639.71,8650.14,8599.9,8599.9,-21.66,947496
2014-01-22,TAIEX,4236741166,92716105980,8598.98,8633.57,8596.99,8625.3,25.4,860681
2014-01-23,TAIEX,4026745869,88670076002,8644.56,8647.87,8595.1,8595.1,-30.2,838436
2014-01-24,TAIEX,3568470362,83743644473,8581.49,8608.64,8577.14,8598.31,3.21,763040
2014-01-27,TAIEX,4003706710,100416758751,8519.48,8519.48,8442.19,8462.57,-135.74,921393
2014-02-05,TAIEX,4841976045,135802903004,8290.17,8313.83,8230.46,8264.48,-198.09,1190962
