date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2018-01-02,2033,157000,1447240,8.47,8.5,8.4,8.45,0.07,44
2018-01-03,2033,48474,450839,8.47,8.6,8.47,8.51,0.06,25
2018-01-04,2033,91095,840454,8.52,8.52,8.43,8.48,-0.03,35
2018-01-05,2033,138180,1289374,8.5,8.59,8.49,8.59,0.11,44
2018-01-08,2033,1177442,11848282,8.63,9.43,8.63,9.43,0.84,275
2018-01-09,2033,621799,7026326,10.35,10.35,10.35,10.35,0.92,213
2018-01-10,2033,3950326,48839537,11.35,11.35,11.03,11.35,1.0,872
2018-01-11,2033,3662371,49196493,12.27,12.45,11.9,12.45,1.1,904
2018-01-12,2033,9346664,135510509,13.69,13.69,12.64,12.73,0.28,3012
2018-01-15,2033,3917313,51006013,11.99,12.27,11.54,12.04,-0.69,1496
2018-01-16,2033,1050280,13499884,12.04,12.04,11.54,11.77,-0.27,519
2018-01-17,2033,1790910,23865174,11.9,12.5,11.81,11.99,0.22,819
2018-01-18,2033,1080000,14279000,12.09,12.31,11.81,11.9,-0.09,519
2018-01-19,2033,1018732,13459390,11.99,12.27,11.86,11.9,0.0,484
2018-01-22,2033,1055450,13110040,12.04,12.04,11.03,11.26,-0.64,516
2018-01-23,2033,535181,6502372,11.26,11.26,11.03,11.08,-0.18,272
2018-01-24,2033,439299,5422977,11.17,11.44,11.17,11.35,0.27,230
2018-01-25,2033,656775,8235227,11.4,11.67,11.17,11.17,-0.18,347
2018-01-26,2033,456150,5526550,11.31,11.31,10.99,11.08,-0.09,222
2018-01-29,2033,455790,5486808,11.12,11.17,10.76,11.17,0.09,225
2018-01-30,2033,779001,9180861,10.9,10.99,10.62,10.67,-0.5,307
2018-01-31,2033,2417129,30611450,10.44,11.72,10.44,11.72,1.05,667
2018-02-01,2033,2110419,26830401,11.77,11.95,11.26,11.31,-0.41,951
2018-02-02,2033,3324079,43761168,11.17,12.41,11.17,12.41,1.1,1180
2018-02-05,2033,4972161,71035045,11.9,13.64,11.63,13.64,1.23,2039
2018-02-06,2033,15722443,253446982,14.01,14.97,14.01,14.97,1.33,5592
2018-02-07,2033,10169002,177433181,15.57,16.43,15.29,16.43,1.46,3351
2018-02-08,2033,21590184,383503646,17.03,17.81,14.83,15.34,-1.09,8044
2018-02-09,2033,11189790,184646535,14.51,15.93,14.15,15.2,-0.14,4851
2018-02-12,2033,10454450,184071560,15.84,16.71,15.11,16.71,1.51,4290
2018-02-21,2033,3035450,51236430,15.2,16.57,15.06,16.21,-0.5,824
2018-02-22,2033,983800,17100727,16.34,16.34,15.47,16.34,0.13,378
2018-02-23,2033,2494877,47729196,17.03,17.95,16.39,16.39,0.05,759
2018-02-26,2033,1074543,19535296,16.39,16.94,16.3,16.53,0.14,291
2018-02-27,2033,732310,13135630,16.94,16.94,16.21,16.71,0.18,268
2018-03-01,2033,706000,13255950,16.25,17.58,16.25,17.53,0.82,316
2018-03-02,2033,776566,14622614,17.53,17.58,16.94,16.94,-0.59,218
2018-03-05,2033,1269471,22634164,16.94,17.17,15.84,16.02,-0.92,373
2018-03-06,2033,722100,12758455,16.21,16.48,15.84,16.39,0.37,234
2018-03-07,2033,658500,11711673,16.39,16.43,16.02,16.02,-0.37,189
2018-03-08,2033,5640635,94331375,16.16,16.8,14.42,14.51,-1.51,2263
2018-03-09,2033,2729180,42018400,14.42,14.65,13.78,13.78,-0.73,1162
2018-03-12,2033,3380901,54131961,14.1,15.15,13.78,15.15,1.37,1349
2018-03-13,2033,4889201,82925686,15.66,16.02,14.65,14.97,-0.18,2423
2018-03-14,2033,1825455,30018266,14.83,15.47,14.79,14.79,-0.18,904
2018-03-15,2033,976190,15576080,15.06,15.06,14.28,14.28,-0.51,472
2018-03-16,2033,1431100,21942670,14.51,14.74,13.6,13.92,-0.36,673
2018-03-19,2033,937000,14181000,14.1,14.37,13.73,13.73,-0.19,413
2018-03-20,2033,3756690,61007535,14.15,15.11,13.73,15.11,1.38,1321
2018-03-21,2033,5613268,96149182,15.57,16.34,15.11,15.24,0.13,2536
2018-03-22,2033,2195003,36474398,15.02,15.84,14.65,14.83,-0.41,1110
2018-03-23,2033,3804000,62342450,13.96,15.98,13.96,14.51,-0.32,1738
2018-03-26,2033,1507122,24645319,14.7,15.34,14.65,14.79,0.28,800
2018-03-27,2033,1387480,22932830,15.34,15.34,14.74,14.74,-0.05,567
2018-03-28,2033,952088,15489558,14.97,15.24,14.51,14.74,0.0,478
2018-03-29,2033,1470100,23997085,15.11,15.29,14.74,14.83,0.09,621
2018-03-30,2033,1885044,31286312,15.11,15.66,14.88,14.88,0.05,791
2018-03-31,2033,913200,14613980,15.06,15.15,14.28,14.56,-0.32,463
2018-04-02,2033,2167000,34753550,14.56,15.24,14.24,14.6,0.04,921
2018-04-03,2033,1057228,16527084,14.74,14.74,14.19,14.28,-0.32,458
2018-04-09,2033,806081,12679766,14.47,14.79,14.19,14.19,-0.09,387
2018-04-10,2033,2729300,42744500,14.24,14.7,13.73,13.73,-0.46,793
2018-04-11,2033,648061,9837708,14.15,14.19,13.73,13.73,0.0,305
2018-04-12,2033,437005,6590925,13.92,13.92,13.73,13.87,0.14,168
2018-04-13,2033,1618500,23347050,13.78,13.96,12.82,13.0,-0.87,666
2018-04-16,2033,1289001,17136613,12.91,12.91,11.9,11.95,-1.05,604
2018-04-17,2033,947145,12662620,12.31,12.54,11.99,12.04,0.09,479
2018-04-18,2033,375000,4927800,12.18,12.18,11.9,11.9,-0.14,207
2018-04-19,2033,293246,3864822,11.99,12.22,11.9,11.99,0.09,169
2018-04-20,2033,398013,5159118,11.99,12.13,11.77,11.81,-0.18,191
2018-04-23,2033,400000,5033900,11.72,11.81,11.22,11.31,-0.5,228
2018-04-24,2033,1929500,25627625,11.49,12.41,11.31,12.41,1.1,800
2018-04-25,2033,4276003,61422790,13.28,13.5,12.5,13.09,0.68,1965
2018-04-26,2033,1918022,26324632,13.05,13.5,11.81,11.86,-1.23,919
2018-04-27,2033,486437,6298787,12.09,12.31,11.63,11.9,0.04,268
2018-04-30,2033,517100,6562260,12.04,12.04,11.26,11.63,-0.27,273
2018-05-02,2033,199400,2519469,11.54,11.72,11.35,11.44,-0.19,125
2018-05-03,2033,213001,2669112,11.49,11.58,11.31,11.35,-0.09,153
2018-05-04,2033,542000,6539150,11.35,11.49,10.94,10.94,-0.41,281
2018-05-07,2033,312002,3711073,10.99,11.08,10.8,10.8,-0.14,118
2018-05-08,2033,354043,4149748,10.99,10.99,10.58,10.67,-0.13,181
2018-05-09,2033,418000,4977700,10.71,11.08,10.71,10.94,0.27,212
2018-05-10,2033,447000,5449300,11.08,11.4,10.99,11.03,0.09,258
2018-05-11,2033,420655,5092710,10.9,11.35,10.9,11.08,0.05,179
2018-05-14,2033,397801,4710251,11.03,11.08,10.67,10.71,-0.37,164
2018-05-15,2033,229000,2729950,10.8,10.99,10.8,10.9,0.19,101
2018-05-16,2033,162613,1909172,10.9,10.9,10.67,10.76,-0.14,89
2018-05-17,2033,688000,7966950,10.71,10.71,10.48,10.58,-0.18,163
2018-05-18,2033,330000,3874550,10.58,10.94,10.58,10.67,0.09,157
2018-05-21,2033,156002,1819772,10.85,10.85,10.62,10.62,-0.05,85
2018-05-22,2033,470079,5314592,10.62,10.62,10.07,10.3,-0.32,242
2018-05-23,2033,247206,2771543,10.3,10.44,10.16,10.25,-0.05,137
2018-05-24,2033,135487,1516403,10.25,10.35,10.16,10.21,-0.04,80
2018-05-25,2033,304000,3355100,10.16,10.21,10.07,10.07,-0.14,155
2018-05-28,2033,593270,6816386,10.8,10.8,10.3,10.44,0.37,354
2018-05-29,2033,339218,3877935,10.76,10.76,10.3,10.3,-0.14,170
2018-05-30,2033,275338,3101569,10.39,10.39,10.25,10.25,-0.05,135
