date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2018-04-24,2881B,3742333,227880119,48.92,49.16,48.92,49.0,0.0,945
2018-04-25,2881B,1564709,95221750,49.08,49.16,49.0,49.0,0.0,624
2018-04-26,2881B,1566292,95158628,49.0,49.08,48.84,48.92,-0.08,658
2018-04-27,2881B,1305501,79324688,48.92,49.0,48.92,48.92,0.0,654
2018-04-30,2881B,666216,40496816,48.92,49.08,48.92,49.0,0.08,354
2018-05-02,2881B,537758,32656471,49.0,49.0,48.84,48.92,-0.08,189
2018-05-03,2881B,810152,49176519,48.92,49.0,48.84,48.92,0.0,181
2018-05-04,2881B,900480,54659625,48.92,49.0,48.84,48.92,0.0,158
2018-05-07,2881B,372237,22609875,48.92,49.0,48.92,48.92,0.0,158
2018-05-08,2881B,929552,56435346,48.92,49.0,48.84,48.84,-0.08,230
2018-05-09,2881B,280469,17023364,48.92,49.0,48.84,48.92,0.08,86
2018-05-10,2881B,1066051,64808093,48.92,49.0,48.92,48.92,0.0,214
2018-05-11,2881B,352603,21420245,48.92,49.0,48.92,49.0,0.08,191
2018-05-14,2881B,112284,6817922,48.92,49.0,48.92,48.92,-0.08,99
2018-05-15,2881B,478800,29108333,48.92,49.0,48.92,49.0,0.08,147
2018-05-16,2881B,237448,14443828,49.0,49.08,49.0,49.0,0.0,113
2018-05-17,2881B,252736,15359770,49.0,49.08,48.92,48.92,-0.08,78
2018-05-18,2881B,146009,8869836,49.0,49.0,48.92,48.92,0.0,71
2018-05-21,2881B,243557,14805854,48.92,49.0,48.92,49.0,0.08,115
2018-05-22,2881B,261436,15880800,49.0,49.0,48.92,49.0,0.0,82
2018-05-23,2881B,185384,11253502,49.0,49.0,48.92,48.92,-0.08,92
2018-05-24,2881B,4239259,257315412,48.92,49.0,48.84,49.0,0.08,170
2018-05-25,2881B,113829,6906632,48.92,49.0,48.84,49.0,0.0,71
2018-05-28,2881B,102923,6247532,48.92,49.0,48.84,49.0,0.0,63
2018-05-29,2881B,158080,9599861,49.0,49.0,48.92,48.92,-0.08,49
2018-05-30,2881B,59337,3597114,48.92,48.92,48.84,48.84,-0.08,67
2018-05-31,2881B,81689,4952713,48.84,48.92,48.84,48.92,0.08,67
2018-06-01,2881B,53961,3273229,48.92,48.92,48.84,48.92,0.0,53
2018-06-04,2881B,134701,8175446,48.92,49.0,48.84,48.92,0.0,71
2018-06-05,2881B,128795,7814272,48.92,48.92,48.84,48.92,0.0,62
2018-06-06,2881B,104921,6362610,48.84,48.92,48.84,48.92,0.0,61
2018-06-07,2881B,70724,4287727,48.84,48.92,48.84,48.92,0.0,43
2018-06-08,2881B,270138,16371846,48.92,48.92,48.84,48.84,-0.08,94
2018-06-11,2881B,333816,20228567,48.84,48.92,48.76,48.84,0.0,179
2018-06-12,2881B,396100,23970850,48.84,48.84,48.76,48.76,-0.08,82
2018-06-13,2881B,226763,13721959,48.76,48.84,48.76,48.84,0.08,96
2018-06-14,2881B,70912,4291473,48.76,48.84,48.76,48.84,0.0,73
2018-06-15,2881B,51264,3102469,48.76,48.84,48.76,48.84,0.0,57
2018-06-19,2881B,49504,2995740,48.84,48.84,48.76,48.84,0.0,45
2018-06-20,2881B,165653,10021505,48.76,48.84,48.68,48.84,0.0,113
2018-06-21,2881B,216709,13104592,48.76,48.76,48.68,48.76,-0.08,92
2018-06-22,2881B,129088,7810923,48.76,48.84,48.76,48.84,0.08,94
2018-06-25,2881B,76142,4608173,48.84,48.84,48.76,48.84,0.0,46
2018-06-26,2881B,87589,5303092,48.76,48.84,48.76,48.84,0.0,76
2018-06-27,2881B,78017,4724627,48.84,48.84,48.76,48.84,0.0,39
2018-06-28,2881B,166681,10086298,48.76,48.84,48.76,48.84,0.0,82
2018-06-29,2881B,36720,2223414,48.76,48.84,48.76,48.84,0.0,36
2018-07-02,2881B,52355,3168376,48.84,48.84,48.76,48.84,0.0,47
2018-07-03,2881B,431079,26067157,48.76,48.84,48.68,48.76,-0.08,417
2018-07-04,2881B,48783,2950691,48.76,48.76,48.68,48.76,0.0,58
2018-07-05,2881B,184083,11120210,48.76,48.76,48.68,48.76,0.0,91
2018-07-06,2881B,175742,10619412,48.76,48.76,48.68,48.76,0.0,75
2018-07-09,2881B,43251,2615457,48.76,48.76,48.68,48.76,0.0,36
2018-07-10,2881B,65677,3973857,48.76,48.84,48.68,48.76,0.0,52
2018-07-11,2881B,136991,8285854,48.76,48.84,48.68,48.84,0.08,76
2018-07-12,2881B,33097,2003665,48.84,48.84,48.76,48.84,0.0,36
2018-07-13,2881B,277280,16798866,48.84,48.92,48.76,48.92,0.08,138
2018-07-16,2881B,286976,17406046,48.84,48.92,48.84,48.92,0.0,99
2018-07-17,2881B,126046,7638685,48.84,48.92,48.84,48.92,0.0,36
2018-07-18,2881B,343588,20841229,48.92,48.92,48.84,48.92,0.0,110
2018-07-19,2881B,231336,14018325,48.84,48.92,48.76,48.92,0.0,113
2018-07-20,2881B,182075,11052238,48.92,49.0,48.84,49.0,0.08,160
2018-07-23,2881B,70759,4290865,48.92,48.92,48.84,48.92,-0.08,61
2018-07-24,2881B,107203,6507098,48.92,48.92,48.92,48.92,0.0,54
