date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2020-05-15,73193P,2000,3820,1.91,1.91,1.91,1.91,0.15,1
2020-05-19,73193P,2000,3340,1.67,1.67,1.67,1.67,-0.17,1
2020-05-20,73193P,84000,140280,1.67,1.67,1.67,1.67,0.0,1
2020-05-21,73193P,85000,141120,1.66,1.68,1.66,1.68,0.01,2
2020-05-22,73193P,1000,1640,1.64,1.64,1.64,1.64,-0.04,1
2020-05-25,73193P,101000,165710,1.67,1.67,1.63,1.63,-0.01,2
2020-05-26,73193P,173000,282200,1.6,1.66,1.6,1.64,0.01,3
2020-05-27,73193P,72000,117360,1.63,1.63,1.63,1.63,-0.01,1
2020-05-28,73193P,154000,249290,1.61,1.66,1.61,1.66,0.03,3
2020-05-29,73193P,184000,308900,1.69,1.69,1.67,1.67,0.01,9
2020-06-01,73193P,30000,48600,1.62,1.62,1.62,1.62,-0.05,1
2020-06-02,73193P,91000,144080,1.6,1.6,1.58,1.58,-0.04,2
2020-06-03,73193P,176000,275560,1.56,1.57,1.56,1.57,-0.01,2
2020-06-04,73193P,300000,468000,1.54,1.57,1.54,1.57,0.0,4
2020-06-05,73193P,215000,314250,1.47,1.47,1.35,1.35,-0.22,5
2020-06-08,73193P,92000,135830,1.45,1.48,1.45,1.48,0.13,2
2020-06-09,73193P,277000,414950,1.5,1.51,1.49,1.51,0.03,7
2020-06-10,73193P,195000,292800,1.5,1.51,1.49,1.5,-0.01,6
2020-06-11,73193P,199000,306180,1.52,1.58,1.52,1.58,0.08,5
2020-06-12,73193P,189000,309210,1.64,1.64,1.61,1.61,0.03,6
2020-06-15,73193P,50000,74700,1.49,1.5,1.49,1.5,-0.11,2
2020-06-16,73193P,80000,116600,1.48,1.48,1.45,1.45,-0.05,2
2020-06-17,73193P,172000,249160,1.43,1.45,1.43,1.45,0.0,5
2020-06-18,73193P,256000,364850,1.43,1.44,1.41,1.43,-0.02,7
2020-06-19,73193P,100000,134500,1.32,1.37,1.32,1.37,-0.06,2
2020-06-22,73193P,105000,143540,1.36,1.37,1.36,1.37,0.0,2
2020-06-23,73193P,129000,178020,1.38,1.38,1.38,1.38,0.01,2
