date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2021-01-04,2887E,43138,2268344,41.7,41.7,41.54,41.7,0.08,23
2021-01-05,2887E,47608,2507379,41.7,41.78,41.54,41.62,-0.08,23
2021-01-06,2887E,71802,3775026,41.7,41.7,41.54,41.62,0.0,47
2021-01-07,2887E,61720,3240329,41.62,41.62,41.54,41.54,-0.08,24
2021-01-08,2887E,22873,1201994,41.54,41.62,41.54,41.62,0.08,32
2021-01-11,2887E,8848,465040,41.62,41.62,41.54,41.62,0.0,17
2021-01-12,2887E,75453,3959886,41.62,41.62,41.38,41.46,-0.16,41
2021-01-13,2887E,75798,3975497,41.46,41.54,41.46,41.46,0.0,34
2021-01-14,2887E,154720,8099951,41.46,41.54,41.38,41.54,0.08,126
2021-01-15,2887E,54290,2844114,41.46,41.54,41.38,41.46,-0.08,25
2021-01-18,2887E,32080,1678969,41.46,41.46,41.38,41.38,-0.08,28
2021-01-19,2887E,212029,11088059,41.38,41.38,41.3,41.38,0.0,61
2021-01-20,2887E,110956,5788183,41.38,41.38,41.22,41.22,-0.16,58
2021-01-21,2887E,72091,3764962,41.38,41.38,41.22,41.38,0.16,38
2021-01-22,2887E,47705,2491099,41.38,41.38,41.22,41.3,-0.08,24
2021-01-25,2887E,40714,2125953,41.22,41.38,41.22,41.38,0.08,24
2021-01-26,2887E,84150,4392045,41.3,41.38,41.22,41.38,0.0,22
2021-01-27,2887E,76000,3962700,41.3,41.3,41.22,41.3,-0.08,33
2021-01-28,2887E,39405,2052860,41.22,41.22,41.22,41.22,-0.08,23
2021-01-29,2887E,47335,2468953,41.22,41.38,41.22,41.22,0.0,22
2021-02-01,2887E,65699,3432038,41.22,41.38,41.22,41.38,0.16,35
2021-02-02,2887E,63579,3329938,41.38,41.54,41.38,41.54,0.16,33
2021-02-03,2887E,59279,3111489,41.54,41.62,41.46,41.62,0.08,19
2021-02-04,2887E,61133,3209272,41.54,41.62,41.46,41.54,-0.08,10
2021-02-05,2887E,16000,840000,41.54,41.54,41.54,41.54,0.0,8
2021-02-17,2887E,23053,1209833,41.46,41.62,41.46,41.62,0.08,23
2021-02-18,2887E,23356,1227954,41.54,41.62,41.54,41.62,0.0,13
2021-02-19,2887E,15107,794495,41.62,41.62,41.54,41.54,-0.08,12
2021-02-22,2887E,39807,2095685,41.7,41.7,41.62,41.62,0.08,37
2021-02-23,2887E,76297,4012732,41.62,41.7,41.54,41.62,0.0,19
2021-02-24,2887E,36926,1945120,41.62,41.7,41.62,41.7,0.08,32
2021-02-25,2887E,26207,1381165,41.62,41.78,41.62,41.78,0.08,15
2021-02-26,2887E,67716,3580149,41.86,41.86,41.78,41.86,0.08,30
2021-03-02,2887E,53097,2814095,41.86,42.01,41.86,41.86,0.0,37
2021-03-03,2887E,43221,2289569,41.86,42.01,41.86,41.86,0.0,25
2021-03-04,2887E,49304,2612758,41.94,41.94,41.94,41.94,0.08,26
2021-03-05,2887E,72081,3815582,41.94,41.94,41.78,41.86,-0.08,30
2021-03-08,2887E,67708,3577806,41.78,41.86,41.78,41.86,0.0,42
2021-03-09,2887E,209634,11072208,41.86,41.94,41.38,41.94,0.08,59
2021-03-10,2887E,99718,5286276,42.01,42.01,41.86,42.01,0.07,32
2021-03-11,2887E,68793,3644244,41.94,41.94,41.86,41.94,-0.07,36
2021-03-12,2887E,133453,7065469,41.86,42.01,41.86,42.01,0.07,55
2021-03-15,2887E,108453,5747612,41.94,41.94,41.94,41.94,-0.07,48
2021-03-16,2887E,16480,874593,41.94,42.01,41.94,42.01,0.07,16
2021-03-17,2887E,111304,5896501,42.01,42.01,41.86,42.01,0.0,44
2021-03-18,2887E,123000,6520400,42.01,42.01,41.86,41.94,-0.07,35
2021-03-19,2887E,165447,8758611,41.94,42.01,41.78,42.01,0.07,33
2021-03-22,2887E,124992,6622577,41.86,42.01,41.86,41.94,-0.07,27
2021-03-23,2887E,154640,8181602,41.94,41.94,41.86,41.94,0.0,27
2021-03-24,2887E,73615,3893070,41.86,41.94,41.78,41.86,-0.08,33
2021-03-25,2887E,24112,1274640,41.78,41.86,41.78,41.78,-0.08,18
2021-03-26,2887E,22100,1168577,41.78,41.86,41.78,41.86,0.08,21
2021-03-29,2887E,208182,11016987,41.86,41.94,41.78,41.94,0.08,49
2021-03-30,2887E,107571,5703187,41.86,42.01,41.78,42.01,0.07,37
2021-03-31,2887E,227742,12078735,42.09,42.09,41.86,42.01,0.0,45
2021-04-01,2887E,149861,7937403,41.94,41.94,41.86,41.86,-0.15,36
2021-04-06,2887E,68042,3597451,41.86,41.86,41.78,41.86,0.0,43
2021-04-07,2887E,73918,3908251,41.86,41.86,41.78,41.86,0.0,45
2021-04-08,2887E,130224,6883756,41.86,41.94,41.78,41.86,0.0,66
2021-04-09,2887E,188939,10001503,41.78,41.94,41.78,41.86,0.0,51
2021-04-12,2887E,46307,2448268,41.86,41.86,41.78,41.78,-0.08,28
2021-04-13,2887E,139159,7348592,41.78,41.86,41.7,41.78,0.0,127
2021-04-14,2887E,54012,2851549,41.78,41.78,41.7,41.78,0.0,39
2021-04-15,2887E,67257,3547645,41.78,41.78,41.7,41.78,0.0,41
2021-04-16,2887E,140608,7415736,41.7,41.78,41.7,41.7,-0.08,81
2021-04-19,2887E,116957,6169377,41.7,41.78,41.7,41.78,0.08,89
2021-04-20,2887E,234409,12385786,41.7,43.04,41.7,41.86,0.08,95
2021-04-21,2887E,70787,3738075,41.86,41.86,41.7,41.86,0.0,33
2021-04-22,2887E,268656,14201215,41.78,41.86,41.78,41.86,0.0,92
2021-04-23,2887E,170573,9022782,41.86,41.86,41.78,41.86,0.0,34
2021-04-26,2887E,118646,6274809,41.86,41.86,41.78,41.86,0.0,39
2021-04-27,2887E,190109,10033067,41.86,41.86,41.7,41.78,-0.08,99
2021-04-28,2887E,38655,2039692,41.78,41.86,41.7,41.86,0.08,39
2021-04-29,2887E,46350,2447858,41.86,41.86,41.78,41.86,0.0,21
2021-05-03,2887E,110435,5832198,41.86,41.86,41.7,41.78,-0.08,67
2021-05-04,2887E,85808,4523899,41.78,41.78,41.7,41.7,-0.08,45
2021-05-05,2887E,63093,3332993,41.86,41.86,41.7,41.78,0.08,23
2021-05-06,2887E,85606,4519674,41.78,41.78,41.78,41.78,0.0,31
2021-05-07,2887E,72606,3833539,41.78,41.78,41.78,41.78,0.0,25
2021-05-10,2887E,179661,9484181,41.78,41.78,41.7,41.7,-0.08,59
2021-05-11,2887E,157118,8292817,41.78,41.78,41.7,41.7,0.0,30
2021-05-12,2887E,241780,12701009,41.7,41.78,41.46,41.62,-0.08,106
2021-05-13,2887E,73273,3846911,41.62,41.62,41.46,41.54,-0.08,49
2021-05-14,2887E,744212,39293772,41.78,41.86,41.7,41.78,0.24,68
2021-05-17,2887E,133205,6980222,41.38,41.54,41.22,41.38,-0.4,85
2021-05-18,2887E,40172,2112271,41.54,41.7,41.54,41.7,0.32,19
2021-05-19,2887E,441157,23308335,41.7,41.94,41.7,41.78,0.08,94
2021-05-20,2887E,501632,26485817,41.78,41.78,41.7,41.78,0.0,35
2021-05-21,2887E,439381,23197230,41.78,41.78,41.7,41.7,-0.08,48
2021-05-24,2887E,208842,11026613,41.7,41.86,41.7,41.78,0.08,44
2021-05-25,2887E,23702,1251703,41.86,41.86,41.78,41.78,0.0,17
2021-05-26,2887E,141309,7477192,41.78,41.94,41.78,41.86,0.08,41
2021-05-27,2887E,134616,7124821,41.86,41.94,41.86,41.94,0.08,28
2021-05-28,2887E,20309,1074918,41.94,41.94,41.86,41.94,0.0,12
2021-05-31,2887E,82021,4346130,41.94,41.94,41.86,41.94,0.0,27
2021-06-01,2887E,75448,3995531,41.94,41.94,41.86,41.86,-0.08,27
2021-06-02,2887E,35465,1878845,41.94,41.94,41.86,41.86,0.0,19
2021-06-03,2887E,43667,2313333,41.94,41.94,41.86,41.94,0.08,32
2021-06-04,2887E,231318,12259942,41.94,42.01,41.86,42.01,0.07,77
2021-06-07,2887E,49168,2612505,42.25,42.25,41.94,42.01,0.0,25
2021-06-08,2887E,16479,873369,42.01,42.01,41.94,41.94,-0.07,18
2021-06-09,2887E,50297,2668267,41.94,42.01,41.94,42.01,0.07,17
2021-06-10,2887E,28542,1515422,42.01,42.01,42.01,42.01,0.0,21
2021-06-11,2887E,130228,6956135,42.01,42.41,42.01,42.33,0.32,83
2021-06-15,2887E,75185,4025397,42.33,42.49,42.33,42.41,0.08,52
2021-06-16,2887E,42024,2251623,42.41,42.49,42.33,42.49,0.08,31
2021-06-17,2887E,42523,2283405,42.49,42.49,42.49,42.49,0.0,22
2021-06-18,2887E,24529,1314754,42.41,42.41,42.41,42.41,-0.08,19
2021-06-21,2887E,91057,4880332,42.41,42.49,42.25,42.41,0.0,42
2021-06-22,2887E,40341,2159180,42.41,42.41,42.33,42.41,0.0,22
2021-06-23,2887E,31390,1678586,42.25,42.41,42.25,42.33,-0.08,18
2021-06-24,2887E,49612,2645255,42.25,42.25,42.09,42.25,-0.08,25
2021-06-25,2887E,39723,2121810,42.33,42.33,42.25,42.25,0.0,25
2021-06-28,2887E,34884,1863132,42.33,42.33,42.25,42.25,0.0,23
2021-06-29,2887E,86010,4584438,42.17,42.25,42.17,42.17,-0.08,35
2021-06-30,2887E,58981,3145211,42.17,42.25,42.17,42.25,0.08,28
2021-07-01,2887E,39122,2088248,42.25,42.25,42.17,42.25,0.0,29
2021-07-02,2887E,46572,2486216,42.17,42.33,42.17,42.25,0.0,24
2021-07-05,2887E,188517,10068823,42.25,42.41,42.25,42.25,0.0,155
