date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2021-01-04,2887F,12466,640666,42.17,42.25,42.17,42.25,0.08,18
2021-01-05,2887F,5220,267663,42.25,42.25,42.01,42.25,0.0,21
2021-01-06,2887F,100170,5157086,42.25,42.25,42.17,42.25,0.0,77
2021-01-07,2887F,5417,278412,42.17,42.25,42.17,42.25,0.0,8
2021-01-08,2887F,126032,6484971,42.25,42.34,42.09,42.34,0.09,87
2021-01-11,2887F,21381,1098819,42.25,42.25,42.09,42.25,-0.09,19
2021-01-12,2887F,104135,5361222,42.25,42.25,42.17,42.25,0.0,83
2021-01-13,2887F,8113,415468,41.93,42.25,41.93,42.25,0.0,28
2021-01-14,2887F,28212,1452833,42.25,42.25,42.25,42.25,0.0,29
2021-01-15,2887F,17305,886700,42.09,42.25,42.01,42.01,-0.24,23
2021-01-18,2887F,484692,24816237,42.01,42.09,42.01,42.09,0.08,86
2021-01-19,2887F,6020,308534,42.01,42.17,42.01,42.17,0.08,15
2021-01-20,2887F,103236,5306358,42.17,42.25,42.09,42.25,0.08,71
2021-01-21,2887F,10619,543190,41.93,42.17,41.93,42.17,-0.08,17
2021-01-22,2887F,101067,5194429,42.17,42.17,42.09,42.09,-0.08,75
2021-01-25,2887F,4229,216718,42.01,42.09,42.01,42.09,0.0,16
2021-01-26,2887F,33453,1716117,42.09,42.17,42.09,42.17,0.08,31
2021-01-27,2887F,5084,260890,42.17,42.17,42.09,42.17,0.0,9
2021-01-28,2887F,100130,5146630,42.17,42.17,42.17,42.17,0.0,83
2021-01-29,2887F,1199,61549,42.17,42.17,42.17,42.17,0.0,5
2021-02-01,2887F,101151,5199116,42.17,42.17,42.17,42.17,0.0,53
2021-02-02,2887F,6099,314077,42.17,42.17,41.93,41.93,-0.24,42
2021-02-03,2887F,11012,563607,42.01,42.01,42.01,42.01,0.08,25
2021-02-04,2887F,22637,1159107,42.01,42.09,42.01,42.09,0.08,14
2021-02-05,2887F,126295,6478898,42.09,42.09,42.09,42.09,0.0,69
2021-02-17,2887F,8655,443893,42.09,42.09,42.01,42.09,0.0,13
2021-02-18,2887F,6590,337936,42.09,42.17,42.09,42.17,0.08,22
2021-02-22,2887F,65176,3350007,42.17,42.17,42.17,42.17,0.0,61
2021-02-23,2887F,8614,442283,42.17,42.25,42.01,42.25,0.08,15
2021-02-24,2887F,17649,909179,42.25,42.34,42.25,42.34,0.09,34
2021-02-26,2887F,100791,5199847,42.34,42.34,42.25,42.34,0.0,98
2021-03-03,2887F,76413,3940145,42.34,42.42,42.25,42.42,0.08,56
2021-03-04,2887F,59225,3057326,42.42,42.42,42.25,42.42,0.0,24
2021-03-05,2887F,28483,1473009,42.42,42.5,42.42,42.5,0.08,33
2021-03-08,2887F,4426,229061,42.42,42.5,42.42,42.42,-0.08,12
2021-03-09,2887F,72370,3737807,42.42,42.5,42.34,42.5,0.08,82
2021-03-10,2887F,7359,380516,42.42,42.5,42.42,42.5,0.0,14
2021-03-11,2887F,75347,3896182,42.5,42.5,42.42,42.5,0.0,59
2021-03-12,2887F,27149,1406478,42.5,42.58,42.5,42.58,0.08,18
2021-03-15,2887F,25780,1337428,42.5,42.58,42.5,42.58,0.0,12
2021-03-16,2887F,1070,55484,42.58,42.58,42.58,42.58,0.0,45
2021-03-17,2887F,90867,4715510,42.58,42.66,42.58,42.66,0.08,105
2021-03-18,2887F,151101,7835187,42.66,42.66,42.5,42.5,-0.16,64
2021-03-19,2887F,169402,8797565,42.58,42.91,42.5,42.91,0.41,102
