date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2022-07-27,2887Z1,1525999,25325145,15.03,15.12,14.94,15.03,-0.18,317
2022-07-28,2887Z1,1691582,28046807,14.99,15.08,14.9,14.99,-0.04,217
2022-07-29,2887Z1,1858512,30923564,14.99,15.12,14.99,15.03,0.04,158
2022-08-01,2887Z1,1114281,18539126,15.03,15.21,14.99,15.08,0.05,138
2022-08-02,2887Z1,745830,12418547,15.08,15.12,15.08,15.08,0.0,72
2022-08-03,2887Z1,427919,7138866,15.08,15.17,15.08,15.12,0.04,70
2022-08-04,2887Z1,722522,12066883,15.12,15.17,15.12,15.12,0.0,69
2022-08-05,2887Z1,561832,9439090,15.17,15.26,15.17,15.17,0.05,75
2022-08-08,2887Z1,913279,15274235,15.21,15.21,15.12,15.12,-0.05,87
2022-08-09,2887Z1,457567,7686570,15.17,15.21,15.12,15.21,0.09,51
2022-08-10,2887Z1,619154,10448203,15.21,15.39,15.21,15.35,0.14,73
2022-08-11,2887Z1,1981112,34143314,15.39,15.76,15.35,15.58,0.23,134
2022-08-12,2887Z1,1956842,33826991,15.58,15.71,15.58,15.62,0.04,89
2022-08-15,2887Z1,230358,3973940,15.62,15.67,15.62,15.62,0.0,62
2022-08-16,2887Z1,822756,14193045,15.62,15.67,15.62,15.62,0.0,75
2022-08-17,2887Z1,1242274,21428890,15.62,15.67,15.58,15.58,-0.04,66
2022-08-18,2887Z1,535459,9237459,15.62,15.62,15.58,15.62,0.04,54
2022-08-19,2887Z1,752227,12976147,15.62,15.67,15.62,15.67,0.05,45
2022-08-22,2887Z1,1023297,17642087,15.62,15.67,15.58,15.58,-0.09,70
2022-08-23,2887Z1,1136395,19546155,15.58,15.62,15.58,15.62,0.04,45
2022-08-24,2887Z1,1175713,20199534,15.58,15.58,15.53,15.58,-0.04,42
2022-08-25,2887Z1,1185512,20391049,15.58,15.58,15.53,15.58,0.0,35
2022-08-26,2887Z1,535955,9202967,15.58,15.62,15.53,15.62,0.04,42
2022-08-29,2887Z1,118436,2033320,15.58,15.58,15.53,15.53,-0.09,25
2022-08-30,2887Z1,91621,1573539,15.53,15.58,15.53,15.58,0.05,27
2022-08-31,2887Z1,40852,703021,15.58,15.62,15.58,15.58,0.0,24
2022-09-01,2887Z1,106105,1815328,15.58,15.58,15.44,15.44,-0.14,39
2022-09-02,2887Z1,86397,1478720,15.44,15.53,15.44,15.49,0.05,41
2022-09-05,2887Z1,25463,435375,15.49,15.49,15.49,15.49,0.0,17
2022-09-06,2887Z1,33901,579747,15.49,15.49,15.49,15.49,0.0,26
2022-09-07,2887Z1,82306,1407999,15.49,15.53,15.49,15.53,0.04,31
2022-09-08,2887Z1,32153,549878,15.49,15.49,15.49,15.49,-0.04,29
2022-09-12,2887Z1,126799,2168340,15.49,15.49,15.44,15.49,0.0,63
2022-09-13,2887Z1,1008212,17246737,15.58,15.58,15.49,15.49,0.0,42
2022-09-14,2887Z1,30391,519286,15.49,15.49,15.44,15.49,0.0,25
2022-09-15,2887Z1,53319,911463,15.49,15.49,15.44,15.49,0.0,38
2022-09-16,2887Z1,24244,414153,15.44,15.53,15.44,15.53,0.04,24
2022-09-19,2887Z1,1120527,19118307,15.49,15.53,15.39,15.39,-0.14,616
2022-09-20,2887Z1,6266,106604,15.39,15.39,15.39,15.39,0.0,19
2022-09-21,2887Z1,7933,134580,15.39,15.39,15.35,15.35,-0.04,19
2022-09-22,2887Z1,5839481,107319423,15.35,15.44,15.35,15.35,0.0,30
2022-09-23,2887Z1,1821985,30882393,15.35,15.35,15.3,15.35,0.0,33
2022-09-26,2887Z1,533901,8928860,15.21,15.21,15.08,15.12,-0.23,66
2022-09-27,2887Z1,16837,280592,15.12,15.12,15.08,15.12,0.0,27
2022-09-28,2887Z1,51654,861780,15.08,15.21,15.08,15.21,0.09,43
2022-09-29,2887Z1,13514,226430,15.26,15.26,15.12,15.12,-0.09,22
2022-09-30,2887Z1,17859,300606,15.26,15.3,15.21,15.21,0.09,28
2022-10-03,2887Z1,42224,709639,15.26,15.35,15.17,15.21,0.0,22
2022-10-04,2887Z1,16984,285378,15.26,15.26,15.21,15.26,0.05,21
2022-10-05,2887Z1,23385,392197,15.17,15.21,15.17,15.17,-0.09,17
2022-10-06,2887Z1,12380,208208,15.26,15.26,15.21,15.26,0.09,14
2022-10-07,2887Z1,4594,77170,15.21,15.21,15.21,15.21,-0.05,9
2022-10-11,2887Z1,29151,486125,15.12,15.12,15.08,15.08,-0.13,22
2022-10-12,2887Z1,12657,210283,15.08,15.08,15.03,15.03,-0.05,15
2022-10-13,2887Z1,8452,140711,15.08,15.12,15.08,15.12,0.09,14
2022-10-14,2887Z1,4180,69804,15.12,15.12,15.12,15.12,0.0,10
2022-10-17,2887Z1,35084,582804,15.12,15.12,15.03,15.03,-0.09,16
2022-10-18,2887Z1,32193,534452,15.03,15.08,15.03,15.03,0.0,11
2022-10-19,2887Z1,7477,124199,15.03,15.03,15.03,15.03,0.0,11
2022-10-20,2887Z1,64954,1075806,15.03,15.03,14.99,15.03,0.0,20
2022-10-21,2887Z1,20270,335392,15.03,15.03,14.94,14.94,-0.09,10
2022-10-24,2887Z1,20100,332258,14.99,14.99,14.94,14.99,0.05,13
2022-10-25,2887Z1,12723,210562,14.99,14.99,14.99,14.99,0.0,17
2022-10-26,2887Z1,11463,190261,15.03,15.03,15.03,15.03,0.04,16
2022-10-28,2887Z1,4693,77571,15.03,15.03,14.99,14.99,-0.04,8
2022-10-31,2887Z1,13737,227346,14.99,14.99,14.99,14.99,0.0,13
2022-11-01,2887Z1,7792,129324,14.99,15.21,14.99,15.21,0.22,9
2022-11-02,2887Z1,3179,53241,15.17,15.17,15.17,15.17,-0.04,5
2022-11-03,2887Z1,8443,141107,15.12,15.17,15.12,15.12,-0.05,8
2022-11-04,2887Z1,15000,248650,14.99,15.03,14.99,15.03,-0.09,6
2022-11-07,2887Z1,609861,10044137,14.99,14.99,14.9,14.9,-0.13,619
2022-11-08,2887Z1,7436,122636,14.94,14.94,14.94,14.94,0.04,6
2022-11-09,2887Z1,11115,183801,14.99,14.99,14.94,14.99,0.05,13
2022-11-10,2887Z1,19056,315030,14.94,14.99,14.94,14.99,0.0,22
2022-11-11,2887Z1,32224,534889,14.9,15.12,14.9,15.03,0.04,22
2022-11-14,2887Z1,4301,71594,15.12,15.12,15.03,15.03,0.0,9
2022-11-15,2887Z1,15069,250683,15.03,15.12,15.03,15.03,0.0,19
