date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2023-01-03,2887F,16245,770061,41.86,41.95,41.86,41.95,0.05,20
2023-01-04,2887F,1043,49637,42.08,42.08,42.08,42.08,0.13,4
2023-01-05,2887F,6477,308924,42.12,42.26,42.08,42.26,0.18,12
2023-01-06,2887F,29255,1399816,42.34,42.43,42.26,42.43,0.17,14
2023-01-09,2887F,4303,205967,42.3,42.39,42.3,42.39,-0.04,12
2023-01-11,2887F,24380,1165620,42.3,42.3,42.26,42.26,-0.13,15
2023-01-12,2887F,11332,542739,42.34,42.34,42.34,42.34,0.08,9
2023-01-13,2887F,3954,189445,42.34,42.39,42.34,42.39,0.05,7
2023-01-16,2887F,6106,294942,42.57,42.87,42.57,42.7,0.31,9
2023-01-30,2887F,4090,197129,42.08,42.83,42.08,42.79,0.09,7
2023-02-02,2887F,7328,354160,42.74,42.74,42.74,42.74,-0.05,12
2023-02-03,2887F,7325,353483,42.74,42.74,42.61,42.74,0.0,17
2023-02-06,2887F,42001,2030748,42.61,42.79,42.61,42.74,0.0,12
2023-02-07,2887F,16021,772808,42.79,42.79,42.52,42.79,0.05,10
2023-02-08,2887F,40096,1941260,42.79,42.96,42.7,42.87,0.08,17
2023-02-09,2887F,23550,1138299,42.79,42.79,42.7,42.74,-0.13,17
2023-02-10,2887F,24026,1160203,42.7,42.74,42.65,42.74,0.0,14
2023-02-13,2887F,22313,1077307,42.61,42.7,42.61,42.7,-0.04,16
2023-02-14,2887F,32887,1588172,42.7,42.74,42.7,42.7,0.0,19
2023-02-15,2887F,9000,435050,42.74,42.74,42.7,42.7,0.0,5
2023-02-17,2887F,67730,3275645,42.7,42.92,42.7,42.92,0.22,33
2023-02-20,2887F,63270,3072143,42.87,43.14,42.87,43.14,0.22,15
2023-02-21,2887F,16524,807729,43.14,43.27,43.14,43.27,0.13,13
2023-02-22,2887F,15000,734500,43.27,43.32,43.23,43.32,0.05,8
2023-02-23,2887F,28043,1375261,43.32,43.4,43.32,43.4,0.08,15
2023-02-24,2887F,40391,1984427,43.4,43.58,43.4,43.58,0.18,17
2023-03-01,2887F,13363,657215,43.36,43.67,43.36,43.67,0.09,20
2023-03-02,2887F,52393,2583132,43.76,43.76,43.49,43.76,0.09,22
2023-03-03,2887F,38443,1891893,43.58,43.58,43.49,43.58,-0.18,25
2023-03-06,2887F,5194,255524,43.58,43.58,43.49,43.49,-0.09,7
2023-03-08,2887F,2406,117996,43.4,43.4,43.4,43.4,-0.09,9
2023-03-09,2887F,1102,54071,43.4,43.4,43.4,43.4,0.0,5
2023-03-10,2887F,26268,1286418,43.32,43.32,43.27,43.27,-0.13,14
2023-03-13,2887F,75000,3637600,43.01,43.14,42.79,43.14,-0.13,64
2023-03-15,2887F,15293,745991,43.14,43.18,43.01,43.1,-0.04,20
2023-03-16,2887F,17030,828559,43.01,43.05,43.01,43.05,-0.05,13
2023-03-17,2887F,4167,202736,43.01,43.05,43.01,43.05,0.0,10
2023-03-20,2887F,24049,1169021,42.96,43.14,42.96,43.14,0.09,7
2023-03-21,2887F,6000,292100,42.96,43.05,42.96,43.05,-0.09,5
2023-03-22,2887F,13775,670792,43.14,43.14,42.96,43.05,0.0,16
2023-03-23,2887F,20095,978359,42.83,43.05,42.83,43.05,0.0,16
2023-03-24,2887F,47659,2306957,42.79,42.87,42.74,42.79,-0.26,30
2023-03-27,2887F,4224,204568,42.7,43.01,42.7,43.01,0.22,17
2023-03-28,2887F,10988,531866,42.83,42.83,42.79,42.79,-0.22,13
2023-03-29,2887F,4042,195732,42.87,42.87,42.79,42.79,0.0,5
2023-03-30,2887F,12281,594521,42.79,43.01,42.7,43.01,0.22,15
2023-03-31,2887F,5696,276796,43.01,43.01,42.87,43.01,0.0,10
2023-04-07,2887F,8122,395130,43.01,43.05,43.01,43.05,0.04,7
2023-04-10,2887F,5138,251068,43.01,43.32,43.01,43.32,0.27,10
2023-04-11,2887F,42819,2066892,43.23,43.23,42.03,43.05,-0.27,25
2023-04-12,2887F,3427,166598,42.96,43.14,42.92,43.14,0.09,8
2023-04-13,2887F,3000,146300,43.14,43.14,43.1,43.1,-0.04,3
2023-04-14,2887F,5038,244839,42.96,42.96,42.96,42.96,-0.14,3
2023-04-17,2887F,16118,783071,42.92,43.14,42.87,43.14,0.18,14
2023-04-19,2887F,3090,150546,43.14,43.14,43.05,43.05,-0.09,6
2023-04-20,2887F,12502,610206,43.14,43.18,43.14,43.14,0.09,20
2023-04-21,2887F,10000,485950,43.14,43.14,42.87,43.01,-0.13,7
2023-04-24,2887F,11374,553192,42.87,43.23,42.87,43.23,0.22,13
2023-04-25,2887F,8048,391639,43.01,43.14,43.01,43.14,-0.09,5
2023-04-26,2887F,5171,251617,42.96,43.1,42.96,43.1,-0.04,8
2023-04-28,2887F,6000,291900,42.96,43.14,42.87,43.14,0.04,6
2023-05-02,2887F,14200,689170,42.87,43.05,42.79,43.05,-0.09,10
2023-05-03,2887F,105223,5105492,42.87,43.05,42.83,43.05,0.0,18
2023-05-04,2887F,45000,2186400,42.87,43.14,42.87,43.14,0.09,6
2023-05-05,2887F,53734,2606278,42.87,43.05,42.87,43.05,-0.09,8
2023-05-08,2887F,76397,3716380,43.05,43.23,42.96,43.23,0.18,17
2023-05-09,2887F,76077,3692882,42.96,43.18,42.87,43.14,-0.09,20
2023-05-10,2887F,33371,1619700,42.87,43.1,42.87,43.1,-0.04,12
2023-05-11,2887F,11000,534500,42.96,42.96,42.87,42.87,-0.23,2
