date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2024-01-03,2887Z1,15256,257838,15.57,15.57,15.57,15.57,-0.09,6
2024-01-04,2887Z1,3430,57993,15.57,15.57,15.57,15.57,0.0,6
2024-01-08,2887Z1,5258,88720,15.52,15.57,15.52,15.57,0.0,11
2024-01-09,2887Z1,8974,151733,15.57,15.57,15.57,15.57,0.0,22
2024-01-10,2887Z1,1202,20311,15.57,15.57,15.57,15.57,0.0,5
2024-01-11,2887Z1,8390,141567,15.57,15.57,15.52,15.52,-0.05,12
2024-01-15,2887Z1,5070,85325,15.52,15.52,15.52,15.52,0.0,19
2024-01-17,2887Z1,6792,113945,15.48,15.48,15.43,15.48,-0.04,17
2024-01-18,2887Z1,5008,84342,15.52,15.52,15.52,15.52,0.04,13
2024-01-19,2887Z1,7273,122539,15.52,15.52,15.52,15.52,0.0,13
2024-01-23,2887Z1,10470,176146,15.48,15.52,15.48,15.48,-0.04,13
2024-01-25,2887Z1,8285,139184,15.48,15.48,15.48,15.48,0.0,15
2024-01-26,2887Z1,4388,73920,15.52,15.52,15.52,15.52,0.04,11
2024-01-29,2887Z1,26008,438932,15.52,15.62,15.48,15.62,0.1,14
2024-01-30,2887Z1,18271,309661,15.62,15.62,15.62,15.62,0.0,11
2024-01-31,2887Z1,106434,1803524,15.48,15.62,15.48,15.62,0.0,23
2024-02-01,2887Z1,21764,368632,15.57,15.62,15.57,15.62,0.0,21
2024-02-15,2887Z1,6635,111943,15.52,15.57,15.52,15.57,-0.05,11
2024-02-16,2887Z1,5499,92683,15.52,15.57,15.52,15.57,0.0,13
2024-02-19,2887Z1,27451,462504,15.52,15.52,15.52,15.52,-0.05,17
2024-02-20,2887Z1,30253,509557,15.52,15.52,15.48,15.48,-0.04,23
2024-02-21,2887Z1,55163,928684,15.43,15.57,15.43,15.52,0.04,39
2024-02-22,2887Z1,9135,153447,15.48,15.52,15.48,15.52,0.0,11
2024-02-23,2887Z1,28331,477344,15.52,15.57,15.48,15.57,0.05,27
2024-02-26,2887Z1,12069,202751,15.48,15.48,15.48,15.48,-0.09,26
2024-02-27,2887Z1,16450,275536,15.48,15.48,15.39,15.39,-0.09,24
2024-02-29,2887Z1,10053,167966,15.39,15.43,15.39,15.43,0.04,24
2024-03-01,2887Z1,7187,120164,15.39,15.43,15.39,15.43,0.0,29
2024-03-04,2887Z1,9110,152189,15.43,15.43,15.39,15.39,-0.04,33
2024-03-05,2887Z1,27718,462866,15.39,15.39,15.39,15.39,0.0,30
