date,stock_id,market_value
2019-01-08,2887F,15150000000.0
2019-01-09,2887F,15120000000.0
2019-01-10,2887F,15120000000.0
2019-01-11,2887F,15120000000.0
2019-01-14,2887F,15150000000.0
2019-01-15,2887F,15150000000.0
2019-01-16,2887F,15180000000.0
2019-01-17,2887F,15180000000.0
2019-01-18,2887F,15210000000.0
2019-01-21,2887F,15210000000.0
2019-01-22,2887F,15270000000.0
2019-01-23,2887F,15330000000.0
2019-01-24,2887F,15360000000.0
2019-01-25,2887F,15360000000.0
2019-01-28,2887F,15360000000.0
2019-01-29,2887F,15360000000.0
2019-01-30,2887F,15360000000.0
2019-02-11,2887F,15390000000.0
2019-02-12,2887F,15390000000.0
2019-02-13,2887F,15420000000.0
2019-02-14,2887F,15420000000.0
2019-02-15,2887F,15480000000.0
2019-02-18,2887F,15450000000.0
2019-02-19,2887F,15480000000.0
2019-02-20,2887F,15510000000.0
2019-02-21,2887F,15510000000.0
2019-02-22,2887F,15540000000.0
2019-02-25,2887F,15540000000.0
2019-02-26,2887F,15540000000.0
2019-02-27,2887F,15510000000.0
2019-03-04,2887F,15540000000.0
2019-03-05,2887F,15540000000.0
2019-03-06,2887F,15540000000.0
2019-03-07,2887F,15510000000.0
2019-03-08,2887F,15510000000.0
2019-03-11,2887F,15540000000.0
2019-03-12,2887F,15510000000.0
2019-03-13,2887F,15510000000.0
2019-03-14,2887F,15540000000.0
2019-03-15,2887F,15510000000.0
2019-03-18,2887F,15480000000.0
2019-03-19,2887F,15510000000.0
2019-03-20,2887F,15510000000.0
2019-03-21,2887F,15510000000.0
2019-03-22,2887F,15510000000.0
2019-03-25,2887F,15540000000.0
2019-03-26,2887F,15540000000.0
2019-03-27,2887F,15540000000.0
2019-03-28,2887F,15540000000.0
2019-03-29,2887F,15540000000.0
2019-04-01,2887F,15510000000.0
2019-04-02,2887F,15510000000.0
2019-04-03,2887F,15510000000.0
2019-04-08,2887F,15540000000.0
2019-04-09,2887F,15510000000.0
2019-04-10,2887F,15510000000.0
2019-04-11,2887F,15480000000.0
2019-04-12,2887F,15540000000.0
2019-04-15,2887F,15510000000.0
2019-04-16,2887F,15480000000.0
2019-04-17,2887F,15510000000.0
2019-04-18,2887F,15510000000.0
2019-04-19,2887F,15510000000.0
2019-04-22,2887F,15480000000.0
2019-04-23,2887F,15510000000.0
2019-04-24,2887F,15510000000.0
2019-04-25,2887F,15480000000.0
2019-04-26,2887F,15510000000.0
2019-04-29,2887F,15540000000.0
2019-04-30,2887F,15540000000.0
2019-05-02,2887F,15540000000.0
2019-05-03,2887F,15510000000.0
2019-05-06,2887F,15510000000.0
2019-05-07,2887F,15540000000.0
2019-05-08,2887F,15540000000.0
2019-05-09,2887F,15540000000.0
2019-05-10,2887F,15540000000.0
2019-05-13,2887F,15540000000.0
2019-05-14,2887F,15540000000.0
2019-05-15,2887F,15510000000.0
2019-05-16,2887F,15510000000.0
2019-05-17,2887F,15540000000.0
2019-05-20,2887F,15540000000.0
2019-05-21,2887F,15540000000.0
2019-05-22,2887F,15510000000.0
2019-05-23,2887F,15480000000.0
2019-05-24,2887F,15480000000.0
2019-05-27,2887F,15480000000.0
2019-05-28,2887F,15480000000.0
2019-05-29,2887F,15480000000.0
2019-05-30,2887F,15450000000.0
2019-05-31,2887F,15450000000.0
2019-06-03,2887F,15450000000.0
2019-06-04,2887F,15480000000.0
2019-06-05,2887F,15480000000.0
2019-06-06,2887F,15450000000.0
2019-06-10,2887F,15450000000.0
2019-06-11,2887F,15420000000.0
2019-06-12,2887F,15420000000.0
2019-06-13,2887F,15450000000.0
2019-06-14,2887F,15450000000.0
2019-06-17,2887F,15480000000.0
2019-06-18,2887F,15450000000.0
2019-06-19,2887F,15480000000.0
2019-06-20,2887F,15450000000.0
2019-06-21,2887F,15450000000.0
2019-06-24,2887F,15480000000.0
2019-06-25,2887F,15480000000.0
2019-06-26,2887F,15480000000.0
2019-06-27,2887F,15510000000.0
2019-06-28,2887F,15480000000.0
2019-07-01,2887F,15480000000.0
2019-07-02,2887F,15480000000.0
2019-07-03,2887F,15480000000.0
2019-07-04,2887F,15510000000.0
2019-07-05,2887F,15450000000.0
2019-07-08,2887F,15510000000.0
2019-07-09,2887F,15540000000.0
2019-07-10,2887F,15570000000.0
2019-07-11,2887F,15600000000.0
2019-07-12,2887F,15600000000.0
2019-07-15,2887F,15630000000.0
2019-07-16,2887F,15660000000.0
2019-07-17,2887F,15690000000.0
2019-07-18,2887F,15690000000.0
2019-07-19,2887F,15660000000.0
2019-07-22,2887F,15660000000.0
2019-07-23,2887F,15630000000.0
2019-07-24,2887F,15600000000.0
2019-07-25,2887F,15570000000.0
2019-07-26,2887F,15570000000.0
2019-07-29,2887F,15600000000.0
2019-07-30,2887F,15630000000.0
2019-07-31,2887F,15660000000.0
2019-08-01,2887F,15660000000.0
2019-08-02,2887F,15660000000.0
2019-08-05,2887F,15630000000.0
2019-08-06,2887F,15660000000.0
2019-08-07,2887F,15690000000.0
2019-08-08,2887F,15720000000.0
2019-08-12,2887F,15750000000.0
2019-08-13,2887F,15780000000.0
2019-08-14,2887F,15810000000.0
2019-08-15,2887F,15840000000.0
2019-08-16,2887F,15870000000.0
2019-08-19,2887F,15870000000.0
2019-08-20,2887F,15900000000.0
2019-08-21,2887F,15930000000.0
2019-08-22,2887F,15960000000.0
2019-08-23,2887F,16020000000.0
2019-08-26,2887F,16050000000.0
2019-08-27,2887F,16080000000.0
2019-08-28,2887F,16110000000.0
2019-08-29,2887F,16110000000.0
2019-08-30,2887F,16080000000.0
2019-09-02,2887F,16080000000.0
2019-09-03,2887F,16110000000.0
2019-09-04,2887F,16110000000.0
2019-09-05,2887F,16110000000.0
2019-09-06,2887F,16110000000.0
2019-09-09,2887F,16110000000.0
2019-09-10,2887F,16110000000.0
2019-09-11,2887F,16140000000.0
2019-09-12,2887F,16110000000.0
2019-09-16,2887F,16110000000.0
2019-09-17,2887F,16140000000.0
2019-09-18,2887F,16140000000.0
2019-09-19,2887F,16170000000.0
2019-09-20,2887F,16170000000.0
2019-09-23,2887F,16200000000.0
2019-09-24,2887F,16200000000.0
2019-09-25,2887F,16230000000.0
2019-09-26,2887F,16260000000.0
2019-09-27,2887F,16260000000.0
2019-10-01,2887F,16290000000.0
2019-10-02,2887F,16290000000.0
2019-10-03,2887F,16320000000.0
2019-10-04,2887F,16290000000.0
2019-10-07,2887F,16320000000.0
2019-10-08,2887F,16320000000.0
2019-10-09,2887F,16290000000.0
2019-10-14,2887F,16290000000.0
2019-10-15,2887F,16320000000.0
2019-10-16,2887F,16320000000.0
2019-10-17,2887F,16320000000.0
2019-10-18,2887F,16320000000.0
2019-10-21,2887F,16320000000.0
2019-10-22,2887F,16350000000.0
2019-10-23,2887F,16410000000.0
2019-10-24,2887F,16380000000.0
2019-10-25,2887F,16380000000.0
2019-10-28,2887F,16350000000.0
2019-10-29,2887F,16320000000.0
2019-10-30,2887F,16320000000.0
2019-10-31,2887F,16290000000.0
2019-11-01,2887F,16230000000.0
2019-11-04,2887F,16260000000.0
2019-11-05,2887F,16230000000.0
2019-11-06,2887F,16230000000.0
2019-11-07,2887F,16230000000.0
2019-11-08,2887F,16170000000.0
2019-11-11,2887F,16170000000.0
2019-11-12,2887F,16200000000.0
2019-11-13,2887F,16200000000.0
2019-11-14,2887F,16170000000.0
2019-11-15,2887F,16140000000.0
2019-11-18,2887F,16170000000.0
2019-11-19,2887F,16200000000.0
2019-11-20,2887F,16200000000.0
2019-11-21,2887F,16200000000.0
2019-11-22,2887F,16200000000.0
2019-11-25,2887F,16200000000.0
2019-11-26,2887F,16200000000.0
2019-11-27,2887F,16200000000.0
2019-11-28,2887F,16200000000.0
2019-11-29,2887F,16170000000.0
2019-12-02,2887F,16200000000.0
2019-12-03,2887F,16200000000.0
2019-12-04,2887F,16230000000.0
2019-12-05,2887F,16230000000.0
2019-12-06,2887F,16200000000.0
2019-12-09,2887F,16230000000.0
2019-12-10,2887F,16260000000.0
2019-12-11,2887F,16260000000.0
2019-12-12,2887F,16320000000.0
2019-12-13,2887F,16290000000.0
2019-12-16,2887F,16320000000.0
2019-12-17,2887F,16290000000.0
2019-12-18,2887F,16320000000.0
2019-12-19,2887F,16350000000.0
2019-12-20,2887F,16320000000.0
2019-12-23,2887F,16350000000.0
2019-12-24,2887F,16350000000.0
2019-12-25,2887F,16410000000.0
2019-12-26,2887F,16470000000.0
2019-12-27,2887F,16530000000.0
2019-12-30,2887F,16380000000.0
2019-12-31,2887F,16350000000.0
2020-01-02,2887F,16350000000.0
2020-01-03,2887F,16350000000.0
