date,stock_id,market_value
2020-09-04,2888B,9812400000.0
2020-09-07,2888B,9745800000.0
2020-09-08,2888B,9679200000.0
2020-09-09,2888B,9668100000.0
2020-09-10,2888B,9657000000.0
2020-09-11,2888B,9623700000.0
2020-09-14,2888B,9546000000.0
2020-09-15,2888B,9590400000.0
2020-09-16,2888B,9557100000.0
2020-09-17,2888B,9557100000.0
2020-09-18,2888B,9557100000.0
2020-09-21,2888B,9534900000.0
2020-09-22,2888B,9523800000.0
2020-09-23,2888B,9523800000.0
2020-09-24,2888B,9512700000.0
2020-09-25,2888B,9512700000.0
2020-09-28,2888B,9523800000.0
2020-09-29,2888B,9557100000.0
2020-09-30,2888B,9745800000.0
2020-10-05,2888B,9634800000.0
2020-10-06,2888B,9579300000.0
2020-10-07,2888B,9579300000.0
2020-10-08,2888B,9568200000.0
2020-10-12,2888B,9546000000.0
2020-10-13,2888B,9523800000.0
2020-10-14,2888B,9523800000.0
2020-10-15,2888B,9512700000.0
2020-10-16,2888B,9512700000.0
2020-10-19,2888B,9512700000.0
2020-10-20,2888B,9501600000.0
2020-10-21,2888B,9512700000.0
2020-10-22,2888B,9490500000.0
2020-10-23,2888B,9479400000.0
2020-10-26,2888B,9446100000.0
2020-10-27,2888B,9423900000.0
2020-10-28,2888B,9390600000.0
2020-10-29,2888B,9390600000.0
2020-10-30,2888B,9512700000.0
2020-11-02,2888B,9368400000.0
2020-11-03,2888B,9357300000.0
2020-11-04,2888B,9346200000.0
2020-11-05,2888B,9335100000.0
2020-11-06,2888B,9324000000.0
2020-11-09,2888B,9301800000.0
2020-11-10,2888B,9335100000.0
2020-11-11,2888B,9346200000.0
2020-11-12,2888B,9346200000.0
2020-11-13,2888B,9368400000.0
2020-11-16,2888B,9368400000.0
2020-11-17,2888B,9368400000.0
2020-11-18,2888B,9357300000.0
2020-11-19,2888B,9346200000.0
2020-11-20,2888B,9335100000.0
2020-11-23,2888B,9335100000.0
2020-11-24,2888B,9324000000.0
2020-11-25,2888B,9312900000.0
2020-11-26,2888B,9312900000.0
2020-11-27,2888B,9324000000.0
2020-11-30,2888B,9379500000.0
2020-12-01,2888B,9335100000.0
2020-12-02,2888B,9335100000.0
2020-12-03,2888B,9357300000.0
2020-12-04,2888B,9368400000.0
2020-12-07,2888B,9379500000.0
2020-12-08,2888B,9368400000.0
2020-12-09,2888B,9368400000.0
2020-12-10,2888B,9346200000.0
2020-12-11,2888B,9324000000.0
2020-12-14,2888B,9312900000.0
2020-12-15,2888B,9301800000.0
2020-12-16,2888B,9312900000.0
2020-12-17,2888B,9312900000.0
2020-12-18,2888B,9312900000.0
2020-12-21,2888B,9324000000.0
2020-12-22,2888B,9324000000.0
2020-12-23,2888B,9346200000.0
2020-12-24,2888B,9346200000.0
2020-12-25,2888B,9346200000.0
2020-12-28,2888B,9357300000.0
2020-12-29,2888B,9390600000.0
2020-12-30,2888B,9412800000.0
2020-12-31,2888B,9401700000.0
