date,stock_id,market_value
2018-11-26,9941A,5150000000.0
2018-11-27,9941A,5200000000.0
2018-11-28,9941A,5150000000.0
2018-11-29,9941A,5130000000.0
2018-11-30,9941A,5120000000.0
2018-12-03,9941A,5120000000.0
2018-12-04,9941A,5100000000.0
2018-12-05,9941A,5100000000.0
2018-12-06,9941A,5100000000.0
2018-12-07,9941A,5100000000.0
2018-12-10,9941A,5090000000.0
2018-12-11,9941A,5100000000.0
2018-12-12,9941A,5100000000.0
2018-12-13,9941A,5100000000.0
2018-12-14,9941A,5100000000.0
2018-12-17,9941A,5120000000.0
2018-12-18,9941A,5120000000.0
2018-12-19,9941A,5130000000.0
2018-12-20,9941A,5140000000.0
2018-12-21,9941A,5130000000.0
2018-12-24,9941A,5140000000.0
2018-12-25,9941A,5130000000.0
2018-12-26,9941A,5130000000.0
2018-12-27,9941A,5140000000.0
2018-12-28,9941A,5140000000.0
2019-01-02,9941A,5140000000.0
2019-01-03,9941A,5140000000.0
2019-01-04,9941A,5150000000.0
2019-01-07,9941A,5150000000.0
2019-01-08,9941A,5160000000.0
2019-01-09,9941A,5150000000.0
2019-01-10,9941A,5150000000.0
2019-01-11,9941A,5160000000.0
2019-01-14,9941A,5160000000.0
2019-01-15,9941A,5160000000.0
2019-01-16,9941A,5170000000.0
2019-01-17,9941A,5170000000.0
2019-01-18,9941A,5170000000.0
2019-01-21,9941A,5170000000.0
2019-01-22,9941A,5180000000.0
2019-01-23,9941A,5190000000.0
2019-01-24,9941A,5190000000.0
2019-01-25,9941A,5190000000.0
2019-01-28,9941A,5200000000.0
2019-01-29,9941A,5210000000.0
2019-01-30,9941A,5210000000.0
2019-02-11,9941A,5230000000.0
2019-02-12,9941A,5250000000.0
2019-02-13,9941A,5250000000.0
2019-02-14,9941A,5240000000.0
2019-02-15,9941A,5250000000.0
2019-02-18,9941A,5270000000.0
2019-02-19,9941A,5250000000.0
2019-02-20,9941A,5260000000.0
2019-02-21,9941A,5260000000.0
2019-02-22,9941A,5260000000.0
2019-02-25,9941A,5250000000.0
2019-02-26,9941A,5250000000.0
2019-02-27,9941A,5250000000.0
2019-03-04,9941A,5250000000.0
2019-03-05,9941A,5250000000.0
2019-03-06,9941A,5250000000.0
2019-03-07,9941A,5240000000.0
2019-03-08,9941A,5250000000.0
2019-03-11,9941A,5260000000.0
2019-03-12,9941A,5260000000.0
2019-03-13,9941A,5270000000.0
2019-03-14,9941A,5270000000.0
2019-03-15,9941A,5270000000.0
2019-03-18,9941A,5270000000.0
2019-03-19,9941A,5270000000.0
2019-03-20,9941A,5260000000.0
2019-03-21,9941A,5270000000.0
2019-03-22,9941A,5290000000.0
2019-03-25,9941A,5290000000.0
2019-03-26,9941A,5300000000.0
2019-03-27,9941A,5310000000.0
2019-03-28,9941A,5300000000.0
2019-03-29,9941A,5310000000.0
2019-04-01,9941A,5320000000.0
2019-04-02,9941A,5330000000.0
2019-04-03,9941A,5330000000.0
2019-04-08,9941A,5350000000.0
2019-04-09,9941A,5360000000.0
2019-04-10,9941A,5360000000.0
2019-04-11,9941A,5350000000.0
2019-04-12,9941A,5350000000.0
2019-04-15,9941A,5340000000.0
2019-04-16,9941A,5360000000.0
2019-04-17,9941A,5370000000.0
2019-04-18,9941A,5360000000.0
2019-04-19,9941A,5370000000.0
2019-04-22,9941A,5380000000.0
2019-04-23,9941A,5380000000.0
2019-04-24,9941A,5380000000.0
2019-04-25,9941A,5390000000.0
2019-04-26,9941A,5390000000.0
2019-04-29,9941A,5390000000.0
2019-04-30,9941A,5390000000.0
2019-05-02,9941A,5390000000.0
2019-05-03,9941A,5410000000.0
2019-05-06,9941A,5410000000.0
2019-05-07,9941A,5410000000.0
2019-05-08,9941A,5400000000.0
2019-05-09,9941A,5390000000.0
2019-05-10,9941A,5400000000.0
2019-05-13,9941A,5380000000.0
2019-05-14,9941A,5370000000.0
2019-05-15,9941A,5380000000.0
2019-05-16,9941A,5390000000.0
2019-05-17,9941A,5380000000.0
2019-05-20,9941A,5390000000.0
2019-05-21,9941A,5380000000.0
2019-05-22,9941A,5380000000.0
2019-05-23,9941A,5390000000.0
2019-05-24,9941A,5380000000.0
2019-05-27,9941A,5380000000.0
2019-05-28,9941A,5380000000.0
2019-05-29,9941A,5380000000.0
2019-05-30,9941A,5370000000.0
2019-05-31,9941A,5360000000.0
2019-06-03,9941A,5360000000.0
2019-06-04,9941A,5360000000.0
2019-06-05,9941A,5360000000.0
2019-06-06,9941A,5360000000.0
2019-06-10,9941A,5360000000.0
2019-06-11,9941A,5360000000.0
2019-06-12,9941A,5360000000.0
2019-06-13,9941A,5360000000.0
2019-06-14,9941A,5360000000.0
2019-06-17,9941A,5360000000.0
2019-06-18,9941A,5360000000.0
2019-06-19,9941A,5360000000.0
2019-06-20,9941A,5360000000.0
