industry_category,stock_id,stock_name,type,date
水泥工業,1101,台泥,twse,2025-07-16
水泥工業,1101B,台泥乙特,twse,2025-07-16
水泥工業,1102,亞泥,twse,2025-07-16
水泥工業,1103,嘉泥,twse,2025-07-16
水泥工業,1104,環泥,twse,2025-07-16
其他,1107,建台,twse,2024-12-04
水泥工業,1108,幸福,twse,2025-07-16
水泥工業,1109,信大,twse,2025-07-16
水泥工業,1110,東泥,twse,2025-07-16
食品工業,1201,味全,twse,2025-07-16
食品工業,1203,味王,twse,2025-07-16
食品工業,1210,大成,twse,2025-07-16
食品工業,1213,大飲,twse,2025-07-16
食品工業,1215,卜蜂,twse,2025-07-16
食品工業,1216,統一,twse,2025-07-16
食品工業,1217,愛之味,twse,2025-07-16
食品工業,1218,泰山,twse,2025-07-16
食品工業,1219,福壽,twse,2025-07-16
食品工業,1220,台榮,twse,2025-07-16
食品工業,1225,福懋油,twse,2025-07-16
食品工業,1227,佳格,twse,2025-07-16
食品工業,1229,聯華,twse,2025-07-16
電器電纜,1230,聯成食,twse,2024-12-03
食品工業,1231,聯華食,twse,2025-07-16
食品工業,1232,大統益,twse,2025-07-16
食品工業,1233,天仁,twse,2025-07-16
食品工業,1234,黑松,twse,2025-07-16
食品工業,1235,興泰,twse,2025-07-16
食品工業,1236,宏亞,twse,2025-07-16
農業科技業,1240,茂生農經,tpex,2025-07-16
食品工業,1256,鮮活果汁-KY,twse,2025-07-16
食品工業,1258,其祥-KY,tpex,2023-06-03
觀光餐旅,1259,安心,tpex,2025-07-16
其他,1262,綠悅-KY,twse,2024-12-04
食品工業,1264,德麥,tpex,2025-07-16
觀光餐旅,1268,漢來美食,tpex,2025-07-16
食品工業,1294,漢田生技,tpex,2025-07-16
食品工業,1295,生合,tpex,2025-07-16
塑膠工業,1301,台塑,twse,2025-07-16
塑膠工業,1303,南亞,twse,2025-07-16
塑膠工業,1304,台聚,twse,2025-07-16
塑膠工業,1305,華夏,twse,2025-07-16
塑膠工業,1307,三芳,twse,2025-07-16
塑膠工業,1308,亞聚,twse,2025-07-16
塑膠工業,1309,台達化,twse,2025-07-16
塑膠工業,1310,台苯,twse,2025-07-16
塑膠工業,1311,福聚,twse,2024-12-03
塑膠工業,1312,國喬,twse,2025-07-16
塑膠工業,1312A,國喬特,twse,2025-07-16
塑膠工業,1313,聯成,twse,2025-07-16
塑膠工業,1314,中石化,twse,2025-07-16
塑膠工業,1315,達新,twse,2025-07-16
建材營造,1316,上曜,twse,2025-07-16
汽車工業,1319,東陽,twse,2025-07-16
塑膠工業,1321,大洋,twse,2025-07-16
塑膠工業,1323,永裕,twse,2025-07-16
塑膠工業,1324,地球,twse,2025-07-16
塑膠工業,1325,恆大,twse,2025-07-16
塑膠工業,1326,台化,twse,2025-07-16
電子零組件業,1336,台翰,tpex,2025-07-16
塑膠工業,1337,再生-KY,twse,2025-07-16
汽車工業,1338,廣華-KY,twse,2025-07-16
汽車工業,1339,昭輝,twse,2025-07-16
塑膠工業,1340,勝悅-KY,twse,2025-07-16
塑膠工業,1341,富林-KY,twse,2025-07-16
其他,1342,八貫,twse,2025-07-16
紡織纖維,1402,遠東新,twse,2025-07-16
紡織纖維,1409,新纖,twse,2025-07-16
紡織纖維,1410,南染,twse,2025-07-16
紡織纖維,1413,宏洲,twse,2025-07-16
紡織纖維,1414,東和,twse,2025-07-16
其他,1416,廣豐,twse,2025-07-16
紡織纖維,1417,嘉裕,twse,2025-07-16
紡織纖維,1418,東華,twse,2025-07-16
紡織纖維,1419,新紡,twse,2025-07-16
紡織纖維,1423,利華,twse,2025-07-16
運動休閒,1432,大魯閣,twse,2025-07-16
紡織纖維,1434,福懋,twse,2025-07-16
其他,1435,中福,twse,2025-07-16
建材營造,1436,華友聯,twse,2025-07-16
其他,1437,勤益控,twse,2025-07-16
建材營造,1438,三地開發,twse,2025-07-16
建材營造,1439,雋揚,twse,2025-07-16
紡織纖維,1440,南紡,twse,2025-07-16
紡織纖維,1441,大東,twse,2025-07-16
建材營造,1442,名軒,twse,2025-07-16
其他,1443,立益物流,twse,2025-07-16
紡織纖維,1444,力麗,twse,2025-07-16
紡織纖維,1445,大宇,twse,2025-07-16
紡織纖維,1446,宏和,twse,2025-07-16
紡織纖維,1447,力鵬,twse,2025-07-16
紡織纖維,1449,佳和,twse,2025-07-16
紡織纖維,1451,年興,twse,2025-07-16
紡織纖維,1452,宏益,twse,2025-07-16
建材營造,1453,大將,twse,2025-07-16
紡織纖維,1454,台富,twse,2025-07-16
紡織纖維,1455,集盛,twse,2025-07-16
建材營造,1456,怡華,twse,2025-07-16
紡織纖維,1457,宜進,twse,2025-07-16
紡織纖維,1459,聯發,twse,2025-07-16
紡織纖維,1460,宏遠,twse,2025-07-16
紡織纖維,1463,強盛新,twse,2025-07-16
紡織纖維,1464,得力,twse,2025-07-16
紡織纖維,1465,偉全,twse,2025-07-16
紡織纖維,1466,聚隆,twse,2025-07-16
紡織纖維,1467,南緯,twse,2025-07-16
紡織纖維,1468,昶和,twse,2025-07-16
紡織纖維,1469,理隆,twse,2024-12-03
紡織纖維,1470,大統新創,twse,2025-07-16
電子零組件業,1471,首利,twse,2025-07-16
建材營造,1472,三洋實業,twse,2025-07-16
紡織纖維,1473,台南,twse,2025-07-16
紡織纖維,1474,弘裕,twse,2025-07-16
紡織纖維,1475,業旺,twse,2025-07-16
紡織纖維,1476,儒鴻,twse,2025-07-16
紡織纖維,1477,聚陽,twse,2025-07-16
電機機械,1503,士電,twse,2025-07-16
電機機械,1504,東元,twse,2025-07-16
電機機械,1506,正道,twse,2025-07-16
電機機械,1507,永大,twse,2025-04-28
汽車工業,1512,瑞利,twse,2025-07-16
電機機械,1513,中興電,twse,2025-07-16
電機機械,1514,亞力,twse,2025-07-16
電機機械,1515,力山,twse,2025-07-16
其他,1516,川飛,twse,2025-07-16
電機機械,1517,利奇,twse,2025-07-16
電機機械,1519,華城,twse,2025-07-16
其他,1520,復盛,twse,2024-12-04
汽車工業,1521,大億,twse,2025-07-16
汽車工業,1522,堤維西,twse,2025-07-16
汽車工業,1522A,堤維西甲特,twse,2025-07-16
電機機械,1523,開億,twse,2024-12-03
汽車工業,1524,耿鼎,twse,2025-07-16
汽車工業,1525,江申,twse,2025-07-16
電機機械,1526,日馳,twse,2025-07-16
電機機械,1527,鑽全,twse,2025-07-16
電機機械,1528,恩德,twse,2025-07-16
電機機械,1529,樂事綠能,twse,2025-07-16
電機機械,1530,亞崴,twse,2025-07-16
電機機械,1531,高林股,twse,2025-07-16
電機機械,1532,勤美,twse,2025-07-16
汽車工業,1533,車王電,twse,2025-07-16
電機機械,1535,中宇,twse,2025-07-16
汽車工業,1536,和大,twse,2025-07-16
電機機械,1537,廣隆,twse,2025-07-16
電機機械,1538,正峰,twse,2025-07-16
電機機械,1539,巨庭,twse,2025-07-16
電機機械,1540,喬福,twse,2025-07-16
電機機械,1541,錩泰,twse,2025-07-16
電機機械,1558,伸興,twse,2025-07-16
電機機械,1560,中砂,twse,2025-07-16
汽車工業,1563,巧新,twse,2025-07-16
生技醫療業,1565,精華,tpex,2025-07-16
汽車工業,1568,倉佑,twse,2025-07-16
電腦及週邊設備業,1569,濱川,tpex,2025-07-16
電機機械,1570,力肯,tpex,2025-07-16
電機機械,1580,新麥,tpex,2025-07-16
電子零組件業,1582,信錦,twse,2025-07-16
電機機械,1583,程泰,twse,2025-07-16
其他,1584,精剛,tpex,2025-07-16
電機機械,1586,和勤,tpex,2025-07-16
汽車工業,1587,吉茂,twse,2025-07-16
電機機械,1589,永冠-KY,twse,2025-07-16
電機機械,1590,亞德客-KY,twse,2025-07-16
電機機械,1591,駿吉-KY,tpex,2025-07-16
汽車工業,1592,英瑞-KY,twse,2025-07-09
運動休閒類,1593,祺驊,tpex,2025-07-16
電子零組件業,1595,川寶,tpex,2025-07-16
電機機械,1597,直得,twse,2025-07-16
運動休閒,1598,岱宇,twse,2025-07-16
電機機械,1599,宏佳騰,tpex,2025-07-16
電器電纜,1601,台光,twse,2024-12-03
電器電纜,1603,華電,twse,2025-07-16
電器電纜,1604,聲寶,twse,2025-07-16
電器電纜,1605,華新,twse,2025-07-16
電器電纜,1606,歌林,twse,2024-12-03
電器電纜,1608,華榮,twse,2025-07-16
電器電纜,1609,大亞,twse,2025-07-16
電器電纜,1611,中電,twse,2025-07-16
電器電纜,1612,宏泰,twse,2025-07-16
電器電纜,1613,台一,twse,2025-06-17
電器電纜,1614,三洋電,twse,2025-07-16
電器電纜,1615,大山,twse,2025-07-16
電器電纜,1616,億泰,twse,2025-07-16
電器電纜,1617,榮星,twse,2025-07-16
電器電纜,1618,合機,twse,2025-07-16
電器電纜,1626,艾美特-KY,twse,2025-07-16
生技醫療業,1701,中化,twse,2025-04-30
食品工業,1702,南僑,twse,2025-07-16
