date,stock_id,stock_name
2005-10-04,1204,津津
2001-11-01,1230,聯成食品
2005-10-04,1306,合發興業
2006-06-26,1408,中興紡織
2002-11-08,1431,新燕實業
2004-04-28,1458,嘉新畜產
2010-09-01,1523,臺灣開億
2007-10-15,1601,台灣日光燈
2017-11-21,1613,台一
2018-01-02,1729,必翔實業
2006-08-08,1807,羅馬磁磚
2003-01-08,2005,友力工業
2002-11-04,2322,致福
2006-07-12,2335,清三電子
2007-01-01,2343,精業
2024-11-19,2358,廷鑫
2006-03-01,2366,亞旭電腦
2006-07-12,2378,鴻運電子
2015-07-07,2384,勝華科技
2006-05-10,2407,陞技電腦
2022-01-05,2456,奇力新
2007-07-30,2469,力信
2008-10-27,2494,突破
2003-01-22,2517,長谷科技
2007-03-12,2523,德寶營造
2005-03-21,2544,益鼎光電
2003-01-02,2802,第一銀行
2002-12-31,2806,中國商銀
2002-02-19,2818,新光人壽
2002-12-31,2819,中國產險
2002-05-09,2839,華信銀行
2002-01-28,2840,玉山銀行
2001-02-20,2914,台灣工礦
2010-03-18,3009,奇美
2007-10-20,3053,鼎營
2013-02-01,3080,威力盟
2024-03-04,3089,億杰
2022-09-26,3383,新世紀
2018-10-01,3561,昇陽光電
2016-08-03,3584,介面
2021-01-06,3698,隆達
2021-01-18,4725,信昌化
2020-11-30,5305,敦南
2021-07-05,6131,鈞泰
2022-06-29,6172,互億
2010-09-15,6255,奈普
2025-06-23,6287,元隆
2022-09-26,6289,華上
2025-01-01,6457,紘康
2012-12-28,8199,廣鎵
2008-07-14,9101,福雷電
2016-01-26,911612,滬安電力
2016-11-01,911626,MSH-DR
2021-12-13,912398,友佳-DR
2015-12-29,913889,大成糖
2003-01-09,1222,源益農畜
2002-09-16,1226,立大農畜
2004-03-15,1228,臺芳開發
2005-07-05,1450,新藝纖維
2018-07-11,1469,理隆纖維
2002-04-17,2016,名佳利金屬
2001-04-10,2202,三富汽車
2002-11-04,2301,光寶電子
2002-03-21,2306,宏碁電腦
2006-06-26,2326,亞瑟科技
2007-06-20,2333,碧悠電子
2010-10-16,2341,英群
2015-12-28,2361,	鴻友科技
2009-07-12,2381,華宇光能
2004-09-08,2398,博達科技
2004-12-16,2490,皇統
2001-05-15,2519,宏福建設
2002-11-08,2531,三采建設
2006-02-07,2533,昱成科技
2002-11-01,2604,立榮海運
2002-02-04,2821,復華證金
2006-05-01,2822,農民銀行
2021-12-30,2823,中壽
2002-02-04,2824,交通銀行
2006-09-14,2825,中央產保
2002-12-18,2826,世華銀行
2002-12-23,2830,台北銀行
2014-09-15,2837,萬泰銀行
2002-02-18,2844,台新銀行
2002-01-17,2846,中興銀行
2008-01-10,3020,奇普仕
2010-04-01,3063,飛信
2007-03-01,3214,元砷
2019-05-02,3519,綠能
2023-06-26,3536,誠創
2016-06-01,3598,奕力
2023-12-15,3682,亞太電
2016-08-31,4733,上緯
2015-01-02,5280,F-敦泰
2022-08-25,6251,定穎
2024-11-29,8420,明揚
2011-01-17,9102,東亞科
2020-06-15,910482,聖馬丁-DR
2013-07-30,910579,歐聖集團
2019-06-10,910708,恒大健-DR
2014-01-28,911610,聯合環境
2003-06-18,1221,久津實業
2001-11-30,1317,尚鋒興業
2022-01-27,1592,英瑞-KY
2004-04-28,1602,太平洋電纜
2008-11-06,1606,歌林
2002-11-04,2310,旭麗
2018-04-30,2311,日月光
2013-09-12,2315,神達電腦
2004-08-30,2319,大眾電腦
2010-08-16,2391,合勤科技
2010-11-15,2403,友尚
2008-09-01,2432,倚天資訊
2003-06-18,2445,南方
2005-01-05,2525,寶祥實業
2001-12-31,2805,國泰人壽
2007-01-18,2807,新竹商銀
2002-01-17,2810,高雄企銀
2006-12-19,2811,台東企銀
2002-03-26,2813,國際票券
2002-08-22,2814,中興票券
2002-05-17,2815,中國信託
2001-12-19,2817,富邦產保
2015-10-15,2833,台灣人壽
2002-08-01,2843,亞太銀行
2018-10-01,2856,元富證券
2022-06-27,2936,客思達-KY
2007-04-13,3007,綠點
2005-11-13,3039,宏傳
2007-06-20,3142,遠茂
2016-07-01,3573,穎台
2014-02-01,3697,F-晨星
2022-05-03,4141,龍燈-KY
2020-10-30,4144,康聯-KY
2018-09-01,4984,科納-KY
2021-01-15,5264,鎧勝-KY
2005-11-07,6132,銳普
2018-10-01,6145,勁永
2016-04-29,6286,立錡
2018-09-28,6422,君耀-KY
2022-12-21,8480,泰昇-KY
2017-06-27,9106,新焦點-DR
2017-12-13,910801,金衛-DR
2013-12-03,911602,華豐泰國
2016-11-29,911611,中泰山-DR
2021-08-31,911616,杜康-DR
2019-08-19,911619,耀傑-DR
2012-03-28,916665,爾必達
2002-01-17,9913,美式家具
2005-06-20,9936,欣錩國際
2007-10-20,1107,建台水泥
2007-04-11,1207,嘉新食化
2002-01-17,1214,尚德實業
2004-07-07,1224,惠勝實業
2008-04-23,1311,福聚
2008-01-01,1520,復盛
2004-12-16,1534,新企
2017-10-25,1715,萬洲化學
2021-11-01,1724,台硝
2020-06-01,1902,台紙
2002-11-08,2304,誠洲
2005-07-05,2318,佳錄
2010-06-17,2350,環電
2004-04-01,2386,國碁電子
2005-10-30,2389,世昕企業
2006-12-01,2394,普立爾
2009-04-08,2396,精碟科技
2007-03-19,2410,鼎大興業
2005-12-30,2422,國聯光電
2024-11-19,2443,昶虹
2009-12-01,2446,全懋
2021-01-06,2448,晶電
2003-11-12,2512,寶成建設
2003-06-03,2521,宏總建設
2010-04-08,2526,大陸工程
2007-04-30,2827,中聯信託
2003-09-30,2828,萬通銀行
2002-02-18,2829,大安銀行
2007-06-20,2831,中華商銀
2002-04-22,2835,匯通銀行
2022-08-04,2841,台開
2003-08-15,2848,華南產保
2011-10-03,2854,寶來證
2004-11-15,3001,協和
2006-10-01,3012,廣輝
2011-10-01,3534,雷凌
2019-06-26,3579,尚志
2013-05-31,3599,旺能
2024-09-25,4712,南璋
2020-01-09,5259,奕智博
2011-12-01,5854,合庫
2007-04-02,6004,元京證
2007-08-21,6280,崇貿
2024-10-18,6514,芮特-KY
2014-02-27,8078,華寶
2024-01-31,8418,捷必勝-KY
2013-10-15,9151,旺旺
2019-11-12,9157,陽光能源-DR
2007-04-11,9801,中國力霸
2010-06-21,9922,優美
2005-10-28,1212,中日國際
2019-10-14,1262,綠悅-KY
2003-11-10,1407,華隆
2003-05-06,1422,民興國際
2005-07-05,1462,東雲
2001-01-20,1505,楊鐵工廠
2022-04-21,1507,永大
2001-07-02,1509,元富鋁業
2003-09-30,1510,台安電機
2024-09-02,1701,中化
2019-01-30,1704,榮化
2011-01-03,1716,永信藥品
2001-01-20,2011,彥武企業
2001-01-20,2019,桂宏企業
2018-04-30,2325,矽品
2001-01-20,2334,國豐企業
2007-12-28,2336,致伸
2005-09-01,2370,匯僑工業
2008-10-31,2411,飛瑞
2005-11-09,2416,世平興業
2008-01-14,2418,雅新實業
2005-05-03,2435,台灣電路
2017-06-30,2437,旺詮
2008-01-31,2447,鼎新
2010-03-31,2452,乾坤
2011-06-01,2463,研揚
2005-11-09,2470,品佳
2012-11-30,2473,思源
2019-05-13,2475,華映
2007-12-24,2479,和立
2006-10-24,2487,友立資
2020-11-10,2499,東貝
2003-04-23,2518,長億實業
2001-08-24,2522,啟阜工程
2001-12-19,2803,華南銀行
2001-12-31,2804,中華開發
2005-12-26,2808,台北商銀
2001-12-19,2842,富邦銀行
2016-03-22,2847,大眾銀行
2005-06-13,2902,中信
2014-12-30,3061,璨圓
2008-06-30,3271,其樂達
2017-10-01,3315,宣昶
2011-10-07,3367,英華達
2016-12-06,3474,華亞科
2018-10-01,3514,昱晶
2017-08-30,3559,全智科
2010-10-01,3614,誠致
2014-09-10,3638,F-IML
2024-05-31,5383,金利
2011-05-02,6012,金鼎證
2012-03-01,6119,大傳
2024-07-02,6404,通訊-KY
2024-01-25,6446,藥華藥
2021-04-01,6452,康友-KY
2017-02-02,6702,興航
2013-07-12,8008,建興電
2022-03-03,8427,基勝-KY
2020-10-30,8497,格威傳媒
2015-05-13,910069,新曄科技
2012-08-28,9104,萬宇科
2015-03-01,910948,融達
2014-12-30,911201,僑威集團
2012-11-06,911606,超級集團
2015-06-17,911609,揚子江
2022-03-18,9188,精熙-DR
2008-03-01,9915,億豐
2002-04-17,9932,順大裕
