"編號","證券代號","證券名稱","累計次數","注意交易資訊","日期","收盤價","本益比",
"1",="073491","鴻海富邦4B購04","21","最近六個營業日累積收盤價漲幅達49.95%﹝第一款﹞。","114.08.28","5.50      ","-----     ",
"1","1727","中華化","21","最近六個營業日之累積週轉率為66.04%。且08月28日之週轉率為15.59%﹝第十款﹞。","114.08.28","41.50     ","138.33    ",
"1","2316","楠梓電","21","最近六個營業日之累積週轉率為113.07% 。且08月28日之週轉率為21.35%﹝第十款﹞。","114.08.28","109.50    ","13.79     ",
"1","2352","佳世達","21","最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為5.64倍。當日之成交量較最近六十個營業日之平均成交量放大為6.45倍﹝第九款﹞。","114.08.28","32.35     ","29.95     ",
"1","2359","所羅門","21",="08月27日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率62.49%，且08月27日當日沖銷成交量占該日總成交量比率66.60%﹝第十三款﹞","114.08.28","162.00    ","-----     ",
"1","2467","志聖","21","最近六個營業日累積收盤價漲幅達25.81%。且08月28日之成交量為最近六十個營業日日平均成交量之6.62倍﹝第三款﹞。且08月28日之週轉率為10.23%﹝第四款﹞。","114.08.28","201.50    ","42.33     ",
"1","2634","漢翔","21","最近六個營業日累積收盤價漲幅達27.43%。且08月28日之成交量為最近六十個營業日日平均成交量之7.61倍﹝第三款﹞。且08月28日之週轉率為11.83%﹝第四款﹞。","114.08.28","60.00     ","69.77     ",
"1","3047","訊舟","21","最近六個營業日累積收盤價漲幅達26.70%。且08月28日之成交量為最近六十個營業日日平均成交量之5.92倍﹝第三款﹞。且08月28日富邦證券商買進之比率為36.73%﹝第五款﹞。","114.08.28","23.65     ","157.67    ",
"1","3048","益登","21","最近六個營業日累積收盤價漲幅達36.97%﹝第一款﹞。且08月28日華南永昌證券商買進之比率為48.46%﹝第五款﹞。","114.08.28","34.80     ","-----     ",
"1","3052","夆典","21",="08月27日之最近六個營業日之借券賣出成交量占最近六個營業日總成交量比率14.50%，且08月27日借券賣出成交量較最近六十個營業日之日平均借券賣出成交量放大為11.64 倍﹝第十二款﹞","114.08.28","12.25     ","10.56     ",
"1","3305","昇貿","21","最近六個營業日累積收盤價漲幅達31.14%。且08月28日之週轉率為42.96%﹝第四款﹞。","114.08.28","129.00    ","44.79     ",
"1","3563","牧德","21","最近六個營業日累積收盤價漲幅達28.55%。且六個營業日起迄兩個營業日收盤價價差達116.50元﹝第一款﹞。","114.08.28","594.00    ","45.98     ",
"1","4722","國精化","21","最近三十個營業日起迄兩個營業日之收盤價漲幅達119.94% 。最近六十個營業日起迄兩個營業日之收盤價漲幅達131.12% 。最近九十個營業日起迄兩個營業日之收盤價漲幅達178.80% ﹝第二款﹞。","114.08.28","150.00    ","101.35    ",
"1","4976","佳凌","21","最近六個營業日累積收盤價漲幅達34.63%﹝第一款﹞。且08月28日之成交量為最近六十個營業日日平均成交量之9.65倍﹝第三款﹞。且08月28日凱基證券商買進之比率為42.59%﹝第五款﹞。","114.08.28","44.40     ","-----     ",
"1","5284","jpp-KY","21","最近六個營業日累積收盤價漲幅達30.80%。且六個營業日起迄兩個營業日收盤價價差達65.50 元﹝第一款﹞。","114.08.28","276.00    ","42.59     ",
"1","5484","慧友","21","最近六個營業日累積收盤價漲幅達41.41%﹝第一款﹞。且08月28日之成交量為最近六十個營業日日平均成交量之14.43 倍﹝第三款﹞。","114.08.28","53.90     ","-----     ",
"1","6558","興能高","21",="08月27日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率60.12%，且08月27日當日沖銷成交量占該日總成交量比率61.08%﹝第十三款﹞","114.08.28","56.00     ","-----     ",
"1","6591","動力-KY","21","最近六個營業日之累積週轉率為76.88%。且08月28日之週轉率為17.89%﹝第十款﹞。","114.08.28","93.80     ","19.87     ",
"1","8033","雷虎","21","最近六個營業日累積收盤價漲幅達35.66%﹝第一款﹞。且08月28日之週轉率為49.57%﹝第四款﹞。08月28日之本益比為 250.72，且股價淨值比為14.25 。另當日週轉率為49.57%，且其股價淨值比較該類股股價淨值比四倍以上﹝第六款﹞。","114.08.28","173.00    ","250.72    ",
"1","8046","南電","21","最近六個營業日累積收盤價漲幅達31.47%。且六個營業日起迄兩個營業日收盤價價差達57.00 元﹝第一款﹞。","114.08.28","226.00    ","565.00    ",
"1","8222","寶一","21","最近六個營業日之累積週轉率為138.21% 。且08月28日之週轉率為40.78%﹝第十款﹞。","114.08.28","58.40     ","83.43     ",
"2",="031966","宏達電元大54購01","20","最近六個營業日累積收盤價漲幅達37.64%﹝第一款﹞。","114.08.27","10.70     ","-----     ",
"2",="073491","鴻海富邦4B購04","20","最近六個營業日累積收盤價漲幅達36.31%﹝第一款﹞。","114.08.27","5.25      ","-----     ",
"2","2359","所羅門","20","最近六個營業日之累積週轉率為74.11%。且08月27日之週轉率為32.39%﹝第十款﹞。","114.08.27","166.50    ","-----     ",
"2","2365","昆盈","20","最近六個營業日之累積週轉率為89.51%。且08月27日之週轉率為44.20%﹝第十款﹞。","114.08.27","50.60     ","148.82    ",
"2","2374","佳能","20","最近六個營業日之累積週轉率為100.75% 。且08月27日之週轉率為17.29%﹝第十款﹞。08月26日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率63.03%，且08月26日當日沖銷成交量占該日總成交量比率72.69%﹝第十三款﹞","114.08.27","81.60     ","52.31     ",
