編號,公布日期,證券代號,證券名稱,處置起訖時間,處置原因,處置內容,收盤價,本益比
"1","114/08/26","3685","元創精密","114/08/27~114/09/09","因連續3個營業日達本中心作業要點第四條第一項第一款","元創精密車業股份有限公司股票(代號：3685)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自114年08月27日起10個營業日(114年08月27日至114年09月09日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。暫停融資券交易，但信用交易了結或違約專戶委託買賣該有價證券時，不在此限。","18.00","N/A"
"2","114/08/22","3081","聯亞","114/08/25~114/09/05","連續5個營業日","聯亞光電工業股份有限公司股票(代號：3081)最近30個營業日內曾發布處置，又因連續5個營業日經本中心公布注意交易資訊，爰自114年08月25日起10個營業日(114年08月25日至114年09月05日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","434.00","258.33"
"3","114/08/20","3555","博士旺","114/08/21~114/09/03","因連續3個營業日達本中心作業要點第四條第一項第一款","博士旺創新股份有限公司股票(代號：3555)最近30個營業日內曾發布處置，又因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自114年08月21日起10個營業日(114年08月21日至114年09月03日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","69.20","N/A"
"4","114/08/20","4768","晶呈科技","114/08/21~114/09/03","因連續3個營業日達本中心作業要點第四條第一項第一款","晶呈科技股份有限公司股票(代號：4768)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自114年08月21日起10個營業日(114年08月21日至114年09月03日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","144.00","120.00"
"5","114/08/20","6733","博晟生醫","114/08/21~114/09/03","因連續3個營業日達本中心作業要點第四條第一項第一款","博晟生醫股份有限公司股票(代號：6733)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自114年08月21日起10個營業日(114年08月21日至114年09月03日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","40.90","N/A"
"6","114/08/19","5475","德宏","114/08/20~114/09/02","因連續3個營業日達本中心作業要點第四條第一項第一款","德宏工業股份有限公司股票(代號：5475)最近30個營業日內曾發布處置，又因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自114年08月20日起10個營業日(114年08月20日至114年09月02日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","49.90","N/A"
"7","114/08/19","6418","詠昇","114/08/20~114/09/02","因連續3個營業日達本中心作業要點第四條第一項第一款","詠昇電子股份有限公司股票(代號：6418)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自114年08月20日起10個營業日(114年08月20日至114年09月02日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","33.25","31.97"
"8","114/08/18","1815","富喬","114/08/19~114/09/01","因連續3個營業日達本中心作業要點第四條第一項第一款","富喬工業股份有限公司股票(代號：1815)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自114年08月19日起10個營業日(114年08月19日至114年09月01日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","80.90","158.63"
"9","114/08/18","18156","富喬六","114/08/19~114/09/01","轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置","富喬工業股份有限公司股票(代號：1815)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自114年08月19日起10個營業日(114年08月19日至114年09月01日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)對富喬工業股份有限公司國內第六次無擔保轉換公司債（代號：18156）改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","524.00","N/A"
"10","114/08/18","3071","協禧","114/08/19~114/09/01","因連續3個營業日達本中心作業要點第四條第一項第一款","協禧電機股份有限公司股票(代號：3071)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自114年08月19日起10個營業日(114年08月19日至114年09月01日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","26.50","27.89"
"11","114/08/18","3363","上詮","114/08/19~114/09/01","連續5個營業日","上詮光纖通信股份有限公司股票(代號：3363)因連續5個營業日經本中心公布注意交易資訊，爰自114年08月19日起10個營業日(114年08月19日至114年09月01日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","360.00","N/A"
"12","114/08/18","4577","達航科技","114/08/19~114/09/01","最近10個營業日內有6個營業日","達航科技股份有限公司股票(代號：4577)因最近10個營業日內有6個營業日經本中心公布注意交易資訊，爰自114年08月19日起10個營業日(114年08月19日至114年09月01日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","40.70","N/A"
"13","114/08/18","6727","亞泰金屬","114/08/19~114/09/01","因連續3個營業日達本中心作業要點第四條第一項第一款","亞泰金屬工業股份有限公司股票(代號：6727)最近30個營業日內曾發布處置，又因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自114年08月19日起10個營業日(114年08月19日至114年09月01日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","184.00","47.92"
