key,stock_id,T+n,date,close,
20210104-2609,2609,0,2021/1/4,18.22,
20210104-2609,2609,-20,2020/12/4,7.28,-60.04%
20210104-2609,2609,-19,2020/12/7,7.28,0.00%
20210104-2609,2609,-18,2020/12/8,7.96,9.34%
20210104-2609,2609,-17,2020/12/9,8.16,2.51%
20210104-2609,2609,-16,2020/12/10,8.13,-0.37%
20210104-2609,2609,-15,2020/12/11,7.76,-4.55%
20210104-2609,2609,-14,2020/12/14,8.53,9.92%
20210104-2609,2609,-13,2020/12/15,8.81,3.28%
20210104-2609,2609,-12,2020/12/16,8.98,1.93%
20210104-2609,2609,-11,2020/12/17,8.9,-0.89%
20210104-2609,2609,-10,2020/12/18,9.77,9.78%
20210104-2609,2609,-9,2020/12/21,10.74,9.93%
20210104-2609,2609,-8,2020/12/22,10.51,-2.14%
20210104-2609,2609,-7,2020/12/23,11.22,6.76%
20210104-2609,2609,-6,2020/12/24,11.9,6.06%
20210104-2609,2609,-5,2020/12/25,13.09,10.00%
20210104-2609,2609,-4,2020/12/28,14.39,9.93%
20210104-2609,2609,-3,2020/12/29,15.81,9.87%
20210104-2609,2609,-2,2020/12/30,15.58,-1.45%
20210104-2609,2609,-1,2020/12/31,16.57,6.35%
20210104-2609,2609,1,2021/1/5,18.13,
20210104-2609,2609,2,2021/1/6,16.32,
20210104-2609,2609,3,2021/1/7,14.7,
20210104-2609,2609,4,2021/1/8,15.47,
20210104-2609,2609,5,2021/1/11,16.18,
20210104-2609,2609,6,2021/1/12,14.56,
20210104-2609,2609,7,2021/1/13,13.6,
20210104-2609,2609,8,2021/1/14,14.68,
20210104-2609,2609,9,2021/1/15,13.23,
20210104-2609,2609,10,2021/1/18,13.49,
20210104-6129,6129,0,2021/1/4,18.51,
20210104-6129,6129,-20,2020/12/4,8.57,-53.70%
20210104-6129,6129,-19,2020/12/7,9.42,9.92%
20210104-6129,6129,-18,2020/12/8,9.67,2.65%
20210104-6129,6129,-17,2020/12/9,9.66,-0.10%
20210104-6129,6129,-16,2020/12/10,9.45,-2.17%
20210104-6129,6129,-15,2020/12/11,10.38,9.84%
20210104-6129,6129,-14,2020/12/14,11.41,9.92%
20210104-6129,6129,-13,2020/12/15,12.29,7.71%
20210104-6129,6129,-12,2020/12/16,11.95,-2.77%
20210104-6129,6129,-11,2020/12/17,13.13,9.87%
20210104-6129,6129,-10,2020/12/18,13.08,-0.38%
20210104-6129,6129,-9,2020/12/21,11.8,-9.79%
20210104-6129,6129,-8,2020/12/22,10.92,-7.46%
20210104-6129,6129,-7,2020/12/23,11.71,7.23%
20210104-6129,6129,-6,2020/12/24,11.51,-1.71%
20210104-6129,6129,-5,2020/12/25,12.64,9.82%
20210104-6129,6129,-4,2020/12/28,13.86,9.65%
20210104-6129,6129,-3,2020/12/29,15.14,9.24%
20210104-6129,6129,-2,2020/12/30,15.33,1.25%
20210104-6129,6129,-1,2020/12/31,16.85,9.92%
20210104-6129,6129,1,2021/1/5,17.83,
20210104-6129,6129,2,2021/1/6,16.75,
20210104-6129,6129,3,2021/1/7,15.92,
20210104-6129,6129,4,2021/1/8,16.21,
20210104-6129,6129,5,2021/1/11,17.63,
20210104-6129,6129,6,2021/1/12,16.02,
20210104-6129,6129,7,2021/1/13,15.43,
20210104-6129,6129,8,2021/1/14,16.21,
20210104-6129,6129,9,2021/1/15,15.97,
20210104-6129,6129,10,2021/1/18,16.36,
20210105-2415,2415,0,2021/1/5,27.3,
20210105-2415,2415,-20,2020/12/7,17.36,-36.41%
20210105-2415,2415,-19,2020/12/8,17.2,-0.92%
20210105-2415,2415,-18,2020/12/9,17.2,0.00%
20210105-2415,2415,-17,2020/12/10,16.91,-1.69%
20210105-2415,2415,-16,2020/12/11,17.03,0.71%
20210105-2415,2415,-15,2020/12/14,17.07,0.23%
20210105-2415,2415,-14,2020/12/15,16.57,-2.93%
20210105-2415,2415,-13,2020/12/16,16.82,1.51%
20210105-2415,2415,-12,2020/12/17,16.74,-0.48%
20210105-2415,2415,-11,2020/12/18,16.61,-0.78%
20210105-2415,2415,-10,2020/12/21,16.2,-2.47%
20210105-2415,2415,-9,2020/12/22,16.07,-0.80%
20210105-2415,2415,-8,2020/12/23,16.45,2.36%
20210105-2415,2415,-7,2020/12/24,16.2,-1.52%
20210105-2415,2415,-6,2020/12/25,16.32,0.74%
20210105-2415,2415,-5,2020/12/28,17.95,9.99%
20210105-2415,2415,-4,2020/12/29,19.74,9.97%
20210105-2415,2415,-3,2020/12/30,21.62,9.52%
20210105-2415,2415,-2,2020/12/31,22.62,4.63%
20210105-2415,2415,-1,2021/1/4,24.84,9.81%
20210105-2415,2415,1,2021/1/6,25.88,
20210105-2415,2415,2,2021/1/7,25.84,
20210105-2415,2415,3,2021/1/8,26.34,
20210105-2415,2415,4,2021/1/11,26.34,
20210105-2415,2415,5,2021/1/12,25.75,
20210105-2415,2415,6,2021/1/13,26.3,
20210105-2415,2415,7,2021/1/14,27.55,
20210105-2415,2415,8,2021/1/15,26.59,
20210105-2415,2415,9,2021/1/18,29.22,
20210105-2415,2415,10,2021/1/19,28.22,
20210105-3228,3228,0,2021/1/5,203.7,
