key,mean,std,min,max,skew,kurt,trend_slope,max_drawdown,std_cm,skew_cm,kurt_cm,trend_slope_cm,max_drawdown_cm,date,stock_id
20210104-2609,15.035999999999998,1.5238343450359402,13.23,18.13,0.8076533185412897,-0.32597622781363667,-0.4286060606060605,-0.27027027027027023,中等波動,分布略偏右,接近常態,明顯下降,股價有明顯跌幅,20210104,2609
20210104-6129,16.433,0.763312226782432,15.43,17.83,0.9796682329393657,-0.442261839423292,-0.12842424242424233,-0.13460459899046545,低波動,分布略偏右,接近常態,略有下降,股價有明顯跌幅,20210104,6129
20210105-2415,26.802999999999997,1.1558070773273512,25.75,29.22,1.277271830137117,-0.13295751843691717,0.3039393939393939,-0.03484573502722326,中等波動,分布明顯右偏（偶爾有高價）,接近常態,明顯上升,股價一路上漲,20210105,2415
20210105-3228,211.023,20.193224413704282,183.33,242.5,0.04820914965006676,-1.3238861275908924,6.475575757575759,-0.02155172413793101,高波動,分布接近對稱,分布平坦（較均勻）,明顯上升,股價一路上漲,20210105,3228
20210106-1593,90.29299999999999,5.385148404021314,82.35,99.69,0.4840880609528546,-0.6974475670957161,0.5472121212121217,-0.11766476075835093,高波動,分布略偏右,接近常態,明顯上升,股價有明顯跌幅,20210106,1593
20210106-2611,10.007,1.2931962985821859,7.95,12.26,0.2205372952992144,-0.7432489529973925,-0.41193939393939394,-0.35154975530179444,中等波動,分布接近對稱,接近常態,明顯下降,股價大幅波動（腰斬級）,20210106,2611
20210106-3086,68.971,9.949906141377525,56.48,86.58,0.4173894993903718,-0.966405717743076,-2.017636363636364,-0.34765534765534767,高波動,分布略偏右,接近常態,明顯下降,股價大幅波動（腰斬級）,20210106,3086
20210106-5468,12.833000000000002,1.75284562291657,11.24,16.52,1.277110232592002,-0.09076278887618461,-0.5073333333333334,-0.3196125907990314,中等波動,分布明顯右偏（偶爾有高價）,接近常態,明顯下降,股價大幅波動（腰斬級）,20210106,5468
20210106-8087,19.583,0.6602028307859469,18.5,20.3,-0.7506131628704072,-0.7684278299765479,0.11399999999999996,-0.044334975369458234,低波動,分布略偏左,接近常態,略有上升,股價一路上漲,20210106,8087
20210107-3339,14.794999999999998,0.954989819608333,13.32,16.43,0.12593967321452187,-0.6407927522438501,-0.12139393939393937,-0.18928788800973825,低波動,分布接近對稱,接近常態,略有下降,股價有明顯跌幅,20210107,3339
