公布日期,證券代號,證券名稱,處置起始,處置結束,處置營業日數,撮合頻率(分鐘),開盤價,收盤價,short_return,broker_bought,avg_vol_5T,max_vol_5T,vol_diff_5T,avg_vol_10T,max_vol_10T,vol_diff_10T,avg_vol_20T,max_vol_20T,vol_diff_20T
2021-01-04,2609,陽明,2021-01-05,2021-01-18,10,20,17.4,18.22,-0.0471,0,142860543.6,316446204.0,0.5485,185385608.1,316446204.0,0.4142,156219008.7,316446204.0,0.5063
2021-01-04,6129,普誠,2021-01-05,2021-01-18,10,5,17.49,18.51,-0.0583,0,15934000.0,27238000.0,0.415,11386900.0,27238000.0,0.5819,10252550.0,27238000.0,0.6236
2021-01-05,2415,錩新,2021-01-06,2021-01-19,10,5,25.05,27.3,-0.0898,0,9047973.0,10796938.0,0.162,5106685.8,10796938.0,0.527,2828116.0,10796938.0,0.7381
2021-01-05,3228,金麗科,2021-01-06,2021-01-19,10,20,211.94,203.7,0.0389,0,3679800.0,4361000.0,0.1562,3595300.0,4387000.0,0.1805,3028000.0,4508000.0,0.3283
2021-01-06,1593,祺驊,2021-01-07,2021-01-20,10,5,73.72,74.9,-0.016,0,2363800.0,4744000.0,0.5017,1306900.0,4744000.0,0.7245,772800.0,4744000.0,0.8371
2021-01-06,2611,志信,2021-01-07,2021-01-20,10,5,13.6,13.6,0.0,0,10430044.2,15264255.0,0.3167,7967574.2,15264255.0,0.478,5167376.2,15264255.0,0.6615
2021-01-06,3086,華義,2021-01-07,2021-01-20,10,20,59.42,59.42,0.0,0,97800.0,196000.0,0.501,62300.0,196000.0,0.6821,42950.0,196000.0,0.7809
2021-01-06,5468,凱鈺,2021-01-07,2021-01-20,10,20,19.84,18.36,0.0746,0,377400.0,721000.0,0.4766,224300.0,721000.0,0.6889,130400.0,721000.0,0.8191
2021-01-06,8087,華鎂鑫,2021-01-07,2021-01-20,10,20,16.84,16.84,0.0,0,346800.0,571000.0,0.3926,499700.0,1872000.0,0.7331,261700.0,1872000.0,0.8602
2021-01-07,3339,泰谷,2021-01-08,2021-01-21,10,5,20.75,18.26,0.12,0,1952400.0,2698000.0,0.2764,1040800.0,2698000.0,0.6142,633850.0,2698000.0,0.7651
2021-01-08,3138,耀登,2021-01-11,2021-01-22,10,5,228.31,232.95,-0.0203,0,1965766.2,3171223.0,0.3801,1840792.1,3171223.0,0.4195,1830319.85,3335600.0,0.4513
2021-01-08,4946,辣椒,2021-01-11,2021-01-22,10,5,94.0,99.1,-0.0543,0,815200.0,1066000.0,0.2353,487900.0,1066000.0,0.5423,312850.0,1066000.0,0.7065
2021-01-08,4961,天鈺,2021-01-11,2021-01-22,10,20,198.18,184.49,0.0691,0,28750444.8,54665345.0,0.4741,15685129.7,54665345.0,0.7131,11202455.7,54665345.0,0.7951
2021-01-11,1593,祺驊,2021-01-12,2021-01-25,10,20,87.13,85.03,0.0241,0,2814800.0,4744000.0,0.4067,1877800.0,4744000.0,0.6042,1001350.0,4744000.0,0.7889
2021-01-11,3086,華義,2021-01-12,2021-01-25,10,20,78.96,78.96,0.0,0,90000.0,150000.0,0.4,78500.0,196000.0,0.5995,48700.0,196000.0,0.7515
2021-01-11,3552,同致,2021-01-12,2021-01-25,10,5,272.99,262.53,0.0383,0,18939800.0,28259000.0,0.3298,15936000.0,28259000.0,0.4361,12371050.0,28259000.0,0.5622
2021-01-11,3661,世芯-KY,2021-01-12,2021-01-25,10,5,776.59,806.8,-0.0389,0,7948887.2,11153131.0,0.2873,5929884.5,11153131.0,0.4683,5050218.3,11153131.0,0.5472
2021-01-11,8087,華鎂鑫,2021-01-12,2021-01-25,10,20,19.83,20.3,-0.0237,0,754000.0,2042000.0,0.6308,736800.0,2042000.0,0.6392,420300.0,2042000.0,0.7942
2021-01-13,3138,耀登,2021-01-14,2021-01-27,10,20,258.93,263.57,-0.0179,0,2110702.6,3281263.0,0.3567,1926826.1,3281263.0,0.4128,1871324.65,3335600.0,0.439
2021-01-13,3297,杭特,2021-01-14,2021-01-27,10,20,16.25,16.4,-0.0092,0,675400.0,897000.0,0.247,1066600.0,1905000.0,0.4401,842550.0,1905000.0,0.5577
2021-01-14,1533,車王電,2021-01-15,2021-01-28,10,5,54.14,57.72,-0.0661,0,10742657.8,17651258.0,0.3914,5990940.0,17651258.0,0.6606,3590266.8,17651258.0,0.7966
2021-01-14,5468,凱鈺,2021-01-15,2021-01-28,10,20,12.58,11.33,0.0994,0,77200.0,130000.0,0.4062,219600.0,721000.0,0.6954,145400.0,721000.0,0.7983
