key,stock_id,T+n,date,close
20210104-2609,2609,0,2021-01-04,18.22
20210104-2609,2609,-1,2020-12-31,16.57
20210104-2609,2609,-2,2020-12-30,15.58
20210104-2609,2609,-3,2020-12-29,15.81
20210104-2609,2609,-4,2020-12-28,14.39
20210104-2609,2609,-5,2020-12-25,13.09
20210104-2609,2609,-6,2020-12-24,11.9
20210104-2609,2609,-7,2020-12-23,11.22
20210104-2609,2609,-8,2020-12-22,10.51
20210104-2609,2609,-9,2020-12-21,10.74
20210104-2609,2609,-10,2020-12-18,9.77
20210104-2609,2609,-11,2020-12-17,8.9
20210104-2609,2609,-12,2020-12-16,8.98
20210104-2609,2609,-13,2020-12-15,8.81
20210104-2609,2609,-14,2020-12-14,8.53
20210104-2609,2609,-15,2020-12-11,7.76
20210104-2609,2609,-16,2020-12-10,8.13
20210104-2609,2609,-17,2020-12-09,8.16
20210104-2609,2609,-18,2020-12-08,7.96
20210104-2609,2609,-19,2020-12-07,7.28
20210104-2609,2609,-20,2020-12-04,7.28
20210104-2609,2609,1,2021-01-05,18.13
20210104-2609,2609,2,2021-01-06,16.32
20210104-2609,2609,3,2021-01-07,14.7
20210104-2609,2609,4,2021-01-08,15.47
20210104-2609,2609,5,2021-01-11,16.18
20210104-2609,2609,6,2021-01-12,14.56
20210104-2609,2609,7,2021-01-13,13.6
20210104-2609,2609,8,2021-01-14,14.68
20210104-2609,2609,9,2021-01-15,13.23
20210104-2609,2609,10,2021-01-18,13.49
20210104-6129,6129,0,2021-01-04,18.51
20210104-6129,6129,-1,2020-12-31,16.85
20210104-6129,6129,-2,2020-12-30,15.33
20210104-6129,6129,-3,2020-12-29,15.14
20210104-6129,6129,-4,2020-12-28,13.86
20210104-6129,6129,-5,2020-12-25,12.64
20210104-6129,6129,-6,2020-12-24,11.51
20210104-6129,6129,-7,2020-12-23,11.71
20210104-6129,6129,-8,2020-12-22,10.92
20210104-6129,6129,-9,2020-12-21,11.8
20210104-6129,6129,-10,2020-12-18,13.08
20210104-6129,6129,-11,2020-12-17,13.13
20210104-6129,6129,-12,2020-12-16,11.95
20210104-6129,6129,-13,2020-12-15,12.29
20210104-6129,6129,-14,2020-12-14,11.41
20210104-6129,6129,-15,2020-12-11,10.38
20210104-6129,6129,-16,2020-12-10,9.45
20210104-6129,6129,-17,2020-12-09,9.66
20210104-6129,6129,-18,2020-12-08,9.67
20210104-6129,6129,-19,2020-12-07,9.42
20210104-6129,6129,-20,2020-12-04,8.57
20210104-6129,6129,1,2021-01-05,17.83
20210104-6129,6129,2,2021-01-06,16.75
20210104-6129,6129,3,2021-01-07,15.92
20210104-6129,6129,4,2021-01-08,16.21
20210104-6129,6129,5,2021-01-11,17.63
20210104-6129,6129,6,2021-01-12,16.02
20210104-6129,6129,7,2021-01-13,15.43
20210104-6129,6129,8,2021-01-14,16.21
20210104-6129,6129,9,2021-01-15,15.97
20210104-6129,6129,10,2021-01-18,16.36
20210105-2415,2415,0,2021-01-05,27.3
20210105-2415,2415,-1,2021-01-04,24.84
20210105-2415,2415,-2,2020-12-31,22.62
20210105-2415,2415,-3,2020-12-30,21.62
20210105-2415,2415,-4,2020-12-29,19.74
20210105-2415,2415,-5,2020-12-28,17.95
20210105-2415,2415,-6,2020-12-25,16.32
20210105-2415,2415,-7,2020-12-24,16.2
20210105-2415,2415,-8,2020-12-23,16.45
20210105-2415,2415,-9,2020-12-22,16.07
20210105-2415,2415,-10,2020-12-21,16.2
20210105-2415,2415,-11,2020-12-18,16.61
20210105-2415,2415,-12,2020-12-17,16.74
20210105-2415,2415,-13,2020-12-16,16.82
20210105-2415,2415,-14,2020-12-15,16.57
20210105-2415,2415,-15,2020-12-14,17.07
20210105-2415,2415,-16,2020-12-11,17.03
20210105-2415,2415,-17,2020-12-10,16.91
20210105-2415,2415,-18,2020-12-09,17.2
20210105-2415,2415,-19,2020-12-08,17.2
20210105-2415,2415,-20,2020-12-07,17.36
20210105-2415,2415,1,2021-01-06,25.88
20210105-2415,2415,2,2021-01-07,25.84
20210105-2415,2415,3,2021-01-08,26.34
20210105-2415,2415,4,2021-01-11,26.34
20210105-2415,2415,5,2021-01-12,25.75
20210105-2415,2415,6,2021-01-13,26.3
20210105-2415,2415,7,2021-01-14,27.55
20210105-2415,2415,8,2021-01-15,26.59
20210105-2415,2415,9,2021-01-18,29.22
20210105-2415,2415,10,2021-01-19,28.22
20210105-3228,3228,0,2021-01-05,203.7
20210105-3228,3228,-1,2021-01-04,215.82
20210105-3228,3228,-2,2020-12-31,206.12
20210105-3228,3228,-3,2020-12-30,189.15
20210105-3228,3228,-4,2020-12-29,172.17
20210105-3228,3228,-5,2020-12-28,167.81
20210105-3228,3228,-6,2020-12-25,169.75
20210105-3228,3228,-7,2020-12-24,155.2
20210105-3228,3228,-8,2020-12-23,166.84
20210105-3228,3228,-9,2020-12-22,173.63
20210105-3228,3228,-10,2020-12-21,183.81
20210105-3228,3228,-11,2020-12-18,187.69
20210105-3228,3228,-12,2020-12-17,197.39
20210105-3228,3228,-13,2020-12-16,179.45
20210105-3228,3228,-14,2020-12-15,173.14
20210105-3228,3228,-15,2020-12-14,192.06
20210105-3228,3228,-16,2020-12-11,201.27
20210105-3228,3228,-17,2020-12-10,198.36
20210105-3228,3228,-18,2020-12-09,192.06
20210105-3228,3228,-19,2020-12-08,179.93
20210105-3228,3228,-20,2020-12-07,163.93
20210105-3228,3228,1,2021-01-06,183.33
20210105-3228,3228,2,2021-01-07,192.06
20210105-3228,3228,3,2021-01-08,190.12
20210105-3228,3228,4,2021-01-11,193.51
20210105-3228,3228,5,2021-01-12,212.43
20210105-3228,3228,6,2021-01-13,218.25
20210105-3228,3228,7,2021-01-14,225.04
20210105-3228,3228,8,2021-01-15,220.19
20210105-3228,3228,9,2021-01-18,232.8
20210105-3228,3228,10,2021-01-19,242.5
20210106-1593,1593,0,2021-01-06,74.9
20210106-1593,1593,-1,2021-01-05,75.31
20210106-1593,1593,-2,2021-01-04,68.7
20210106-1593,1593,-3,2020-12-31,62.5
20210106-1593,1593,-4,2020-12-30,56.88
20210106-1593,1593,-5,2020-12-29,51.77
20210106-1593,1593,-6,2020-12-28,50.52
20210106-1593,1593,-7,2020-12-25,50.68
20210106-1593,1593,-8,2020-12-24,49.43
20210106-1593,1593,-9,2020-12-23,49.09
20210106-1593,1593,-10,2020-12-22,49.43
20210106-1593,1593,-11,2020-12-21,49.68
20210106-1593,1593,-12,2020-12-18,49.85
