公布日期,證券代號,證券名稱,處置起始,處置結束,處置營業日數,撮合頻率(分鐘),開盤價,收盤價,short_return,公布日期_date,證券代號_str,broker_brought
2021-01-04,2609,陽明,2021-01-05,2021-01-18,10,20,17.4,18.22,-0.0471,2021-01-04,2609,
2021-01-04,6129,普誠,2021-01-05,2021-01-18,10,5,17.49,18.51,-0.0583,2021-01-04,6129,
2021-01-05,2415,錩新,2021-01-06,2021-01-19,10,5,25.05,27.3,-0.0898,2021-01-05,2415,
2021-01-05,3228,金麗科,2021-01-06,2021-01-19,10,20,211.94,203.7,0.0389,2021-01-05,3228,
2021-01-06,1593,祺驊,2021-01-07,2021-01-20,10,5,73.72,74.9,-0.016,2021-01-06,1593,
2021-01-06,2611,志信,2021-01-07,2021-01-20,10,5,13.6,13.6,0.0,2021-01-06,2611,
2021-01-06,3086,華義,2021-01-07,2021-01-20,10,20,59.42,59.42,0.0,2021-01-06,3086,
2021-01-06,5468,凱鈺,2021-01-07,2021-01-20,10,20,19.84,18.36,0.0746,2021-01-06,5468,
2021-01-06,8087,華鎂鑫,2021-01-07,2021-01-20,10,20,16.84,16.84,0.0,2021-01-06,8087,
2021-01-07,3339,泰谷,2021-01-08,2021-01-21,10,5,20.75,18.26,0.12,2021-01-07,3339,
2021-01-08,3138,耀登,2021-01-11,2021-01-22,10,5,228.31,232.95,-0.0203,2021-01-08,3138,
2021-01-08,4946,辣椒,2021-01-11,2021-01-22,10,5,94.0,99.1,-0.0543,2021-01-08,4946,
2021-01-08,4961,天鈺,2021-01-11,2021-01-22,10,20,198.18,184.49,0.0691,2021-01-08,4961,
2021-01-11,1593,祺驊,2021-01-12,2021-01-25,10,20,87.13,85.03,0.0241,2021-01-11,1593,
2021-01-11,3086,華義,2021-01-12,2021-01-25,10,20,78.96,78.96,0.0,2021-01-11,3086,
2021-01-11,3552,同致,2021-01-12,2021-01-25,10,5,272.99,262.53,0.0383,2021-01-11,3552,
2021-01-11,3661,世芯-KY,2021-01-12,2021-01-25,10,5,776.59,806.8,-0.0389,2021-01-11,3661,
2021-01-11,8087,華鎂鑫,2021-01-12,2021-01-25,10,20,19.83,20.3,-0.0237,2021-01-11,8087,
2021-01-13,3138,耀登,2021-01-14,2021-01-27,10,20,258.93,263.57,-0.0179,2021-01-13,3138,
2021-01-13,3297,杭特,2021-01-14,2021-01-27,10,20,16.25,16.4,-0.0092,2021-01-13,3297,
2021-01-14,1533,車王電,2021-01-15,2021-01-28,10,5,54.14,57.72,-0.0661,2021-01-14,1533,
2021-01-14,5468,凱鈺,2021-01-15,2021-01-28,10,20,12.58,11.33,0.0994,2021-01-14,5468,
2021-01-15,3685,元創精密,2021-01-18,2021-01-29,10,5,30.59,30.59,0.0,2021-01-15,3685,
2021-01-15,4760,勤凱,2021-01-18,2021-01-29,10,5,113.5,110.52,0.0263,2021-01-15,4760,
2021-01-15,6228,全譜,2021-01-18,2021-01-29,10,5,24.56,22.37,0.0892,2021-01-15,6228,
2021-01-18,2354,鴻準,2021-01-19,2021-02-01,10,5,69.13,70.31,-0.0171,2021-01-18,2354,
2021-01-20,3685,元創精密,2021-01-21,2021-02-03,10,20,33.21,30.59,0.0789,2021-01-20,3685,
2021-01-26,3228,金麗科,2021-01-27,2021-02-18,10,20,254.62,228.92,0.1009,2021-01-26,3228,
2021-01-27,8024,佑華,2021-01-28,2021-02-19,10,5,20.61,21.09,-0.0233,2021-01-27,8024,
2021-01-28,4576,大銀微系統,2021-01-29,2021-02-22,10,5,121.26,121.26,0.0,2021-01-28,4576,
2021-02-01,3086,華義,2021-02-02,2021-02-24,10,20,101.67,101.67,0.0,2021-02-01,3086,
2021-02-01,3219,倚強股份,2021-02-02,2021-02-24,10,10,65.89,72.18,-0.0955,2021-02-01,3219,
2021-02-01,3552,同致,2021-02-02,2021-02-24,10,20,285.35,285.83,-0.0017,2021-02-01,3552,
2021-02-04,3086,華義,2021-02-05,2021-03-02,10,20,126.3,133.05,-0.0534,2021-02-04,3086,
2021-02-04,3219,倚強股份,2021-02-05,2021-03-02,10,25,66.94,73.42,-0.0968,2021-02-04,3219,
2021-02-18,3086,華義,2021-02-19,2021-03-05,10,20,144.57,142.98,0.011,2021-02-18,3086,
2021-02-18,6482,弘煜科,2021-02-19,2021-03-05,10,5,34.14,34.14,0.0,2021-02-18,6482,
2021-02-18,6485,點序,2021-02-19,2021-03-05,10,5,66.39,66.39,0.0,2021-02-18,6485,
2021-02-18,6547,高端疫苗,2021-02-19,2021-03-05,10,5,120.17,120.17,0.0,2021-02-18,6547,
2021-02-18,8087,華鎂鑫,2021-02-19,2021-03-05,10,20,22.62,20.3,0.1026,2021-02-18,8087,
2021-02-19,3138,耀登,2021-02-22,2021-03-08,10,20,418.56,438.05,-0.0466,2021-02-19,3138,
2021-02-19,3169,亞信,2021-02-22,2021-03-08,10,5,88.88,88.88,0.0,2021-02-19,3169,
2021-02-19,4961,天鈺,2021-02-22,2021-03-08,10,20,276.4,269.23,0.0259,2021-02-19,4961,
2021-02-22,2009,第一銅,2021-02-23,2021-03-09,10,5,28.23,29.08,-0.0301,2021-02-22,2009,
2021-02-22,3483,力致,2021-02-23,2021-03-09,10,5,86.82,94.79,-0.0918,2021-02-22,3483,
2021-02-22,6589,台康生技,2021-02-23,2021-03-09,10,5,61.43,61.43,0.0,2021-02-22,6589,
2021-02-23,6482,弘煜科,2021-02-24,2021-03-10,10,20,45.34,45.34,0.0,2021-02-23,6482,
2021-02-23,6485,點序,2021-02-24,2021-03-10,10,20,76.86,72.66,0.0546,2021-02-23,6485,
2021-02-23,6547,高端疫苗,2021-02-24,2021-03-10,10,20,159.45,130.58,0.1811,2021-02-23,6547,
2021-02-23,6642,富致,2021-02-24,2021-03-10,10,5,54.81,54.49,0.0058,2021-02-23,6642,
2021-02-23,6716,應廣,2021-02-24,2021-03-10,10,5,62.84,66.43,-0.0571,2021-02-23,6716,
2021-02-23,8054,安國,2021-02-24,2021-03-10,10,5,34.22,34.97,-0.0219,2021-02-23,8054,
