公布日期,證券代號,證券名稱,處置起始,處置結束,short_return,broker_bought,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,T-11,T-12,T-13,T-14,T-15,T-16,T-17,T-18,T-19,T-20,T+1,T+2,T+3,T+4,T+5,T+6,T+7,T+8,T+9,T+10
2021-01-04,2609,陽明,2021-01-05,2021-01-18,-0.0471,0,16.57,15.58,15.81,14.39,13.09,11.9,11.22,10.51,10.74,9.77,8.9,8.98,8.81,8.53,7.76,8.13,8.16,7.96,7.28,7.28,18.13,16.32,14.7,15.47,16.18,14.56,13.6,14.68,13.23,13.49
2021-01-04,6129,普誠,2021-01-05,2021-01-18,-0.0583,0,16.85,15.33,15.14,13.86,12.64,11.51,11.71,10.92,11.8,13.08,13.13,11.95,12.29,11.41,10.38,9.45,9.66,9.67,9.42,8.57,17.83,16.75,15.92,16.21,17.63,16.02,15.43,16.21,15.97,16.36
2021-01-05,2415,錩新,2021-01-06,2021-01-19,-0.0898,0,24.84,22.62,21.62,19.74,17.95,16.32,16.2,16.45,16.07,16.2,16.61,16.74,16.82,16.57,17.07,17.03,16.91,17.2,17.2,17.36,25.88,25.84,26.34,26.34,25.75,26.3,27.55,26.59,29.22,28.22
2021-01-05,3228,金麗科,2021-01-06,2021-01-19,0.0389,0,215.82,206.12,189.15,172.17,167.81,169.75,155.2,166.84,173.63,183.81,187.69,197.39,179.45,173.14,192.06,201.27,198.36,192.06,179.93,163.93,183.33,192.06,190.12,193.51,212.43,218.25,225.04,220.19,232.8,242.5
2021-01-06,1593,祺驊,2021-01-07,2021-01-20,-0.016,0,75.31,68.7,62.5,56.88,51.77,50.52,50.68,49.43,49.09,49.43,49.68,49.85,48.92,49.34,49.26,50.68,51.35,50.94,52.28,47.58,82.35,86.71,85.03,93.41,97.6,99.69,90.06,90.48,89.64,87.96
2021-01-06,2611,志信,2021-01-07,2021-01-20,0.0,0,12.39,11.26,10.26,9.35,9.87,9.01,8.19,7.94,7.08,7.86,8.13,7.4,6.8,6.87,6.67,6.59,6.44,6.44,6.39,6.38,12.26,11.04,11.35,10.22,9.79,10.22,9.35,9.1,8.79,7.95
2021-01-06,3086,華義,2021-01-07,2021-01-20,0.0,0,54.01,49.17,44.72,40.67,36.98,33.64,30.58,27.8,26.21,27.01,27.72,26.21,26.61,26.37,25.89,26.57,26.41,26.49,27.13,27.64,65.29,71.81,78.96,86.58,77.92,70.14,63.15,56.87,62.51,56.48
2021-01-06,5468,凱鈺,2021-01-07,2021-01-20,0.0746,0,18.05,17.82,16.84,15.31,13.93,12.67,12.54,13.21,13.61,13.79,13.79,14.78,15.18,15.18,15.22,15.22,14.78,13.88,13.93,13.88,16.52,14.96,13.88,12.49,12.58,11.33,11.64,12.05,11.64,11.24
2021-01-06,8087,華鎂鑫,2021-01-07,2021-01-20,0.0,0,15.33,13.96,12.73,11.59,10.55,9.61,8.74,7.95,7.63,7.57,7.57,7.63,7.53,7.53,7.51,7.35,7.46,7.55,7.61,7.56,18.5,18.5,20.3,20.3,19.4,19.68,19.68,19.4,19.87,20.2
2021-01-07,3339,泰谷,2021-01-08,2021-01-21,0.12,0,18.97,17.25,15.72,14.33,13.03,12.55,12.7,12.41,12.6,12.84,12.75,13.22,13.8,13.8,14.09,14.13,14.52,13.99,14.71,14.66,16.43,15.91,14.42,14.66,14.52,13.32,13.56,14.9,15.38,14.85
2021-01-08,3138,耀登,2021-01-11,2021-01-22,-0.0203,0,212.06,193.04,175.87,160.09,145.71,132.71,120.65,130.39,133.64,133.18,120.59,111.83,109.51,99.77,90.95,84.64,84.45,91.79,80.74,77.96,256.15,257.08,263.57,250.58,225.52,203.25,205.1,195.82,215.31,236.66
2021-01-08,4946,辣椒,2021-01-11,2021-01-22,-0.0543,0,92.8,84.7,77.0,79.8,72.6,66.0,60.0,60.6,58.3,58.2,57.1,57.3,59.4,61.4,62.8,65.6,64.0,61.6,61.9,62.7,89.2,82.1,79.0,82.0,77.0,81.9,79.9,78.1,78.5,79.0
2021-01-08,4961,天鈺,2021-01-11,2021-01-22,0.0691,0,191.66,174.71,186.45,176.01,160.37,146.02,144.72,139.51,134.29,128.3,114.11,107.95,119.95,119.95,120.73,109.78,112.39,102.22,92.96,84.62,185.14,177.32,186.45,202.09,201.43,204.04,206.0,185.79,198.18,202.09
2021-01-11,1593,祺驊,2021-01-12,2021-01-25,0.0241,0,86.71,82.35,74.9,75.31,68.7,62.5,56.88,51.77,50.52,50.68,49.43,49.09,49.43,49.68,49.85,48.92,49.34,49.26,50.68,51.35,93.41,97.6,99.69,90.06,90.48,89.64,87.96,95.5,103.88,103.88
2021-01-11,3086,華義,2021-01-12,2021-01-25,0.0,0,71.81,65.29,59.42,54.01,49.17,44.72,40.67,36.98,33.64,30.58,27.8,26.21,27.01,27.72,26.21,26.61,26.37,25.89,26.57,26.41,86.58,77.92,70.14,63.15,56.87,62.51,56.48,56.56,59.57,63.47
2021-01-11,3552,同致,2021-01-12,2021-01-25,0.0383,0,259.67,236.37,214.97,228.28,207.83,189.28,172.16,170.74,174.07,170.74,175.02,168.83,168.83,165.98,169.79,171.21,172.16,168.36,171.69,172.16,236.37,253.96,246.83,237.79,247.31,245.4,240.17,250.64,269.18,269.18
2021-01-11,3661,世芯-KY,2021-01-12,2021-01-25,-0.0389,0,779.52,777.57,711.31,707.41,665.51,605.1,601.2,592.43,591.46,593.41,601.2,584.69,590.48,625.56,613.87,597.31,600.23,572.95,590.48,582.69,753.21,755.16,732.75,774.65,788.29,825.31,799.98,872.09,891.57,872.09
2021-01-11,8087,華鎂鑫,2021-01-12,2021-01-25,-0.0237,0,18.5,18.5,16.84,15.33,13.96,12.73,11.59,10.55,9.61,8.74,7.95,7.63,7.57,7.57,7.63,7.53,7.53,7.51,7.35,7.46,20.3,19.4,19.68,19.68,19.4,19.87,20.2,20.35,19.87,18.03
2021-01-13,3138,耀登,2021-01-14,2021-01-27,-0.0179,0,257.08,256.15,232.95,212.06,193.04,175.87,160.09,145.71,132.71,120.65,130.39,133.64,133.18,120.59,111.83,109.51,99.77,90.95,84.64,84.45,250.58,225.52,203.25,205.1,195.82,215.31,236.66,250.58,246.87,259.86
2021-01-13,3297,杭特,2021-01-14,2021-01-27,-0.0092,0,16.25,17.95,19.6,21.75,22.05,24.5,27.1,25.55,23.3,21.25,19.35,17.6,16.0,15.4,15.9,15.8,15.5,15.15,15.1,14.6,17.2,16.1,14.55,14.8,14.0,14.1,15.0,16.5,16.95,16.8
