J,Remark,A_K3,A_K3_t,A_K6,A_K6_t,A_K9,A_K9_t,A_K12,A_K12_t,B_K3,B_K3_t,B_K6,B_K6_t,B_K9,B_K9_t,B_K12,B_K12_t
3,Sell,0.0108,2.16,0.0091,1.87,0.0092,1.91,0.0087,1.87,0.0083,1.67,0.0079,1.64,0.0084,1.77,0.0083,1.67
3,Buy,0.014,3.57,0.0149,3.78,0.0152,3.83,0.0156,3.89,0.0156,3.95,0.0158,3.98,0.0158,3.96,0.016,3.87
3,Buy-sell,0.0032,1.1,0.0058,2.29,0.0061,2.69,0.0069,3.53,0.0074,2.61,0.008,3.06,0.0074,3.07,0.0077,4
6,Sell,0.0087,1.67,0.0079,1.56,0.0072,1.48,0.0066,1.66,0.0066,1.28,0.0065,1.35,0.0071,1.37,0.0068,1.58
6,Buy,0.0171,4.28,0.0174,4.33,0.0174,4.31,0.0166,4.13,0.0177,4.47,0.0176,4.41,0.0171,4.32,0.0163,4.13
6,Buy-sell,0.0084,2.44,0.0095,3.07,0.0102,3.76,0.0086,3.36,0.0111,3.37,0.0111,3.61,0.01,3.41,0.009,3.54
9,Sell,0.0077,1.47,0.0065,1.29,0.0071,1.43,0.0061,1.66,0.0058,1.13,0.0058,1.15,0.0054,1.14,0.0053,1.26
9,Buy,0.0186,4.56,0.0186,4.53,0.0176,4.3,0.0164,3.97,0.0172,4.72,0.0171,4.64,0.0161,4.49,0.015,4.2
9,Buy-sell,0.0109,3.03,0.0121,3.78,0.0105,3.47,0.0092,2.89,0.0114,3.4,0.0113,3.79,0.0106,3.6,0.0097,3.39
12,Sell,0.006,1.17,0.0065,1.29,0.0075,1.48,0.0087,1.74,0.0048,0.96,0.0052,1.07,0.0054,1.13,0.006,1.36
12,Buy,0.0192,4.63,0.0179,4.36,0.0168,4.1,0.0155,3.81,0.0196,4.73,0.0179,4.36,0.0177,4.28,0.0154,3.79
12,Buy-sell,0.0131,3.74,0.0114,3.4,0.0093,2.95,0.0068,2.25,0.0149,4.28,0.0121,3.65,0.0096,3.09,0.0094,2.31
