Combination,Remark,Count,RT_6M_After_Mean,T_statistic,P_value(one-sided > 0)
201605-201610,Loser,18,0.13666666666666663,2.0436982943926334,0.02839859483525041
201605-201610,Winner,20,0.146,2.3315238441965644,0.01544313374335723
201606-201611,Loser,20,0.1805,2.404982362383023,0.013264311343207316
201606-201611,Winner,20,0.36,2.2115941977673663,0.019723601979307823
201607-201612,Loser,20,0.20350000000000001,2.5764518697260126,0.00924507238142238
201607-201612,Winner,20,0.2805,2.162970609973688,0.02175043627771252
201608-201701,Loser,20,0.1675,2.3055019968147934,0.01629148447090857
201608-201701,Winner,20,0.33049999999999996,2.9256003829855945,0.004338058942709476
201609-201702,Loser,20,0.119,1.6726543788323534,0.05539084658165544
201609-201702,Winner,20,0.534,2.6647737533165947,0.007653716149412974
201610-201703,Loser,20,0.041,1.0693822326050517,0.14914785419972101
201610-201703,Winner,20,0.4685,3.083056042213873,0.003060947545789775
201611-201704,Loser,19,0.07052631578947369,1.306552140636752,0.10390666624280473
201611-201704,Winner,20,0.5955000000000001,3.467646259403341,0.0012888702306834271
201612-201705,Loser,20,-0.0034999999999999975,-0.07663333763505284,0.5301417740935502
201612-201705,Winner,20,0.568,2.7155659341080756,0.006860178633650991
201701-201706,Loser,20,0.009999999999999998,0.2651268900932842,0.39688340368339264
201701-201706,Winner,20,0.33799999999999997,2.1911805713243924,0.0205525010276833
201702-201707,Loser,20,0.062,1.1551329216359387,0.13117856828003824
201702-201707,Winner,20,0.339,2.177803773900881,0.021112822723871136
201703-201708,Loser,20,-0.028500000000000004,-1.1562906549237943,0.8690525094188557
201703-201708,Winner,20,-0.0475,-0.6450780613786976,0.7367049895148481
201704-201709,Loser,20,0.046,0.8664403617958819,0.19852935804427246
201704-201709,Winner,20,0.1045,1.1185835166479048,0.13863069192039865
201705-201710,Loser,20,0.026500000000000003,0.46378015050381144,0.3240372488860227
201705-201710,Winner,20,0.040999999999999995,0.3669168148644904,0.3588678504555173
201706-201711,Loser,20,-0.034999999999999996,-1.0484147813337086,0.8461991924499336
201706-201711,Winner,20,0.27049999999999996,1.4552082009905976,0.08096769651584462
201707-201712,Loser,20,-0.0345,-0.910407666249564,0.8129933908003921
201707-201712,Winner,20,0.17750000000000002,1.2205322262434268,0.11859755774262604
201605-201610,Winner - Loser,-,0.00933333333333336,0.19747070715078996,0.42290052422394037
201606-201611,Winner - Loser,-,0.1795,1.0511789855157572,0.15318151495550594
201607-201612,Winner - Loser,-,0.07700000000000001,0.46025775784977857,0.3252775174784312
201608-201701,Winner - Loser,-,0.16299999999999995,1.0697943665559093,0.14905742442584508
201609-201702,Winner - Loser,-,0.41500000000000004,1.9608807654171931,0.03235953541534895
201610-201703,Winner - Loser,-,0.42750000000000005,2.532715361080446,0.010144349662908211
201611-201704,Winner - Loser,-,0.5249736842105265,2.7387712543762457,0.0067457806711991065
201612-201705,Winner - Loser,-,0.5714999999999999,2.8157353360604325,0.005519228058082947
201701-201706,Winner - Loser,-,0.32799999999999996,2.06408158178872,0.02646876850089812
201702-201707,Winner - Loser,-,0.277,1.7375288082829725,0.04923843577637047
201703-201708,Winner - Loser,-,-0.018999999999999996,-0.21590688982516912,0.5843193466189491
201704-201709,Winner - Loser,-,0.058499999999999996,0.5442802513545231,0.29628973143396886
201705-201710,Winner - Loser,-,0.014499999999999992,0.10406374522037916,0.4591046988724774
201706-201711,Winner - Loser,-,0.30549999999999994,1.617479982854915,0.06112822006852585
201707-201712,Winner - Loser,-,0.21200000000000002,1.394165288483555,0.08967942075666674
