Stock_id,Combination,Start_Date,End_Date,Start_Price,End_Price,Return,RT_Percentile_Rank,Remark,RT_Rank,RT_6M_After
3005,201605-201610,2016/5/3,2016/10/31,21.35,41,92%,99%,Winner,1,-6%
2439,201605-201610,2016/5/3,2016/10/31,64,122,91%,99%,Winner,2,44%
2377,201605-201610,2016/5/3,2016/10/31,51.2,90.9,78%,98%,Winner,3,-32%
2345,201605-201610,2016/5/3,2016/10/31,29.3,50.4,72%,98%,Winner,4,39%
2371,201605-201610,2016/5/3,2016/10/31,4.97,8.31,67%,97%,Winner,5,34%
5269,201605-201610,2016/5/3,2016/10/31,148.5,246.5,66%,97%,Winner,6,26%
4943,201605-201610,2016/5/3,2016/10/31,43.16,71.44,66%,96%,Winner,7,78%
3008,201605-201610,2016/5/3,2016/10/31,2295,3735,63%,96%,Winner,8,37%
2383,201605-201610,2016/5/3,2016/10/31,57.6,88.1,53%,95%,Winner,9,39%
1319,201605-201610,2016/5/3,2016/10/31,48,73.4,53%,95%,Winner,10,-30%
2023,201605-201610,2016/5/3,2016/10/31,8.27,12.2,48%,94%,Winner,11,2%
8464,201605-201610,2016/5/3,2016/10/31,254,366,44%,94%,Winner,12,-16%
2492,201605-201610,2016/5/3,2016/10/31,27.2,38.3,41%,93%,Winner,13,49%
6239,201605-201610,2016/5/3,2016/10/31,65.1,90.1,38%,93%,Winner,14,6%
2354,201605-201610,2016/5/3,2016/10/31,66.8,91.6,37%,92%,Winner,15,1%
6452,201605-201610,2016/5/3,2016/10/31,352.5,476.5,35%,92%,Winner,16,-1%
4915,201605-201610,2016/5/3,2016/10/31,37,50,35%,91%,Winner,17,-1%
2633,201605-201610,2016/5/3,2016/10/31,15.5,20.85,35%,91%,Winner,18,14%
2409,201605-201610,2016/5/3,2016/10/31,9.02,12,33%,90%,Winner,19,3%
3706,201605-201610,2016/5/3,2016/10/31,22.5,29.9,33%,90%,Winner,20,6%
2855,201605-201610,2016/5/3,2016/10/31,12.25,11,-10%,10%,Loser,179,22%
2615,201605-201610,2016/5/3,2016/10/31,17.35,15.55,-10%,10%,Loser,180,8%
2015,201605-201610,2016/5/3,2016/10/31,46.8,41.9,-10%,9%,Loser,181,22%
9907,201605-201610,2016/5/3,2016/10/31,15.2,13.55,-11%,9%,Loser,182,7%
2849,201605-201610,2016/5/3,2016/10/31,13.9,12.05,-13%,8%,Loser,183,10%
1536,201605-201610,2016/5/3,2016/10/31,152,131.5,-13%,8%,Loser,184,1%
2106,201605-201610,2016/5/3,2016/10/31,56,48.3,-14%,7%,Loser,185,0%
2606,201605-201610,2016/5/3,2016/10/31,25.6,21.9,-14%,7%,Loser,186,40%
2511,201605-201610,2016/5/3,2016/10/31,11.7,10,-15%,6%,Loser,187,18%
8341,201605-201610,2016/5/3,2016/10/31,142.5,113,-21%,5%,Loser,189,33%
2231,201605-201610,2016/5/3,2016/10/31,383,290,-24%,5%,Loser,190,10%
8046,201605-201610,2016/5/3,2016/10/31,31.5,23.85,-24%,4%,Loser,191,9%
1477,201605-201610,2016/5/3,2016/10/31,166,124.5,-25%,4%,Loser,192,2%
3060,201605-201610,2016/5/3,2016/10/31,49.95,37.1,-26%,3%,Loser,193,-16%
3673,201605-201610,2016/5/3,2016/10/31,68.2,50.5,-26%,3%,Loser,194,108%
5264,201605-201610,2016/5/3,2016/10/31,139.5,101.5,-27%,2%,Loser,195,-11%
1589,201605-201610,2016/5/3,2016/10/31,204.5,124,-39%,2%,Loser,196,-24%
4137,201605-201610,2016/5/3,2016/10/31,229.5,138.5,-40%,1%,Loser,197,7%
2371,201606-201611,2016/6/1,2016/11/30,5.06,9.84,94%,99%,Winner,1,4%
3406,201606-201611,2016/6/1,2016/11/30,47.7,92.3,94%,99%,Winner,2,216%
3005,201606-201611,2016/6/1,2016/11/30,23.15,40.45,75%,98%,Winner,3,2%
2439,201606-201611,2016/6/1,2016/11/30,70.6,121.5,72%,98%,Winner,4,34%
5269,201606-201611,2016/6/1,2016/11/30,157,263,68%,97%,Winner,5,21%
3532,201606-201611,2016/6/1,2016/11/30,31.2,51.6,65%,97%,Winner,6,71%
2377,201606-201611,2016/6/1,2016/11/30,52.6,85,62%,96%,Winner,7,-15%
2023,201606-201611,2016/6/1,2016/11/30,8.04,12.3,53%,96%,Winner,8,6%
2337,201606-201611,2016/6/1,2016/11/30,2.65,4.04,52%,95%,Winner,9,258%
2352,201606-201611,2016/6/1,2016/11/30,10.65,15.4,45%,95%,Winner,10,38%
1605,201606-201611,2016/6/1,2016/11/30,9.29,13.4,44%,94%,Winner,11,-6%
1319,201606-201611,2016/6/1,2016/11/30,47.6,68,43%,94%,Winner,12,-16%
