Stock_id,Start_Date,End_Date,Start_Price,End_Price,Return,combination,rank
1101,2016-05-03,2016-10-31,32.65,37.85,0.15926493108728954,2016-05-03_2016-10-31,48
1710,2016-05-03,2016-10-31,20.8,19.75,-0.05048076923076927,2016-05-03_2016-10-31,165
2015,2016-05-03,2016-10-31,46.8,41.9,-0.10470085470085468,2016-05-03_2016-10-31,182
1907,2016-05-03,2016-10-31,10.0,9.3,-0.06999999999999992,2016-05-03_2016-10-31,175
2006,2016-05-03,2016-10-31,20.35,20.15,-0.009828009828009967,2016-05-03_2016-10-31,135
2002,2016-05-03,2016-10-31,22.4,22.8,0.017857142857142953,2016-05-03_2016-10-31,114
2101,2016-05-03,2016-10-31,26.85,29.1,0.08379888268156424,2016-05-03_2016-10-31,82
2206,2016-05-03,2016-10-31,20.45,20.2,-0.012224938875305624,2016-05-03_2016-10-31,138
1909,2016-05-03,2016-10-31,13.5,15.0,0.1111111111111111,2016-05-03_2016-10-31,73
2362,2016-05-03,2016-10-31,27.75,28.9,0.04144144144144139,2016-05-03_2016-10-31,102
1507,2016-05-03,2016-10-31,46.45,44.55,-0.040904198062432846,2016-05-03_2016-10-31,160
1802,2016-05-03,2016-10-31,13.55,13.2,-0.02583025830258313,2016-05-03_2016-10-31,148
2393,2016-05-03,2016-10-31,45.35,47.65,0.050716648291069394,2016-05-03_2016-10-31,99
1789,2016-05-03,2016-10-31,42.55,40.2,-0.05522914218566379,2016-05-03_2016-10-31,166
2501,2016-05-03,2016-10-31,14.2,16.2,0.14084507042253522,2016-05-03_2016-10-31,56
2511,2016-05-03,2016-10-31,11.7,10.0,-0.14529914529914525,2016-05-03_2016-10-31,188
1723,2016-05-03,2016-10-31,107.5,108.5,0.009302325581395349,2016-05-03_2016-10-31,120
2609,2016-05-03,2016-10-31,8.4,7.01,-0.16547619047619053,2016-05-03_2016-10-31,189
2707,2016-05-03,2016-10-31,195.0,177.0,-0.09230769230769231,2016-05-03_2016-10-31,178
1722,2016-05-03,2016-10-31,43.0,42.3,-0.016279069767441926,2016-05-03_2016-10-31,141
2727,2016-05-03,2016-10-31,120.5,115.5,-0.04149377593360996,2016-05-03_2016-10-31,161
2392,2016-05-03,2016-10-31,41.3,38.65,-0.0641646489104116,2016-05-03_2016-10-31,171
2049,2016-05-03,2016-10-31,136.5,139.5,0.02197802197802198,2016-05-03_2016-10-31,112
1440,2016-05-03,2016-10-31,13.05,12.1,-0.07279693486590046,2016-05-03_2016-10-31,176
9945,2016-05-03,2016-10-31,35.15,36.4,0.03556187766714083,2016-05-03_2016-10-31,107
2227,2016-05-03,2016-10-31,200.0,199.0,-0.005,2016-05-03_2016-10-31,133
6452,2016-05-03,2016-10-31,352.5,476.5,0.3517730496453901,2016-05-03_2016-10-31,17
6456,2016-05-03,2016-10-31,85.7,84.2,-0.01750291715285881,2016-05-03_2016-10-31,142
2207,2016-05-03,2016-10-31,317.5,367.5,0.15748031496062992,2016-05-03_2016-10-31,49
6505,2016-05-03,2016-10-31,91.3,105.5,0.15553121577217965,2016-05-03_2016-10-31,51
8454,2016-05-03,2016-10-31,209.5,205.0,-0.021479713603818614,2016-05-03_2016-10-31,144
2204,2016-05-03,2016-10-31,22.55,24.75,0.09756097560975606,2016-05-03_2016-10-31,75
8464,2016-05-03,2016-10-31,254.0,366.0,0.4409448818897638,2016-05-03_2016-10-31,13
9904,2016-05-03,2016-10-31,40.0,42.7,0.06750000000000007,2016-05-03_2016-10-31,91
2201,2016-05-03,2016-10-31,28.35,27.65,-0.024691358024691457,2016-05-03_2016-10-31,147
9910,2016-05-03,2016-10-31,139.0,132.0,-0.050359712230215826,2016-05-03_2016-10-31,164
9914,2016-05-03,2016-10-31,133.0,145.5,0.09398496240601503,2016-05-03_2016-10-31,80
2106,2016-05-03,2016-10-31,56.0,48.3,-0.13750000000000004,2016-05-03_2016-10-31,186
9917,2016-05-03,2016-10-31,90.2,90.5,0.0033259423503325626,2016-05-03_2016-10-31,125
