Stock_id,Start_Date,End_Date,Start_Price,End_Price,Return,combination,rank,remark
6116,2016-05-03,2016-10-31,3.67,7.91,1.1553133514986378,2016-05-03_2016-10-31,1,Winner
3005,2016-05-03,2016-10-31,21.35,41.0,0.9203747072599532,2016-05-03_2016-10-31,2,Winner
2439,2016-05-03,2016-10-31,64.0,122.0,0.90625,2016-05-03_2016-10-31,3,Winner
2377,2016-05-03,2016-10-31,51.2,90.9,0.775390625,2016-05-03_2016-10-31,4,Winner
2345,2016-05-03,2016-10-31,29.3,50.4,0.720136518771331,2016-05-03_2016-10-31,5,Winner
2371,2016-05-03,2016-10-31,4.97,8.31,0.6720321931589539,2016-05-03_2016-10-31,6,Winner
5269,2016-05-03,2016-10-31,148.5,246.5,0.6599326599326599,2016-05-03_2016-10-31,7,Winner
4943,2016-05-03,2016-10-31,43.16,71.44,0.6552363299351252,2016-05-03_2016-10-31,8,Winner
3008,2016-05-03,2016-10-31,2295.0,3735.0,0.6274509803921569,2016-05-03_2016-10-31,9,Winner
2383,2016-05-03,2016-10-31,57.6,88.1,0.5295138888888887,2016-05-03_2016-10-31,10,Winner
1319,2016-05-03,2016-10-31,48.0,73.4,0.5291666666666668,2016-05-03_2016-10-31,11,Winner
2023,2016-05-03,2016-10-31,8.27,12.2,0.4752116082224909,2016-05-03_2016-10-31,12,Winner
8464,2016-05-03,2016-10-31,254.0,366.0,0.4409448818897638,2016-05-03_2016-10-31,13,Winner
2492,2016-05-03,2016-10-31,27.2,38.3,0.4080882352941176,2016-05-03_2016-10-31,14,Winner
6239,2016-05-03,2016-10-31,65.1,90.1,0.3840245775729647,2016-05-03_2016-10-31,15,Winner
2354,2016-05-03,2016-10-31,66.8,91.6,0.3712574850299401,2016-05-03_2016-10-31,16,Winner
6452,2016-05-03,2016-10-31,352.5,476.5,0.3517730496453901,2016-05-03_2016-10-31,17,Winner
4915,2016-05-03,2016-10-31,37.0,50.0,0.3513513513513513,2016-05-03_2016-10-31,18,Winner
2633,2016-05-03,2016-10-31,15.5,20.85,0.3451612903225807,2016-05-03_2016-10-31,19,Winner
2610,2016-05-03,2016-10-31,10.55,9.55,-0.0947867298578199,2016-05-03_2016-10-31,179,Loser
2855,2016-05-03,2016-10-31,12.25,11.0,-0.1020408163265306,2016-05-03_2016-10-31,180,Loser
2615,2016-05-03,2016-10-31,17.35,15.55,-0.1037463976945245,2016-05-03_2016-10-31,181,Loser
2015,2016-05-03,2016-10-31,46.8,41.9,-0.1047008547008546,2016-05-03_2016-10-31,182,Loser
9907,2016-05-03,2016-10-31,15.2,13.55,-0.1085526315789472,2016-05-03_2016-10-31,183,Loser
2849,2016-05-03,2016-10-31,13.9,12.05,-0.1330935251798561,2016-05-03_2016-10-31,184,Loser
1536,2016-05-03,2016-10-31,152.0,131.5,-0.1348684210526315,2016-05-03_2016-10-31,185,Loser
2106,2016-05-03,2016-10-31,56.0,48.3,-0.1375,2016-05-03_2016-10-31,186,Loser
2606,2016-05-03,2016-10-31,25.6,21.9,-0.1445312500000001,2016-05-03_2016-10-31,187,Loser
2511,2016-05-03,2016-10-31,11.7,10.0,-0.1452991452991452,2016-05-03_2016-10-31,188,Loser
2609,2016-05-03,2016-10-31,8.4,7.01,-0.1654761904761905,2016-05-03_2016-10-31,189,Loser
8341,2016-05-03,2016-10-31,142.5,113.0,-0.2070175438596491,2016-05-03_2016-10-31,190,Loser
2231,2016-05-03,2016-10-31,383.0,290.0,-0.2428198433420365,2016-05-03_2016-10-31,191,Loser
8046,2016-05-03,2016-10-31,31.5,23.85,-0.2428571428571428,2016-05-03_2016-10-31,192,Loser
1477,2016-05-03,2016-10-31,166.0,124.5,-0.25,2016-05-03_2016-10-31,193,Loser
3060,2016-05-03,2016-10-31,49.95,37.1,-0.2572572572572573,2016-05-03_2016-10-31,194,Loser
3673,2016-05-03,2016-10-31,68.2,50.5,-0.2595307917888563,2016-05-03_2016-10-31,195,Loser
5264,2016-05-03,2016-10-31,139.5,101.5,-0.2724014336917563,2016-05-03_2016-10-31,196,Loser
1589,2016-05-03,2016-10-31,204.5,124.0,-0.393643031784841,2016-05-03_2016-10-31,197,Loser
4137,2016-05-03,2016-10-31,229.5,138.5,-0.3965141612200435,2016-05-03_2016-10-31,198,Loser
3662,2016-05-03,2016-10-31,103.0,11.75,-0.8859223300970874,2016-05-03_2016-10-31,199,Loser
6116,2016-06-01,2016-11-30,3.81,9.02,1.3674540682414695,2016-06-01_2016-11-30,1,Winner
2371,2016-06-01,2016-11-30,5.06,9.84,0.9446640316205536,2016-06-01_2016-11-30,2,Winner
3406,2016-06-01,2016-11-30,47.7,92.3,0.9350104821802934,2016-06-01_2016-11-30,3,Winner
3005,2016-06-01,2016-11-30,23.15,40.45,0.7473002159827216,2016-06-01_2016-11-30,4,Winner
2439,2016-06-01,2016-11-30,70.6,121.5,0.7209631728045327,2016-06-01_2016-11-30,5,Winner
5269,2016-06-01,2016-11-30,157.0,263.0,0.6751592356687898,2016-06-01_2016-11-30,6,Winner
3532,2016-06-01,2016-11-30,31.2,51.6,0.653846153846154,2016-06-01_2016-11-30,7,Winner
2377,2016-06-01,2016-11-30,52.6,85.0,0.6159695817490494,2016-06-01_2016-11-30,8,Winner
2023,2016-06-01,2016-11-30,8.04,12.3,0.5298507462686569,2016-06-01_2016-11-30,9,Winner
2337,2016-06-01,2016-11-30,2.65,4.04,0.5245283018867926,2016-06-01_2016-11-30,10,Winner
2352,2016-06-01,2016-11-30,10.65,15.4,0.4460093896713615,2016-06-01_2016-11-30,11,Winner
1605,2016-06-01,2016-11-30,9.29,13.4,0.4424111948331541,2016-06-01_2016-11-30,12,Winner
1319,2016-06-01,2016-11-30,47.6,68.0,0.4285714285714285,2016-06-01_2016-11-30,13,Winner
3706,2016-06-01,2016-11-30,22.9,32.45,0.4170305676855897,2016-06-01_2016-11-30,14,Winner
2823,2016-06-01,2016-11-30,25.3,34.0,0.3438735177865612,2016-06-01_2016-11-30,15,Winner
2501,2016-06-01,2016-11-30,13.85,18.6,0.3429602888086644,2016-06-01_2016-11-30,16,Winner
3008,2016-06-01,2016-11-30,2830.0,3690.0,0.303886925795053,2016-06-01_2016-11-30,17,Winner
2456,2016-06-01,2016-11-30,56.0,71.6,0.2785714285714284,2016-06-01_2016-11-30,18,Winner
2809,2016-06-01,2016-11-30,21.2,27.1,0.2783018867924529,2016-06-01_2016-11-30,19,Winner
2849,2016-06-01,2016-11-30,14.35,12.6,-0.1219512195121951,2016-06-01_2016-11-30,177,Loser
9910,2016-06-01,2016-11-30,136.5,119.5,-0.1245421245421245,2016-06-01_2016-11-30,178,Loser
