remark,n,mean,t_stat,p_value,oPeriod,hPeriod
loser,96,0.0502626213038157,2.6859082135906025,0.0085378337734927,12,12
winner,96,0.0548156616265111,2.854890184513401,0.0052862897450562,12,12
winner - loser,96,0.0045530403226953,0.2976833397963888,0.7665948757445131,12,12
loser,105,0.0009689999826926,0.0866185189382043,0.931141294742148,12,3
winner,105,0.0202434025655399,2.1632198381453125,0.0328146295022115,12,3
winner - loser,105,0.0192744025828473,2.7602697730369674,0.0068272415880491,12,3
loser,102,0.0070849961286208,0.5169735555141513,0.6063048747610706,12,6
winner,102,0.0324789358991765,2.5712688955576706,0.0115897049324911,12,6
winner - loser,102,0.0253939397705556,2.927371840495851,0.0042239210316715,12,6
loser,99,0.021736117043418,1.3542015136788206,0.1787864812261722,12,9
winner,99,0.0409543420491845,2.58970534278597,0.0110688892491269,12,9
winner - loser,99,0.0192182250057665,1.6752544993672105,0.0970724231873674,12,9
loser,105,0.0003125086408015,0.0194905974739195,0.9844870821623112,3,12
winner,105,0.0664817266612943,3.741538791435468,0.0002998326966481,3,12
winner - loser,105,0.0661692180204927,7.026777718840406,2.2733299034642343e-10,3,12
loser,114,0.0012676155267131,0.1276520134012013,0.8986512591354677,3,3
winner,114,0.0245914578344956,2.9832338535301437,0.0034952799955571,3,3
winner - loser,114,0.0233238423077825,3.66736435523846,0.0003751809064949,3,3
loser,111,-0.0022454643896498,-0.192458580232077,0.8477378757188323,3,6
winner,111,0.0465144851307833,3.890533767518816,0.0001717033133962,3,6
winner - loser,111,0.0487599495204331,7.172779900582818,9.0227491087471e-11,3,6
loser,108,-0.0049802207879865,-0.3811462975802873,0.7038504394840535,3,9
winner,108,0.0624538285354816,4.208804347851828,5.359871398195501e-05,3,9
winner - loser,108,0.0674340493234681,8.690583594502474,4.607862124168616e-14,3,9
loser,102,0.0033447675404103,0.1977988608953932,0.8435999901107323,6,12
winner,102,0.0661298879816656,3.533196900277839,0.0006207648006891,6,12
winner - loser,102,0.0627851204412553,5.583591958178526,1.9932779401453955e-07,6,12
loser,111,-0.0014076547465483,-0.1338324642093709,0.8937796032625371,6,3
winner,111,0.0284455270522949,3.313466994845784,0.0012479282761841,6,3
winner - loser,111,0.0298531817988433,4.463565483019996,1.9584885203990235e-05,6,3
loser,108,-0.0064356153283792,-0.5250335292948768,0.6006460874494995,6,6
winner,108,0.0534230128330335,4.357115129492704,3.034778739454232e-05,6,6
winner - loser,108,0.0598586281614128,8.132207037943193,8.085840321135804e-13,6,6
loser,105,-0.0052533604176781,-0.3720998834639161,0.7105756087541759,6,9
winner,105,0.0653808199574434,4.268612778526007,4.35424460586264e-05,6,9
winner - loser,105,0.0706341803751215,8.0859196216081,1.1951262034588097e-12,6,9
loser,99,0.0218777102819817,1.2035157458768695,0.2316759793330757,9,12
winner,99,0.0528550072841868,2.814651230590147,0.005902589109913,9,12
winner - loser,99,0.0309772970022051,2.3830353163094213,0.0190987521352235,9,12
loser,108,-0.0029363116941564,-0.2700028979888507,0.7876780827202791,9,3
winner,108,0.0287245652191038,3.2566806016391334,0.0015103880803215,9,3
winner - loser,108,0.0316608769132603,4.500454534187382,1.7314668410492774e-05,9,3
loser,105,-0.0041427921277087,-0.3113780863678452,0.7561365171280074,9,6
winner,105,0.0461706745546596,3.829769833417621,0.000219562610715,9,6
winner - loser,105,0.0503134666823683,6.224270461246019,1.0334558805426533e-08,9,6
loser,102,0.0006657957164627,0.0446015129673663,0.9645129998397388,9,9
winner,102,0.053461108181999,3.52362257606144,0.0006410609055931,9,9
winner - loser,102,0.0527953124655363,5.344803680695286,5.629507809625671e-07,9,9
