combination,remark,count,mean_return2
201001-201004,loser,89,-0.11881517043622208
201001-201004,winner,88,-0.0889880650605158
201001-201004,winner - loser,-,0.029827105375706278
201002-201005,loser,82,-0.04075144477980927
201002-201005,winner,84,-0.010407426634849523
201002-201005,winner - loser,-,0.030344018144959746
201003-201006,loser,89,0.00797758306142945
201003-201006,winner,89,0.12059599795691388
201003-201006,winner - loser,-,0.11261841489548442
201004-201007,loser,94,0.0896820253888485
201004-201007,winner,94,0.13145212738924436
201004-201007,winner - loser,-,0.04177010200039587
201005-201008,loser,89,-0.057750233171602765
201005-201008,winner,91,0.021973527489271172
201005-201008,winner - loser,-,0.07972376066087394
201006-201009,loser,90,-0.0171834267445754
201006-201009,winner,91,0.0086251343789584
201006-201009,winner - loser,-,0.025808561123533802
201007-201010,loser,92,-0.05937888528601469
201007-201010,winner,93,-0.0025586130576862975
201007-201010,winner - loser,-,0.056820272228328396
201008-201011,loser,96,0.0249675170457951
201008-201011,winner,96,0.022109174036759577
201008-201011,winner - loser,-,-0.0028583430090355216
201009-201012,loser,97,0.06161826071413127
201009-201012,winner,97,-0.03754074315083767
201009-201012,winner - loser,-,-0.09915900386496894
201010-201101,loser,99,-0.01115397924618734
201010-201101,winner,99,-0.008079835722297441
201010-201101,winner - loser,-,0.003074143523889898
201011-201102,loser,96,-0.016974971078542574
201011-201102,winner,96,-0.01224355439469549
201011-201102,winner - loser,-,0.004731416683847084
201012-201103,loser,101,0.0034000520685796135
201012-201103,winner,101,-0.04919773232855338
201012-201103,winner - loser,-,-0.052597784397132995
201101-201104,loser,109,0.02440444563624004
201101-201104,winner,109,-0.08249506423114135
201101-201104,winner - loser,-,-0.10689950986738139
201102-201105,loser,107,-0.09068221943728566
201102-201105,winner,108,0.029428693432775908
201102-201105,winner - loser,-,0.12011091287006156
201103-201106,loser,106,-0.2575599154764501
201103-201106,winner,107,-0.10334818862620244
201103-201106,winner - loser,-,0.15421172685024764
201104-201107,loser,109,-0.25672709473896177
201104-201107,winner,109,-0.1671106327634354
201104-201107,winner - loser,-,0.08961646197552636
201105-201108,loser,108,-0.19595179246109046
201105-201108,winner,108,-0.16386456170208888
201105-201108,winner - loser,-,0.03208723075900158
201106-201109,loser,107,-0.18014274687206008
201106-201109,winner,107,-0.13961809784714588
201106-201109,winner - loser,-,0.040524649024914206
201107-201110,loser,104,-0.06290786105619935
201107-201110,winner,103,-0.0420746271448838
201107-201110,winner - loser,-,0.020833233911315543
201108-201111,loser,98,0.0012503601285397004
201108-201111,winner,99,-0.036856190496091255
201108-201111,winner - loser,-,-0.038106550624630954
201109-201112,loser,94,0.41794601737796594
201109-201112,winner,94,0.13516316350590277
201109-201112,winner - loser,-,-0.28278285387206314
201110-201201,loser,94,0.29014693237004896
201110-201201,winner,93,0.19460909057582065
201110-201201,winner - loser,-,-0.0955378417942283
201111-201202,loser,91,-0.015432769495499737
201111-201202,winner,91,0.056191403106861076
201111-201202,winner - loser,-,0.07162417260236081
201112-201203,loser,83,-0.03094339924633296
201112-201203,winner,87,-0.14753591030582014
201112-201203,winner - loser,-,-0.11659251105948717
201201-201204,loser,87,-0.04078652224977007
201201-201204,winner,89,-0.11185574645265613
201201-201204,winner - loser,-,-0.07106922420288606
201202-201205,loser,100,-0.048780829224064674
201202-201205,winner,99,-0.0537846601387851
201202-201205,winner - loser,-,-0.005003830914720425
201203-201206,loser,103,0.014452751542389638
201203-201206,winner,103,0.07873912352661665
201203-201206,winner - loser,-,0.06428637198422701
201204-201207,loser,97,0.044734136724776136
201204-201207,winner,98,0.06695081658439862
201204-201207,winner - loser,-,0.022216679859622487
201205-201208,loser,95,-0.12106769093522413
201205-201208,winner,95,-0.0063679724600805045
201205-201208,winner - loser,-,0.11469971847514362
201206-201209,loser,93,-0.09309010604781107
201206-201209,winner,93,-0.019404243259738264
201206-201209,winner - loser,-,0.0736858627880728
201207-201210,loser,94,-0.02076597450817876
201207-201210,winner,93,0.025716177425908433
201207-201210,winner - loser,-,0.046482151934087196
201208-201211,loser,95,0.23871909758973398
201208-201211,winner,95,0.13296962833714993
201208-201211,winner - loser,-,-0.10574946925258405
201209-201212,loser,99,0.11833992324063748
201209-201212,winner,98,0.18270784608869148
201209-201212,winner - loser,-,0.064367922848054
201210-201301,loser,97,0.08861236628778661
201210-201301,winner,97,0.11909177529921466
201210-201301,winner - loser,-,0.030479409011428052
201211-201302,loser,92,0.007411281620545283
201211-201302,winner,94,0.024749053362467608
201211-201302,winner - loser,-,0.017337771741922324
201212-201303,loser,98,0.03426599026323908
201212-201303,winner,98,0.07104022184245384
201212-201303,winner - loser,-,0.036774231579214764
201301-201304,loser,101,-0.05015854096324886
201301-201304,winner,101,0.11196421344025195
201301-201304,winner - loser,-,0.16212275440350082
201302-201305,loser,103,0.013165056545396172
201302-201305,winner,103,0.13785709083226605
201302-201305,winner - loser,-,0.12469203428686988
201303-201306,loser,106,-0.021940035305063655
201303-201306,winner,105,0.019205390896521828
201303-201306,winner - loser,-,0.04114542620158548
201304-201307,loser,107,0.005051155071210032
201304-201307,winner,106,0.09211561678239213
201304-201307,winner - loser,-,0.08706446171118211
201305-201308,loser,110,0.03596237496288307
201305-201308,winner,109,0.07816016129948306
201305-201308,winner - loser,-,0.042197786336599985
201306-201309,loser,110,-0.0037000595290482296
201306-201309,winner,110,0.12085636109683423
201306-201309,winner - loser,-,0.12455642062588246
201307-201310,loser,110,0.021912107828536285
201307-201310,winner,110,0.16645552638834155
201307-201310,winner - loser,-,0.14454341855980526
201308-201311,loser,112,0.07292016626269471
201308-201311,winner,112,0.08829467192947416
201308-201311,winner - loser,-,0.015374505666779448
201309-201312,loser,114,0.17994071672285958
201309-201312,winner,114,0.1889986335903401
201309-201312,winner - loser,-,0.009057916867480531
201310-201401,loser,116,0.1396733125016606
201310-201401,winner,116,0.11145370226615538
201310-201401,winner - loser,-,-0.02821961023550522
201311-201402,loser,116,0.07769461549863002
201311-201402,winner,116,0.11174029100659762
201311-201402,winner - loser,-,0.034045675507967596
201312-201403,loser,118,-0.007289758471094285
201312-201403,winner,118,0.06937860444561968
201312-201403,winner - loser,-,0.07666836291671396
201401-201404,loser,122,0.01190325270228625
201401-201404,winner,123,0.13454712522949583
201401-201404,winner - loser,-,0.12264387252720958
201402-201405,loser,123,0.022967253101890534
201402-201405,winner,124,0.10894880428480576
201402-201405,winner - loser,-,0.08598155118291523
201403-201406,loser,126,-0.03832315802684787
201403-201406,winner,127,-0.02204302899295919
201403-201406,winner - loser,-,0.016280129033888677
201404-201407,loser,127,-0.0980150074533096
201404-201407,winner,128,-0.08585624410009081
201404-201407,winner - loser,-,0.01215876335321879
201405-201408,loser,125,-0.1271965675241736
201405-201408,winner,124,-0.11986520077886122
201405-201408,winner - loser,-,0.007331366745312387
201406-201409,loser,129,-0.10788947127531703
201406-201409,winner,129,-0.08021315221264587
201406-201409,winner - loser,-,0.027676319062671165
201407-201410,loser,130,0.030115805638924367
201407-201410,winner,130,0.0024879074465541592
201407-201410,winner - loser,-,-0.027627898192370208
201408-201411,loser,128,0.13705573046552988
201408-201411,winner,128,0.07939354418736351
201408-201411,winner - loser,-,-0.05766218627816637
201409-201412,loser,128,0.14701416170253673
201409-201412,winner,129,0.057847068166837684
201409-201412,winner - loser,-,-0.08916709353569904
201410-201501,loser,125,0.008874235584844471
201410-201501,winner,126,0.053074436409938926
201410-201501,winner - loser,-,0.04420020082509445
201411-201502,loser,125,0.00047397368100131283
201411-201502,winner,125,0.06101076476202449
201411-201502,winner - loser,-,0.060536791081023174
201412-201503,loser,129,-0.045725969807700835
201412-201503,winner,129,0.04060901360813915
201412-201503,winner - loser,-,0.08633498341583998
201501-201504,loser,133,-0.15185481979369803
201501-201504,winner,133,0.025545536628012157
201501-201504,winner - loser,-,0.17740035642171018
201502-201505,loser,133,-0.24826813470101525
201502-201505,winner,133,-0.1014173801704028
201502-201505,winner - loser,-,0.14685075453061244
201503-201506,loser,134,-0.25416925371685234
201503-201506,winner,134,-0.18259146138834292
201503-201506,winner - loser,-,0.07157779232850942
201504-201507,loser,134,-0.12978891669443707
201504-201507,winner,134,-0.09957383412678716
201504-201507,winner - loser,-,0.030215082567649904
201505-201508,loser,131,0.1992200785274511
201505-201508,winner,131,0.08907360800997056
201505-201508,winner - loser,-,-0.11014647051748054
201506-201509,loser,128,0.24828411633168898
201506-201509,winner,127,0.12699901559363286
201506-201509,winner - loser,-,-0.12128510073805612
201507-201510,loser,125,0.10280655711284772
201507-201510,winner,124,0.1160133569834584
201507-201510,winner - loser,-,0.013206799870610672
201508-201511,loser,115,-0.06027387954977885
201508-201511,winner,117,-0.009770777178430055
201508-201511,winner - loser,-,0.05050310237134879
201509-201512,loser,117,-0.004777732856439195
201509-201512,winner,118,-0.008720827465812854
201509-201512,winner - loser,-,-0.003943094609373659
201510-201601,loser,122,0.05862364734775814
201510-201601,winner,123,0.04437250804191559
201510-201601,winner - loser,-,-0.014251139305842556
201511-201602,loser,122,0.03737289128451643
201511-201602,winner,122,0.003447128182525496
201511-201602,winner - loser,-,-0.033925763101990934
201512-201603,loser,120,-0.054158166349482416
201512-201603,winner,121,-0.02127907751047405
201512-201603,winner - loser,-,0.032879088839008364
201601-201604,loser,118,-0.05178561201724531
201601-201604,winner,119,0.024449603114699497
201601-201604,winner - loser,-,0.07623521513194481
201602-201605,loser,121,0.08878856351296137
201602-201605,winner,122,0.08854154860758158
201602-201605,winner - loser,-,-0.00024701490537978876
201603-201606,loser,126,0.06397421514685124
201603-201606,winner,128,0.06858463020163116
201603-201606,winner - loser,-,0.004610415054779923
201604-201607,loser,126,0.038466565519586375
201604-201607,winner,125,0.04493303918100527
201604-201607,winner - loser,-,0.006466473661418892
201605-201608,loser,123,-0.04623162402684699
201605-201608,winner,123,-0.016697709053188493
