stock_id,start_date,end_date,SD_close,ED_close,combination,return,RT_%_Rank,remark,RT_rank
1233,2010-01-04,2010-06-30,18.98,27.5,201001-201007,0.44889357,15.350245099877217,winner,42.0
1236,2010-01-04,2010-06-30,10.55,15.36,201001-201007,0.45592417,15.44230516636141,winner,38.0
1439,2010-01-04,2010-06-30,14.75,18.41,201001-201007,0.24813559,12.721480416061898,winner,81.0
1468,2010-01-04,2010-06-30,11.2,18.6,201001-201007,0.66071429,18.123867488567985,winner,21.0
1471,2010-01-04,2010-06-30,50.55,31.76,201001-201007,-0.37171118,4.605084254111097,loser,862.0
1475,2010-01-04,2010-06-30,45.69,63.7,201001-201007,0.39417816,14.633790703053362,winner,52.0
1477,2010-01-04,2010-06-30,22.93,29.32,201001-201007,0.27867423,13.121359406295563,winner,73.0
1519,2010-01-04,2010-06-30,20.38,12.85,201001-201007,-0.36947988,4.634301337481816,loser,861.0
1537,2010-01-04,2010-06-30,16.85,21.54,201001-201007,0.27833828,13.116960410571815,winner,74.0
1558,2010-01-04,2010-06-30,28.09,46.47,201001-201007,0.65432538,18.04020983781819,winner,22.0
1563,2010-01-04,2010-06-30,8.97,11.55,201001-201007,0.28762542,13.238568057977156,winner,70.0
1565,2010-01-04,2010-06-30,96.78,132.46,201001-201007,0.36867121,14.299797656541124,winner,55.0
1569,2010-01-04,2010-06-30,23.53,34.23,201001-201007,0.45473863,15.426781471197456,winner,40.0
1580,2010-01-04,2010-06-30,20.95,41.42,201001-201007,0.97708831,22.266531459647393,winner,10.0
1583,2010-01-04,2010-06-30,13.24,16.74,201001-201007,0.26435045,12.933800998890089,winner,77.0
1702,2010-01-04,2010-06-30,16.3,20.0,201001-201007,0.22699387,12.444646554259183,winner,85.0
1729,2010-01-04,2010-06-30,71.03,46.98,201001-201007,-0.33858933,5.038788306834821,loser,841.0
1742,2010-01-04,2010-06-30,40.13,49.16,201001-201007,0.22501869,12.418783156808292,winner,86.0
1781,2010-01-04,2010-06-30,16.57,22.56,201001-201007,0.36149668,14.205852942179217,winner,57.0
1784,2010-01-04,2010-06-30,56.91,38.19,201001-201007,-0.32894043,5.165132911207039,loser,831.0
1815,2010-01-04,2010-06-30,11.84,17.81,201001-201007,0.50422297,16.074739203158646,winner,34.0
2028,2010-01-04,2010-06-30,15.64,9.77,201001-201007,-0.37531969,4.557833710699601,loser,867.0
2049,2010-01-04,2010-06-30,23.25,38.08,201001-201007,0.63784946,17.82447088373344,winner,23.0
