stock_id,start_date,end_date,SD_close,ED_close,combination,return,RT_%_Rank,remark,RT_rank
1101,2010-01-04,2010-09-30,12.18,12.65,201001-201010,0.03858785,11.812097500245834,,378.0
1102,2010-01-04,2010-09-30,13.87,13.93,201001-201010,0.00432588,11.316864724079831,,414.0
1110,2010-01-04,2010-09-30,9.96,10.96,201001-201010,0.10040161,12.70557210109509,,303.0
1201,2010-01-04,2010-09-30,34.23,30.34,201001-201010,-0.113643,9.611707199757847,,578.0
1203,2010-01-04,2010-09-30,14.32,15.15,201001-201010,0.05796089,12.092121222815642,,355.0
1210,2010-01-04,2010-09-30,10.62,10.25,201001-201010,-0.03483992,10.750750520350085,,466.0
1216,2010-01-04,2010-09-30,16.67,19.51,201001-201010,0.17036593,13.71685733735461,,234.0
1217,2010-01-04,2010-09-30,11.36,12.33,201001-201010,0.08538732,12.488551056512378,,315.0
1225,2010-01-04,2010-09-30,10.29,9.96,201001-201010,-0.03206997,10.790788207276464,,462.0
1232,2010-01-04,2010-09-30,16.82,19.38,201001-201010,0.15219976,13.45427807523385,,248.0
1233,2010-01-04,2010-09-30,18.98,27.77,201001-201010,0.46311907,17.948398905265467,,92.0
1234,2010-01-04,2010-09-30,12.27,16.15,201001-201010,0.31621842,15.825052912023091,,132.0
1235,2010-01-04,2010-09-30,10.31,15.46,201001-201010,0.49951503,18.474477012041778,winner,80.0
1236,2010-01-04,2010-09-30,10.55,15.78,201001-201010,0.4957346,18.419833544547025,winner,81.0
1301,2010-01-04,2010-09-30,33.48,40.57,201001-201010,0.21176822,14.31529843739439,,202.0
1303,2010-01-04,2010-09-30,29.66,36.46,201001-201010,0.229265,14.568202135966477,,186.0
1307,2010-01-04,2010-09-30,14.6,17.1,201001-201010,0.17123288,13.729388492314385,,232.0
1310,2010-01-04,2010-09-30,9.33,9.48,201001-201010,0.01607717,11.486721389362994,,402.0
1312,2010-01-04,2010-09-30,9.72,8.98,201001-201010,-0.07613169,10.153906909492095,,524.0
1315,2010-01-04,2010-09-30,31.31,32.58,201001-201010,0.04056212,11.840634190138484,,374.0
1319,2010-01-04,2010-09-30,31.61,30.24,201001-201010,-0.04334071,10.627877555622598,,477.0
1321,2010-01-04,2010-09-30,23.82,21.46,201001-201010,-0.09907641,9.822257054450144,,561.0
1324,2010-01-04,2010-09-30,14.28,14.78,201001-201010,0.03501401,11.760440146486753,,381.0
1325,2010-01-04,2010-09-30,15.31,15.55,201001-201010,0.01567603,11.480923191657748,,404.0
1326,2010-01-04,2010-09-30,35.16,40.94,201001-201010,0.16439135,13.630498968591054,,240.0
1336,2010-01-04,2010-09-30,13.5,12.82,201001-201010,-0.05037037,10.526268744532544,,488.0
1402,2010-01-04,2010-09-30,18.24,20.79,201001-201010,0.13980263,13.275086245155462,,263.0
1410,2010-01-04,2010-09-30,14.91,12.5,201001-201010,-0.16163649,8.917994920790951,,647.0
1417,2010-01-04,2010-09-30,10.22,13.08,201001-201010,0.27984344,15.299278056450488,,155.0
1418,2010-01-04,2010-09-30,13.8,9.66,201001-201010,-0.3,6.918047306063234,loser,809.0
1419,2010-01-04,2010-09-30,26.73,29.5,201001-201010,0.10362888,12.75222002827316,,298.0
1434,2010-01-04,2010-09-30,13.07,13.43,201001-201010,0.02754399,11.652466240064687,,392.0
1437,2010-01-04,2010-09-30,16.91,15.7,201001-201010,-0.07155529,10.220055565767437,,518.0
1439,2010-01-04,2010-09-30,14.75,23.16,201001-201010,0.57016949,19.4957377385648,winner,67.0
1441,2010-01-04,2010-09-30,18.02,15.33,201001-201010,-0.14927858,9.096619853242577,,628.0
1447,2010-01-04,2010-09-30,10.34,11.12,201001-201010,0.0754352,12.344700133277748,,332.0
1449,2010-01-04,2010-09-30,21.12,32.16,201001-201010,0.52272727,18.80999368128851,winner,74.0
1451,2010-01-04,2010-09-30,16.8,21.58,201001-201010,0.28452381,15.366929526245837,,150.0
1468,2010-01-04,2010-09-30,11.2,16.8,201001-201010,0.5,18.481486913674907,winner,79.0
1471,2010-01-04,2010-09-30,50.55,33.91,201001-201010,-0.32917903,6.496284867046123,loser,832.0
1472,2010-01-04,2010-09-30,44.88,56.99,201001-201010,0.26983066,15.15455033540761,,159.0
1473,2010-01-04,2010-09-30,18.34,24.95,201001-201010,0.36041439,16.463874699516612,,119.0
1475,2010-01-04,2010-09-30,45.69,61.45,201001-201010,0.34493325,16.240105665207885,,125.0
1476,2010-01-04,2010-09-30,10.63,20.49,201001-201010,0.9275635,24.66161780201125,winner,22.0
1477,2010-01-04,2010-09-30,22.93,29.85,201001-201010,0.30178805,15.616472022009976,,142.0
1503,2010-01-04,2010-09-30,26.6,23.8,201001-201010,-0.10526316,9.732831916959656,,565.0
1506,2010-01-04,2010-09-30,12.93,15.58,201001-201010,0.20494973,14.216741940731762,,206.0
1507,2010-01-04,2010-09-30,15.31,25.32,201001-201010,0.65382103,20.704862152156938,winner,49.0
