remark,n,mean,t_stat,p_value,oPeriod,hPeriod
loser,156,0.1116830839110084,5.0466906839339085,1.2453457932528442e-06,12,12
winner,156,0.1275056621533382,5.10780094774325,9.453976490129284e-07,12,12
winner - loser,156,0.0158225782423298,0.65997902248077,0.5102468018967402,12,12
loser,165,0.0031544944207616,0.3460982849877099,0.7297124534614374,12,3
winner,165,0.0342163011391818,3.44502172720144,0.000725123466431,12,3
winner - loser,165,0.0310618067184202,3.2193071910273097,0.0015491643974183,12,3
loser,162,0.0237764089014415,1.978720552938237,0.0495531942883814,12,6
winner,162,0.0694171297689217,4.166463915707407,5.034342066515826e-05,12,6
winner - loser,162,0.0456407208674802,3.03902355455024,0.0027705034615847,12,6
loser,159,0.0558602567097584,3.5985520048489765,0.0004276899039322,12,9
winner,159,0.0988403450056441,4.523566786793726,1.188443117834798e-05,12,9
winner - loser,159,0.0429800882958857,2.2529072878399834,0.0256415479280637,12,9
loser,165,0.0794474852975101,4.197284411956568,4.417067387013566e-05,3,12
winner,165,0.1617779257636905,6.890687580063399,1.1336098200863544e-10,3,12
winner - loser,165,0.0823304404661803,4.088934737738518,6.774209653886305e-05,3,12
loser,174,0.0160233068799448,1.7574121889043015,0.0806163970902759,3,3
winner,174,0.0435051075986515,4.967232397217449,1.620582873382886e-06,3,3
winner - loser,174,0.0274818007187067,3.430995565220912,0.0007521147016845,3,3
loser,15,0.0391219448413417,0.7456636686712323,0.4682062517474347,3,6
winner,38,0.0983161720508156,1.9910751711121029,0.0538955117663333,3,6
winner - loser,15,0.0780877804137824,1.7189673091887012,0.1076426881497398,3,6
loser,168,0.049921276451224,3.4170611525091403,0.0007950956821772,3,9
winner,168,0.1452648254868889,6.535578448230651,7.360446242273058e-10,3,9
winner - loser,168,0.0953435490356648,4.960255640884838,1.7205528688402103e-06,3,9
loser,162,0.0818793284700807,4.352521286860887,2.383633888992179e-05,6,12
winner,162,0.1404337721378684,5.837504206533859,2.837433180261724e-08,6,12
winner - loser,162,0.0585544436677877,2.9992041109934946,0.0031372011889523,6,12
loser,171,0.0107382950367011,1.2657646205654476,0.2073293004498609,6,3
winner,171,0.0463084496253148,4.956921849754456,1.7214968961303432e-06,6,3
winner - loser,171,0.0355701545886137,4.143241594848781,5.3883402765119405e-05,6,3
loser,168,0.0290236693080389,2.4544389244474445,0.0151364450221907,6,6
winner,168,0.0901245117556863,6.198370194987546,4.3115443720080695e-09,6,6
winner - loser,168,0.0611008424476474,4.908968078450543,2.163835865546505e-06,6,6
loser,165,0.045461357523972,3.0879593499291,0.0023672073959602,6,9
winner,165,0.123403813592302,5.887677287654781,2.1510669677862978e-08,6,9
winner - loser,165,0.07794245606833,4.458677131924776,1.5237181973776524e-05,6,9
loser,159,0.087932479202327,3.962631220490104,0.0001119671516378,9,12
winner,159,0.1251543280953108,5.157342346394192,7.407900189550075e-07,9,12
winner - loser,159,0.0372218488929837,1.770425394358897,0.078584760457131,9,12
loser,168,0.0057226963613716,0.621113717009298,0.5353716474598283,9,3
winner,168,0.0474765621627346,4.794636392329461,3.5860574744823306e-06,9,3
winner - loser,168,0.041753865801363,4.478489899394187,1.3884989606010943e-05,9,3
loser,165,0.0190644045367703,1.5206657705068418,0.1302693925333354,9,6
winner,165,0.0828138387387432,5.527574863410844,1.2550504765941957e-07,9,6
winner - loser,165,0.0637494342019728,4.854266759891461,2.796646746379821e-06,9,6
loser,162,0.0415320298164567,2.701056971451732,0.0076518669018028,9,9
winner,162,0.105106704505111,5.087953936932457,9.980964983081743e-07,9,9
winner - loser,162,0.0635746746886542,3.7855506306391744,0.0002160764433656,9,9
