combination,remark,count,mean_return2
201001-201101,loser,14,-0.12273295982601758
201001-201101,winner,14,-0.05005386820641433
201001-201101,winner - loser,-,0.07267909161960324
201002-201102,loser,14,-0.24952426390459045
201002-201102,winner,14,0.010114573393816538
201002-201102,winner - loser,-,0.259638837298407
201003-201103,loser,14,-0.27227646116786175
201003-201103,winner,14,-8.235654274298492e-05
201003-201103,winner - loser,-,0.2721941046251188
201004-201104,loser,14,-0.2993228533982758
201004-201104,winner,14,-0.1473459349797536
201004-201104,winner - loser,-,0.1519769184185222
201005-201105,loser,14,-0.2796127768431767
201005-201105,winner,14,-0.1203798990368318
201005-201105,winner - loser,-,0.1592328778063449
201006-201106,loser,14,-0.38458341915178085
201006-201106,winner,14,-0.26955827692319756
201006-201106,winner - loser,-,0.11502514222858329
201007-201107,loser,14,-0.3114381463260615
201007-201107,winner,14,-0.25225476701847316
201007-201107,winner - loser,-,0.059183379307588324
201008-201108,loser,14,-0.15448044847644957
201008-201108,winner,14,-0.2184150999637461
201008-201108,winner - loser,-,-0.06393465148729655
201009-201109,loser,14,0.15174624481996388
201009-201109,winner,13,0.007326519493106141
201009-201109,winner - loser,-,-0.14441972532685773
201010-201110,loser,14,0.11174571398221923
201010-201110,winner,13,0.14721651811923117
201010-201110,winner - loser,-,0.03547080413701194
201011-201111,loser,14,0.019949846873085094
201011-201111,winner,14,-0.07646659560624718
201011-201111,winner - loser,-,-0.09641644247933227
201012-201112,loser,14,0.10082797823324793
201012-201112,winner,14,0.05078965574438184
201012-201112,winner - loser,-,-0.0500383224888661
201101-201201,loser,14,0.059516532341691145
201101-201201,winner,14,0.16806635985950452
201101-201201,winner - loser,-,0.10854982751781338
201102-201202,loser,14,-0.22966264016044444
201102-201202,winner,14,0.15505827083953708
201102-201202,winner - loser,-,0.3847209109999815
201103-201203,loser,14,-0.34940838707634087
201103-201203,winner,14,0.031173562786578617
201103-201203,winner - loser,-,0.3805819498629195
201104-201204,loser,14,-0.2590585194649992
201104-201204,winner,14,0.04739557752722566
201104-201204,winner - loser,-,0.30645409699222487
201105-201205,loser,14,-0.19827610181241914
201105-201205,winner,14,0.029526941796256295
201105-201205,winner - loser,-,0.22780304360867543
201106-201206,loser,14,-0.03934612639186789
201106-201206,winner,14,0.13923870316298328
201106-201206,winner - loser,-,0.17858482955485117
201107-201207,loser,14,-0.017124031106695504
201107-201207,winner,14,0.14161183131765082
201107-201207,winner - loser,-,0.1587358624243463
201108-201208,loser,14,0.13058025353258396
201108-201208,winner,14,0.1288146611040363
201108-201208,winner - loser,-,-0.001765592428547652
201109-201209,loser,14,-0.009617597748170812
201109-201209,winner,14,0.04706203767474044
201109-201209,winner - loser,-,0.056679635422911254
201110-201210,loser,14,0.018058595174741288
201110-201210,winner,14,0.084478808549494
201110-201210,winner - loser,-,0.0664202133747527
201111-201211,loser,14,0.17049966314731219
201111-201211,winner,14,0.20916208580631102
201111-201211,winner - loser,-,0.03866242265899883
201112-201212,loser,14,0.4302228678597983
201112-201212,winner,14,0.16941551243535366
201112-201212,winner - loser,-,-0.26080735542444466
201201-201301,loser,14,0.18560588745857085
201201-201301,winner,14,0.07034248585032252
201201-201301,winner - loser,-,-0.11526340160824833
201202-201302,loser,14,-0.034883983607843234
201202-201302,winner,14,0.08360068669419997
201202-201302,winner - loser,-,0.11848467030204321
201203-201303,loser,14,-0.10638924298801058
201203-201303,winner,14,0.09004136583178056
201203-201303,winner - loser,-,0.19643060881979113
201204-201304,loser,14,-0.01605192999005443
201204-201304,winner,14,0.06189068965160361
201204-201304,winner - loser,-,0.07794261964165804
201205-201305,loser,14,0.009081307190415356
201205-201305,winner,14,0.10199758009833258
201205-201305,winner - loser,-,0.09291627290791722
201206-201306,loser,14,-0.08392451872048276
201206-201306,winner,14,0.010906973864504723
201206-201306,winner - loser,-,0.09483149258498748
201207-201307,loser,14,0.012084090329973185
201207-201307,winner,14,0.1388954872043757
201207-201307,winner - loser,-,0.12681139687440252
201208-201308,loser,14,0.012968421673314618
201208-201308,winner,14,0.1486895706046696
201208-201308,winner - loser,-,0.135721148931355
201209-201309,loser,14,-0.03048667150079224
201209-201309,winner,14,0.18217313951415284
201209-201309,winner - loser,-,0.21265981101494508
201210-201310,loser,14,-0.11134055543837458
201210-201310,winner,14,0.12526221166808643
201210-201310,winner - loser,-,0.236602767106461
201211-201311,loser,14,0.04010495613376021
201211-201311,winner,14,0.04841670828906374
201211-201311,winner - loser,-,0.008311752155303533
201212-201312,loser,14,0.04980219659313839
201212-201312,winner,14,0.06718486361158922
201212-201312,winner - loser,-,0.01738266701845083
201301-201401,loser,14,0.08310303127840554
201301-201401,winner,13,0.013357167337182833
201301-201401,winner - loser,-,-0.0697458639412227
201302-201402,loser,14,0.18515199202795807
201302-201402,winner,13,0.15488751937682285
201302-201402,winner - loser,-,-0.030264472651135216
201303-201403,loser,14,0.1671242793638331
201303-201403,winner,14,0.11301086295481909
201303-201403,winner - loser,-,-0.054113416409014
201304-201404,loser,14,0.008316318491593413
201304-201404,winner,14,0.021124653927034408
201304-201404,winner - loser,-,0.012808335435440995
201305-201405,loser,14,-0.05310765393346273
201305-201405,winner,14,-0.08372014742414823
201305-201405,winner - loser,-,-0.030612493490685497
201306-201406,loser,14,-0.17669061824817694
201306-201406,winner,14,-0.03651253751310407
201306-201406,winner - loser,-,0.14017808073507287
201307-201407,loser,13,-0.072946482503843
201307-201407,winner,14,-0.055190154266054274
201307-201407,winner - loser,-,0.017756328237788728
201308-201408,loser,14,-0.07171613198527448
201308-201408,winner,14,-0.0049650769815212875
201308-201408,winner - loser,-,0.06675105500375318
201309-201409,loser,14,-0.06019159551959989
201309-201409,winner,14,-0.008412301190336742
201309-201409,winner - loser,-,0.05177929432926315
201310-201410,loser,14,-0.01964014663321279
201310-201410,winner,14,0.15165344028336072
201310-201410,winner - loser,-,0.1712935869165735
201311-201411,loser,14,0.11759972387111942
201311-201411,winner,14,0.16392334472142653
201311-201411,winner - loser,-,0.04632362085030711
201312-201412,loser,14,0.07928156840426738
201312-201412,winner,14,0.0655228903465354
201312-201412,winner - loser,-,-0.013758678057731982
201401-201501,loser,14,-0.10569740677443788
201401-201501,winner,14,0.03498575732277379
201401-201501,winner - loser,-,0.14068316409721168
201402-201502,loser,14,-0.151473903126996
201402-201502,winner,14,-0.1500842171394449
201402-201502,winner - loser,-,0.001389685987551098
201403-201503,loser,14,-0.2848478985849359
201403-201503,winner,14,-0.1893997106130152
201403-201503,winner - loser,-,0.09544818797192073
201404-201504,loser,14,-0.2228326190335293
201404-201504,winner,14,-0.16037116667090628
201404-201504,winner - loser,-,0.062461452362623016
201405-201505,loser,14,-0.1168617699558694
201405-201505,winner,14,-0.19719253111699536
201405-201505,winner - loser,-,-0.08033076116112596
201406-201506,loser,14,-0.16481226647999406
201406-201506,winner,14,-0.24240150264014024
201406-201506,winner - loser,-,-0.07758923616014618
201407-201507,loser,14,-0.13945886159602658
201407-201507,winner,14,-0.18634075759605803
201407-201507,winner - loser,-,-0.04688189600003145
201408-201508,loser,14,0.13346370931991544
201408-201508,winner,14,-0.15229497117011484
201408-201508,winner - loser,-,-0.2857586804900303
201409-201509,loser,14,0.16435084636921102
201409-201509,winner,14,-0.11915456952950199
201409-201509,winner - loser,-,-0.28350541589871303
201410-201510,loser,14,0.10222642279481095
201410-201510,winner,14,-0.12320141852377911
201410-201510,winner - loser,-,-0.22542784131859006
201411-201511,loser,14,-0.06572441318696451
201411-201511,winner,13,-0.10156346183979616
201411-201511,winner - loser,-,-0.03583904865283165
201412-201512,loser,14,0.018606960266603714
201412-201512,winner,12,-0.08816578398144553
201412-201512,winner - loser,-,-0.10677274424804925
201501-201601,loser,14,0.0998261018026533
201501-201601,winner,12,-0.006271110116691809
201501-201601,winner - loser,-,-0.10609721191934511
201502-201602,loser,14,0.12540463129337823
201502-201602,winner,12,0.1013628954808133
201502-201602,winner - loser,-,-0.024041735812564927
201503-201603,loser,14,0.026058268789093893
201503-201603,winner,12,0.09241519642238873
201503-201603,winner - loser,-,0.06635692763329483
201504-201604,loser,14,0.03670786507666094
201504-201604,winner,12,0.09174450857390326
201504-201604,winner - loser,-,0.05503664349724232
201505-201605,loser,14,0.08322074752901239
201505-201605,winner,13,0.1033168592504817
201505-201605,winner - loser,-,0.020096111721469315
201506-201606,loser,13,0.08311742378125228
201506-201606,winner,14,0.08514381484148213
201506-201606,winner - loser,-,0.0020263910602298513
201507-201607,loser,14,0.08548482324295001
201507-201607,winner,14,-0.014354229637560386
201507-201607,winner - loser,-,-0.0998390528805104
201508-201608,loser,14,0.07697138516401672
201508-201608,winner,14,-0.031239072257119655
201508-201608,winner - loser,-,-0.10821045742113637
201509-201609,loser,14,0.21204218921384735
201509-201609,winner,14,0.03974836841102686
201509-201609,winner - loser,-,-0.1722938208028205
201510-201610,loser,14,0.2043011747995521
201510-201610,winner,14,0.039957918873173084
201510-201610,winner - loser,-,-0.164343255926379
201511-201611,loser,14,0.21470160284984177
201511-201611,winner,14,0.04246238802596234
201511-201611,winner - loser,-,-0.17223921482387944
201512-201612,loser,14,0.306748656138163
201512-201612,winner,14,0.04804796098973029
201512-201612,winner - loser,-,-0.2587006951484327
201601-201701,loser,14,0.2385674121706741
201601-201701,winner,14,0.08559357954335937
201601-201701,winner - loser,-,-0.15297383262731473
201602-201702,loser,14,0.18686059699269494
201602-201702,winner,14,0.1410332577895906
201602-201702,winner - loser,-,-0.045827339203104334
