stock_id,start_date,end_date,SD_close,ED_close,combination,return,RT_%_Rank,remark,RT_rank
1303,2010-01-04,2010-03-31,29.66,33.37,201001-201004,0.12508429,67.36448371223527,winner,7.0
1314,2010-01-04,2010-03-31,7.15,7.74,201001-201004,0.08251748,60.31095453249642,winner,11.0
1326,2010-01-04,2010-03-31,35.16,37.92,201001-201004,0.07849829,59.64495503796267,winner,12.0
1802,2010-01-04,2010-03-31,17.97,23.29,201001-201004,0.29604897,95.69416965968388,winner,1.0
2014,2010-01-04,2010-03-31,14.37,12.03,201001-201004,-0.16283925,19.654141055040476,loser,138.0
2101,2010-01-04,2010-03-31,26.65,29.08,201001-201004,0.09118199,61.74670633332761,winner,10.0
2315,2010-01-04,2010-03-31,15.79,13.77,201001-201004,-0.12792907,25.43892909294925,loser,130.0
2337,2010-01-04,2010-03-31,25.17,29.37,201001-201004,0.16686532,74.28780529223022,winner,4.0
2352,2010-01-04,2010-03-31,12.14,10.45,201001-201004,-0.13920923,23.569751259042437,loser,131.0
2362,2010-01-04,2010-03-31,28.41,36.47,201001-201004,0.28370292,93.64836862527433,winner,2.0
2374,2010-01-04,2010-03-31,41.68,35.5,201001-201004,-0.14827255,22.06791468530551,loser,134.0
2385,2010-01-04,2010-03-31,25.27,27.73,201001-201004,0.09734863,62.768548824718074,winner,9.0
2392,2010-01-04,2010-03-31,36.03,30.52,201001-201004,-0.15292812,21.296463903738445,loser,135.0
2393,2010-01-04,2010-03-31,52.35,43.93,201001-201004,-0.1608405,19.98534373261963,loser,137.0
2475,2010-01-04,2010-03-31,4.37,3.63,201001-201004,-0.16933638,18.577534749809786,loser,139.0
2618,2010-01-04,2010-03-31,8.13,8.68,201001-201004,0.06765068,57.847452860434515,winner,14.0
2707,2010-01-04,2010-03-31,118.41,100.12,201001-201004,-0.15446331,21.042075391622003,loser,136.0
2845,2010-01-04,2010-03-31,4.51,3.87,201001-201004,-0.14190687,23.12273908085876,loser,132.0
2855,2010-01-04,2010-03-31,8.97,7.38,201001-201004,-0.17725753,17.264961346679783,loser,141.0
2885,2010-01-04,2010-03-31,10.55,8.61,201001-201004,-0.18388626,16.166548276036004,loser,143.0
2915,2010-01-04,2010-03-31,37.16,46.89,201001-201004,0.26184069,90.02568989414175,winner,3.0
3008,2010-01-04,2010-03-31,290.98,334.0,201001-201004,0.14784521,71.13607978386247,winner,5.0
3035,2010-01-04,2010-03-31,60.17,51.45,201001-201004,-0.14492272,22.62299794506034,loser,133.0
3514,2010-01-04,2010-03-31,75.03,85.02,201001-201004,0.13314674,68.70047121835061,winner,6.0
3532,2010-01-04,2010-03-31,128.6,142.41,201001-201004,0.10738725,64.43199739167224,winner,8.0
6005,2010-01-04,2010-03-31,7.83,6.46,201001-201004,-0.17496807,17.64433609700392,loser,140.0
6116,2010-01-04,2010-03-31,11.72,9.58,201001-201004,-0.18259386,16.380705294424143,loser,142.0
8008,2010-01-04,2010-03-31,25.88,27.79,201001-201004,0.07380216,58.866783265474965,winner,13.0
4938,2010-06-25,2010-08-31,16.06,18.51,201006-201009,0.1525529265255294,,winner,1.0
2723,2010-11-23,2011-01-28,172.25,158.69,201011-201102,-0.0787227866473149,,winner,1.0
1304,2011-01-03,2011-03-31,14.37,18.42,201101-201104,0.2818371607515659,84.67317591587567,winner,7.0
1314,2011-01-03,2011-03-31,16.67,21.09,201101-201104,0.2651469706058786,82.48737959288167,winner,9.0
1590,2011-01-03,2011-03-31,96.11,129.49,201101-201104,0.3473103735303299,93.24774016572678,winner,3.0
1704,2011-01-03,2011-03-31,44.05,59.44,201101-201104,0.3493757094211124,93.51822262017542,winner,2.0
1722,2011-01-03,2011-03-31,64.87,48.37,201101-201104,-0.2543548635733005,14.451893536366281,loser,140.0
1723,2011-01-03,2011-03-31,66.78,85.58,201101-201104,0.2815214135968852,84.63182474110342,winner,8.0
2049,2011-01-03,2011-03-31,82.75,108.79,201101-201104,0.3146827794561934,88.9747346137908,winner,5.0
2106,2011-01-03,2011-03-31,12.15,14.53,201101-201104,0.1958847736625513,73.41659884804204,winner,14.0
2324,2011-01-03,2011-03-31,16.55,12.44,201101-201104,-0.2483383685800604,15.239831392001454,loser,139.0
2353,2011-01-03,2011-03-31,52.22,34.81,201101-201104,-0.3333971658368441,4.100281473200009,loser,144.0
2379,2011-01-03,2011-03-31,33.71,25.95,201101-201104,-0.2301987540789083,17.615448585757186,loser,134.0
2450,2011-01-03,2011-03-31,27.07,35.68,201101-201104,0.3180642777983006,89.41758556862538,winner,4.0
2474,2011-01-03,2011-03-31,58.37,79.37,201101-201104,0.3597738564330993,94.87999449373466,winner,1.0
2498,2011-01-03,2011-03-31,733.93,916.41,201101-201104,0.2486340659190931,80.32480109429859,winner,11.0
2501,2011-01-03,2011-03-31,11.41,8.3,201101-201104,-0.2725679228746713,12.06665779585585,loser,142.0
2511,2011-01-03,2011-03-31,9.25,6.67,201101-201104,-0.2789189189189189,11.23491270010252,loser,143.0
2545,2011-01-03,2011-03-31,29.8,21.82,201101-201104,-0.2677852348993289,12.693012660556565,loser,141.0
2547,2011-01-03,2011-03-31,21.54,16.31,201101-201104,-0.2428040854224698,15.964617369313702,loser,137.0
2607,2011-01-03,2011-03-31,20.84,16.06,201101-201104,-0.2293666026871401,17.724429576172763,loser,133.0
2609,2011-01-03,2011-03-31,32.01,24.5,201101-201104,-0.2346141830677912,17.037191036616246,loser,135.0
2610,2011-01-03,2011-03-31,20.83,13.71,201101-201104,-0.341814690350456,2.997897739404194,loser,145.0
2889,2011-01-03,2011-03-31,5.86,7.1,201101-201104,0.2116040955631398,75.47524741407675,winner,12.0
3231,2011-01-03,2011-03-31,19.5,15.2,201101-201104,-0.2205128205128205,18.883946894567032,loser,132.0
3406,2011-01-03,2011-03-31,292.32,219.91,201101-201104,-0.247707991242474,15.32238745964165,loser,138.0
3481,2011-01-03,2011-03-31,29.25,22.35,201101-201104,-0.2358974358974358,16.86913247694587,loser,136.0
3532,2011-01-03,2011-03-31,85.83,111.37,201101-201104,0.2975649539787954,86.73293391172881,winner,6.0
3673,2011-01-03,2011-03-31,386.94,466.52,201101-201104,0.2056649609758618,74.69744090442512,winner,13.0
6176,2011-01-03,2011-03-31,18.88,23.79,201101-201104,0.2600635593220339,81.82164112043141,winner,10.0
1789,2011-09-01,2011-11-30,41.87,27.6,201109-201112,-0.340816813947934,,winner,1.0
1101,2012-01-02,2012-03-30,13.93,13.86,201201-201204,-0.0050251256281407,8.092375014460556,loser,136.0
1216,2012-01-02,2012-03-30,22.83,21.54,201201-201204,-0.0565045992115637,3.0909482646453244,loser,141.0
1234,2012-01-02,2012-03-30,16.78,25.01,201201-201204,0.4904648390941597,56.23111054001407,winner,12.0
1402,2012-01-02,2012-03-30,18.19,17.91,201201-201204,-0.0153930731170973,7.085089463493986,loser,137.0
1507,2012-01-02,2012-03-30,30.75,31.11,201201-201204,0.0117073170731707,9.717995493669134,loser,133.0
2207,2012-01-02,2012-03-30,97.12,164.52,201201-201204,0.6939868204283361,76.00404547437442,winner,2.0
2227,2012-01-02,2012-03-30,56.85,94.6,201201-201204,0.6640281442392258,73.09344608297899,winner,5.0
2337,2012-01-02,2012-03-30,18.01,16.72,201201-201204,-0.0716268739589118,1.6217617292220703,loser,144.0
2347,2012-01-02,2012-03-30,32.24,32.32,201201-201204,0.0024813895781637,8.821661530762364,loser,135.0
2450,2012-01-02,2012-03-30,42.46,65.84,201201-201204,0.5506358926048046,62.07695735321088,winner,7.0
2474,2012-01-02,2012-03-30,75.49,115.73,201201-201204,0.533050735196715,60.36849239546407,winner,8.0
2511,2012-01-02,2012-03-30,6.6,9.4,201201-201204,0.4242424242424243,49.797350945714655,winner,14.0
2610,2012-01-02,2012-03-30,10.64,9.99,201201-201204,-0.0610902255639098,2.6454372151565306,loser,142.0
2618,2012-01-02,2012-03-30,12.6,12.16,201201-201204,-0.0349206349206348,5.1879125274358815,loser,139.0
2834,2012-01-02,2012-03-30,4.42,4.45,201201-201204,0.0067873303167421,9.240000058605819,loser,134.0
