stock_id,start_date,end_date,SD_close,ED_close,combination,return,RT_%_Rank,remark,RT_rank,start_date2,SD_close2,end_date2,ED_close2,return2
1303,2010-01-04,2010-03-31,29.66,33.37,201001-201004,0.12508429,70.3955987619756,winner,7.0,2010-04-08,34.5,2011-01-21,41.26,0.1959420289855072
1314,2010-01-04,2010-03-31,7.15,7.74,201001-201004,0.08251748,63.02469079044168,winner,11.0,2010-04-08,7.83,2011-01-21,17.26,1.2043422733077906
1326,2010-01-04,2010-03-31,35.16,37.92,201001-201004,0.07849829,62.32872415328683,winner,12.0,2010-04-08,38.63,2011-01-21,52.48,0.35852964017602884
2014,2010-01-04,2010-03-31,14.37,12.03,201001-201004,-0.16283925,20.538493750388643,loser,139.0,2010-04-08,12.27,2011-01-21,13.72,0.11817440912795445
2101,2010-01-04,2010-03-31,26.65,29.08,201001-201004,0.09118199,64.52504531145078,winner,10.0,2010-04-08,29.96,2011-01-21,29.21,-0.025033377837116153
2337,2010-01-04,2010-03-31,25.17,29.37,201001-201004,0.16686532,77.6304403459679,winner,4.0,2010-04-08,29.93,2011-01-21,33.42,0.11660541262946883
2362,2010-01-04,2010-03-31,28.41,36.47,201001-201004,0.28370292,97.86214662639844,winner,1.0,2010-04-08,37.01,2011-01-21,35.97,-0.028100513374763558
2374,2010-01-04,2010-03-31,41.68,35.5,201001-201004,-0.14827255,23.06087692049097,loser,135.0,2010-04-08,35.43,2011-01-21,35.38,-0.0014112334180072582
2385,2010-01-04,2010-03-31,25.27,27.73,201001-201004,0.09734863,65.59286636577879,winner,9.0,2010-04-08,29.04,2011-01-21,23.08,-0.20523415977961437
2392,2010-01-04,2010-03-31,36.03,30.52,201001-201004,-0.15292812,22.254714137209007,loser,136.0,2010-04-08,31.49,2011-01-21,33.22,0.05493807557954908
2393,2010-01-04,2010-03-31,52.35,43.93,201001-201004,-0.1608405,20.884599138791096,loser,138.0,2010-04-08,46.11,2011-01-21,40.28,-0.12643678160919536
2458,2010-01-04,2010-03-31,40.07,33.38,201001-201004,-0.16695782,19.82531838102644,loser,141.0,2010-04-08,34.44,2011-01-21,30.07,-0.12688734030197438
2475,2010-01-04,2010-03-31,4.37,3.63,201001-201004,-0.16933638,19.41344474368383,loser,142.0,2010-04-08,3.76,2011-01-21,4.4,0.17021276595744697
2618,2010-01-04,2010-03-31,8.13,8.68,201001-201004,0.06765068,60.45034202831455,winner,14.0,2010-04-08,8.59,2011-01-21,18.72,1.179278230500582
2707,2010-01-04,2010-03-31,118.41,100.12,201001-201004,-0.15446331,21.98887922477796,loser,137.0,2010-04-08,101.27,2011-01-21,155.94,0.5398439814357658
2855,2010-01-04,2010-03-31,8.97,7.38,201001-201004,-0.17725753,18.041811123999484,loser,144.0,2010-04-08,7.62,2011-01-21,8.53,0.11942257217847758
2885,2010-01-04,2010-03-31,10.55,8.61,201001-201004,-0.18388626,16.89397414025214,loser,146.0,2010-04-08,8.93,2011-01-21,10.65,0.19260918253079515
2915,2010-01-04,2010-03-31,37.16,46.89,201001-201004,0.26184069,94.07646277124208,winner,2.0,2010-04-08,50.65,2011-01-21,47.13,-0.06949654491609074
3008,2010-01-04,2010-03-31,290.98,334.0,201001-201004,0.14784521,74.33690060412555,winner,5.0,2010-04-08,334.7,2011-01-21,542.55,0.6210038840752913
3035,2010-01-04,2010-03-31,60.17,51.45,201001-201004,-0.14492272,23.640936564384496,loser,134.0,2010-04-08,52.06,2011-01-21,56.4,0.08336534767575866
3049,2010-01-04,2010-03-31,40.62,33.84,201001-201004,-0.16691285,19.833105427588773,loser,140.0,2010-04-08,31.79,2011-01-21,32.29,0.015728216420257943
3514,2010-01-04,2010-03-31,75.03,85.02,201001-201004,0.13314674,71.79170001962433,winner,6.0,2010-04-08,80.98,2011-01-21,79.52,-0.018029142998271276
3532,2010-01-04,2010-03-31,128.6,142.41,201001-201004,0.10738725,67.33116303826141,winner,8.0,2010-04-08,150.73,2011-01-21,87.62,-0.4186956810190406
6005,2010-01-04,2010-03-31,7.83,6.46,201001-201004,-0.17496807,18.43825612339004,loser,143.0,2010-04-08,6.66,2011-01-21,6.84,0.027027027027026983
6116,2010-01-04,2010-03-31,11.72,9.58,201001-201004,-0.18259386,17.117767312970756,loser,145.0,2010-04-08,9.58,2011-01-21,7.85,-0.18058455114822553
8008,2010-01-04,2010-03-31,25.88,27.79,201001-201004,0.07380216,61.51553796309875,winner,13.0,2010-04-08,26.82,2011-01-21,28.01,0.04436987322893368
8078,2010-01-04,2010-03-31,40.14,29.89,201001-201004,-0.25535625,4.5181649354644,loser,147.0,2010-04-08,34.23,2011-01-21,26.09,-0.23780309669880215
8131,2010-01-04,2010-03-31,19.14,22.92,201001-201004,0.19749216,82.93381213020294,winner,3.0,2010-04-08,22.26,2011-01-21,18.93,-0.14959568733153647
1314,2010-02-01,2010-04-30,6.51,8.84,201002-201005,0.3579109062980031,85.87678589543512,winner,1.0,2010-05-10,8.73,2011-02-18,20.81,1.383734249713631
1605,2010-02-01,2010-04-30,6.9,8.81,201002-201005,0.2768115942028986,73.67749767630717,winner,8.0,2010-05-10,8.05,2011-02-18,10.32,0.28198757763975146
2006,2010-02-01,2010-04-30,25.19,23.46,201002-201005,-0.0686780468439857,21.707541347806792,loser,139.0,2010-05-10,21.18,2011-02-18,24.0,0.1331444759206799
2207,2010-02-01,2010-04-30,43.08,54.79,201002-201005,0.2718198700092851,72.92662223020136,winner,11.0,2010-05-10,50.49,2011-02-18,58.6,0.16062586650821944
