stock_id,start_date,end_date,SD_close,ED_close,combination,return,RT_%_Rank,remark,RT_rank,start_date2,SD_close2,end_date2,ED_close2,return2
1314,2010-01-04,2010-09-30,7.15,12.56,201001-201010,0.75664336,37.77899550070502,winner,6.0,2010-10-01,12.48,2011-09-30,20.94,0.6778846153846154
1605,2010-01-04,2010-09-30,8.14,11.88,201001-201010,0.45945946,27.90628078964323,winner,12.0,2010-10-01,11.91,2011-09-30,6.23,-0.47691015952980687
1704,2010-01-04,2010-09-30,24.92,40.58,201001-201010,0.62841091,33.518998927705965,winner,9.0,2010-10-01,41.14,2011-09-30,33.59,-0.18351968886728237
2201,2010-01-04,2010-09-30,47.56,69.83,201001-201010,0.46825063,28.19833131252299,winner,11.0,2010-10-01,70.57,2011-09-30,72.03,0.0206886779084598
2227,2010-01-04,2010-09-30,31.56,60.13,201001-201010,0.90525982,42.7161671003372,winner,4.0,2010-10-01,64.18,2011-09-30,46.64,-0.27329386101589287
2371,2010-01-04,2010-09-30,20.07,15.57,201001-201010,-0.22421525,5.1939960158115905,loser,134.0,2010-10-01,16.66,2011-09-30,12.14,-0.27130852340936373
2384,2010-01-04,2010-09-30,25.94,43.33,201001-201010,0.67039322,34.91368877981893,winner,7.0,2010-10-01,45.5,2011-09-30,24.15,-0.4692307692307693
2408,2010-01-04,2010-09-30,196.09,130.83,201001-201010,-0.33280636,1.5865023084218919,loser,146.0,2010-10-01,128.67,2011-09-30,24.16,-0.8122328437087122
2451,2010-01-04,2010-09-30,45.41,32.75,201001-201010,-0.27879322,3.380867083460648,loser,139.0,2010-10-01,32.95,2011-09-30,25.52,-0.22549317147192724
2489,2010-01-04,2010-09-30,18.24,13.98,201001-201010,-0.23355263,4.883799908657824,loser,137.0,2010-10-01,14.03,2011-09-30,9.75,-0.3050605844618674
2498,2010-01-04,2010-09-30,264.76,564.99,201001-201010,1.13397039,50.31413660344395,winner,1.0,2010-10-01,563.4,2011-09-30,597.93,0.061288604898828494
2609,2010-01-04,2010-09-30,13.05,21.36,201001-201010,0.63678161,33.797081061468546,winner,8.0,2010-10-01,21.31,2011-09-30,13.76,-0.354293758798686
2610,2010-01-04,2010-09-30,9.18,18.2,201001-201010,0.98257081,45.284507270513814,winner,2.0,2010-10-01,18.28,2011-09-30,12.58,-0.3118161925601751
2618,2010-01-04,2010-09-30,8.13,15.79,201001-201010,0.94218942,43.94300141132654,winner,3.0,2010-10-01,15.76,2011-09-30,13.63,-0.13515228426395934
