combination,remark,count,mean_return2
201001-201010,loser,14,-0.019632755941625283
201001-201010,winner,14,0.1336525000887471
201002-201011,loser,14,0.08526302774765664
201002-201011,winner,14,0.0657515857837878
201003-201012,loser,14,-0.013379398545677977
201003-201012,winner,14,-0.005813355633827936
201004-201101,loser,14,-0.07052391230353867
201004-201101,winner,14,-0.04907216410647243
201005-201102,loser,14,-0.11737143853558314
201005-201102,winner,14,-0.03450523985306947
201006-201103,loser,14,-0.033583025758784406
201006-201103,winner,14,0.03610092050064507
201007-201104,loser,14,-0.06654857662517835
201007-201104,winner,14,-0.012800454199008455
201008-201105,loser,14,-0.11516674191458566
201008-201105,winner,14,0.06329762376955816
201009-201106,loser,14,-0.2564697256268711
201009-201106,winner,14,-0.063078570111661
201010-201107,loser,14,-0.23691006117860963
201010-201107,winner,14,-0.15277761076335988
201011-201108,loser,14,-0.15584595572325594
201011-201108,winner,14,-0.19781688108261045
201012-201109,loser,14,-0.21628698517622907
201012-201109,winner,14,-0.1869719924829836
201101-201110,loser,14,-0.09468639679616812
201101-201110,winner,14,0.04186328684094646
201102-201111,loser,14,0.061775188881297356
201102-201111,winner,14,0.007690580730543293
201103-201112,loser,14,0.525277803113773
201103-201112,winner,14,0.08955214831134475
201104-201201,loser,14,0.2626414659385689
201104-201201,winner,14,0.19650210218295827
201105-201202,loser,14,-0.045672574521369566
201105-201202,winner,14,0.06700810428899275
201106-201203,loser,14,-0.22370955253038835
201106-201203,winner,14,-0.004262779884773101
201107-201204,loser,14,-0.11333853334042318
201107-201204,winner,14,0.004330394985497513
201108-201205,loser,14,-0.10494567948403279
201108-201205,winner,14,0.012570748293312691
201109-201206,loser,14,0.03331086620364538
201109-201206,winner,14,0.0542083432701196
201110-201207,loser,14,0.08415077798627843
201110-201207,winner,14,0.09016921862257274
201111-201208,loser,14,-0.07090652199288086
201111-201208,winner,14,-0.015233518219589879
201112-201209,loser,14,-0.0016290014391222
201112-201209,winner,14,0.032277446398955724
201201-201210,loser,14,-0.0009827675578342823
201201-201210,winner,14,-0.013669299735929846
201202-201211,loser,14,0.1673376888432087
201202-201211,winner,14,0.06228167677521468
201203-201212,loser,14,0.05549203015101982
201203-201212,winner,14,0.07585376429458865
201204-201301,loser,14,-0.015158919330827636
201204-201301,winner,14,0.07060089743307417
201205-201302,loser,14,0.1172216012594262
201205-201302,winner,14,0.07881898796262692
201206-201303,loser,14,0.10357845458959757
201206-201303,winner,14,0.09890757843153339
201207-201304,loser,14,-0.08069074618270976
201207-201304,winner,14,0.00307497887334496
201208-201305,loser,14,0.003460637038179697
201208-201305,winner,14,-0.07381062380291539
201209-201306,loser,14,0.021851045970989105
201209-201306,winner,14,-0.051416385536834516
201210-201307,loser,14,0.06747882682429936
201210-201307,winner,14,0.06161668740579066
201211-201308,loser,14,0.0034652024483506024
201211-201308,winner,14,0.08148764475627357
201212-201309,loser,14,-0.04680519247381022
201212-201309,winner,14,0.06395178831138362
201301-201310,loser,14,-0.0607865163428522
201301-201310,winner,14,0.06865379780620864
201302-201311,loser,14,0.01146765667650053
201302-201311,winner,14,0.020562151865686027
201303-201312,loser,14,0.05306019372320292
201303-201312,winner,13,0.05380015194509296
201304-201401,loser,14,0.06148172910456688
201304-201401,winner,14,0.07902334090843136
201305-201402,loser,14,0.08037785713566219
201305-201402,winner,12,0.11510455649550451
201306-201403,loser,14,0.18678356448535022
201306-201403,winner,14,0.030792609875487004
201307-201404,loser,14,0.08276441647051232
201307-201404,winner,14,0.12077647988596936
201308-201405,loser,14,0.06564159448076036
201308-201405,winner,14,0.047823877888986524
201309-201406,loser,14,-0.004801898883987585
201309-201406,winner,14,0.06399002874370663
201310-201407,loser,14,-0.0788855708920154
201310-201407,winner,14,-0.1287067642005073
201311-201408,loser,14,-0.18222875570885352
201311-201408,winner,14,-0.05395178626095716
201312-201409,loser,14,-0.1049003496771138
201312-201409,winner,14,-0.10158439669084231
201401-201410,loser,14,0.00635104437236568
201401-201410,winner,14,0.037939918492148506
201402-201411,loser,14,0.045510102842375624
201402-201411,winner,14,0.12388838959501094
201403-201412,loser,14,0.08353703168425676
201403-201412,winner,14,0.05926232419604533
201404-201501,loser,14,-0.053710210408198664
201404-201501,winner,14,0.08518251354186675
201405-201502,loser,14,-0.05152459582185779
201405-201502,winner,14,0.09618643394246977
201406-201503,loser,14,-0.06170375087204421
201406-201503,winner,14,0.05185887703752589
201407-201504,loser,14,-0.17294712206066792
201407-201504,winner,14,-0.11219051726149676
201408-201505,loser,14,-0.24375192080450564
201408-201505,winner,14,-0.09946069339007695
201409-201506,loser,14,-0.24917783744772506
201409-201506,winner,14,-0.11196548972058054
201410-201507,loser,14,-0.132126441171251
201410-201507,winner,14,-0.08120879655209685
201411-201508,loser,14,0.08569538894422876
201411-201508,winner,14,-0.007547395689619636
201412-201509,loser,14,0.12580593368114085
201412-201509,winner,14,-0.02422061352591235
201501-201510,loser,14,0.09765204298877417
201501-201510,winner,14,-0.0373085326081551
201502-201511,loser,14,-0.021997314643861114
201502-201511,winner,14,-0.0339863465541994
201503-201512,loser,14,0.01715202123817506
201503-201512,winner,14,-0.05021744569527738
201504-201601,loser,14,0.01773942642702858
201504-201601,winner,14,0.0026648411486762855
201505-201602,loser,14,0.05716092528121366
201505-201602,winner,13,-0.024822998078855282
201506-201603,loser,14,0.005883412682305613
