remark,n,mean,t_stat,p_value,std,oPeriod,hPeriod
loser,96,-0.0020269976615801,-1.2110937857088853,0.2288636420264019,0.0163987629670809,12,12
winner,96,-0.0013605787025131,-0.8033990474487117,0.4237497277974847,0.0165931168907345,12,12
winner - loser,96,0.000666418959067,0.4164559791235794,0.6780157878675371,0.0156788374902548,12,12
loser,105,-0.0062714954212127,-1.58720964435991,0.1155009905471319,0.0404884792871985,12,3
winner,105,0.0016259386961056,0.5474862468701363,0.5852177431852166,0.0304316571652901,12,3
winner - loser,105,0.0078974341173184,2.394053079737859,0.0184543920344298,0.0338023493557763,12,3
loser,102,-0.0053341011422058,-2.045593457589289,0.0433958420623279,0.0263355265571283,12,6
winner,102,-0.0010142019304254,-0.4318571980746101,0.6667657284933421,0.0237183435878683,12,6
winner - loser,102,0.0043198992117804,1.7961001908593592,0.0754683724008972,0.024290873997251,12,6
loser,99,-0.0036961689736221,-1.838636733845877,0.0689971377380277,0.0200020027147219,12,9
winner,99,-0.0015326257103146,-0.7912846841452901,0.4306888407855387,0.0192717407287731,12,9
winner - loser,99,0.0021635432633074,1.1527188697619717,0.2518297819649722,0.0186749642354001,12,9
loser,105,-0.0034420515048007,-1.9757474899465373,0.0508326276137102,0.0178517409147991,3,12
winner,105,0.0016103918686406,1.078947692258659,0.2831070713957223,0.0152941670020335,3,12
winner - loser,105,0.0050524433734413,3.377336763121083,0.0010306310508453,0.0153292792891665,3,12
loser,114,-0.0041826614468107,-1.139498175713735,0.2569051520873099,0.0391914656128175,3,3
winner,114,0.0062713862164912,2.1202190798129514,0.0361753993475487,0.0315816804120518,3,3
winner - loser,114,0.0104540476633019,3.7008478209531153,0.0003336740755666,0.0301603011935773,3,3
loser,111,-0.0022766295298757,-0.993458386357122,0.3226669653310549,0.0241437193340766,3,6
winner,111,0.0052578420147129,2.39157363524606,0.0184732388519874,0.0231624910635536,3,6
winner - loser,111,0.0075344715445887,3.683031348270723,0.0003590925695547,0.0215530566802749,3,6
loser,108,-0.0029134825558872,-1.5938201138046195,0.1139261087569218,0.0189969988584836,3,9
winner,108,0.0037734688682031,2.1720067508395,0.0320629380143404,0.0180547499623962,3,9
winner - loser,108,0.0066869514240904,4.159644391395653,6.454351289516062e-05,0.0167064371726983,3,9
loser,102,-0.0031289804669396,-1.879038737976046,0.063122393059007,0.0168177233599421,6,12
winner,102,-0.0011439242422064,-0.75726305943342,0.4506553282372055,0.0152563476976153,6,12
winner - loser,102,0.0019850562247332,1.5589622178238072,0.122133380724419,0.012859891609564,6,12
loser,111,-0.0023217347863904,-0.6459762104506902,0.5196401201846486,0.0378667099803831,6,3
winner,111,0.0049823516742179,1.7565121171470526,0.0817838710268949,0.0298844121837113,6,3
winner - loser,111,0.0073040864606083,2.7503002694348666,0.0069632466301428,0.0279799725088496,6,3
loser,108,-0.0015534394742821,-0.6603880751622739,0.5104240149030224,0.0244459541030803,6,6
winner,108,0.003720882070245,1.7649147098686195,0.0804312823046311,0.02190958041859,6,6
winner - loser,108,0.0052743215445272,2.9315565575670197,0.004124800856035,0.018697356256687,6,6
loser,105,-0.0026717844524705,-1.4189126631240778,0.1589145187771012,0.0192948054191321,6,9
winner,105,0.0009828865451246,0.573908343754349,0.5672689501197614,0.0175491263474778,6,9
winner - loser,105,0.0036546709975952,2.5134105758254783,0.0134911858930976,0.0148997677253105,6,9
loser,99,-0.0041693069825235,-2.488793253821519,0.014503417737541,0.0166683514698619,9,12
winner,99,-0.0020107585505572,-1.2072458974546572,0.2302432095744443,0.0165722617163362,9,12
winner - loser,99,0.0021585484319663,1.4973435709845089,0.1375178740846067,0.0143435923044737,9,12
loser,108,-0.0039187415090949,-1.0315340552881116,0.3046164315359753,0.0394797982326575,9,3
winner,108,0.0053379684608911,1.9053940615151623,0.0594130086101427,0.029114080190147,9,3
winner - loser,108,0.0092567099699861,3.1037477074057,0.0024449990476995,0.030994320718832,9,3
loser,105,-0.0046460669938728,-1.845279615917164,0.0678420111401401,0.0257998946776975,9,6
winner,105,0.0017401771014926,0.8058379697641289,0.4221750036568926,0.0221279087758355,9,6
winner - loser,105,0.0063862440953654,3.055423391555921,0.0028555601333151,0.0214174994553819,9,6
loser,102,-0.0050761110411963,-2.596083105324744,0.0108344810997946,0.0197475221124804,9,9
winner,102,-0.0008254126946184,-0.4569730586944314,0.6486717517998376,0.0182423436718618,9,9
winner - loser,102,0.0042506983465779,2.463839839763513,0.0154351903402179,0.0174240014508702,9,9
