remark,n,mean,t_stat,p_value,std,oPeriod,hPeriod
loser,96,-0.0012499670122881,-0.7546430277079116,0.4523298797285912,0.0162290315447113,12,12
winner,96,-0.0009752586684209,-0.5927421420342538,0.5547620966736606,0.0161209128587274,12,12
winner - loser,96,0.0002747083438671,0.1736833021253973,0.862483916632829,0.0154970630411852,12,12
loser,105,-0.0046171090681322,-1.1794652462778883,0.2409040671194887,0.0401124911916819,12,3
winner,105,0.0019730707414648,0.698775811293339,0.4862518652996417,0.0289333981211015,12,3
winner - loser,105,0.0065901798095971,2.0008733812692165,0.0480116618322829,0.0337498857648487,12,3
loser,102,-0.0040070875169785,-1.5495468352544437,0.1243782113929826,0.0261170551579541,12,6
winner,102,-0.0008878821058253,-0.3875631531271323,0.6991548830174883,0.0231373123066851,12,6
winner - loser,102,0.0031192054111532,1.2951920677836286,0.1982066911004621,0.0243225937197218,12,6
loser,99,-0.0024986755554081,-1.219044522695519,0.2257534432818766,0.0203942574758405,12,9
winner,99,-0.0010874640083139,-0.5876552288250828,0.5581153899690916,0.0184123781003579,12,9
winner - loser,99,0.0014112115470942,0.7652998718959902,0.4459321539500339,0.0183475499215742,12,9
loser,105,-0.0028640813765913,-1.6267060662763435,0.1068258117644896,0.0180414282973774,3,12
winner,105,0.0013069504356747,0.8629253035471329,0.3901641359765508,0.015519601421883,3,12
winner - loser,105,0.0041710318122661,2.78394409702382,0.0063807209904379,0.0153524482295582,3,12
loser,114,-0.0008275185632047,-0.2281761554828376,0.8199216838581393,0.0387221900362421,3,3
winner,114,0.0065853424584616,2.300038478755944,0.0232819999910297,0.0305700175865969,3,3
winner - loser,114,0.0074128610216663,2.5839720973413125,0.0110417297746761,0.0306302445298076,3,3
loser,111,-0.0008930285317731,-0.4050053630479728,0.6862601139750245,0.0232309007746779,3,6
winner,111,0.004944108922221,2.252428100931672,0.0262799871218844,0.0231258967597524,3,6
winner - loser,111,0.0058371374539941,2.9517221742948005,0.0038631740205609,0.0208346366940118,3,6
loser,108,-0.0019423121145692,-1.049448485593466,0.2963363261861146,0.0192340070776583,3,9
winner,108,0.0037390216530996,2.1675966217124505,0.0324061344127956,0.0179263302283219,3,9
winner - loser,108,0.0056813337676688,3.603853598961298,0.0004775320338934,0.0163830607489638,3,9
loser,102,-0.0023912243513662,-1.4163082689762234,0.1597620417781807,0.0170515011981199,6,12
winner,102,-0.0015199785790157,-1.0111234554806614,0.3143735449744648,0.0151821531601966,6,12
winner - loser,102,0.0008712457723504,0.6690412565899663,0.5049955760995329,0.0131518809844836,6,12
loser,111,3.523133570881328e-05,0.0098917189137129,0.9921255965512664,0.0375248384549216,6,3
winner,111,0.0041632146011436,1.5276412794357888,0.1294720642910248,0.0287123607661804,6,3
winner - loser,111,0.0041279832654347,1.5234147287409594,0.1305247824717668,0.0285483667458925,6,3
loser,108,-0.0004075162933618,-0.1750142845794336,0.8613991570184623,0.0241982165071048,6,6
winner,108,0.0031759619373862,1.5462903737776232,0.1249870843195466,0.0213449978027827,6,6
winner - loser,108,0.0035834782307481,1.9194862359054992,0.0575862301267996,0.0194013364014921,6,6
loser,105,-0.0019386986643753,-1.0086291140908636,0.3154934883374107,0.0196957925230944,6,9
winner,105,0.0007498613315308,0.4568434348684491,0.6487363514756296,0.0168193117357727,6,9
winner - loser,105,0.0026885599959062,1.8527587567304815,0.0667524046857915,0.0148694706255205,6,9
loser,99,-0.0031995327500288,-1.8911376651929632,0.0615593780823781,0.0168337554133851,9,12
winner,99,-0.0019395292624786,-1.1794679086660724,0.2410673197800823,0.016361676616106,9,12
winner - loser,99,0.0012600034875501,0.8635636504124348,0.3899362510981543,0.0145176055085712,9,12
loser,108,-0.0016180092500366,-0.4187314779495301,0.6762517091649317,0.0401566308112771,9,3
winner,108,0.0049396380179903,1.8867378214346495,0.0619062176976215,0.027207926573452,9,3
winner - loser,108,0.006557647268027,2.118456654658756,0.0364512383842475,0.032169206449497,9,3
loser,105,-0.0035149273513721,-1.3863592674431804,0.1686021919990499,0.0259797646694143,9,6
winner,105,0.0014400572222367,0.6932105460373162,0.4897226629109439,0.0212867440358161,9,6
winner - loser,105,0.0049549845736089,2.325205558345998,0.0220028067031198,0.021836126612383,9,6
loser,102,-0.0039716456991526,-1.9665861037041867,0.0519751078792664,0.0203965924891178,9,9
winner,102,-0.000785988838725,-0.4518572877285707,0.6523406753698657,0.0175677108099873,9,9
winner - loser,102,0.0031856568604276,1.823554496474412,0.0711769146697573,0.0176433209185789,9,9
