stock_id,start_date,end_date,SD_close,ED_close,combination,return,RT_%_Rank,remark,RT_rank,start_date2,SD_close2,end_date2,ED_close2,return2,avg_monthly_return,annualized_return
1314,2010-01-04,2010-12-31,7.15,16.28,201001-201101,1.27692308,44.365992290237614,winner,4.0,2011-01-03,16.67,2011-09-30,20.94,0.2561487702459508,0.025662705279960285,0.3553603296305681
1319,2010-01-04,2010-12-31,31.61,24.17,201001-201101,-0.23536855,6.320664766217867,loser,133.0,2011-01-03,24.28,2011-09-30,17.13,-0.2944810543657332,-0.03801648201937269,-0.37192490301298997
1704,2010-01-04,2010-12-31,24.92,41.81,201001-201101,0.67776886,29.292829095319597,winner,12.0,2011-01-03,44.05,2011-09-30,33.59,-0.23745743473325753,-0.0296727402460758,-0.30334334829931975
2103,2010-01-04,2010-12-31,15.92,28.91,201001-201101,0.81595477,32.76922749683341,winner,8.0,2011-01-03,30.92,2011-09-30,33.36,0.07891332470892619,0.008475084537855615,0.10657811190442912
2227,2010-01-04,2010-12-31,31.56,59.7,201001-201101,0.89163498,34.67314491555019,winner,6.0,2011-01-03,59.06,2011-09-30,46.64,-0.21029461564510668,-0.02589172373270232,-0.27006061244344304
2384,2010-01-04,2010-12-31,25.94,44.35,201001-201101,0.70971473,30.09650416901537,winner,11.0,2011-01-03,44.61,2011-09-30,24.15,-0.4586415601882986,-0.06591324836171841,-0.5587887788703573
2393,2010-01-04,2010-12-31,52.35,39.26,201001-201101,-0.25004776,5.951373988457053,loser,136.0,2011-01-03,38.93,2011-09-30,25.88,-0.33521705625481635,-0.044352422699848515,-0.41980610097866544
2409,2010-01-04,2010-12-31,27.18,20.64,201001-201101,-0.2406181,6.188599729857308,loser,134.0,2011-01-03,20.68,2011-09-30,8.65,-0.5817214700193424,-0.09230358698634655,-0.6871851003402063
2451,2010-01-04,2010-12-31,45.41,32.14,201001-201101,-0.29222638,4.8902695158949925,loser,139.0,2011-01-03,32.3,2011-09-30,25.52,-0.209907120743034,-0.025838626617608274,-0.26958301505753157
2458,2010-01-04,2010-12-31,40.07,28.5,201001-201101,-0.2887447,4.977859537096014,loser,138.0,2011-01-03,28.36,2011-09-30,23.12,-0.18476727785613534,-0.02244230122458757,-0.2384317948476915
2498,2010-01-04,2010-12-31,264.76,717.19,201001-201101,1.70883064,55.23166413178593,winner,1.0,2011-01-03,733.93,2011-09-30,597.93,-0.18530377556442715,-0.022513802405981997,-0.23909996360544328
2603,2010-01-04,2010-12-31,15.7,26.2,201001-201101,0.66878981,29.066939530550563,winner,13.0,2011-01-03,26.76,2011-09-30,14.35,-0.4637518684603887,-0.0668971144745013,-0.5643332767169236
2609,2010-01-04,2010-12-31,13.05,30.09,201001-201101,1.30574713,45.09113048518929,winner,3.0,2011-01-03,32.01,2011-09-30,13.76,-0.570134333020931,-0.08954351106194591,-0.6755779633741483
2610,2010-01-04,2010-12-31,9.18,20.87,201001-201101,1.27342048,44.27787597619994,winner,5.0,2011-01-03,20.83,2011-09-30,12.58,-0.3960633701392222,-0.054490911185021584,-0.4895085238953978
2618,2010-01-04,2010-12-31,8.13,21.36,201001-201101,1.62730627,53.18072283428014,winner,2.0,2011-01-03,21.25,2011-09-30,13.63,-0.3585882352941176,-0.04814505808656144,-0.446841960670467
