combination,remark,count,mean_avg_monthly_return
201001-201007,loser,14,-0.007642657010939223
201001-201007,winner,14,0.01861001180958377
201001-201007,winner - loser,-,0.026252668820522993
201002-201008,loser,14,-0.030009745455741792
201002-201008,winner,14,0.0005633249483235783
201002-201008,winner - loser,-,0.030573070404065372
201003-201009,loser,14,-0.02763923665805305
201003-201009,winner,14,-0.002805768102871626
201003-201009,winner - loser,-,0.024833468555181426
201004-201010,loser,14,-0.036622930579786654
201004-201010,winner,14,-0.014880497855180586
201004-201010,winner - loser,-,0.02174243272460607
201005-201011,loser,14,-0.03760553773211028
201005-201011,winner,14,-0.01734078202496065
201005-201011,winner - loser,-,0.020264755707149626
201006-201012,loser,14,-0.04381128829931939
201006-201012,winner,14,-0.03232977445089156
201006-201012,winner - loser,-,0.011481513848427834
201007-201101,loser,14,-0.04628876762295282
201007-201101,winner,14,-0.024726648629983392
201007-201101,winner - loser,-,0.02156211899296943
201008-201102,loser,14,-0.028088266510954567
201008-201102,winner,14,-0.013602944440939338
201008-201102,winner - loser,-,0.01448532207001523
201009-201103,loser,14,-0.02093813129607573
201009-201103,winner,14,-0.0008252992896637469
201009-201103,winner - loser,-,0.020112832006411983
201010-201104,loser,14,-0.022424653847249048
201010-201104,winner,13,-0.02239203871706869
201010-201104,winner - loser,-,3.2615130180359275e-05
201011-201105,loser,14,-0.02602508661699007
201011-201105,winner,14,-0.026880442504981943
201011-201105,winner - loser,-,-0.0008553558879918731
201012-201106,loser,14,-0.04221567003819683
201012-201106,winner,14,-0.025806725683628264
201012-201106,winner - loser,-,0.016408944354568567
201101-201107,loser,14,-0.02764393812627324
201101-201107,winner,14,-0.016953567817572655
201101-201107,winner - loser,-,0.010690370308700587
201102-201108,loser,14,-0.02434709649265396
201102-201108,winner,14,-0.006877215104237896
201102-201108,winner - loser,-,0.017469881388416066
201103-201109,loser,14,-0.023779938624832186
201103-201109,winner,14,-0.010084586148226398
201103-201109,winner - loser,-,0.013695352476605789
201104-201110,loser,14,-0.015876964285953612
201104-201110,winner,14,0.009922615100217453
201104-201110,winner - loser,-,0.025799579386171063
201105-201111,loser,14,-0.02102225953103139
201105-201111,winner,14,0.002277020311095636
201105-201111,winner - loser,-,0.023299279842127027
201106-201112,loser,14,0.007237408113553683
201106-201112,winner,14,0.01804517398425936
201106-201112,winner - loser,-,0.010807765870705676
201107-201201,loser,14,-0.0028220538707960296
201107-201201,winner,14,0.01056672577644884
201107-201201,winner - loser,-,0.013388779647244869
201108-201202,loser,14,-0.007267991309434055
