combination,remark,count,mean_return2
201001-201007,loser,14,0.09601722376792472
201001-201007,winner,14,0.40763065469001064
201001-201007,winner - loser,-,0.31161343092208593
201002-201008,loser,14,0.08292095076370949
201002-201008,winner,14,0.21345604208825839
201002-201008,winner - loser,-,0.13053509132454888
201003-201009,loser,14,0.010229684945862178
201003-201009,winner,14,0.17384679009113624
201003-201009,winner - loser,-,0.16361710514527406
201004-201010,loser,14,-0.10431767026069934
201004-201010,winner,14,0.09121659741202756
201004-201010,winner - loser,-,0.1955342676727269
201005-201011,loser,14,-0.013023525648230201
201005-201011,winner,14,0.0678227262637492
201005-201011,winner - loser,-,0.0808462519119794
201006-201012,loser,14,-0.03786499864972485
201006-201012,winner,14,0.037410771959577746
201006-201012,winner - loser,-,0.0752757706093026
201007-201101,loser,14,-0.16689153218296995
201007-201101,winner,14,-0.048782450877431556
201007-201101,winner - loser,-,0.1181090813055384
201008-201102,loser,14,-0.10916487968246248
201008-201102,winner,14,0.10487265864977105
201008-201102,winner - loser,-,0.21403753833223355
201009-201103,loser,14,-0.22645501141965035
201009-201103,winner,14,0.004895491924445938
201009-201103,winner - loser,-,0.2313505033440963
201010-201104,loser,14,-0.16407799867742515
201010-201104,winner,14,-0.1620547492081663
201010-201104,winner - loser,-,0.0020232494692588587
201011-201105,loser,14,-0.1890277142379704
201011-201105,winner,14,-0.13936082210257683
201011-201105,winner - loser,-,0.049666892135393576
201012-201106,loser,14,-0.3718251985908932
201012-201106,winner,14,-0.301998348580718
201012-201106,winner - loser,-,0.06982685001017519
201101-201107,loser,14,-0.3108726707077373
201101-201107,winner,14,-0.22891558467930215
201101-201107,winner - loser,-,0.08195708602843513
201102-201108,loser,14,-0.1778802344335135
201102-201108,winner,14,-0.18273078863472694
201102-201108,winner - loser,-,-0.004850554201213442
201103-201109,loser,14,0.10138831013860264
201103-201109,winner,14,0.0008174085894968597
201103-201109,winner - loser,-,-0.10057090154910578
201104-201110,loser,14,0.15327605766652333
201104-201110,winner,14,0.23685057246310962
201104-201110,winner - loser,-,0.08357451479658629
201105-201111,loser,14,0.061910426002394034
201105-201111,winner,14,0.026349326843632552
201105-201111,winner - loser,-,-0.03556109915876148
201106-201112,loser,14,0.14669336818206594
201106-201112,winner,14,0.16153639325669827
201106-201112,winner - loser,-,0.014843025074632338
201107-201201,loser,14,0.11836780734079554
201107-201201,winner,14,0.07959473499949431
201107-201201,winner - loser,-,-0.03877307234130123
201108-201202,loser,14,-0.12108125333718377
201108-201202,winner,14,0.07666235292617019
201108-201202,winner - loser,-,0.19774360626335397
201109-201203,loser,14,-0.19225638679130422
201109-201203,winner,14,-0.06796398382585628
201109-201203,winner - loser,-,0.12429240296544794
201110-201204,loser,14,-0.028405724112038667
201110-201204,winner,14,-0.08693772974127245
201110-201204,winner - loser,-,-0.05853200562923379
201111-201205,loser,14,-0.08992076434252592
201111-201205,winner,14,0.018643227770423706
201111-201205,winner - loser,-,0.10856399211294963
201112-201206,loser,14,0.011796175315630856
201112-201206,winner,14,0.030959696557583145
201112-201206,winner - loser,-,0.019163521241952287
201201-201207,loser,14,0.06980435834904311
201201-201207,winner,14,0.06630917978053205
201201-201207,winner - loser,-,-0.0034951785685110592
201202-201208,loser,14,0.10786475852679002
201202-201208,winner,14,0.0509372911690462
201202-201208,winner - loser,-,-0.056927467357743816
201203-201209,loser,14,0.0686764687618627
201203-201209,winner,14,0.13042044120760524
201203-201209,winner - loser,-,0.061743972445742534
201204-201210,loser,14,0.195070807873238
201204-201210,winner,14,0.11974291742662087
201204-201210,winner - loser,-,-0.07532789044661713
201205-201211,loser,14,0.5893784147244877
201205-201211,winner,14,0.27197665581490965
201205-201211,winner - loser,-,-0.31740175890957806
201206-201212,loser,14,0.3375505069593081
201206-201212,winner,14,0.19157815192905542
201206-201212,winner - loser,-,-0.1459723550302527
201207-201301,loser,14,-0.04422628250354561
201207-201301,winner,14,0.0429957066331248
201207-201301,winner - loser,-,0.0872219891366704
201208-201302,loser,14,0.10648924391074159
201208-201302,winner,14,0.08422627289311654
201208-201302,winner - loser,-,-0.022262971017625047
201209-201303,loser,14,0.004887028049764046
201209-201303,winner,14,-0.007645181859552216
201209-201303,winner - loser,-,-0.012532209909316262
201210-201304,loser,14,-0.00995385803344941
201210-201304,winner,14,0.12345247215249693
201210-201304,winner - loser,-,0.13340633018594633
201211-201305,loser,14,0.03272294074132891
201211-201305,winner,14,-0.011832004557659303
201211-201305,winner - loser,-,-0.04455494529898821
201212-201306,loser,14,0.06363143488206885
201212-201306,winner,13,0.05148096476467149
201212-201306,winner - loser,-,-0.01215047011739736
201301-201307,loser,14,0.039807460496849134
201301-201307,winner,13,0.1414983984453243
201301-201307,winner - loser,-,0.10169093794847517
201302-201308,loser,14,0.04766435155672721
201302-201308,winner,14,0.09677225100852271
201302-201308,winner - loser,-,0.04910789945179551
201303-201309,loser,14,0.062806729206023
201303-201309,winner,14,0.19848737902160438
201303-201309,winner - loser,-,0.13568064981558137
201304-201310,loser,14,0.006924184540911156
201304-201310,winner,14,0.2128016624925509
201304-201310,winner - loser,-,0.20587747795163974
201305-201311,loser,14,0.08815605328030367
201305-201311,winner,13,0.053210887680108176
201305-201311,winner - loser,-,-0.03494516560019549
201306-201312,loser,14,0.25749447802953984
201306-201312,winner,12,0.05361820862919553
201306-201312,winner - loser,-,-0.2038762694003443
201307-201401,loser,14,0.22000845528606675
201307-201401,winner,13,0.1808038042499841
201307-201401,winner - loser,-,-0.039204651036082644
201308-201402,loser,14,0.17755322917333127
201308-201402,winner,13,0.08247177810217145
201308-201402,winner - loser,-,-0.09508145107115983
201309-201403,loser,14,0.20985051925438697
201309-201403,winner,13,0.07631739922375355
201309-201403,winner - loser,-,-0.13353312003063342
201310-201404,loser,14,0.12153067842078294
201310-201404,winner,14,0.06500046337278677
201310-201404,winner - loser,-,-0.05653021504799617
201311-201405,loser,14,-0.13061157918712624
201311-201405,winner,14,0.00843118934236461
201311-201405,winner - loser,-,0.13904276852949085
201312-201406,loser,14,-0.10890607029943121
201312-201406,winner,14,-0.04750594782457802
201312-201406,winner - loser,-,0.06140012247485319
201401-201407,loser,14,0.02736964288533907
201401-201407,winner,14,-0.03708782943201402
201401-201407,winner - loser,-,-0.06445747231735309
201402-201408,loser,14,-0.032632036485378914
201402-201408,winner,14,0.007906722384290873
201402-201408,winner - loser,-,0.04053875886966979
201403-201409,loser,14,0.007755710763529887
201403-201409,winner,14,0.03582601035310751
