combination,remark,count,mean_avg_monthly_return
201001-201010,loser,14,-0.04075782441687327
201001-201010,winner,14,-0.013642454857948492
201001-201010,winner - loser,-,0.027115369558924778
201002-201011,loser,14,-0.03210663239493037
201002-201011,winner,14,-0.010096354375444214
201002-201011,winner - loser,-,0.022010278019486157
201003-201012,loser,14,-0.03898489079788552
201003-201012,winner,14,-0.02777293441226974
201003-201012,winner - loser,-,0.011211956385615784
201004-201101,loser,14,-0.04706957322621234
201004-201101,winner,14,-0.027107992078485736
201004-201101,winner - loser,-,0.0199615811477266
201005-201102,loser,14,-0.04695347150892281
201005-201102,winner,14,-0.023360800751102116
201005-201102,winner - loser,-,0.023592670757820695
201006-201103,loser,14,-0.020079233827390273
201006-201103,winner,14,-0.008972798955141319
201006-201103,winner - loser,-,0.011106434872248954
201007-201104,loser,14,-0.017551467873749314
201007-201104,winner,14,-0.01312000919226539
201007-201104,winner - loser,-,0.004431458681483924
201008-201105,loser,14,-0.030951731837897376
201008-201105,winner,14,-0.02740163270504553
201008-201105,winner - loser,-,0.003550099132851845
201009-201106,loser,14,-0.03736754129166468
201009-201106,winner,14,-0.031143266978097835
201009-201106,winner - loser,-,0.006224274313566848
201010-201107,loser,14,-0.027636984071803015
201010-201107,winner,14,-0.02622253034517353
201010-201107,winner - loser,-,0.0014144537266294853
201011-201108,loser,14,-0.02535719802349668
201011-201108,winner,14,-0.0268767554567582
201011-201108,winner - loser,-,-0.0015195574332615182
201012-201109,loser,14,-0.020579639352289143
201012-201109,winner,14,-0.011669986530754763
201012-201109,winner - loser,-,0.00890965282153438
201101-201110,loser,14,-0.016664676515535357
201101-201110,winner,14,0.019035014348148898
201101-201110,winner - loser,-,0.035699690863684255
201102-201111,loser,14,-0.030579679992208262
201102-201111,winner,14,0.0029172836625734255
201102-201111,winner - loser,-,0.033496963654781685
201103-201112,loser,14,-0.013428849365794495
201103-201112,winner,14,0.012069258513220058
201103-201112,winner - loser,-,0.025498107879014555
201104-201201,loser,14,-0.007294406904790067
201104-201201,winner,14,0.016249268204510486
201104-201201,winner - loser,-,0.023543675109300555
201105-201202,loser,14,-0.010537042866057009
201105-201202,winner,14,0.011280238976130492
201105-201202,winner - loser,-,0.0218172818421875
201106-201203,loser,14,-0.024414494640664593
201106-201203,winner,14,0.006995537224548035
201106-201203,winner - loser,-,0.03141003186521263
201107-201204,loser,14,-0.010905739853921776
201107-201204,winner,14,0.009719325293283223
201107-201204,winner - loser,-,0.020625065147205
201108-201205,loser,14,-0.005541301266617845
201108-201205,winner,14,0.012064520154022571
201108-201205,winner - loser,-,0.017605821420640416
201109-201206,loser,14,0.007460676254110755
201109-201206,winner,14,0.021529998226887812
201109-201206,winner - loser,-,0.014069321972777056
201110-201207,loser,14,0.0016090754974932445
201110-201207,winner,14,0.010394461017415781
201110-201207,winner - loser,-,0.008785385519922537
201111-201208,loser,14,0.0025972919896089758
201111-201208,winner,14,0.02245861009946473
201111-201208,winner - loser,-,0.019861318109855752
201112-201209,loser,14,-0.0030979508297598562
201112-201209,winner,14,0.01214517037053284
201112-201209,winner - loser,-,0.015243121200292697
201201-201210,loser,14,-0.002909198854132576
201201-201210,winner,14,0.007853065059550626
201201-201210,winner - loser,-,0.010762263913683201
201202-201211,loser,14,0.010428314383114859
201202-201211,winner,14,0.01892830775254865
201202-201211,winner - loser,-,0.008499993369433792
201203-201212,loser,14,-0.0034543085156386283
201203-201212,winner,14,0.009496018927385417
201203-201212,winner - loser,-,0.012950327443024046
201204-201301,loser,14,-0.005091555359394285
201204-201301,winner,14,0.01181032604236001
201204-201301,winner - loser,-,0.016901881401754297
201205-201302,loser,14,0.007928032465947421
201205-201302,winner,14,0.005300388059250705
201205-201302,winner - loser,-,-0.0026276444066967164
201206-201303,loser,14,0.0007933594886093528
201206-201303,winner,14,0.010000435556143121
201206-201303,winner - loser,-,0.009207076067533768
201207-201304,loser,14,-0.003957492256438512
201207-201304,winner,14,-0.00268573989445484
201207-201304,winner - loser,-,0.001271752361983672
201208-201305,loser,14,0.000631688133951734
201208-201305,winner,14,-0.0037010734404965273
201208-201305,winner - loser,-,-0.004332761574448262
201209-201306,loser,14,0.007316603425854139
201209-201306,winner,14,0.007416032469431629
201209-201306,winner - loser,-,9.942904357749041e-05
201210-201307,loser,14,0.007828517609626329
201210-201307,winner,14,0.023721765652984
201210-201307,winner - loser,-,0.01589324804335767
201211-201308,loser,14,0.006679993589226766
201211-201308,winner,14,0.01841999392638707
201211-201308,winner - loser,-,0.011740000337160304
201212-201309,loser,14,0.005147418461569385
201212-201309,winner,14,0.014687689461588343
201212-201309,winner - loser,-,0.009540271000018957
201301-201310,loser,14,-0.004915798698107202
201301-201310,winner,14,0.0012887749610278054
201301-201310,winner - loser,-,0.0062045736591350075
201302-201311,loser,14,-0.005074014651283495
201302-201311,winner,14,-0.0025338460342266833
201302-201311,winner - loser,-,0.0025401686170568117
201303-201312,loser,13,-0.0035776904759303473
201303-201312,winner,13,-0.007106204262941225
201303-201312,winner - loser,-,-0.0035285137870108775
201304-201401,loser,13,0.012897155518762941
201304-201401,winner,14,0.007159538804101743
201304-201401,winner - loser,-,-0.005737616714661198
201305-201402,loser,13,0.015536178574477559
201305-201402,winner,12,0.015245077415396269
201305-201402,winner - loser,-,-0.00029110115908129
201306-201403,loser,13,0.017113927919261165
201306-201403,winner,14,0.006814971484969877
201306-201403,winner - loser,-,-0.010298956434291288
201307-201404,loser,13,0.0005544766513926325
201307-201404,winner,14,0.005332649286415921
201307-201404,winner - loser,-,0.004778172635023289
201308-201405,loser,14,-0.003414970224529238
201308-201405,winner,14,0.009039130247585427
201308-201405,winner - loser,-,0.012454100472114666
201309-201406,loser,14,-0.009873247466059165
201309-201406,winner,14,0.0036018482892054954
201309-201406,winner - loser,-,0.013475095755264661
201310-201407,loser,14,-0.018549565089569058
201310-201407,winner,14,-0.006214689093791732
201310-201407,winner - loser,-,0.012334875995777326
201311-201408,loser,14,-0.021508636788365787
201311-201408,winner,14,-0.012221416248848118
201311-201408,winner - loser,-,0.009287220539517669
201312-201409,loser,14,-0.01887627831354799
201312-201409,winner,14,-0.03468481789636758
201312-201409,winner - loser,-,-0.015808539582819588
201401-201410,loser,14,-0.01791005828957772
201401-201410,winner,14,-0.00544625201573761
201401-201410,winner - loser,-,0.012463806273840108
201402-201411,loser,14,-0.013282645438332725
201402-201411,winner,14,-0.003385957154844878
201402-201411,winner - loser,-,0.009896688283487847
201403-201412,loser,13,-0.019514105639783935
201403-201412,winner,14,-0.015539868314072931
201403-201412,winner - loser,-,0.0039742373257110036
201404-201501,loser,14,-0.017323170418832388
201404-201501,winner,14,-0.0214412593314857
201404-201501,winner - loser,-,-0.004118088912653313
201405-201502,loser,14,-0.021066697061101054
201405-201502,winner,14,-0.021314106926364977
201405-201502,winner - loser,-,-0.00024740986526392353
201406-201503,loser,14,-0.015041870500101378
201406-201503,winner,14,-0.018613243122224083
201406-201503,winner - loser,-,-0.0035713726221227055
201407-201504,loser,14,-0.027340851669924646
201407-201504,winner,14,-0.026193367525381372
201407-201504,winner - loser,-,0.0011474841445432739
201408-201505,loser,14,-0.021591162953682224
201408-201505,winner,14,-0.02880669157817876
201408-201505,winner - loser,-,-0.007215528624496537
201409-201506,loser,14,-0.012646129439958869
201409-201506,winner,14,-0.02580881510672079
201409-201506,winner - loser,-,-0.013162685666761922
201410-201507,loser,14,-0.004252169689125332
201410-201507,winner,14,-0.020294151220147025
201410-201507,winner - loser,-,-0.016041981531021692
201411-201508,loser,14,0.009632914628290927
201411-201508,winner,13,-0.007346110482337149
201411-201508,winner - loser,-,-0.016979025110628078
201412-201509,loser,14,0.01607338870001429
201412-201509,winner,12,-0.009811826400865245
201412-201509,winner - loser,-,-0.025885215100879537
201501-201510,loser,14,0.008701549498680763
201501-201510,winner,12,-0.0015699023568573611
