stock_id,start_date,end_date,SD_close,ED_close,combination,return,RT_%_Rank,remark,RT_rank
1314,2010-01-04,2010-09-30,7.15,12.56,201001-201010,0.75664336,37.77899550070502,winner,6.0
1605,2010-01-04,2010-09-30,8.14,11.88,201001-201010,0.45945946,27.90628078964323,winner,12.0
1704,2010-01-04,2010-09-30,24.92,40.58,201001-201010,0.62841091,33.518998927705965,winner,9.0
2201,2010-01-04,2010-09-30,47.56,69.83,201001-201010,0.46825063,28.19833131252299,winner,11.0
2227,2010-01-04,2010-09-30,31.56,60.13,201001-201010,0.90525982,42.7161671003372,winner,4.0
2371,2010-01-04,2010-09-30,20.07,15.57,201001-201010,-0.22421525,5.1939960158115905,loser,134.0
2384,2010-01-04,2010-09-30,25.94,43.33,201001-201010,0.67039322,34.91368877981893,winner,7.0
2408,2010-01-04,2010-09-30,196.09,130.83,201001-201010,-0.33280636,1.5865023084218919,loser,146.0
2451,2010-01-04,2010-09-30,45.41,32.75,201001-201010,-0.27879322,3.380867083460648,loser,139.0
2489,2010-01-04,2010-09-30,18.24,13.98,201001-201010,-0.23355263,4.883799908657824,loser,137.0
2498,2010-01-04,2010-09-30,264.76,564.99,201001-201010,1.13397039,50.31413660344395,winner,1.0
2609,2010-01-04,2010-09-30,13.05,21.36,201001-201010,0.63678161,33.797081061468546,winner,8.0
2610,2010-01-04,2010-09-30,9.18,18.2,201001-201010,0.98257081,45.284507270513814,winner,2.0
2618,2010-01-04,2010-09-30,8.13,15.79,201001-201010,0.94218942,43.94300141132654,winner,3.0
2801,2010-01-04,2010-09-30,6.58,9.22,201001-201010,0.40121581,25.971374692169803,winner,14.0
2912,2010-01-04,2010-09-30,47.57,87.13,201001-201010,0.83161657,40.26967253032381,winner,5.0
2915,2010-01-04,2010-09-30,37.16,60.0,201001-201010,0.6146394,33.06149705976986,winner,10.0
3008,2010-01-04,2010-09-30,290.98,423.09,201001-201010,0.45401746,27.725492686863777,winner,13.0
3041,2010-01-04,2010-09-30,172.56,115.37,201001-201010,-0.33142096,1.6325265343665185,loser,145.0
3059,2010-01-04,2010-09-30,47.56,36.82,201001-201010,-0.22582002,5.140684122445662,loser,135.0
3443,2010-01-04,2010-09-30,113.16,77.92,201001-201010,-0.31141746,2.2970606787892973,loser,141.0
3474,2010-01-04,2010-09-30,25.82,17.5,201001-201010,-0.32223083,1.937830864942872,loser,144.0
3504,2010-01-04,2010-09-30,226.39,154.97,201001-201010,-0.3154733,2.1623220498335796,loser,143.0
3532,2010-01-04,2010-09-30,128.6,91.47,201001-201010,-0.28872473,3.050933446813249,loser,140.0
6005,2010-01-04,2010-09-30,7.83,6.1,201001-201010,-0.22094508,5.302633985320279,loser,133.0
6116,2010-01-04,2010-09-30,11.72,8.54,201001-201010,-0.27133106,3.6287667065838956,loser,138.0
6286,2010-01-04,2010-09-30,238.16,184.01,201001-201010,-0.22736816,5.089253528282307,loser,136.0
8078,2010-01-04,2010-09-30,40.14,27.53,201001-201010,-0.31415047,2.2062676444678573,loser,142.0
1314,2010-02-01,2010-10-29,6.51,14.59,201002-201011,1.241167434715822,46.26780026269977,winner,4.0
1504,2010-02-01,2010-10-29,6.89,10.94,201002-201011,0.5878084179970973,27.654430051516204,winner,12.0
1605,2010-02-01,2010-10-29,6.9,11.72,201002-201011,0.6985507246376812,30.80933799461573,winner,9.0
1704,2010-02-01,2010-10-29,24.27,43.23,201002-201011,0.7812113720642768,33.16423506204186,winner,8.0
2006,2010-02-01,2010-10-29,25.19,20.31,201002-201011,-0.1937276697102025,5.389457560658872,loser,138.0
2103,2010-02-01,2010-10-29,15.38,23.81,201002-201011,0.5481144343302989,26.523598771560263,winner,13.0
2201,2010-02-01,2010-10-29,38.88,74.16,201002-201011,0.9074074074074072,36.75940014726869,winner,7.0
2377,2010-02-01,2010-10-29,8.77,7.39,201002-201011,-0.1573546180159635,6.4256796982142985,loser,133.0
2384,2010-02-01,2010-10-29,21.07,45.67,201002-201011,1.1675367821547225,44.170156302884656,winner,5.0
2408,2010-02-01,2010-10-29,164.54,113.51,201002-201011,-0.3101373526194237,2.0730932514346314,loser,144.0
2451,2010-02-01,2010-10-29,39.17,30.96,201002-201011,-0.2095991830482512,4.937298263835363,loser,140.0
2454,2010-02-01,2010-10-29,240.05,193.81,201002-201011,-0.1926265361383045,5.420827460363684,loser,137.0
2485,2010-02-01,2010-10-29,40.8,33.18,201002-201011,-0.1867647058823529,5.587823574103882,loser,136.0
2498,2010-02-01,2010-10-29,227.82,550.65,201002-201011,1.4170397682380826,51.278180115104696,winner,2.0
2609,2010-02-01,2010-10-29,11.93,24.82,201002-201011,1.0804694048616932,41.689717087381126,winner,6.0
2610,2010-02-01,2010-10-29,8.57,19.29,201002-201011,1.2508751458576428,46.544360647973726,winner,3.0
2618,2010-02-01,2010-10-29,7.26,17.94,201002-201011,1.4710743801652897,52.817557716518785,winner,1.0
2707,2010-02-01,2010-10-29,104.44,160.46,201002-201011,0.5363845270011491,26.189428580174763,winner,14.0
2912,2010-02-01,2010-10-29,46.44,78.71,201002-201011,0.6948751076658053,30.704624326171036,winner,10.0
2915,2010-02-01,2010-10-29,34.44,57.19,201002-201011,0.660569105691057,29.727289815003672,winner,11.0
3041,2010-02-01,2010-10-29,141.91,108.0,201002-201011,-0.2389542667888098,4.101009137548552,loser,142.0
3059,2010-02-01,2010-10-29,42.64,34.83,201002-201011,-0.1831613508442777,5.690478591651304,loser,135.0
3311,2010-02-01,2010-10-29,123.31,101.07,201002-201011,-0.1803584461925229,5.770329792315488,loser,134.0
3474,2010-02-01,2010-10-29,23.0,15.0,201002-201011,-0.3478260869565217,0.9993889830976458,loser,146.0
3481,2010-02-01,2010-10-29,37.96,30.47,201002-201011,-0.1973129610115912,5.287317156072685,loser,139.0
3532,2010-02-01,2010-10-29,132.46,88.95,201002-201011,-0.3284765212139514,1.5506335842678898,loser,145.0
8078,2010-02-01,2010-10-29,31.6,24.89,201002-201011,-0.2123417721518987,4.859165376682868,loser,141.0
8131,2010-02-01,2010-10-29,19.1,14.52,201002-201011,-0.2397905759162304,4.077183750584659,loser,143.0
1314,2010-03-01,2010-11-30,6.84,17.12,201003-201012,1.5029239766081874,47.847141758193686,winner,3.0
1704,2010-03-01,2010-11-30,24.82,47.01,201003-201012,0.894037066881547,32.79919692795607,winner,8.0
2006,2010-03-01,2010-11-30,25.36,20.1,201003-201012,-0.2074132492113564,5.578109850792668,loser,140.0
