remark,n,mean,t_stat,p_value,oPeriod,hPeriod
loser,96,0.0475823048567854,2.1319726491645588,0.0355887010365675,12,12
winner,96,0.0505347405509049,2.2467521352697117,0.0269713109543661,12,12
winner - loser,96,0.0029524356941195,0.1253045188743443,0.9005472603678419,12,12
loser,105,-0.0062206069450508,-0.5358321152764465,0.5932187089286451,12,3
winner,105,0.0155610672921839,1.7682394061761868,0.0799531737066325,12,3
winner - loser,105,0.0217816742372347,2.184441605074692,0.0311757422268548,12,3
loser,102,-0.0006945763338891,-0.0469217890583823,0.9626682162460825,12,6
winner,102,0.0214332070845108,1.5868298092322657,0.1156771112897061,12,6
winner - loser,102,0.0221277834183999,1.5686371069098937,0.119860281551464,12,6
loser,99,0.017274350360729,0.967187984306026,0.3358309090369571,12,9
winner,99,0.0337007526156422,1.9111876517641968,0.0589025341170653,12,9
winner - loser,99,0.0164264022549132,0.9312194742020964,0.3540284363061401,12,9
loser,105,0.0232805155519559,1.162007115964107,0.2478923422240533,3,12
winner,105,0.0933097832882889,4.412363578378503,2.503450390778399e-05,3,12
winner - loser,105,0.070029267736333,3.391050084622537,0.000985331798375,3,12
loser,114,0.0003026042182313,0.0283550843949133,0.9774289646048268,3,3
winner,114,0.03072221031741,3.5469888887583614,0.0005684506490442,3,3
winner - loser,114,0.0304196060991787,3.5780818191419885,0.0005110635626953,3,3
loser,111,0.0151301049852723,1.144389393932469,0.2549462540683049,3,6
winner,111,0.06563106030972,4.689195976059158,7.923202576295689e-06,3,6
winner - loser,111,0.0505009553244477,3.823678204398947,0.0002184178713642,3,6
loser,108,0.0151244575442856,0.956530525009063,0.3409604608018409,3,9
winner,108,0.0905265283366929,5.146203876606888,1.214187613848092e-06,3,9
winner - loser,108,0.0754020707924073,4.49453778223613,1.7724280876774033e-05,3,9
loser,102,0.0306497111858408,1.5309333480479868,0.1289120897435483,6,12
winner,102,0.0530658504832514,2.6749590287444165,0.0087196464352813,6,12
winner - loser,102,0.0224161392974106,1.264702651453807,0.2088884024710891,6,12
loser,111,0.0047735012474096,0.4491128612277366,0.6542338338947307,6,3
winner,111,0.0271156837650554,3.136151134839384,0.0021961835765054,6,3
winner - loser,111,0.0223421825176458,2.6870396316370595,0.0083279350537053,6,3
loser,108,0.0189783044088855,1.3474704288698425,0.1806751494515716,6,6
winner,108,0.0543157650003639,4.177152563797592,6.041998072112339e-05,6,6
winner - loser,108,0.0353374605914783,2.982910241594059,0.0035367985366198,6,6
loser,105,0.0199711867006667,1.2045781414448706,0.2311003212075183,6,9
winner,105,0.0603256929965394,3.606510035800076,0.0004785663965537,6,9
winner - loser,105,0.0403545062958726,2.706425550385526,0.0079506872459266,6,9
loser,99,0.015399793559195,0.7867607062323475,0.4333204325999982,9,12
winner,99,0.0419633398518187,1.9830952728584337,0.0501555421168577,9,12
winner - loser,99,0.0265635462926236,1.3695739340321398,0.1739501128265051,9,12
loser,108,0.0005971929099581,0.0527149810727266,0.9580572943218671,9,3
winner,108,0.0284749752984359,3.2314643208591,0.0016370331429953,9,3
winner - loser,108,0.0278777823884777,2.8904916757838124,0.0046583346619845,9,3
loser,105,0.000618739334276,0.0443467866616634,0.9647130145651542,9,6
winner,105,0.0416235932542004,3.1788306862105733,0.0019481016183373,9,6
winner - loser,105,0.0410048539199243,3.269105451032046,0.0014631170676755,9,6
loser,102,0.001523367447362,0.0906746626845464,0.9279306880625778,9,9
winner,102,0.0402946067184517,2.480365444984144,0.0147777782253665,9,9
winner - loser,102,0.0387712392710896,2.4818415957859745,0.0147202910723915,9,9
