combination,remark,count,mean_avg_monthly_return
201001-201101,loser,14,-0.01951031429989935
201001-201101,winner,14,0.0022381773568378527
201001-201101,winner - loser,-,0.0217484916567372
201002-201102,loser,14,-0.03723482690298167
201002-201102,winner,14,-0.004556530767332962
201002-201102,winner - loser,-,0.0326782961356487
201003-201103,loser,14,-0.014061207630821058
201003-201103,winner,14,0.018306153027394672
201003-201103,winner - loser,-,0.03236736065821573
201004-201104,loser,14,-0.062473196880479774
201004-201104,winner,14,0.003969774900827164
201004-201104,winner - loser,-,0.06644297178130694
201005-201105,loser,14,-0.10390905249949914
201005-201105,winner,14,-0.014305687089620125
201005-201105,winner - loser,-,0.08960336540987901
201006-201106,loser,14,-0.11498360113514512
201006-201106,winner,14,-0.02566913567176469
201006-201106,winner - loser,-,0.08931446546338043
201007-201107,loser,14,-0.0875285147448577
201007-201107,winner,14,-0.06908702205757943
201007-201107,winner - loser,-,0.01844149268727828
201008-201108,loser,14,-0.0002416319340949483
201008-201108,winner,14,-0.017263311563901342
201008-201108,winner - loser,-,-0.017021679629806392
201009-201109,loser,14,-0.0751066070279288
201009-201109,winner,13,-0.051656089022956556
201009-201109,winner - loser,-,0.02345051800497225
201010-201110,loser,14,-0.039243006924567246
201010-201110,winner,13,-0.02132833275271969
201010-201110,winner - loser,-,0.017914674171847556
201011-201111,loser,14,0.0414568438939237
201011-201111,winner,14,-0.00995511924507916
201011-201111,winner - loser,-,-0.051411963139002856
201012-201112,loser,14,0.13921287403581672
201012-201112,winner,14,0.03776109242138535
201012-201112,winner - loser,-,-0.10145178161443137
201101-201201,loser,14,0.04469022415261518
201101-201201,winner,14,0.02843961633671676
201101-201201,winner - loser,-,-0.01625060781589842
201102-201202,loser,14,-0.056369621995173314
201102-201202,winner,14,0.006087653103228262
201102-201202,winner - loser,-,0.06245727509840158
201103-201203,loser,14,-0.1032349996040274
201103-201203,winner,14,-0.00867104673443241
201103-201203,winner - loser,-,0.094563952869595
201104-201204,loser,14,-0.058713801319169055
201104-201204,winner,14,0.010615348767801442
201104-201204,winner - loser,-,0.06932915008697049
201105-201205,loser,14,-0.04114340133907086
201105-201205,winner,14,0.013453145769312622
201105-201205,winner - loser,-,0.05459654710838348
201106-201206,loser,14,-0.004534987783360541
201106-201206,winner,14,0.03470161696296059
201106-201206,winner - loser,-,0.03923660474632113
201107-201207,loser,14,-0.0018763192948724908
201107-201207,winner,14,0.0371526226782229
201107-201207,winner - loser,-,0.03902894197309539
201108-201208,loser,14,-0.029648355227607098
201108-201208,winner,14,0.006297984970872306
201108-201208,winner - loser,-,0.03594634019847941
201109-201209,loser,14,-0.008397281154870016
201109-201209,winner,14,0.0054335309184744985
201109-201209,winner - loser,-,0.013830812073344514
201110-201210,loser,14,-0.015497508871417511
201110-201210,winner,14,0.009483083411881659
201110-201210,winner - loser,-,0.02498059228329917
201111-201211,loser,14,0.04858216122430232
201111-201211,winner,14,0.026413431174141324
201111-201211,winner - loser,-,-0.022168730050160994
201112-201212,loser,14,0.03426855473056861
201112-201212,winner,14,0.025109662136862727
201112-201212,winner - loser,-,-0.009158892593705885
201201-201301,loser,14,0.020882723771486762
201201-201301,winner,14,0.02913298412447196
201201-201301,winner - loser,-,0.008250260352985199
201202-201302,loser,14,0.00640858080796156
201202-201302,winner,14,0.018935742795856463
201202-201302,winner - loser,-,0.012527161987894903
201203-201303,loser,14,0.010476471899725948
201203-201303,winner,14,0.025705020687760777
201203-201303,winner - loser,-,0.01522854878803483
201204-201304,loser,14,-0.00851213031583699
201204-201304,winner,14,0.006426668266941128
201204-201304,winner - loser,-,0.014938798582778117
201205-201305,loser,14,-0.02136229952973901
201205-201305,winner,14,-0.002264500804368186
201205-201305,winner - loser,-,0.019097798725370825
201206-201306,loser,14,-0.00014773661782304024
201206-201306,winner,14,-0.0108638311836436
201206-201306,winner - loser,-,-0.01071609456582056
201207-201307,loser,14,0.0213913622247178
201207-201307,winner,14,0.028895822741456516
201207-201307,winner - loser,-,0.007504460516738715
201208-201308,loser,14,-0.0020886480356318176
201208-201308,winner,14,0.02920472965999873
201208-201308,winner - loser,-,0.03129337769563055
201209-201309,loser,14,-0.046507114032603346
201209-201309,winner,14,0.023300459990930254
201209-201309,winner - loser,-,0.0698075740235336
201210-201310,loser,14,-0.04489938965796368
201210-201310,winner,14,0.005501746466383263
201210-201310,winner - loser,-,0.05040113612434694
201211-201311,loser,14,0.010563255057269865
201211-201311,winner,14,0.01610699697564229
201211-201311,winner - loser,-,0.005543741918372426
201212-201312,loser,14,0.004810135605215339
201212-201312,winner,14,0.006953637357292121
201212-201312,winner - loser,-,0.002143501752076782
201301-201401,loser,14,0.010986312997676955
201301-201401,winner,13,0.009572008329570999
201301-201401,winner - loser,-,-0.0014143046681059559
201302-201402,loser,14,0.026337519719953944
201302-201402,winner,13,0.012564228473734063
201302-201402,winner - loser,-,-0.013773291246219881
201303-201403,loser,14,0.024908026126402732
201303-201403,winner,14,0.018200905123237982
201303-201403,winner - loser,-,-0.00670712100316475
201304-201404,loser,14,0.019085473844418277
201304-201404,winner,14,0.02880755401870636
