combination,remark,count,mean_avg_monthly_return
201001-201101,loser,14,-0.024102627128166996
201001-201101,winner,14,-0.011122587250878715
201002-201102,loser,14,-0.05047192237297471
201002-201102,winner,14,-0.0013980949256051486
201003-201103,loser,14,-0.05854172090613515
201003-201103,winner,14,-0.0074456129282659865
201004-201104,loser,14,-0.06842865033954802
201004-201104,winner,14,-0.03141107247371472
201005-201105,loser,14,-0.05995213929233482
201005-201105,winner,14,-0.023983576450551325
201006-201106,loser,14,-0.08377273276049128
201006-201106,winner,14,-0.055119955876116976
201007-201107,loser,14,-0.06555258174704388
201007-201107,winner,14,-0.04954530818923215
201008-201108,loser,14,-0.03177302126079727
201008-201108,winner,14,-0.043187533184550694
201009-201109,loser,14,0.02125004343459346
201009-201109,winner,13,-0.0023022677970429175
201010-201110,loser,14,0.014889609125061558
201010-201110,winner,13,0.020360463010618165
201011-201111,loser,14,-0.001562072067529428
201011-201111,winner,14,-0.015042217045592015
201012-201112,loser,14,0.010025254960035987
201012-201112,winner,14,0.006671390651216191
201101-201201,loser,14,0.007912868637358374
201101-201201,winner,14,0.023761162909787477
201102-201202,loser,14,-0.04466168026121955
201102-201202,winner,14,0.022222181943114056
201103-201203,loser,14,-0.07292484211523027
201103-201203,winner,14,0.0026401146214109494
201104-201204,loser,14,-0.05270527343856135
201104-201204,winner,14,0.005107198997923358
201105-201205,loser,14,-0.042063553466641326
201105-201205,winner,14,0.003803362743648786
201106-201206,loser,14,-0.009525488217800764
201106-201206,winner,14,0.021297037682732882
201107-201207,loser,14,-0.004715684972682274
201107-201207,winner,14,0.021114172498293567
201108-201208,loser,14,0.017369835264624038
201108-201208,winner,14,0.01929717628126745
201109-201209,loser,14,-0.004070002361387762
201109-201209,winner,14,0.006241313767217324
201110-201210,loser,14,-0.001476410375223233
201110-201210,winner,14,0.012729740287391402
201111-201211,loser,14,0.024954205835907944
201111-201211,winner,14,0.03065855771220342
201112-201212,loser,14,0.03906784806240071
201112-201212,winner,14,0.024803421664854195
201201-201301,loser,14,0.010177280977141481
201201-201301,winner,14,0.00915127035094553
201202-201302,loser,14,-0.00885942816767766
201202-201302,winner,14,0.010986638835462874
201203-201303,loser,14,-0.02050850795243419
201203-201303,winner,14,0.010684655583919995
201204-201304,loser,14,-0.006409931678027828
201204-201304,winner,14,0.0068391191031635145
201205-201305,loser,14,-0.001797050519024322
201205-201305,winner,14,0.009381011683939218
201206-201306,loser,14,-0.019909573901724098
201206-201306,winner,14,-0.006873294901533196
201207-201307,loser,14,-0.0034519117525728194
201207-201307,winner,14,0.019534983926689325
201208-201308,loser,14,-0.0022485690445711265
201208-201308,winner,14,0.019644061679274665
201209-201309,loser,14,-0.009179738915964122
201209-201309,winner,14,0.023544405517744466
201210-201310,loser,14,-0.021704347030716584
201210-201310,winner,14,0.018044213366260768
201211-201311,loser,14,0.004764033415616312
201211-201311,winner,14,0.006444576725889669
201212-201312,loser,14,0.006958547574963915
201212-201312,winner,14,0.0062419509801530425
201301-201401,loser,14,0.01208919900060433
201301-201401,winner,13,0.0010439571577184935
201302-201402,loser,14,0.026896512668241994
201302-201402,winner,13,0.022874903650985715
201303-201403,loser,14,0.023734833816375867
201303-201403,winner,14,0.008945762500434535
201304-201404,loser,14,-0.001600900141855845
201304-201404,winner,14,-0.0037206756835736327
201305-201405,loser,14,-0.018461118622869272
201305-201405,winner,14,-0.016974916676342416
201306-201406,loser,14,-0.04084638705106526
201306-201406,winner,14,-0.008471416972421264
201307-201407,loser,13,-0.015909261186599223
201307-201407,winner,14,-0.010407987518904325
201308-201408,loser,14,-0.014872896082977769
201308-201408,winner,14,-0.002194647743428781
201309-201409,loser,14,-0.012159257992481924
201309-201409,winner,14,-0.0037763591032912397
201310-201410,loser,14,-0.005044037264508631
201310-201410,winner,14,0.02089335438185303
201311-201411,loser,14,0.016370388122365798
201311-201411,winner,14,0.02333377143880074
201312-201412,loser,14,0.008744495850345266
201312-201412,winner,14,0.008822715337520255
201401-201501,loser,14,-0.02345900956618257
201401-201501,winner,14,-0.00017846118856917098
201402-201502,loser,14,-0.03276041842447803
201402-201502,winner,14,-0.03488300590793567
201403-201503,loser,14,-0.059224260769824844
201403-201503,winner,14,-0.04128951138856134
201404-201504,loser,14,-0.047487807965698785
201404-201504,winner,14,-0.03352369769023266
201405-201505,loser,14,-0.02634214750189243
201405-201505,winner,14,-0.03744534395190717
201406-201506,loser,14,-0.036884844986792995
201406-201506,winner,14,-0.047036757043226365
201407-201507,loser,14,-0.030175308423849752
201407-201507,winner,14,-0.03526717461665523
201408-201508,loser,14,0.018320241398825217
201408-201508,winner,14,-0.028647983925284108
201409-201509,loser,14,0.021967237794854415
201409-201509,winner,14,-0.021835786004298148
201410-201510,loser,14,0.013844721059944711
201410-201510,winner,14,-0.022572884206136273
201411-201511,loser,14,-0.01317558104167556
201411-201511,winner,13,-0.01875961606276264
201412-201512,loser,14,0.0007017020709471236
