combination,remark,count,mean_return2
201001-201101,loser,14,-0.12273295982601758
201001-201101,winner,14,-0.05005386820641433
201002-201102,loser,14,-0.24952426390459045
201002-201102,winner,14,0.010114573393816538
201003-201103,loser,14,-0.27227646116786175
201003-201103,winner,14,-8.235654274298492e-05
201004-201104,loser,14,-0.2993228533982758
201004-201104,winner,14,-0.1473459349797536
201005-201105,loser,14,-0.2796127768431767
201005-201105,winner,14,-0.1203798990368318
201006-201106,loser,14,-0.38458341915178085
201006-201106,winner,14,-0.26955827692319756
201007-201107,loser,14,-0.3114381463260615
201007-201107,winner,14,-0.25225476701847316
201008-201108,loser,14,-0.15448044847644957
201008-201108,winner,14,-0.2184150999637461
201009-201109,loser,14,0.15174624481996388
201009-201109,winner,13,0.007326519493106141
201010-201110,loser,14,0.11174571398221923
201010-201110,winner,13,0.14721651811923117
201011-201111,loser,14,0.019949846873085094
201011-201111,winner,14,-0.07646659560624718
201012-201112,loser,14,0.10082797823324793
201012-201112,winner,14,0.05078965574438184
201101-201201,loser,14,0.059516532341691145
201101-201201,winner,14,0.16806635985950452
201102-201202,loser,14,-0.22966264016044444
201102-201202,winner,14,0.15505827083953708
201103-201203,loser,14,-0.34940838707634087
201103-201203,winner,14,0.031173562786578617
201104-201204,loser,14,-0.2590585194649992
201104-201204,winner,14,0.04739557752722566
201105-201205,loser,14,-0.19827610181241914
201105-201205,winner,14,0.029526941796256295
201106-201206,loser,14,-0.03934612639186789
201106-201206,winner,14,0.13923870316298328
201107-201207,loser,14,-0.017124031106695504
201107-201207,winner,14,0.14161183131765082
201108-201208,loser,14,0.13058025353258396
201108-201208,winner,14,0.1288146611040363
201109-201209,loser,14,-0.009617597748170812
201109-201209,winner,14,0.04706203767474044
201110-201210,loser,14,0.018058595174741288
201110-201210,winner,14,0.084478808549494
201111-201211,loser,14,0.17049966314731219
201111-201211,winner,14,0.20916208580631102
201112-201212,loser,14,0.4302228678597983
201112-201212,winner,14,0.16941551243535366
201201-201301,loser,14,0.18560588745857085
201201-201301,winner,14,0.07034248585032252
201202-201302,loser,14,-0.034883983607843234
201202-201302,winner,14,0.08360068669419997
201203-201303,loser,14,-0.10638924298801058
201203-201303,winner,14,0.09004136583178056
201204-201304,loser,14,-0.01605192999005443
201204-201304,winner,14,0.06189068965160361
201205-201305,loser,14,0.009081307190415356
201205-201305,winner,14,0.10199758009833258
201206-201306,loser,14,-0.08392451872048276
201206-201306,winner,14,0.010906973864504723
201207-201307,loser,14,0.012084090329973185
201207-201307,winner,14,0.1388954872043757
201208-201308,loser,14,0.012968421673314618
201208-201308,winner,14,0.1486895706046696
201209-201309,loser,14,-0.03048667150079224
201209-201309,winner,14,0.18217313951415284
201210-201310,loser,14,-0.11134055543837458
201210-201310,winner,14,0.12526221166808643
201211-201311,loser,14,0.04010495613376021
201211-201311,winner,14,0.04841670828906374
201212-201312,loser,14,0.04980219659313839
201212-201312,winner,14,0.06718486361158922
201301-201401,loser,14,0.08310303127840554
201301-201401,winner,13,0.013357167337182833
201302-201402,loser,14,0.18515199202795807
201302-201402,winner,13,0.15488751937682285
201303-201403,loser,14,0.1671242793638331
201303-201403,winner,14,0.11301086295481909
201304-201404,loser,14,0.008316318491593413
201304-201404,winner,14,0.021124653927034408
201305-201405,loser,14,-0.05310765393346273
201305-201405,winner,14,-0.08372014742414823
201306-201406,loser,14,-0.17669061824817694
201306-201406,winner,14,-0.03651253751310407
201307-201407,loser,13,-0.072946482503843
201307-201407,winner,14,-0.055190154266054274
201308-201408,loser,14,-0.07171613198527448
201308-201408,winner,14,-0.0049650769815212875
201309-201409,loser,14,-0.06019159551959989
201309-201409,winner,14,-0.008412301190336742
201310-201410,loser,14,-0.01964014663321279
201310-201410,winner,14,0.15165344028336072
201311-201411,loser,14,0.11759972387111942
201311-201411,winner,14,0.16392334472142653
201312-201412,loser,14,0.07928156840426738
201312-201412,winner,14,0.0655228903465354
201401-201501,loser,14,-0.10569740677443788
201401-201501,winner,14,0.03498575732277379
201402-201502,loser,14,-0.151473903126996
201402-201502,winner,14,-0.1500842171394449
201403-201503,loser,14,-0.2848478985849359
201403-201503,winner,14,-0.1893997106130152
201404-201504,loser,14,-0.2228326190335293
201404-201504,winner,14,-0.16037116667090628
201405-201505,loser,14,-0.1168617699558694
201405-201505,winner,14,-0.19719253111699536
201406-201506,loser,14,-0.16481226647999406
201406-201506,winner,14,-0.24240150264014024
201407-201507,loser,14,-0.13945886159602658
201407-201507,winner,14,-0.18634075759605803
201408-201508,loser,14,0.13346370931991544
201408-201508,winner,14,-0.15229497117011484
201409-201509,loser,14,0.16435084636921102
201409-201509,winner,14,-0.11915456952950199
201410-201510,loser,14,0.10222642279481095
201410-201510,winner,14,-0.12320141852377911
201411-201511,loser,14,-0.06572441318696451
201411-201511,winner,13,-0.10156346183979616
201412-201512,loser,14,0.018606960266603714
201412-201512,winner,12,-0.08816578398144553
201501-201601,loser,14,0.0998261018026533
201501-201601,winner,12,-0.006271110116691809
201502-201602,loser,14,0.12540463129337823
201502-201602,winner,12,0.1013628954808133
201503-201603,loser,14,0.026058268789093893
201503-201603,winner,12,0.09241519642238873
201504-201604,loser,14,0.03670786507666094
201504-201604,winner,12,0.09174450857390326
201505-201605,loser,14,0.08322074752901239
201505-201605,winner,13,0.1033168592504817
201506-201606,loser,13,0.08311742378125228
201506-201606,winner,14,0.08514381484148213
201507-201607,loser,14,0.08548482324295001
201507-201607,winner,14,-0.014354229637560386
201508-201608,loser,14,0.07697138516401672
201508-201608,winner,14,-0.031239072257119655
201509-201609,loser,14,0.21204218921384735
201509-201609,winner,14,0.03974836841102686
201510-201610,loser,14,0.2043011747995521
201510-201610,winner,14,0.039957918873173084
201511-201611,loser,14,0.21470160284984177
201511-201611,winner,14,0.04246238802596234
201512-201612,loser,14,0.306748656138163
201512-201612,winner,14,0.04804796098973029
201601-201701,loser,14,0.2385674121706741
201601-201701,winner,14,0.08559357954335937
201602-201702,loser,14,0.18686059699269494
201602-201702,winner,14,0.1410332577895906
201603-201703,loser,14,0.09391257925754545
201603-201703,winner,14,0.1727871401956998
201604-201704,loser,14,0.09741800538298669
201604-201704,winner,14,0.22820144521992303
201605-201705,loser,14,0.09833002521972774
201605-201705,winner,14,0.21534871438332873
201606-201706,loser,14,0.0037737224836625377
201606-201706,winner,14,0.3527127657346657
201607-201707,loser,14,-0.0032742641614969064
201607-201707,winner,14,0.19855727215811417
201608-201708,loser,14,0.0526246767591697
201608-201708,winner,14,0.16021105837106803
201609-201709,loser,14,0.0024726548396758656
201609-201709,winner,14,0.06839017274514052
201610-201710,loser,14,0.06862004828505032
201610-201710,winner,14,0.08401620542767607
201611-201711,loser,14,0.021607915390331744
201611-201711,winner,14,0.025394878757769225
201612-201712,loser,14,0.018109212083626598
201612-201712,winner,14,-0.021452391390116815
201701-201801,loser,14,-0.0323866067814722
201701-201801,winner,14,-0.04210657754590206
201702-201802,loser,14,-0.03770655921387649
201702-201802,winner,14,-0.09022263786683586
201703-201803,loser,14,0.007543830243966876
201703-201803,winner,14,-0.12110897502924675
201704-201804,loser,14,-0.06258197164737532
201704-201804,winner,14,-0.08189914961629474
201705-201805,loser,14,-0.0969282730887194
201705-201805,winner,14,-0.3020332376530542
201706-201806,loser,14,-0.05208530638761074
201706-201806,winner,14,-0.26654646474362764
201707-201807,loser,14,-0.08274700570205616
201707-201807,winner,14,-0.27860547822954435
201708-201808,loser,14,-0.15564433309295841
201708-201808,winner,14,-0.2576139090427215
201709-201809,loser,14,-0.07497461053674878
201709-201809,winner,14,-0.12494159009922869
201710-201810,loser,14,0.05121077295420649
201710-201810,winner,14,-0.04624697619322889
201711-201811,loser,14,0.22208079105198536
201711-201811,winner,13,0.14810596935342624
201712-201812,loser,14,0.008557341117725905
201712-201812,winner,13,0.0590389830938276
201801-201901,loser,14,0.16471523173180547
201801-201901,winner,14,0.21466259467883336
201802-201902,loser,14,0.12709784468281232
201802-201902,winner,13,0.24308312065606408
201803-201903,loser,14,-0.005817525983627748
201803-201903,winner,14,0.19084355352141597
201804-201904,loser,14,-0.0012702532707923081
201804-201904,winner,14,0.0838247081886118
201805-201905,loser,14,-0.002947169367882322
201805-201905,winner,14,0.07671824413913933
201806-201906,loser,14,0.22295355798134806
201806-201906,winner,14,0.0973134349255838
201807-201907,loser,14,0.1748456710046497
201807-201907,winner,14,0.08095647878314802
201808-201908,loser,14,0.0961855754816717
201808-201908,winner,14,-0.004862220940280356
201809-201909,loser,14,0.13091842312170385
201809-201909,winner,14,-0.0008794457002197854
201810-201910,loser,14,-0.17667466065930312
201810-201910,winner,14,-0.09861752675836744
201811-201911,loser,14,-0.13027408473419158
201811-201911,winner,14,-0.006111875630020728
201812-201912,loser,14,-0.08016546232772392
201812-201912,winner,14,0.06718138614941567
201901-202001,loser,14,-0.10984556177186289
201901-202001,winner,14,0.04588096998997
201902-202002,loser,14,-0.05382296622038968
201902-202002,winner,14,0.2687519096375373
201903-202003,loser,14,0.034272165868963415
201903-202003,winner,14,0.41426139603972606
201904-202004,loser,14,0.43282833696266615
201904-202004,winner,14,0.4547246426757788
201905-202005,loser,14,0.22344836209556457
201905-202005,winner,14,0.1832777516886551
201906-202006,loser,14,0.22892720748091805
201906-202006,winner,14,0.1841361567012094
201907-202007,loser,14,0.42028204945156616
201907-202007,winner,14,0.02825599941850563
201908-202008,loser,14,0.28067587024022783
201908-202008,winner,14,0.31717735110809653
201909-202009,loser,14,0.2859273259732264
