stock_id,start_date,end_date,SD_close,ED_close,combination,return,RT_%_Rank,remark,RT_rank
1101,2010-01-04,2010-03-31,12.18,10.64,201001-201004,-0.12643678,25.686208864668874,,129.0
1102,2010-01-04,2010-03-31,13.87,12.44,201001-201004,-0.10310022,29.55319130743887,,115.0
1216,2010-01-04,2010-03-31,16.67,15.49,201001-201004,-0.07078584,34.907842554623464,,100.0
1227,2010-01-04,2010-03-31,10.03,13.26,201001-201004,0.3220339,100.0,exclude,
1301,2010-01-04,2010-03-31,33.48,34.98,201001-201004,0.04480287,54.061458689667916,,21.0
1303,2010-01-04,2010-03-31,29.66,33.37,201001-201004,0.12508429,67.36448371223527,winner,7.0
1314,2010-01-04,2010-03-31,7.15,7.74,201001-201004,0.08251748,60.31095453249642,winner,11.0
1319,2010-01-04,2010-03-31,31.61,32.1,201001-201004,0.01550142,49.20606471996103,,35.0
1326,2010-01-04,2010-03-31,35.16,37.92,201001-201004,0.07849829,59.64495503796267,winner,12.0
1402,2010-01-04,2010-03-31,18.24,15.99,201001-201004,-0.12335526,26.196831841536273,,128.0
1434,2010-01-04,2010-03-31,13.07,12.95,201001-201004,-0.00918133,45.116011991997645,,53.0
1440,2010-01-04,2010-03-31,8.47,8.03,201001-201004,-0.05194805,38.02935674482923,,86.0
1504,2010-01-04,2010-03-31,7.71,7.63,201001-201004,-0.01037613,44.91802777227454,,54.0
1605,2010-01-04,2010-03-31,8.14,7.98,201001-201004,-0.01965602,43.38030448740149,,60.0
1704,2010-01-04,2010-03-31,24.92,24.27,201001-201004,-0.02608347,42.31524449990624,,63.0
1710,2010-01-04,2010-03-31,13.51,14.12,201001-201004,0.04515174,54.11926815965018,,20.0
1717,2010-01-04,2010-03-31,13.99,13.49,201001-201004,-0.03573981,40.71514160378884,,68.0
1722,2010-01-04,2010-03-31,62.82,55.93,201001-201004,-0.10967845,28.463146334465012,,121.0
1723,2010-01-04,2010-03-31,44.3,45.99,201001-201004,0.03814898,52.958876483630576,,25.0
1802,2010-01-04,2010-03-31,17.97,23.29,201001-201004,0.29604897,95.69416965968388,winner,1.0
1907,2010-01-04,2010-03-31,7.57,7.12,201001-201004,-0.05944518,36.78704553524375,,93.0
2002,2010-01-04,2010-03-31,17.88,17.23,201001-201004,-0.03635347,40.613455132182466,,70.0
2006,2010-01-04,2010-03-31,24.39,24.88,201001-201004,0.0200902,49.96644807096624,,33.0
2014,2010-01-04,2010-03-31,14.37,12.03,201001-201004,-0.16283925,19.654141055040476,loser,138.0
2015,2010-01-04,2010-03-31,22.56,21.83,201001-201004,-0.03235816,41.275497593600235,,67.0
2101,2010-01-04,2010-03-31,26.65,29.08,201001-201004,0.09118199,61.74670633332761,winner,10.0
2103,2010-01-04,2010-03-31,15.92,16.94,201001-201004,0.06407035,57.254174620225896,,15.0
2105,2010-01-04,2010-03-31,24.61,23.14,201001-201004,-0.05973182,36.73954788145949,,94.0
2201,2010-01-04,2010-03-31,47.56,43.37,201001-201004,-0.08809924,32.03892726356711,,108.0
2204,2010-01-04,2010-03-31,24.58,23.92,201001-201004,-0.0268511,42.18804444417637,,64.0
2207,2010-01-04,2010-03-31,47.63,43.64,201001-201004,-0.08377073,32.75618259911589,,106.0
2227,2010-01-04,2010-03-31,31.56,31.98,201001-201004,0.01330798,48.84260095455304,,40.0
2301,2010-01-04,2010-03-31,17.81,15.84,201001-201004,-0.11061202,28.3084492069065,,122.0
2303,2010-01-04,2010-03-31,8.03,7.96,201001-201004,-0.00871731,45.19290238171636,,52.0
2308,2010-01-04,2010-03-31,60.16,60.16,201001-201004,0.0,46.63740340149748,,44.0
2311,2010-01-04,2010-03-31,15.81,15.7,201001-201004,-0.00695762,45.484491644860455,,49.0
2315,2010-01-04,2010-03-31,15.79,13.77,201001-201004,-0.12792907,25.43892909294925,loser,130.0
2317,2010-01-04,2010-03-31,68.8,62.45,201001-201004,-0.09229651,31.343419039665843,,110.0
2323,2010-01-04,2010-03-31,8.27,8.67,201001-201004,0.04836759,54.65215027631955,,17.0
2324,2010-01-04,2010-03-31,17.28,16.32,201001-201004,-0.05555556,37.431574645320254,,92.0
