combination,remark,count,mean_avg_monthly_return
201001-201010,loser,14,0.00023292079189357606
201001-201010,winner,14,0.0261340254689482
201002-201011,loser,14,0.03859885866995367
201002-201011,winner,14,0.015401567359848807
201003-201012,loser,14,-0.011312730587442199
201003-201012,winner,14,-0.001995261493555841
201004-201101,loser,14,-0.02344922847409075
201004-201101,winner,14,0.005019112426282842
201005-201102,loser,14,-0.040940225951917944
201005-201102,winner,14,-0.012203362558104463
201006-201103,loser,14,-0.014934524649791916
201006-201103,winner,14,0.010772570030145907
201007-201104,loser,14,-0.03861176381435888
201007-201104,winner,14,0.0038917705987721596
201008-201105,loser,14,-0.09149548394966889
201008-201105,winner,14,-0.014672483162577925
201009-201106,loser,14,-0.10902703128265571
201009-201106,winner,14,-0.03453853832969123
201010-201107,loser,14,-0.09981900434665834
201010-201107,winner,14,-0.06370773911712356
201011-201108,loser,14,0.011275969001337729
201011-201108,winner,14,-0.02564286852065429
201012-201109,loser,14,-0.07863439599613671
201012-201109,winner,14,-0.061371159299985434
201101-201110,loser,14,-0.033355278490056324
201101-201110,winner,14,0.0004768282808179885
201102-201111,loser,14,0.05157063312262406
201102-201111,winner,14,0.002178322025043755
201103-201112,loser,14,0.16776462968431377
201103-201112,winner,14,0.025055116353582114
201104-201201,loser,14,0.05489479037124077
201104-201201,winner,14,0.030858121860209635
201105-201202,loser,14,-0.05093093333204848
201105-201202,winner,14,0.006661389018017121
201106-201203,loser,14,-0.092828203249829
201106-201203,winner,14,-0.007733366785070536
201107-201204,loser,14,-0.035395481011003295
201107-201204,winner,14,0.013231711183450599
201108-201205,loser,14,-0.034407623190685625
201108-201205,winner,14,0.003995185321324558
201109-201206,loser,14,0.015554146153395796
201109-201206,winner,14,0.02163950777858703
201110-201207,loser,14,0.01698326094583887
201110-201207,winner,14,0.026283948020848855
201111-201208,loser,14,-0.01646674842750342
201111-201208,winner,14,-0.01121368735581236
201112-201209,loser,14,0.0029243125626837335
201112-201209,winner,14,0.007667924462885231
201201-201210,loser,14,0.00589226770941363
201201-201210,winner,14,0.00039156575742505765
201202-201211,loser,14,0.040178734038976885
201202-201211,winner,14,0.02924866517311841
201203-201212,loser,14,0.010417518200755458
201203-201212,winner,14,0.026232961903669545
201204-201301,loser,14,-0.012120368471888632
201204-201301,winner,14,0.025915443456236555
201205-201302,loser,14,0.03177369473275991
201205-201302,winner,14,0.018557354133004505
201206-201303,loser,14,0.02406032415662027
201206-201303,winner,14,0.016492004147999124
201207-201304,loser,14,-0.029855990977403157
201207-201304,winner,14,-0.007989553487858372
201208-201305,loser,14,-0.007988498623385156
201208-201305,winner,14,-0.03264678728914709
201209-201306,loser,14,0.0251558302198105
201209-201306,winner,14,0.0016462079242512656
201210-201307,loser,14,0.020841530059235454
201210-201307,winner,14,0.032979882246915504
201211-201308,loser,14,-0.005037235525254495
201211-201308,winner,14,0.022957162042089974
201212-201309,loser,14,-0.028108582585594018
201212-201309,winner,14,0.008218937308418661
201301-201310,loser,14,-0.02383370937410526
201301-201310,winner,14,0.006518154668783083
201302-201311,loser,14,0.01399220535564424
201302-201311,winner,14,0.014038336143942351
201303-201312,loser,14,0.012618893366727455
201303-201312,winner,13,0.022414329282950098
201304-201401,loser,14,0.021926487088596663
201304-201401,winner,14,0.031025615652815506
201305-201402,loser,14,0.02950501885827742
201305-201402,winner,12,0.026105248955106113
201306-201403,loser,14,0.05801733387521182
201306-201403,winner,14,0.005363190681246878
201307-201404,loser,14,0.021646075388124415
201307-201404,winner,14,0.03332352717183189
201308-201405,loser,14,-0.0025488316808187955
201308-201405,winner,14,0.011379658855164993
201309-201406,loser,14,-0.011671496180355392
201309-201406,winner,14,0.0069174619142193805
201310-201407,loser,14,-0.03305825189307164
201310-201407,winner,14,-0.046660287077655904
201311-201408,loser,14,-0.04461694507817814
201311-201408,winner,14,-0.018256441576912728
201312-201409,loser,14,-0.018999386526361302
201312-201409,winner,14,-0.028687249673468068
201401-201410,loser,14,-0.00046996408483885547
201401-201410,winner,14,0.010646266444794336
201402-201411,loser,14,0.011863325249613699
201402-201411,winner,14,0.03514666021897473
201403-201412,loser,14,0.009243979775237086
201403-201412,winner,14,0.0159455709408981
201404-201501,loser,14,-0.01467172062381779
201404-201501,winner,14,0.01620498064412965
