combination,remark,count,mean_return2
201001-201010,loser,14,-0.14703136913105888
201001-201010,winner,14,0.09360874123998546
201001-201010,winner - loser,-,0.24064011037104432
201002-201011,loser,14,-0.1727169869896684
201002-201011,winner,14,0.08288081999887355
201002-201011,winner - loser,-,0.25559780698854195
201003-201012,loser,14,-0.2057808367464807
201003-201012,winner,14,-0.027959883175878667
201003-201012,winner - loser,-,0.17782095357060204
201004-201101,loser,14,-0.36328453752992057
201004-201101,winner,14,-0.18444386605418847
201004-201101,winner - loser,-,0.1788406714757321
201005-201102,loser,14,-0.38172628227115757
201005-201102,winner,14,-0.17077255632445448
201005-201102,winner - loser,-,0.21095372594670309
201006-201103,loser,14,-0.35630374961531935
201006-201103,winner,14,-0.23659064898147156
201006-201103,winner - loser,-,0.1197131006338478
201007-201104,loser,14,-0.28575854075669166
201007-201104,winner,14,-0.2418291615113952
201007-201104,winner - loser,-,0.04392937924529647
201008-201105,loser,14,-0.2402344043377774
201008-201105,winner,14,-0.1907187844322701
201008-201105,winner - loser,-,0.04951561990550729
201009-201106,loser,14,-0.18291224402469192
201009-201106,winner,14,-0.1352226964400826
201009-201106,winner - loser,-,0.047689547584609304
201010-201107,loser,14,-0.14395656016520939
201010-201107,winner,14,-0.15091081331387118
201010-201107,winner - loser,-,-0.006954253148661799
201011-201108,loser,14,-0.14637814895020473
201011-201108,winner,14,-0.27983912070219935
201011-201108,winner - loser,-,-0.13346097175199462
201012-201109,loser,14,-0.12102133212258674
201012-201109,winner,14,-0.11187722572544458
201012-201109,winner - loser,-,0.009144106397142165
201101-201110,loser,14,-0.08761140243211737
201101-201110,winner,14,0.1999377439142617
201101-201110,winner - loser,-,0.28754914634637907
201102-201111,loser,14,-0.1901694992763046
201102-201111,winner,14,0.08353913053178733
201102-201111,winner - loser,-,0.27370862980809196
201103-201112,loser,14,-0.03254028675489378
201103-201112,winner,14,0.15258179237682598
201103-201112,winner - loser,-,0.18512207913171977
201104-201201,loser,14,-0.08356546896280236
201104-201201,winner,14,0.30264626816002677
201104-201201,winner - loser,-,0.38621173712282914
201105-201202,loser,14,-0.2714990965637303
201105-201202,winner,14,0.13461942447898437
201105-201202,winner - loser,-,0.4061185210427146
201106-201203,loser,14,-0.3235491129369784
201106-201203,winner,14,0.06331571474972598
201106-201203,winner - loser,-,0.3868648276867044
201107-201204,loser,14,-0.10830829326333148
201107-201204,winner,14,0.09521062047120028
201107-201204,winner - loser,-,0.20351891373453176
201108-201205,loser,14,0.03187094918893941
201108-201205,winner,14,0.09138343391991474
201108-201205,winner - loser,-,0.05951248473097533
201109-201206,loser,14,0.1669278031459013
201109-201206,winner,14,0.1356889263114625
201109-201206,winner - loser,-,-0.031238876834438795
201110-201207,loser,14,0.021470172819105526
201110-201207,winner,14,0.16791907464771505
201110-201207,winner - loser,-,0.14644890182860953
