combination,remark,count,mean_return2
201201-201204,loser,14,-0.0005618189629251
201201-201204,winner,14,-0.0602410551546643
201201-201204,winner - loser,-,-0.0596792361917392
201202-201205,loser,14,-0.0738314949990848
201202-201205,winner,14,-0.0193737549963077
201202-201205,winner - loser,-,0.0544577400027771
201203-201206,loser,14,-0.0250095165740163
201203-201206,winner,14,0.1110613202348124
201203-201206,winner - loser,-,0.1360708368088287
201204-201207,loser,14,0.0635816784575638
201204-201207,winner,14,0.143071844745324
201204-201207,winner - loser,-,0.0794901662877602
201205-201208,loser,14,-0.0978605577748599
201205-201208,winner,14,-0.0061195122469254
201205-201208,winner - loser,-,0.0917410455279345
201206-201209,loser,14,-0.0874699879695137
201206-201209,winner,14,-0.0027712704869964
201206-201209,winner - loser,-,0.08469871748251731
201207-201210,loser,14,0.053772108404364
201207-201210,winner,14,-0.0270830472068312
201207-201210,winner - loser,-,-0.0808551556111952
201208-201211,loser,14,0.2369110142677236
201208-201211,winner,14,0.0314331553455331
201208-201211,winner - loser,-,-0.2054778589221905
201209-201212,loser,14,0.1044031481787778
201209-201212,winner,14,0.0755746668358606
201209-201212,winner - loser,-,-0.028828481342917198
201210-201301,loser,14,0.1070805780702905
201210-201301,winner,14,0.0697086917990345
201210-201301,winner - loser,-,-0.03737188627125601
201211-201302,loser,14,-0.0046757024864171
201211-201302,winner,14,0.0559131574829983
201211-201302,winner - loser,-,0.0605888599694154
201212-201303,loser,14,0.0452329604770593
201212-201303,winner,14,0.0991649658969408
201212-201303,winner - loser,-,0.053932005419881496
201301-201304,loser,14,-0.0019113303620979
201301-201304,winner,14,0.1000646653292389
201301-201304,winner - loser,-,0.1019759956913368
201302-201305,loser,14,0.0541867130583679
201302-201305,winner,14,0.0008369992355938
201302-201305,winner - loser,-,-0.0533497138227741
201303-201306,loser,14,0.0126500889884919
201303-201306,winner,14,0.0433252034665415
201303-201306,winner - loser,-,0.0306751144780496
201304-201307,loser,14,0.0386341067497347
201304-201307,winner,14,0.0390240015256888
201304-201307,winner - loser,-,0.0003898947759541013
201305-201308,loser,14,-0.0152119571156008
201305-201308,winner,14,0.0209978834129486
201305-201308,winner - loser,-,0.0362098405285494
201306-201309,loser,14,-0.0670015800332395
201306-201309,winner,14,0.1109610462907445
201306-201309,winner - loser,-,0.17796262632398402
201307-201310,loser,14,-0.0888298735125824
201307-201310,winner,14,0.0942153827292328
201307-201310,winner - loser,-,0.1830452562418152
201308-201311,loser,14,-0.0385243681057383
201308-201311,winner,14,0.0080406389336629
201308-201311,winner - loser,-,0.0465650070394012
201309-201312,loser,14,0.0514329683974903
201309-201312,winner,13,0.0196049063160555
201309-201312,winner - loser,-,-0.0318280620814348
201310-201401,loser,14,0.0054823118215718
201310-201401,winner,13,0.0491944523977105
201310-201401,winner - loser,-,0.0437121405761387
201311-201402,loser,14,0.0747287443072096
201311-201402,winner,14,0.1083055141561572
201311-201402,winner - loser,-,0.0335767698489476
201312-201403,loser,14,0.0789796233493466
201312-201403,winner,14,0.1739440757970483
201312-201403,winner - loser,-,0.09496445244770169
201401-201404,loser,14,0.009279375270566
201401-201404,winner,14,0.1374002570116028
201401-201404,winner - loser,-,0.1281208817410368
201402-201405,loser,14,0.0828459450250295
201402-201405,winner,14,0.0926068762037927
201402-201405,winner - loser,-,0.0097609311787632
201403-201406,loser,14,-0.0479323566154234
201403-201406,winner,14,0.0174520244310146
201403-201406,winner - loser,-,0.065384381046438
201404-201407,loser,14,-0.0849668301189712
201404-201407,winner,14,-0.1014087030679998
201404-201407,winner - loser,-,-0.016441872949028602
201405-201408,loser,14,-0.126269917001613
201405-201408,winner,14,-0.0531710207920554
201405-201408,winner - loser,-,0.07309889620955759
201406-201409,loser,14,-0.0665529031350424
201406-201409,winner,14,-0.0285447134646444
201406-201409,winner - loser,-,0.038008189670398006
201407-201410,loser,14,0.0785906798498705
201407-201410,winner,14,0.0134612580161202
201407-201410,winner - loser,-,-0.06512942183375031
201408-201411,loser,14,0.0601093284327286
201408-201411,winner,14,0.0981254167593731
201408-201411,winner - loser,-,0.0380160883266445
201409-201412,loser,14,0.0912001598930431
201409-201412,winner,14,0.0798368282356521
201409-201412,winner - loser,-,-0.011363331657391007
201410-201501,loser,14,0.0517325410886203
201410-201501,winner,14,0.0673658863392727
201410-201501,winner - loser,-,0.015633345250652395
201411-201502,loser,14,-0.0041042664285904
201411-201502,winner,14,0.0656726357092491
201411-201502,winner - loser,-,0.06977690213783949
201412-201503,loser,14,0.0144131248944076
201412-201503,winner,14,-0.0696581338578118
201412-201503,winner - loser,-,-0.08407125875221941
201501-201504,loser,14,-0.1323793523404235
201501-201504,winner,14,-0.0021844264822822
201501-201504,winner - loser,-,0.1301949258581413
201502-201505,loser,14,-0.3007851198240057
201502-201505,winner,14,-0.1444123928345256
201502-201505,winner - loser,-,0.1563727269894801
