stock_id,start_date,end_date,SD_close,ED_close,combination,return
1101,2010-01-04,2010-03-31,12.18,10.64,201001-201004,-0.12643678160919533
1102,2010-01-04,2010-03-31,13.87,12.44,201001-201004,-0.10310021629416004
1104,2010-01-04,2010-03-31,7.49,6.62,201001-201004,-0.11615487316421896
1201,2010-01-04,2010-03-31,34.23,29.53,201001-201004,-0.13730645632486113
1210,2010-01-04,2010-03-31,10.62,9.9,201001-201004,-0.06779661016949143
1215,2010-01-04,2010-03-31,6.0,5.6,201001-201004,-0.06666666666666672
1216,2010-01-04,2010-03-31,16.67,15.49,201001-201004,-0.0707858428314338
1227,2010-01-04,2010-03-31,10.03,13.26,201001-201004,0.32203389830508483
1229,2010-01-04,2010-03-31,3.95,3.87,201001-201004,-0.020253164556962043
1232,2010-01-04,2010-03-31,16.82,18.1,201001-201004,0.07609988109393585
1234,2010-01-04,2010-03-31,12.27,17.29,201001-201004,0.4091279543602282
1301,2010-01-04,2010-03-31,33.48,34.98,201001-201004,0.04480286738351255
1303,2010-01-04,2010-03-31,29.66,33.37,201001-201004,0.1250842886041806
1304,2010-01-04,2010-03-31,8.12,8.4,201001-201004,0.0344827586206898
1307,2010-01-04,2010-03-31,14.6,14.58,201001-201004,-0.0013698630136986009
1308,2010-01-04,2010-03-31,7.51,8.14,201001-201004,0.08388814913448746
1312,2010-01-04,2010-03-31,9.72,9.1,201001-201004,-0.06378600823045277
1313,2010-01-04,2010-03-31,8.09,8.11,201001-201004,0.0024721878862793045
1314,2010-01-04,2010-03-31,7.15,7.74,201001-201004,0.08251748251748249
1319,2010-01-04,2010-03-31,31.61,32.1,201001-201004,0.015501423600126605
1326,2010-01-04,2010-03-31,35.16,37.92,201001-201004,0.07849829351535852
1402,2010-01-04,2010-03-31,18.24,15.99,201001-201004,-0.12335526315789465
1409,2010-01-04,2010-03-31,6.13,5.98,201001-201004,-0.02446982055464918
1434,2010-01-04,2010-03-31,13.07,12.95,201001-201004,-0.009181331293037566
1440,2010-01-04,2010-03-31,8.47,8.03,201001-201004,-0.0519480519480521
1476,2010-01-04,2010-03-31,10.63,9.9,201001-201004,-0.06867356538099721
1477,2010-01-04,2010-03-31,22.93,27.38,201001-201004,0.19406890536415175
1503,2010-01-04,2010-03-31,26.6,24.68,201001-201004,-0.07218045112781961
1504,2010-01-04,2010-03-31,7.71,7.63,201001-201004,-0.010376134889753577
1507,2010-01-04,2010-03-31,15.31,15.82,201001-201004,0.03331156107119528
1532,2010-01-04,2010-03-31,15.98,15.14,201001-201004,-0.05256570713391739
1536,2010-01-04,2010-03-31,9.92,10.95,201001-201004,0.10383064516129026
1605,2010-01-04,2010-03-31,8.14,7.98,201001-201004,-0.019656019656019673
1702,2010-01-04,2010-03-31,16.3,19.34,201001-201004,0.18650306748466253
1704,2010-01-04,2010-03-31,24.92,24.27,201001-201004,-0.026083467094703133
1707,2010-01-04,2010-03-31,26.18,25.53,201001-201004,-0.024828113063407126
1710,2010-01-04,2010-03-31,13.51,14.12,201001-201004,0.04515173945225755
1714,2010-01-04,2010-03-31,8.53,8.48,201001-201004,-0.005861664712778304
1717,2010-01-04,2010-03-31,13.99,13.49,201001-201004,-0.035739814152966405
1718,2010-01-04,2010-03-31,5.48,6.41,201001-201004,0.16970802919708022
1722,2010-01-04,2010-03-31,62.82,55.93,201001-201004,-0.10967844635466413
1723,2010-01-04,2010-03-31,44.3,45.99,201001-201004,0.03814898419864571
1736,2010-01-04,2010-03-31,24.84,22.27,201001-201004,-0.10346215780998391
1795,2010-01-04,2010-03-31,27.27,27.43,201001-201004,0.005867253392005872
1802,2010-01-04,2010-03-31,17.97,23.29,201001-201004,0.2960489705063996
1808,2010-01-04,2010-03-31,2.04,2.13,201001-201004,0.044117647058823456
1903,2010-01-04,2010-03-31,81.0,72.0,201001-201004,-0.1111111111111111
1904,2010-01-04,2010-03-31,6.26,6.19,201001-201004,-0.011182108626197987
1907,2010-01-04,2010-03-31,7.57,7.12,201001-201004,-0.059445178335535025
1909,2010-01-04,2010-03-31,5.57,5.44,201001-201004,-0.02333931777378813
2002,2010-01-04,2010-03-31,17.88,17.23,201001-201004,-0.03635346756152118
2006,2010-01-04,2010-03-31,24.39,24.88,201001-201004,0.020090200902008956
2014,2010-01-04,2010-03-31,14.37,12.03,201001-201004,-0.162839248434238
2015,2010-01-04,2010-03-31,22.56,21.83,201001-201004,-0.03235815602836881
2023,2010-01-04,2010-03-31,7.29,7.18,201001-201004,-0.01508916323731143
2027,2010-01-04,2010-03-31,7.23,6.78,201001-201004,-0.06224066390041496
2032,2010-01-04,2010-03-31,14.27,15.58,201001-201004,0.09180098107918715
2049,2010-01-04,2010-03-31,23.25,31.86,201001-201004,0.37032258064516127
2059,2010-01-04,2010-03-31,118.78,127.83,201001-201004,0.07619127799292807
2101,2010-01-04,2010-03-31,26.65,29.08,201001-201004,0.09118198874296435
2103,2010-01-04,2010-03-31,15.92,16.94,201001-201004,0.06407035175879405
2104,2010-01-04,2010-03-31,13.49,12.58,201001-201004,-0.06745737583395109
2105,2010-01-04,2010-03-31,24.61,23.14,201001-201004,-0.0597318163348232
2106,2010-01-04,2010-03-31,12.98,12.16,201001-201004,-0.06317411402157166
2107,2010-01-04,2010-03-31,13.78,13.19,201001-201004,-0.04281567489114658
2108,2010-01-04,2010-03-31,7.72,7.44,201001-201004,-0.03626943005181339
2201,2010-01-04,2010-03-31,47.56,43.37,201001-201004,-0.08809924306139623
2204,2010-01-04,2010-03-31,24.58,23.92,201001-201004,-0.026851098454027528
2206,2010-01-04,2010-03-31,9.16,8.48,201001-201004,-0.07423580786026197
2207,2010-01-04,2010-03-31,47.63,43.64,201001-201004,-0.0837707327314718
2208,2010-01-04,2010-03-31,49.54,44.05,201001-201004,-0.11081953976584583
2227,2010-01-04,2010-03-31,31.56,31.98,201001-201004,0.01330798479087458
2231,2010-01-04,2010-03-31,17.05,19.43,201001-201004,0.1395894428152492
2301,2010-01-04,2010-03-31,17.81,15.84,201001-201004,-0.11061201572150471
2303,2010-01-04,2010-03-31,8.03,7.96,201001-201004,-0.008717310087173026
2308,2010-01-04,2010-03-31,60.16,60.16,201001-201004,0.0
2311,2010-01-04,2010-03-31,15.81,15.7,201001-201004,-0.0069576217583808475
2312,2010-01-04,2010-03-31,7.38,7.31,201001-201004,-0.009485094850948549
2313,2010-01-04,2010-03-31,6.6,5.39,201001-201004,-0.18333333333333335
2315,2010-01-04,2010-03-31,15.79,13.77,201001-201004,-0.12792906903103227
2317,2010-01-04,2010-03-31,68.8,62.45,201001-201004,-0.0922965116279069
2323,2010-01-04,2010-03-31,8.27,8.67,201001-201004,0.048367593712212865
2324,2010-01-04,2010-03-31,17.28,16.32,201001-201004,-0.0555555555555556
2325,2010-01-04,2010-03-31,27.91,24.66,201001-201004,-0.11644571838050878
2327,2010-01-04,2010-03-31,27.54,28.94,201001-201004,0.05083514887436464
2328,2010-01-04,2010-03-31,36.4,33.7,201001-201004,-0.07417582417582406
2330,2010-01-04,2010-03-31,40.23,38.13,201001-201004,-0.05219985085756884
2331,2010-01-04,2010-03-31,10.98,9.64,201001-201004,-0.12204007285974497
2332,2010-01-04,2010-03-31,21.95,21.69,201001-201004,-0.01184510250569467
2337,2010-01-04,2010-03-31,25.17,29.37,201001-201004,0.16686531585220496
2340,2010-01-04,2010-03-31,21.73,18.96,201001-201004,-0.12747353888633223
2344,2010-01-04,2010-03-31,7.1,6.75,201001-201004,-0.04929577464788728
2345,2010-01-04,2010-03-31,7.36,6.95,201001-201004,-0.05570652173913045
2347,2010-01-04,2010-03-31,26.01,26.35,201001-201004,0.013071895424836595
2349,2010-01-04,2010-03-31,33.22,31.15,201001-201004,-0.06231186032510537
2350,2010-01-04,2010-03-31,20.2,20.3,201001-201004,0.004950495049505021
2352,2010-01-04,2010-03-31,12.14,10.45,201001-201004,-0.13920922570016483
2353,2010-01-04,2010-03-31,55.17,52.38,201001-201004,-0.05057096247960847
2354,2010-01-04,2010-03-31,57.3,54.71,201001-201004,-0.04520069808027917
2355,2010-01-04,2010-03-31,16.17,14.33,201001-201004,-0.11379097093382816
2356,2010-01-04,2010-03-31,7.69,7.33,201001-201004,-0.04681404421326402
2357,2010-01-04,2010-03-31,19.33,17.32,201001-201004,-0.10398344542162433
2360,2010-01-04,2010-03-31,40.77,39.29,201001-201004,-0.03630120186411587
2362,2010-01-04,2010-03-31,28.41,36.47,201001-201004,0.2837029215065117
2363,2010-01-04,2010-03-31,27.29,24.52,201001-201004,-0.10150238182484425
2367,2010-01-04,2010-03-31,8.98,8.52,201001-201004,-0.051224944320712784
2368,2010-01-04,2010-03-31,13.06,11.67,201001-201004,-0.1064318529862175
2371,2010-01-04,2010-03-31,20.07,19.21,201001-201004,-0.04285002491280515
2373,2010-01-04,2010-03-31,23.65,25.46,201001-201004,0.07653276955602548
2374,2010-01-04,2010-03-31,41.68,35.5,201001-201004,-0.1482725527831094
2376,2010-01-04,2010-03-31,11.76,11.78,201001-201004,0.0017006802721088073
2377,2010-01-04,2010-03-31,9.29,8.72,201001-201004,-0.06135629709364893
2379,2010-01-04,2010-03-31,43.1,39.51,201001-201004,-0.08329466357308592
2382,2010-01-04,2010-03-31,29.41,26.29,201001-201004,-0.10608636518191095
2383,2010-01-04,2010-03-31,11.67,15.05,201001-201004,0.2896315338474722
2384,2010-01-04,2010-03-31,25.94,25.49,201001-201004,-0.017347725520431876
2385,2010-01-04,2010-03-31,25.27,27.73,201001-201004,0.09734863474475666
2388,2010-01-04,2010-03-31,37.64,35.23,201001-201004,-0.06402763018065898
2392,2010-01-04,2010-03-31,36.03,30.52,201001-201004,-0.1529281154593395
2393,2010-01-04,2010-03-31,52.35,43.93,201001-201004,-0.16084049665711558
2395,2010-01-04,2010-03-31,28.61,26.79,201001-201004,-0.06361412093673542
2401,2010-01-04,2010-03-31,22.27,18.72,201001-201004,-0.15940727436012578
2403,2010-01-04,2010-03-31,28.65,37.89,201001-201004,0.3225130890052357
2404,2010-01-04,2010-03-31,12.06,13.48,201001-201004,0.1177446102819237
2408,2010-01-04,2010-03-31,196.09,187.43,201001-201004,-0.04416339435973276
2409,2010-01-04,2010-03-31,27.18,24.59,201001-201004,-0.09529065489330389
2412,2010-01-04,2010-03-31,36.44,38.17,201001-201004,0.04747530186608134
2439,2010-01-04,2010-03-31,27.56,25.65,201001-201004,-0.0693033381712627
2441,2010-01-04,2010-03-31,12.57,12.73,201001-201004,0.012728719172633265
2448,2010-01-04,2010-03-31,97.93,87.92,201001-201004,-0.10221586847748396
2449,2010-01-04,2010-03-31,7.01,7.22,201001-201004,0.02995720399429386
2450,2010-01-04,2010-03-31,20.62,21.34,201001-201004,0.03491755577109597
2451,2010-01-04,2010-03-31,45.41,43.52,201001-201004,-0.041620788372605015
2452,2010-01-04,2010-03-24,91.3,93.6,201001-201004,0.025191675794085402
2454,2010-01-04,2010-03-31,269.53,261.92,201001-201004,-0.02823433384038867
2455,2010-01-04,2010-03-31,43.7,44.88,201001-201004,0.027002288329519442
2456,2010-01-04,2010-03-31,24.47,31.91,201001-201004,0.30404577033101765
2457,2010-01-04,2010-03-31,20.03,19.36,201001-201004,-0.03344982526210692
2458,2010-01-04,2010-03-31,40.07,33.38,201001-201004,-0.16695782380833535
2474,2010-01-04,2010-03-31,46.93,41.36,201001-201004,-0.11868740677604944
2475,2010-01-04,2010-03-31,4.37,3.63,201001-201004,-0.1693363844393593
2478,2010-01-04,2010-03-31,43.76,37.51,201001-201004,-0.14282449725776966
2481,2010-01-04,2010-03-31,19.68,23.52,201001-201004,0.1951219512195122
2485,2010-01-04,2010-03-31,38.58,37.88,201001-201004,-0.018144116122343075
2489,2010-01-04,2010-03-31,18.24,17.27,201001-201004,-0.05317982456140345
2492,2010-01-04,2010-03-31,15.5,15.7,201001-201004,0.012903225806451568
2495,2010-01-04,2010-03-31,32.96,30.01,201001-201004,-0.089502427184466
2498,2010-01-04,2010-03-31,264.76,268.75,201001-201004,0.015070252303973445
