stock_id,start_date,end_date,SD_close,ED_close,combination,return
1101,2012-01-02,2012-03-30,13.93000000,13.86000000,201201-201204,-0.00502513
1102,2012-01-02,2012-03-30,15.64000000,16.83000000,201201-201204,0.07608696
1216,2012-01-02,2012-03-30,22.83000000,21.54000000,201201-201204,-0.05650460
1227,2012-01-02,2012-03-30,30.73000000,34.35000000,201201-201204,0.11780020
1301,2012-01-02,2012-03-30,44.66000000,49.00000000,201201-201204,0.09717868
1303,2012-01-02,2012-03-30,34.03000000,37.83000000,201201-201204,0.11166618
1304,2012-01-02,2012-03-30,12.65000000,15.86000000,201201-201204,0.25375494
1313,2012-01-02,2012-03-30,7.91000000,8.86000000,201201-201204,0.12010114
1314,2012-01-02,2012-03-30,16.85000000,21.13000000,201201-201204,0.25400593
1319,2012-01-02,2012-03-30,19.22000000,19.10000000,201201-201204,-0.00624350
1326,2012-01-02,2012-03-30,45.75000000,50.17000000,201201-201204,0.09661202
1402,2012-01-02,2012-03-30,18.19000000,17.91000000,201201-201204,-0.01539307
1434,2012-01-02,2012-03-30,15.56000000,16.07000000,201201-201204,0.03277635
1440,2012-01-02,2012-03-30,7.13000000,9.36000000,201201-201204,0.31276297
1504,2012-01-02,2012-03-30,10.52000000,12.06000000,201201-201204,0.14638783
1507,2012-01-02,2012-03-30,30.75000000,31.11000000,201201-201204,0.01170732
1590,2012-01-02,2012-03-30,82.01000000,104.47000000,201201-201204,0.27386904
1605,2012-01-02,2012-03-30,5.65000000,6.20000000,201201-201204,0.09734513
1704,2012-01-02,2012-03-30,32.43000000,35.13000000,201201-201204,0.08325624
1710,2012-01-02,2012-03-30,22.25000000,22.94000000,201201-201204,0.03101124
1717,2012-01-02,2012-03-30,11.75000000,13.04000000,201201-201204,0.10978723
1722,2012-01-02,2012-03-30,40.05000000,43.77000000,201201-201204,0.09288390
1723,2012-01-02,2012-03-30,64.43000000,79.82000000,201201-201204,0.23886388
1789,2012-01-02,2012-03-30,28.20000000,36.38000000,201201-201204,0.29007092
1802,2012-01-02,2012-03-30,24.40000000,26.51000000,201201-201204,0.08647541
1907,2012-01-02,2012-03-30,7.45000000,8.21000000,201201-201204,0.10201342
2002,2012-01-02,2012-03-30,17.77000000,18.77000000,201201-201204,0.05627462
2006,2012-01-02,2012-03-30,19.48000000,21.85000000,201201-201204,0.12166324
2015,2012-01-02,2012-03-30,21.40000000,23.19000000,201201-201204,0.08364486
2049,2012-01-02,2012-03-30,142.94000000,200.00000000,201201-201204,0.39918847
2101,2012-01-02,2012-03-30,29.70000000,30.87000000,201201-201204,0.03939394
2103,2012-01-02,2012-03-30,35.81000000,37.09000000,201201-201204,0.03574421
2105,2012-01-02,2012-03-30,34.83000000,38.17000000,201201-201204,0.09589434
2106,2012-01-02,2012-03-30,13.51000000,15.57000000,201201-201204,0.15247964
2201,2012-01-02,2012-03-30,64.05000000,70.41000000,201201-201204,0.09929742
2204,2012-01-02,2012-03-30,30.88000000,32.81000000,201201-201204,0.06250000
2207,2012-01-02,2012-03-30,97.12000000,164.52000000,201201-201204,0.69398682
2208,2012-01-02,2012-03-30,39.27000000,41.15000000,201201-201204,0.04787369
2227,2012-01-02,2012-03-30,56.85000000,94.60000000,201201-201204,0.66402814
2301,2012-01-02,2012-03-30,14.87000000,15.66000000,201201-201204,0.05312710
2303,2012-01-02,2012-03-30,6.68000000,7.66000000,201201-201204,0.14670659
2308,2012-01-02,2012-03-30,46.67000000,56.46000000,201201-201204,0.20977073
2311,2012-01-02,2012-03-30,17.52000000,20.41000000,201201-201204,0.16495434
2317,2012-01-02,2012-03-30,44.78000000,62.98000000,201201-201204,0.40643144
2324,2012-01-02,2012-03-30,13.78000000,15.25000000,201201-201204,0.10667634
2325,2012-01-02,2012-03-30,19.51000000,26.06000000,201201-201204,0.33572527
2327,2012-01-02,2012-03-30,18.34000000,20.79000000,201201-201204,0.13358779
2330,2012-01-02,2012-03-30,50.99000000,57.73000000,201201-201204,0.13218278
2337,2012-01-02,2012-03-30,18.01000000,16.72000000,201201-201204,-0.07162687
2347,2012-01-02,2012-03-30,32.24000000,32.32000000,201201-201204,0.00248139
2353,2012-01-02,2012-03-30,21.47000000,24.50000000,201201-201204,0.14112715
2354,2012-01-02,2012-03-30,54.69000000,69.72000000,201201-201204,0.27482172
2356,2012-01-02,2012-03-30,5.28000000,6.22000000,201201-201204,0.17803030
2357,2012-01-02,2012-03-30,86.04000000,111.45000000,201201-201204,0.29532775
2360,2012-01-02,2012-03-30,38.41000000,49.38000000,201201-201204,0.28560271
2362,2012-01-02,2012-03-30,26.82000000,27.30000000,201201-201204,0.01789709
2371,2012-01-02,2012-03-30,7.84000000,9.15000000,201201-201204,0.16709184
2379,2012-01-02,2012-03-30,22.76000000,28.37000000,201201-201204,0.24648506
2382,2012-01-02,2012-03-30,30.12000000,36.90000000,201201-201204,0.22509960
2384,2012-01-02,2012-03-30,21.65000000,22.90000000,201201-201204,0.05773672
2385,2012-01-02,2012-03-30,19.73000000,23.26000000,201201-201204,0.17891536
2392,2012-01-02,2012-03-30,31.10000000,37.80000000,201201-201204,0.21543408
2393,2012-01-02,2012-03-30,25.29000000,30.39000000,201201-201204,0.20166074
2395,2012-01-02,2012-03-30,39.17000000,48.91000000,201201-201204,0.24865969
2409,2012-01-02,2012-03-30,8.93000000,9.49000000,201201-201204,0.06270997
2412,2012-01-02,2012-03-30,55.82000000,50.89000000,201201-201204,-0.08831960
2448,2012-01-02,2012-03-30,55.64000000,68.23000000,201201-201204,0.22627606
2450,2012-01-02,2012-03-30,42.46000000,65.84000000,201201-201204,0.55063589
2451,2012-01-02,2012-03-30,32.11000000,35.99000000,201201-201204,0.12083463
2454,2012-01-02,2012-03-30,147.09000000,152.21000000,201201-201204,0.03480862
2474,2012-01-02,2012-03-30,75.49000000,115.73000000,201201-201204,0.53305074
2498,2012-01-02,2012-03-30,416.81000000,521.12000000,201201-201204,0.25025791
2501,2012-01-02,2012-03-30,6.09000000,8.18000000,201201-201204,0.34318555
2511,2012-01-02,2012-03-30,6.60000000,9.40000000,201201-201204,0.42424242
2542,2012-01-02,2012-03-30,8.09000000,9.74000000,201201-201204,0.20395550
2548,2012-01-02,2012-03-30,20.32000000,25.24000000,201201-201204,0.24212598
2603,2012-01-02,2012-03-30,13.94000000,18.68000000,201201-201204,0.34002869
2606,2012-01-02,2012-03-30,22.49000000,25.73000000,201201-201204,0.14406403
2609,2012-01-02,2012-03-30,13.59000000,18.14000000,201201-201204,0.33480500
2610,2012-01-02,2012-03-30,10.64000000,9.99000000,201201-201204,-0.06109023
2615,2012-01-02,2012-03-30,6.30000000,7.39000000,201201-201204,0.17301587
2618,2012-01-02,2012-03-30,12.60000000,12.16000000,201201-201204,-0.03492063
2707,2012-01-02,2012-03-30,139.28000000,151.04000000,201201-201204,0.08443423
2723,2012-01-02,2012-03-30,106.20000000,131.80000000,201201-201204,0.24105461
2801,2012-01-02,2012-03-30,7.75000000,8.19000000,201201-201204,0.05677419
2809,2012-01-02,2012-03-30,9.74000000,11.04000000,201201-201204,0.13347023
2812,2012-01-02,2012-03-30,3.39000000,3.72000000,201201-201204,0.09734513
2823,2012-01-02,2012-03-30,10.64000000,12.99000000,201201-201204,0.22086466
2834,2012-01-02,2012-03-30,4.42000000,4.45000000,201201-201204,0.00678733
2838,2012-01-02,2012-03-30,4.50000000,4.65000000,201201-201204,0.03333333
2845,2012-01-02,2012-03-30,4.63000000,4.97000000,201201-201204,0.07343413
2847,2012-01-02,2012-03-30,5.45000000,9.14000000,201201-201204,0.67706422
2849,2012-01-02,2012-03-30,8.40000000,8.55000000,201201-201204,0.01785714
2855,2012-01-02,2012-03-30,6.57000000,7.59000000,201201-201204,0.15525114
2880,2012-01-02,2012-03-30,6.34000000,6.70000000,201201-201204,0.05678233
2881,2012-01-02,2012-03-30,13.69000000,14.64000000,201201-201204,0.06939372
2882,2012-01-02,2012-03-30,15.82000000,16.77000000,201201-201204,0.06005057
2883,2012-01-02,2012-03-30,4.88000000,5.28000000,201201-201204,0.08196721
2884,2012-01-02,2012-03-30,4.11000000,5.18000000,201201-201204,0.26034063
2885,2012-01-02,2012-03-30,7.73000000,7.97000000,201201-201204,0.03104787
2886,2012-01-02,2012-03-30,9.95000000,10.67000000,201201-201204,0.07236181
2887,2012-01-02,2012-03-30,3.61000000,4.20000000,201201-201204,0.16343490
2888,2012-01-02,2012-03-30,5.59000000,6.28000000,201201-201204,0.12343470
2889,2012-01-02,2012-03-30,4.76000000,4.89000000,201201-201204,0.02731092
2890,2012-01-02,2012-03-30,3.53000000,4.26000000,201201-201204,0.20679887
2891,2012-01-02,2012-03-30,7.39000000,7.52000000,201201-201204,0.01759134
2892,2012-01-02,2012-03-30,6.89000000,7.13000000,201201-201204,0.03483309
2903,2012-01-02,2012-03-30,16.47000000,18.36000000,201201-201204,0.11475410
2905,2012-01-02,2012-03-30,12.28000000,13.57000000,201201-201204,0.10504886
2912,2012-01-02,2012-03-30,111.21000000,109.21000000,201201-201204,-0.01798399
2915,2012-01-02,2012-03-30,32.80000000,38.69000000,201201-201204,0.17957317
3008,2012-01-02,2012-03-30,398.67000000,418.13000000,201201-201204,0.04881230
3034,2012-01-02,2012-03-30,31.66000000,38.57000000,201201-201204,0.21825648
3037,2012-01-02,2012-03-30,25.55000000,27.18000000,201201-201204,0.06379648
3044,2012-01-02,2012-03-30,36.39000000,51.03000000,201201-201204,0.40230833
3045,2012-01-02,2012-03-30,50.75000000,48.38000000,201201-201204,-0.04669951
3149,2012-01-02,2012-03-30,134.96000000,227.86000000,201201-201204,0.68835210
3189,2012-01-02,2012-03-30,50.28000000,61.38000000,201201-201204,0.22076372
3231,2012-01-02,2012-03-30,14.32000000,16.75000000,201201-201204,0.16969274
3406,2012-01-02,2012-03-30,178.34000000,249.85000000,201201-201204,0.40097566
3474,2012-01-02,2012-03-30,5.01000000,8.74000000,201201-201204,0.74451098
3481,2012-01-02,2012-03-30,9.01000000,10.19000000,201201-201204,0.13096559
3532,2012-01-02,2012-03-30,44.74000000,53.16000000,201201-201204,0.18819848
3673,2012-01-02,2012-03-30,224.33000000,289.12000000,201201-201204,0.28881558
3697,2012-01-02,2012-03-30,146.34000000,168.24000000,201201-201204,0.14965150
3702,2012-01-02,2012-03-30,17.52000000,20.24000000,201201-201204,0.15525114
4725,2012-01-02,2012-03-30,136.09000000,175.33000000,201201-201204,0.28833860
4904,2012-01-02,2012-03-30,30.80000000,32.81000000,201201-201204,0.06525974
4938,2012-01-02,2012-03-30,15.76000000,22.38000000,201201-201204,0.42005076
4958,2012-01-02,2012-03-30,26.43000000,51.30000000,201201-201204,0.94097616
5522,2012-01-02,2012-03-30,15.72000000,20.25000000,201201-201204,0.28816794
5871,2012-01-02,2012-03-30,10.96000000,16.80000000,201201-201204,0.53284672
5880,2012-01-02,2012-03-30,7.37000000,7.71000000,201201-201204,0.04613297
6005,2012-01-02,2012-03-30,4.61000000,5.15000000,201201-201204,0.11713666
6176,2012-01-02,2012-03-30,29.68000000,47.24000000,201201-201204,0.59164420
6239,2012-01-02,2012-03-30,31.77000000,29.70000000,201201-201204,-0.06515581
6286,2012-01-02,2012-03-30,100.08000000,152.42000000,201201-201204,0.52298161
6505,2012-01-02,2012-03-30,60.30000000,61.16000000,201201-201204,0.01426202
8008,2012-01-02,2012-03-30,22.26000000,28.48000000,201201-201204,0.27942498
8046,2012-01-02,2012-03-30,43.53000000,46.48000000,201201-201204,0.06776935
8078,2012-01-02,2012-03-30,43.05000000,49.76000000,201201-201204,0.15586527
8422,2012-01-02,2012-03-30,80.37000000,97.28000000,201201-201204,0.21040189
9904,2012-01-02,2012-03-30,14.47000000,15.21000000,201201-201204,0.05114029
9907,2012-01-02,2012-03-30,9.12000000,10.30000000,201201-201204,0.12938596
9914,2012-01-02,2012-03-30,37.63000000,55.91000000,201201-201204,0.48578262
9917,2012-01-02,2012-03-30,28.20000000,32.08000000,201201-201204,0.13758865
9921,2012-01-02,2012-03-30,79.50000000,89.14000000,201201-201204,0.12125786
9933,2012-01-02,2012-03-30,21.54000000,25.60000000,201201-201204,0.18848654
9940,2012-01-02,2012-03-30,11.47000000,14.56000000,201201-201204,0.26939843
9945,2012-01-02,2012-03-30,11.27000000,15.37000000,201201-201204,0.36379769
1101,2012-02-01,2012-04-30,14.57,13.99,201202-201205,-0.039807824296499664
1102,2012-02-01,2012-04-30,16.39,16.46,201202-201205,0.00427089688834657
1216,2012-02-01,2012-04-30,22.78,23.97,201202-201205,0.052238805970149155
1227,2012-02-01,2012-04-30,36.58,31.11,201202-201205,-0.14953526517222523
1301,2012-02-01,2012-04-30,47.53,46.8,201202-201205,-0.015358720807910876
1303,2012-02-01,2012-04-30,35.28,34.14,201202-201205,-0.03231292517006804
1304,2012-02-01,2012-04-30,15.4,14.88,201202-201205,-0.033766233766233736
1313,2012-02-01,2012-04-30,9.46,8.65,201202-201205,-0.0856236786469345
1314,2012-02-01,2012-04-30,21.29,18.69,201202-201205,-0.1221230624706434
1319,2012-02-01,2012-04-30,21.54,17.64,201202-201205,-0.18105849582172695
1326,2012-02-01,2012-04-30,49.24,49.3,201202-201205,0.0012185215272135493
1402,2012-02-01,2012-04-30,19.19,17.28,201202-201205,-0.09953100573215216
1434,2012-02-01,2012-04-30,15.84,15.5,201202-201205,-0.021464646464646457
1440,2012-02-01,2012-04-30,8.76,8.79,201202-201205,0.0034246575342465023
1504,2012-02-01,2012-04-30,11.46,12.68,201202-201205,0.10645724258289693
1507,2012-02-01,2012-04-30,30.62,31.87,201202-201205,0.04082299150881776
1590,2012-02-01,2012-04-30,105.83,114.0,201202-201205,0.07719928186714543
1605,2012-02-01,2012-04-30,6.89,5.64,201202-201205,-0.181422351233672
1704,2012-02-01,2012-04-30,41.93,33.71,201202-201205,-0.19604102074886715
1710,2012-02-01,2012-04-30,26.09,21.46,201202-201205,-0.17746262935990798
1717,2012-02-01,2012-04-30,12.38,11.57,201202-201205,-0.06542810985460423
1722,2012-02-01,2012-04-30,44.4,40.1,201202-201205,-0.09684684684684679
1723,2012-02-01,2012-04-30,74.97,77.82,201202-201205,0.0380152060824329
1789,2012-02-01,2012-04-30,31.15,35.5,201202-201205,0.13964686998394868
1802,2012-02-01,2012-04-30,27.07,23.2,201202-201205,-0.1429626893239749
1907,2012-02-01,2012-04-30,7.78,8.06,201202-201205,0.035989717223650415
2002,2012-02-01,2012-04-30,18.09,18.09,201202-201205,0.0
2006,2012-02-01,2012-04-30,20.68,20.28,201202-201205,-0.019342359767891615
2015,2012-02-01,2012-04-30,22.05,21.98,201202-201205,-0.003174603174603187
2049,2012-02-01,2012-04-30,168.77,166.37,201202-201205,-0.014220536825265187
2101,2012-02-01,2012-04-30,32.28,28.76,201202-201205,-0.10904584882280048
2103,2012-02-01,2012-04-30,38.12,34.73,201202-201205,-0.08892969569779645
2105,2012-02-01,2012-04-30,37.42,39.14,201202-201205,0.045964724746125035
2106,2012-02-01,2012-04-30,14.96,14.89,201202-201205,-0.004679144385026757
2201,2012-02-01,2012-04-30,72.41,58.43,201202-201205,-0.19306725590388066
2204,2012-02-01,2012-04-30,35.6,27.46,201202-201205,-0.22865168539325845
2207,2012-02-01,2012-04-30,104.73,128.58,201202-201205,0.227728444571756
2227,2012-02-01,2012-04-30,79.06,81.06,201202-201205,0.02529724260055654
2301,2012-02-01,2012-04-30,16.19,15.64,201202-201205,-0.033971587399629445
2303,2012-02-01,2012-04-30,8.24,8.11,201202-201205,-0.015776699029126307
2308,2012-02-01,2012-04-30,49.93,56.65,201202-201205,0.13458842379331062
2311,2012-02-01,2012-04-30,20.82,20.31,201202-201205,-0.02449567723342947
2317,2012-02-01,2012-04-30,52.37,50.83,201202-201205,-0.02940614855833491
2324,2012-02-01,2012-04-30,15.04,15.43,201202-201205,0.025930851063829828
2325,2012-02-01,2012-04-30,24.64,25.22,201202-201205,0.02353896103896097
2327,2012-02-01,2012-04-30,21.59,19.69,201202-201205,-0.08800370541917547
2330,2012-02-01,2012-04-30,52.35,59.02,201202-201205,0.12741165234001914
2337,2012-02-01,2012-04-30,20.44,14.64,201202-201205,-0.28375733855185914
2344,2012-02-01,2012-04-30,3.79,3.69,201202-201205,-0.026385224274406354
2347,2012-02-01,2012-04-30,31.71,30.21,201202-201205,-0.04730368968779565
2353,2012-02-01,2012-04-30,25.69,20.97,201202-201205,-0.18372907746204759
2354,2012-02-01,2012-04-30,66.86,58.86,201202-201205,-0.11965300628178283
2356,2012-02-01,2012-04-30,6.05,5.4,201202-201205,-0.10743801652892554
2357,2012-02-01,2012-04-30,94.24,118.05,201202-201205,0.2526528013582343
2360,2012-02-01,2012-04-30,43.47,43.73,201202-201205,0.005981136415918979
2362,2012-02-01,2012-04-30,28.03,25.7,201202-201205,-0.08312522297538358
2371,2012-02-01,2012-04-30,9.08,8.52,201202-201205,-0.06167400881057274
2379,2012-02-01,2012-04-30,28.89,33.37,201202-201205,0.15507095880927646
2382,2012-02-01,2012-04-30,30.22,36.66,201202-201205,0.21310390469887486
2384,2012-02-01,2012-04-30,24.25,19.05,201202-201205,-0.2144329896907216
2385,2012-02-01,2012-04-30,22.1,22.86,201202-201205,0.03438914027149312
2388,2012-02-01,2012-04-30,38.12,31.86,201202-201205,-0.16421825813221402
2392,2012-02-01,2012-04-30,38.12,32.12,201202-201205,-0.15739769150052466
2393,2012-02-01,2012-04-30,27.79,29.41,201202-201205,0.058294350485786295
2395,2012-02-01,2012-04-30,43.13,47.33,201202-201205,0.09738001391143046
2409,2012-02-01,2012-04-30,11.02,9.1,201202-201205,-0.17422867513611615
2412,2012-02-01,2012-04-30,54.02,51.17,201202-201205,-0.05275823768974456
2448,2012-02-01,2012-04-30,65.78,64.33,201202-201205,-0.0220431742170873
2450,2012-02-01,2012-04-30,53.92,57.02,201202-201205,0.05749258160237391
2451,2012-02-01,2012-04-30,33.29,33.08,201202-201205,-0.0063082006608591425
2454,2012-02-01,2012-04-30,155.17,136.31,201202-201205,-0.12154411290842293
2474,2012-02-01,2012-04-30,104.35,103.8,201202-201205,-0.005270723526593169
2498,2012-02-01,2012-04-30,453.03,386.69,201202-201205,-0.14643621835198548
2501,2012-02-01,2012-04-30,6.89,8.14,201202-201205,0.18142235123367212
2511,2012-02-01,2012-04-30,8.57,8.95,201202-201205,0.04434072345390887
2542,2012-02-01,2012-04-30,9.19,9.33,201202-201205,0.015233949945593099
2548,2012-02-01,2012-04-30,24.03,23.63,201202-201205,-0.016645859342488644
2603,2012-02-01,2012-04-30,16.01,15.83,201202-201205,-0.011242973141786475
2606,2012-02-01,2012-04-30,23.63,25.07,201202-201205,0.060939483707151985
2609,2012-02-01,2012-04-30,16.0,14.28,201202-201205,-0.10750000000000004
2610,2012-02-01,2012-04-30,12.08,9.52,201202-201205,-0.21192052980132453
2615,2012-02-01,2012-04-30,7.24,6.47,201202-201205,-0.10635359116022106
2618,2012-02-01,2012-04-30,14.0,11.76,201202-201205,-0.16
2707,2012-02-01,2012-04-30,150.5,143.63,201202-201205,-0.04564784053156149
2723,2012-02-01,2012-04-30,112.67,123.99,201202-201205,0.1004704002840152
2801,2012-02-01,2012-04-30,8.17,7.87,201202-201205,-0.03671970624235004
2809,2012-02-01,2012-04-30,11.04,9.91,201202-201205,-0.10235507246376803
2812,2012-02-01,2012-04-30,3.59,3.65,201202-201205,0.016713091922005586
2823,2012-02-01,2012-04-30,13.28,11.79,201202-201205,-0.11219879518072291
2834,2012-02-01,2012-04-30,4.67,4.28,201202-201205,-0.08351177730192713
2838,2012-02-01,2012-04-30,4.53,4.51,201202-201205,-0.004415011037527695
2845,2012-02-01,2012-04-30,5.01,4.89,201202-201205,-0.023952095808383256
2847,2012-02-01,2012-04-30,5.98,8.82,201202-201205,0.4749163879598662
2849,2012-02-01,2012-04-30,8.52,8.01,201202-201205,-0.05985915492957744
2855,2012-02-01,2012-04-30,7.21,7.24,201202-201205,0.004160887656033322
2880,2012-02-01,2012-04-30,6.66,6.42,201202-201205,-0.03603603603603607
2881,2012-02-01,2012-04-30,14.84,13.4,201202-201205,-0.09703504043126682
2882,2012-02-01,2012-04-30,16.82,15.42,201202-201205,-0.08323424494649229
2883,2012-02-01,2012-04-30,5.31,4.34,201202-201205,-0.18267419962335213
2884,2012-02-01,2012-04-30,4.69,4.96,201202-201205,0.05756929637526643
2885,2012-02-01,2012-04-30,8.8,7.27,201202-201205,-0.17386363636363647
2886,2012-02-01,2012-04-30,10.72,11.82,201202-201205,0.10261194029850743
2887,2012-02-01,2012-04-30,3.95,4.02,201202-201205,0.017721518987341617
2888,2012-02-01,2012-04-30,6.1,5.79,201202-201205,-0.05081967213114748
2889,2012-02-01,2012-04-30,4.86,4.8,201202-201205,-0.01234567901234578
2890,2012-02-01,2012-04-30,3.68,3.98,201202-201205,0.08152173913043473
2891,2012-02-01,2012-04-30,7.77,7.56,201202-201205,-0.027027027027027025
2892,2012-02-01,2012-04-30,7.35,7.03,201202-201205,-0.043537414965986315
2903,2012-02-01,2012-04-30,19.02,15.32,201202-201205,-0.1945320715036803
2905,2012-02-01,2012-04-30,13.92,10.72,201202-201205,-0.2298850574712643
2912,2012-02-01,2012-04-30,105.55,104.55,201202-201205,-0.009474182851729039
2915,2012-02-01,2012-04-30,38.09,34.07,201202-201205,-0.10553951168285647
3008,2012-02-01,2012-04-30,474.37,334.51,201202-201205,-0.2948331471214453
3034,2012-02-01,2012-04-30,38.14,37.97,201202-201205,-0.004457262716308382
3037,2012-02-01,2012-04-30,28.82,24.69,201202-201205,-0.14330326162387227
3044,2012-02-01,2012-04-30,43.5,44.33,201202-201205,0.019080459770114903
3045,2012-02-01,2012-04-30,47.09,50.69,201202-201205,0.07644935230409841
3149,2012-02-01,2012-04-30,192.58,188.85,201202-201205,-0.019368574099075803
3189,2012-02-01,2012-04-30,60.14,59.56,201202-201205,-0.009644163618224115
3231,2012-02-01,2012-04-30,16.41,16.5,201202-201205,0.005484460694698346
3406,2012-02-01,2012-04-30,207.78,165.72,201202-201205,-0.20242564250649728
3474,2012-02-01,2012-04-30,5.48,7.68,201202-201205,0.4014598540145984
3481,2012-02-01,2012-04-30,10.19,8.97,201202-201205,-0.11972522080471039
3532,2012-02-01,2012-04-30,48.54,46.38,201202-201205,-0.04449938195302836
3673,2012-02-01,2012-04-30,266.11,217.98,201202-201205,-0.1808650558039909
3697,2012-02-01,2012-04-30,172.9,161.72,201202-201205,-0.06466165413533838
3702,2012-02-01,2012-04-30,20.79,20.08,201202-201205,-0.034151034151034196
4725,2012-02-01,2012-04-30,168.38,147.69,201202-201205,-0.12287682622639268
4904,2012-02-01,2012-04-30,30.7,34.44,201202-201205,0.12182410423452764
4938,2012-02-01,2012-04-30,17.51,20.58,201202-201205,0.17532838378069654
4958,2012-02-01,2012-04-30,37.27,51.04,201202-201205,0.36946605849208464
5522,2012-02-01,2012-04-30,18.72,18.41,201202-201205,-0.016559829059828994
5871,2012-02-01,2012-04-30,14.06,16.99,201202-201205,0.20839260312944508
5880,2012-02-01,2012-04-30,7.79,7.48,201202-201205,-0.03979460847240046
6005,2012-02-01,2012-04-30,5.48,4.7,201202-201205,-0.14233576642335768
6176,2012-02-01,2012-04-30,40.57,44.35,201202-201205,0.09317229479911267
6239,2012-02-01,2012-04-30,38.38,25.65,201202-201205,-0.33168316831683176
6269,2012-02-01,2012-04-30,42.85,41.02,201202-201205,-0.04270711785297546
6286,2012-02-01,2012-04-30,140.69,149.07,201202-201205,0.059563579501030604
6505,2012-02-01,2012-04-30,59.77,60.43,201202-201205,0.011042328927555573
8008,2012-02-01,2012-04-30,26.65,27.06,201202-201205,0.01538461538461539
8046,2012-02-01,2012-04-30,49.5,39.35,201202-201205,-0.205050505050505
8078,2012-02-01,2012-04-30,52.67,40.14,201202-201205,-0.2378963356749573
8422,2012-02-01,2012-04-30,83.39,105.39,201202-201205,0.2638206019906464
9904,2012-02-01,2012-04-30,15.21,14.85,201202-201205,-0.023668639053254517
9907,2012-02-01,2012-04-30,9.97,9.94,201202-201205,-0.003009027081243845
9917,2012-02-01,2012-04-30,29.77,31.45,201202-201205,0.056432650319113195
9921,2012-02-01,2012-04-30,81.91,101.19,201202-201205,0.2353802954462215
9933,2012-02-01,2012-04-30,21.46,29.56,201202-201205,0.37744641192917044
9945,2012-02-01,2012-04-30,12.91,14.86,201202-201205,0.1510457010069713
1101,2012-03-01,2012-05-31,14.95,13.54,201203-201206,-0.09431438127090302
1102,2012-03-01,2012-05-31,17.56,16.69,201203-201206,-0.049544419134396216
1216,2012-03-01,2012-05-31,23.46,23.68,201203-201206,0.009377664109121862
1227,2012-03-01,2012-05-31,35.72,31.07,201203-201206,-0.13017917133258675
1301,2012-03-01,2012-05-31,51.03,44.03,201203-201206,-0.13717421124828533
1303,2012-03-01,2012-05-31,40.61,29.72,201203-201206,-0.2681605515882788
1304,2012-03-01,2012-05-31,16.49,14.31,201203-201206,-0.13220133414190408
1314,2012-03-01,2012-05-31,24.52,15.87,201203-201206,-0.35277324632952695
1326,2012-03-01,2012-05-31,52.85,45.98,201203-201206,-0.12999053926206253
1402,2012-03-01,2012-05-31,19.48,15.84,201203-201206,-0.18685831622176594
1434,2012-03-01,2012-05-31,16.6,15.34,201203-201206,-0.07590361445783142
1440,2012-03-01,2012-05-31,9.89,8.97,201203-201206,-0.09302325581395347
1504,2012-03-01,2012-05-31,12.74,12.03,201203-201206,-0.05572998430141294
1590,2012-03-01,2012-05-31,116.38,112.98,201203-201206,-0.02921464169101213
1605,2012-03-01,2012-05-31,7.48,5.22,201203-201206,-0.3021390374331552
1704,2012-03-01,2012-05-31,41.25,34.98,201203-201206,-0.15200000000000008
1710,2012-03-01,2012-05-31,24.71,21.34,201203-201206,-0.13638203156616757
1717,2012-03-01,2012-05-31,13.5,11.42,201203-201206,-0.15407407407407409
1722,2012-03-01,2012-05-31,47.38,39.76,201203-201206,-0.16082735331363454
1723,2012-03-01,2012-05-31,78.96,76.68,201203-201206,-0.028875379939209564
1789,2012-03-01,2012-05-31,37.72,34.57,201203-201206,-0.08351007423117705
1802,2012-03-01,2012-05-31,29.3,22.29,201203-201206,-0.23924914675767922
