stock_id,start_date,end_date,SD_close,ED_close,combination,return,RT_%_Rank,remark,RT_rank
1101,2012-01-02,2012-03-30,13.93,13.86,201201-201204,-0.00502513,8.092374732020659,loser,139.0
1216,2012-01-02,2012-03-30,22.83,21.54,201201-201204,-0.0565046,3.090948319849292,loser,145.0
1319,2012-01-02,2012-03-30,19.22,19.1,201201-201204,-0.0062435,7.974005450095316,loser,140.0
1402,2012-01-02,2012-03-30,18.19,17.91,201201-201204,-0.01539307,7.085089906520165,loser,141.0
1507,2012-01-02,2012-03-30,30.75,31.11,201201-201204,0.01170732,9.717995923737217,loser,136.0
2207,2012-01-02,2012-03-30,97.12,164.52,201201-201204,0.69398682,76.00404571762738,winner,2.0
2227,2012-01-02,2012-03-30,56.85,94.6,201201-201204,0.66402814,73.09344594987938,winner,5.0
2317,2012-01-02,2012-03-30,44.78,62.98,201201-201204,0.40643144,48.06694627790947,winner,14.0
2337,2012-01-02,2012-03-30,18.01,16.72,201201-201204,-0.07162687,1.6217622425647615,loser,148.0
2347,2012-01-02,2012-03-30,32.24,32.32,201201-201204,0.00248139,8.821661715579204,loser,138.0
2450,2012-01-02,2012-03-30,42.46,65.84,201201-201204,0.55063589,62.076957355775,winner,7.0
2474,2012-01-02,2012-03-30,75.49,115.73,201201-201204,0.53305074,60.368493114165744,winner,8.0
2511,2012-01-02,2012-03-30,6.6,9.4,201201-201204,0.42424242,49.79735076339964,winner,12.0
2610,2012-01-02,2012-03-30,10.64,9.99,201201-201204,-0.06109023,2.645436915041795,loser,146.0
2618,2012-01-02,2012-03-30,12.6,12.16,201201-201204,-0.03492063,5.187913141699914,loser,143.0
2834,2012-01-02,2012-03-30,4.42,4.45,201201-201204,0.00678733,9.24000017254516,loser,137.0
2847,2012-01-02,2012-03-30,5.45,9.14,201201-201204,0.67706422,74.35995072980775,winner,4.0
2912,2012-01-02,2012-03-30,111.21,109.21,201201-201204,-0.01798399,6.833372168947825,loser,142.0
3045,2012-01-02,2012-03-30,50.75,48.38,201201-201204,-0.04669951,4.043550125961852,loser,144.0
3149,2012-01-02,2012-03-30,134.96,227.86,201201-201204,0.6883521,75.45661122707823,winner,3.0
3474,2012-01-02,2012-03-30,5.01,8.74,201201-201204,0.74451098,80.91266012793058,winner,1.0
4938,2012-01-02,2012-03-30,15.76,22.38,201201-201204,0.42005076,49.39011504331855,winner,13.0
5871,2012-01-02,2012-03-30,10.96,16.8,201201-201204,0.53284672,60.34867179478132,winner,9.0
6176,2012-01-02,2012-03-30,29.68,47.24,201201-201204,0.5916442,66.06107072664906,winner,6.0
6239,2012-01-02,2012-03-30,31.77,29.7,201201-201204,-0.06515581,2.2504503467497043,loser,147.0
6286,2012-01-02,2012-03-30,100.08,152.42,201201-201204,0.52298161,59.39023881726667,winner,10.0
6505,2012-01-02,2012-03-30,60.3,61.16,201201-201204,0.01426202,9.966194750476772,loser,135.0
9914,2012-01-02,2012-03-30,37.63,55.91,201201-201204,0.48578262,55.77621538050443,winner,11.0
1704,2012-02-01,2012-04-30,41.93,33.71,201202-201205,-0.1960410207488671,16.816541307572155,loser,139.0
1789,2012-02-01,2012-04-30,31.15,35.5,201202-201205,0.1396468699839486,58.43420500706228,winner,14.0
2201,2012-02-01,2012-04-30,72.41,58.43,201202-201205,-0.1930672559038806,17.185220514229982,loser,137.0
2204,2012-02-01,2012-04-30,35.6,27.46,201202-201205,-0.2286516853932584,12.773560575606012,loser,144.0
2207,2012-02-01,2012-04-30,104.73,128.58,201202-201205,0.227728444571756,69.35431696378046,winner,7.0
2337,2012-02-01,2012-04-30,20.44,14.64,201202-201205,-0.2837573385518591,5.941712884916591,loser,147.0
2353,2012-02-01,2012-04-30,25.69,20.97,201202-201205,-0.1837290774620475,18.34294225721464,loser,136.0
2357,2012-02-01,2012-04-30,94.24,118.05,201202-201205,0.2526528013582343,72.4443703356829,winner,5.0
2379,2012-02-01,2012-04-30,28.89,33.37,201202-201205,0.1550709588092764,60.34644122208404,winner,12.0
2382,2012-02-01,2012-04-30,30.22,36.66,201202-201205,0.2131039046988748,67.54120663423988,winner,8.0
2384,2012-02-01,2012-04-30,24.25,19.05,201202-201205,-0.2144329896907216,14.536355458381667,loser,143.0
2501,2012-02-01,2012-04-30,6.89,8.14,201202-201205,0.1814223512336721,63.613414557159366,winner,10.0
2610,2012-02-01,2012-04-30,12.08,9.52,201202-201205,-0.2119205298013245,14.847843342282168,loser,142.0
2883,2012-02-01,2012-04-30,5.31,4.34,201202-201205,-0.1826741996233521,18.47372311749242,loser,135.0
2903,2012-02-01,2012-04-30,19.02,15.32,201202-201205,-0.1945320715036803,17.003616695036065,loser,138.0
2905,2012-02-01,2012-04-30,13.92,10.72,201202-201205,-0.2298850574712643,12.620650489255452,loser,145.0
3008,2012-02-01,2012-04-30,474.37,334.51,201202-201205,-0.2948331471214453,4.568564526056504,loser,148.0
3406,2012-02-01,2012-04-30,207.78,165.72,201202-201205,-0.2024256425064972,16.024993418914512,loser,140.0
3474,2012-02-01,2012-04-30,5.48,7.68,201202-201205,0.4014598540145984,90.89306045687074,winner,1.0
4938,2012-02-01,2012-04-30,17.51,20.58,201202-201205,0.1753283837806965,62.85790119175342,winner,11.0
4958,2012-02-01,2012-04-30,37.27,51.04,201202-201205,0.3694660584920846,86.92655746619235,winner,3.0
5871,2012-02-01,2012-04-30,14.06,16.99,201202-201205,0.208392603129445,66.95711239159272,winner,9.0
8046,2012-02-01,2012-04-30,49.5,39.35,201202-201205,-0.205050505050505,15.699570162283392,loser,141.0
