stock_id,start_date,end_date,SD_close,ED_close,combination,return,RT_%_Rank,remark,RT_rank,start_date2,SD_close2,end_date2,ED_close2,return2
1303,2010/1/4,2010/3/31,29.66,33.37,201001-201004,0.12508429,70.39559876,winner,7,2010/4/1,33.62,2010/12/31,38.75,0.152587745
1314,2010/1/4,2010/3/31,7.15,7.74,201001-201004,0.08251748,63.02469079,winner,11,2010/4/1,7.77,2010/12/31,16.28,1.095238095
1326,2010/1/4,2010/3/31,35.16,37.92,201001-201004,0.07849829,62.32872415,winner,12,2010/4/1,38.22,2010/12/31,53.24,0.392987964
2014,2010/1/4,2010/3/31,14.37,12.03,201001-201004,-0.16283925,20.53849375,loser,139,2010/4/1,11.9,2010/12/31,13.76,0.156302521
2101,2010/1/4,2010/3/31,26.65,29.08,201001-201004,0.09118199,64.52504531,winner,10,2010/4/1,29.08,2010/12/31,30.8,0.05914718
2337,2010/1/4,2010/3/31,25.17,29.37,201001-201004,0.16686532,77.63044035,winner,4,2010/4/1,30.35,2010/12/31,29.59,-0.025041186
2362,2010/1/4,2010/3/31,28.41,36.47,201001-201004,0.28370292,97.86214663,winner,1,2010/4/1,37.88,2010/12/31,37.35,-0.013991552
2374,2010/1/4,2010/3/31,41.68,35.5,201001-201004,-0.14827255,23.06087692,loser,135,2010/4/1,36.03,2010/12/31,35.49,-0.01498751
2385,2010/1/4,2010/3/31,25.27,27.73,201001-201004,0.09734863,65.59286637,winner,9,2010/4/1,28.55,2010/12/31,23.44,-0.178984238
2392,2010/1/4,2010/3/31,36.03,30.52,201001-201004,-0.15292812,22.25471414,loser,136,2010/4/1,31.01,2010/12/31,34.15,0.101257659
2393,2010/1/4,2010/3/31,52.35,43.93,201001-201004,-0.1608405,20.88459914,loser,138,2010/4/1,45.66,2010/12/31,39.26,-0.140166448
2458,2010/1/4,2010/3/31,40.07,33.38,201001-201004,-0.16695782,19.82531838,loser,141,2010/4/1,33.38,2010/12/31,28.5,-0.146195327
2475,2010/1/4,2010/3/31,4.37,3.63,201001-201004,-0.16933638,19.41344474,loser,142,2010/4/1,3.65,2010/12/31,4.66,0.276712329
2618,2010/1/4,2010/3/31,8.13,8.68,201001-201004,0.06765068,60.45034203,winner,14,2010/4/1,8.74,2010/12/31,21.36,1.443935927
2707,2010/1/4,2010/3/31,118.41,100.12,201001-201004,-0.15446331,21.98887922,loser,137,2010/4/1,101.7,2010/12/31,166.6,0.638151426
2855,2010/1/4,2010/3/31,8.97,7.38,201001-201004,-0.17725753,18.04181112,loser,144,2010/4/1,7.56,2010/12/31,8.33,0.101851852
2885,2010/1/4,2010/3/31,10.55,8.61,201001-201004,-0.18388626,16.89397414,loser,146,2010/4/1,8.77,2010/12/31,10.36,0.181299886
2915,2010/1/4,2010/3/31,37.16,46.89,201001-201004,0.26184069,94.07646277,winner,2,2010/4/1,50.13,2010/12/31,56.8,0.133054059
3008,2010/1/4,2010/3/31,290.98,334,201001-201004,0.14784521,74.3369006,winner,5,2010/4/1,336.09,2010/12/31,515.53,0.533904609
3035,2010/1/4,2010/3/31,60.17,51.45,201001-201004,-0.14492272,23.64093656,loser,134,2010/4/1,52.93,2010/12/31,51.03,-0.035896467
3049,2010/1/4,2010/3/31,40.62,33.84,201001-201004,-0.16691285,19.83310543,loser,140,2010/4/1,33.56,2010/12/31,35.18,0.048271752
3514,2010/1/4,2010/3/31,75.03,85.02,201001-201004,0.13314674,71.79170002,winner,6,2010/4/1,85.02,2010/12/31,69.89,-0.177958127
3532,2010/1/4,2010/3/31,128.6,142.41,201001-201004,0.10738725,67.33116304,winner,8,2010/4/1,145.97,2010/12/31,85.98,-0.410974858
6005,2010/1/4,2010/3/31,7.83,6.46,201001-201004,-0.17496807,18.43825612,loser,143,2010/4/1,6.64,2010/12/31,6.75,0.016566265
6116,2010/1/4,2010/3/31,11.72,9.58,201001-201004,-0.18259386,17.11776731,loser,145,2010/4/1,9.61,2010/12/31,8.09,-0.158168574
8008,2010/1/4,2010/3/31,25.88,27.79,201001-201004,0.07380216,61.51553796,winner,13,2010/4/1,27.83,2010/12/31,28.26,0.015450952
8078,2010/1/4,2010/3/31,40.14,29.89,201001-201004,-0.25535625,4.518164935,loser,147,2010/4/1,30.4,2010/12/31,27.58,-0.092763158
8131,2010/1/4,2010/3/31,19.14,22.92,201001-201004,0.19749216,82.93381213,winner,3,2010/4/1,23.12,2010/12/31,15.95,-0.310121107
1314,2010/2/1,2010/4/30,6.51,8.84,201002-201005,0.357910906,85.8767859,winner,1,2010/5/3,9.18,,,
1605,2010/2/1,2010/4/30,6.9,8.81,201002-201005,0.276811594,73.67749768,winner,8,2010/5/3,8.75,,,
2006,2010/2/1,2010/4/30,25.19,23.46,201002-201005,-0.068678047,21.70754135,loser,139,2010/5/3,22.84,,,
2207,2010/2/1,2010/4/30,43.08,54.79,201002-201005,0.27181987,72.92662223,winner,11,2010/5/3,52.73,,,
2311,2010/2/1,2010/4/30,13.21,16.84,201002-201005,0.274791824,73.37367569,winner,10,2010/5/3,16.46,,,
2327,2010/2/1,2010/4/30,26.73,35.24,201002-201005,0.318368874,79.92871264,winner,4,2010/5/3,35.83,,,
2332,2010/2/1,2010/4/30,21.33,20.17,201002-201005,-0.054383497,23.85778558,loser,134,2010/5/3,20.04,,,
2362,2010/2/1,2010/4/30,29.71,37.34,201002-201005,0.256815887,70.6696621,winner,13,2010/5/3,36.58,,,
