combination,remark,count,mean_return2
201001-201004,loser,14,0.06658830038531248
201001-201004,winner,14,0.19351681880902558
201002-201005,loser,14,0.12033190226055032
201002-201005,winner,14,0.42959344463813914
201003-201006,loser,14,0.056011112613221024
201003-201006,winner,14,0.41717974472997194
201004-201007,loser,14,0.04128583440784226
201004-201007,winner,14,0.3726023085554749
201005-201008,loser,14,-0.014583665287395615
201005-201008,winner,14,0.23893001636570801
201006-201009,loser,14,0.14141444330692085
201006-201009,winner,14,0.18005019473715494
201007-201010,loser,14,-0.06845613768122517
201007-201010,winner,14,0.048806599400388215
201008-201011,loser,14,-0.1702036432390501
201008-201011,winner,14,0.08795194047206813
201009-201012,loser,14,-0.1310001416636711
201009-201012,winner,14,0.11971273665632072
201010-201101,loser,14,-0.36930013613072127
201010-201101,winner,14,-0.198138221820648
201011-201102,loser,14,-0.20192714374998252
201011-201102,winner,14,-0.05417958320395094
201012-201103,loser,14,-0.2695422968496501
201012-201103,winner,14,-0.21247723226121937
201101-201104,loser,14,-0.26680593711579814
201101-201104,winner,14,-0.2330243073598902
201102-201105,loser,14,-0.2784607114985029
201102-201105,winner,14,-0.13107258077968956
201103-201106,loser,14,-0.29450157458013193
201103-201106,winner,14,0.0010644295764378991
201104-201107,loser,14,-0.27931648287284716
201104-201107,winner,14,0.12988577831143353
201105-201108,loser,14,-0.21695306173653486
201105-201108,winner,14,-0.1695986416049827
201106-201109,loser,14,-0.18998946597520114
201106-201109,winner,14,-0.08471360135965875
201107-201110,loser,14,-0.05453774865231796
201107-201110,winner,14,0.07454402712536898
201108-201111,loser,14,-0.11817530285268793
201108-201111,winner,14,0.11774169582605166
201109-201112,loser,14,0.08484011974920778
201109-201112,winner,14,0.15268383667219046
201110-201201,loser,14,0.1276131202851886
201110-201201,winner,14,0.21880171401029874
201111-201202,loser,14,-0.11149781728237906
201111-201202,winner,14,-0.17725674977677572
201112-201203,loser,14,-0.054150442909181785
201112-201203,winner,14,-0.14030531753832054
201201-201204,loser,14,0.024435202372972566
201201-201204,winner,14,-0.02432355733651708
201202-201205,loser,14,-0.021884934438290555
201202-201205,winner,14,0.11221880917255521
201203-201206,loser,14,0.023044174625347535
201203-201206,winner,14,0.2632807691337898
201204-201207,loser,14,0.06330396026172715
201204-201207,winner,14,0.2735768553317911
201205-201208,loser,14,0.23367045853188578
201205-201208,winner,14,0.3594973535377665
201206-201209,loser,14,0.32845102684522814
201206-201209,winner,14,0.12193617583919313
201207-201210,loser,14,0.12584622610374022
201207-201210,winner,14,0.023450862525968817
201208-201211,loser,14,0.3709851771473053
201208-201211,winner,14,0.059287750107297206
201209-201212,loser,14,0.12912192492626715
201209-201212,winner,14,0.08206435910076595
201210-201301,loser,14,0.2835937952272219
201210-201301,winner,14,0.15622288147835636
201211-201302,loser,14,-0.007002576427475783
201211-201302,winner,14,0.0720349722009057
201212-201303,loser,14,0.08392238061000203
201212-201303,winner,13,0.20854600866712897
201301-201304,loser,14,0.1400558484142302
201301-201304,winner,13,0.2784138683903988
201302-201305,loser,14,0.08190954354952366
201302-201305,winner,14,0.1304188268192241
201303-201306,loser,14,0.13173326633877133
201303-201306,winner,14,0.24803101798112862
201304-201307,loser,14,0.09746545279919239
201304-201307,winner,14,0.1404278667583589
201305-201308,loser,14,0.1466979069298686
201305-201308,winner,14,0.08748129908433308
201306-201309,loser,14,0.19472269226235864
201306-201309,winner,14,0.05426175193360646
201307-201310,loser,14,0.17832579154099643
201307-201310,winner,13,0.07124242674155609
201308-201311,loser,14,0.08516304006206735
201308-201311,winner,13,0.06044205247097564
201309-201312,loser,14,0.28430602081679746
201309-201312,winner,12,0.052584373441182664
201310-201401,loser,14,0.10078913130844001
201310-201401,winner,13,0.15972100528763392
201311-201402,loser,14,0.062438480544584896
201311-201402,winner,14,0.18108411272128125
201312-201403,loser,14,0.06158251484520717
201312-201403,winner,14,0.1052586082087807
