combination,remark,count,mean_return2
201010-201101,loser,14,-0.34697551775369717
201010-201101,winner,14,-0.15079664772051585
201011-201102,loser,14,-0.21029913780293233
201011-201102,winner,14,-0.10893212293115148
201012-201103,loser,14,-0.2627743080083623
201012-201103,winner,14,-0.2539398285774642
201110-201201,loser,14,0.012474213638393964
201110-201201,winner,14,0.16106791570451293
201111-201202,loser,14,-0.14199502697949543
201111-201202,winner,14,-0.2507376662197137
201112-201203,loser,14,-0.034537717822603405
201112-201203,winner,14,-0.09211313194271042
201210-201301,loser,14,0.3121591771474549
201210-201301,winner,14,0.2149380736070177
201212-201303,loser,14,0.09008518277391787
201212-201303,winner,13,0.17936459399854582
201310-201401,loser,14,0.03024911769017308
201310-201401,winner,13,0.12333722930242824
201311-201402,loser,14,0.04499974914008174
201311-201402,winner,14,0.15301455768178035
201312-201403,loser,14,0.056514010147697094
201312-201403,winner,14,0.13344309363536713
