combination,remark,count,mean_return2
201001-201004,loser,14,0.04629989819691629
201001-201004,winner,14,0.20042044540336926
201001-201004,winner - loser,-,0.15412054720645296
201002-201005,loser,14,0.10242279444300863
201002-201005,winner,14,0.4199941446517042
201002-201005,winner - loser,-,0.3175713502086956
201003-201006,loser,14,0.08156532007474397
201003-201006,winner,14,0.4153650592112413
201003-201006,winner - loser,-,0.3337997391364973
201004-201007,loser,14,-0.04808328522253443
201004-201007,winner,14,0.34139613191595003
201004-201007,winner - loser,-,0.38947941713848444
201005-201008,loser,14,-0.045280695192739716
201005-201008,winner,14,0.16271052798760946
201005-201008,winner - loser,-,0.20799122318034918
201006-201009,loser,14,0.029649053361838852
201006-201009,winner,14,0.06203696437448837
201006-201009,winner - loser,-,0.03238791101264952
201007-201010,loser,14,-0.08466285745704917
201007-201010,winner,14,0.08276829813353044
201007-201010,winner - loser,-,0.1674311555905796
201008-201011,loser,14,-0.35282062364281236
201008-201011,winner,14,-0.08380015054650271
201008-201011,winner - loser,-,0.26902047309630966
201009-201012,loser,14,-0.17739879389404847
201009-201012,winner,14,0.015769529382822715
201009-201012,winner - loser,-,0.1931683232768712
201010-201101,loser,14,-0.36595471403058566
201010-201101,winner,14,-0.15707212059034995
201010-201101,winner - loser,-,0.20888259344023571
201011-201102,loser,14,-0.21342370442380076
201011-201102,winner,14,-0.10276441384364195
201011-201102,winner - loser,-,0.11065929058015882
201012-201103,loser,14,-0.29450761949951193
201012-201103,winner,14,-0.2527704993280121
201012-201103,winner - loser,-,0.04173712017149983
201101-201104,loser,14,-0.2579657227692372
201101-201104,winner,14,-0.20062607488316564
201101-201104,winner - loser,-,0.05733964788607154
201102-201105,loser,14,-0.240852108662241
201102-201105,winner,14,-0.129580700296273
201102-201105,winner - loser,-,0.111271408365968
201103-201106,loser,14,-0.3171922050751363
201103-201106,winner,14,-0.014687124323130449
201103-201106,winner - loser,-,0.30250508075200583
201104-201107,loser,14,-0.3111480590825952
201104-201107,winner,14,-0.04123719122376007
201104-201107,winner - loser,-,0.2699108678588351
201105-201108,loser,14,-0.12067856735612774
201105-201108,winner,14,-0.06519157292725374
201105-201108,winner - loser,-,0.055486994428874004
201106-201109,loser,14,-0.16073633623569392
201106-201109,winner,14,-0.04280408244494186
201106-201109,winner - loser,-,0.11793225379075206
201107-201110,loser,14,-0.17556091235469987
201107-201110,winner,14,0.0497668239483992
201107-201110,winner - loser,-,0.22532773630309907
201108-201111,loser,14,-0.06818215697233544
201108-201111,winner,14,0.1546893828267855
201108-201111,winner - loser,-,0.22287153979912094
201109-201112,loser,14,0.21862338050410882
201109-201112,winner,14,0.21815288194903298
201109-201112,winner - loser,-,-0.00047049855507583227
201110-201201,loser,14,-0.0036099226716261074
201110-201201,winner,14,0.15518769078542557
201110-201201,winner - loser,-,0.15879761345705168
201111-201202,loser,14,-0.16328707165200557
201111-201202,winner,14,-0.2618313910113664
201111-201202,winner - loser,-,-0.09854431935936081
201112-201203,loser,14,-0.03561822490332885
201112-201203,winner,14,-0.11617168118253682
201112-201203,winner - loser,-,-0.08055345627920796
201201-201204,loser,14,0.0662572976826249
201201-201204,winner,14,0.019728991948846485
201201-201204,winner - loser,-,-0.046528305733778405
201202-201205,loser,14,0.00873526694047672
201202-201205,winner,14,0.16936787700217298
201202-201205,winner - loser,-,0.16063261006169627
201203-201206,loser,14,0.003564061282182344
201203-201206,winner,14,0.2930459690464871
201203-201206,winner - loser,-,0.28948190776430477
201204-201207,loser,14,0.06184503570321138
201204-201207,winner,14,0.28251172766949884
201204-201207,winner - loser,-,0.22066669196628746
201205-201208,loser,14,0.26713053701013045
201205-201208,winner,14,0.4243975173184422
201205-201208,winner - loser,-,0.15726698030831177
201206-201209,loser,14,0.2525594604532366
201206-201209,winner,14,0.04419888158981587
201206-201209,winner - loser,-,-0.2083605788634207
201207-201210,loser,14,0.12564555509282888
201207-201210,winner,14,0.11336159998314911
201207-201210,winner - loser,-,-0.012283955109679764
201208-201211,loser,14,0.3922460224129506
201208-201211,winner,14,0.05702433798397016
201208-201211,winner - loser,-,-0.3352216844289804
201209-201212,loser,14,0.12276976666686054
201209-201212,winner,14,0.06356524909468955
